Name,AvgCyclomatic,AvgCyclomaticModified,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclExecutableUnit,CountDeclModule,CountDeclProgunit,CountDeclSubprogram,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumEssential,Bugs
xciit.f90,1.0,1.0,1.0,79.0,16.0,32.0,30.0,4.0,0.0,1.0,4.0,264.0,45.0,87.0,39.0,47.0,135.0,73.0,36.0,37.0,4.0,4.0,1.0,0.0,1.55,7.0,7.0,4.0,0.0
ep_fs_weights.f90,17.0,17.0,1.0,208.0,47.0,116.0,47.0,1.0,0.0,1.0,1.0,273.0,50.0,118.0,48.0,69.0,109.0,102.0,38.0,64.0,17.0,17.0,1.0,5.0,0.92,17.0,17.0,1.0,0.0
m_fstab.f90,8.0,8.0,1.0,91.0,17.0,55.0,21.0,5.0,1.0,1.0,5.0,731.0,131.0,317.0,140.0,176.0,305.0,284.0,103.0,181.0,22.0,22.0,1.0,5.0,0.96,44.0,43.0,5.0,0.0
laplacian.f90,20.0,20.0,1.0,160.0,20.0,115.0,28.0,1.0,0.0,1.0,1.0,217.0,23.0,117.0,34.0,82.0,82.0,104.0,26.0,78.0,20.0,20.0,1.0,6.0,0.7,20.0,20.0,1.0,0.0
mkffnl.f90,118.0,118.0,1.0,511.0,34.0,387.0,98.0,1.0,0.0,1.0,1.0,663.0,37.0,389.0,70.0,318.0,247.0,365.0,29.0,336.0,118.0,118.0,1.0,11.0,0.63,118.0,118.0,1.0,1.0
m_rf2.f90,8.0,7.0,1.0,67.0,11.0,44.0,14.0,6.0,1.0,1.0,5.0,711.0,108.0,293.0,108.0,184.0,337.0,280.0,89.0,191.0,23.0,23.0,4.0,4.0,1.15,52.0,43.0,8.0,1.0
pawdenpot.f90,80.0,80.0,0.0,447.0,46.0,355.0,59.0,2.0,0.0,1.0,1.0,993.0,96.0,712.0,131.0,580.0,213.0,635.0,56.0,579.0,160.0,160.0,1.0,7.0,0.3,160.0,160.0,1.0,1.0
pawmkrho.f90,6.0,6.0,0.0,80.0,10.0,59.0,12.0,2.0,0.0,1.0,1.0,249.0,24.0,121.0,55.0,65.0,110.0,95.0,41.0,54.0,13.0,13.0,1.0,2.0,0.91,13.0,13.0,1.0,1.0
m_hdr.f90,10.0,10.0,3.0,109.0,17.0,73.0,19.0,33.0,1.0,1.0,33.0,4715.0,688.0,2513.0,549.0,1519.0,1572.0,1836.0,334.0,1502.0,133.0,133.0,23.0,4.0,0.63,362.0,343.0,100.0,1.0
respfn.f90,95.0,95.0,0.0,842.0,97.0,634.0,121.0,2.0,0.0,1.0,1.0,1795.0,198.0,1271.0,366.0,896.0,350.0,980.0,131.0,849.0,190.0,190.0,1.0,10.0,0.28,190.0,190.0,1.0,1.0
m_gruneisen.f90,7.0,7.0,2.0,107.0,17.0,69.0,22.0,6.0,1.0,1.0,6.0,928.0,146.0,459.0,173.0,202.0,345.0,315.0,118.0,197.0,11.0,11.0,6.0,3.0,0.75,44.0,44.0,13.0,1.0
dfptnl_doutput.f90,4.0,4.0,0.0,45.0,13.0,25.0,7.0,2.0,0.0,1.0,1.0,134.0,30.0,52.0,15.0,36.0,55.0,44.0,14.0,30.0,8.0,8.0,1.0,7.0,1.06,8.0,8.0,1.0,1.0
dfpt_rhofermi.f90,11.0,11.0,0.0,115.0,14.0,81.0,21.0,6.0,0.0,1.0,1.0,825.0,89.0,488.0,172.0,315.0,256.0,416.0,97.0,319.0,69.0,69.0,4.0,6.0,0.52,69.0,69.0,4.0,1.0
anaddb.f90,70.0,70.0,1.0,852.0,158.0,512.0,199.0,1.0,0.0,1.0,1.0,896.0,161.0,514.0,99.0,372.0,240.0,420.0,64.0,356.0,70.0,70.0,1.0,6.0,0.47,70.0,70.0,1.0,1.0
fock_getghc.f90,22.0,22.0,2.0,213.0,25.0,145.0,47.0,3.0,0.0,1.0,1.0,688.0,80.0,437.0,123.0,311.0,186.0,374.0,52.0,322.0,66.0,66.0,6.0,8.0,0.43,66.0,66.0,6.0,1.0
nonlop_test.f90,34.0,34.0,2.0,182.0,18.0,145.0,19.0,2.0,0.0,1.0,1.0,433.0,40.0,292.0,75.0,216.0,105.0,312.0,42.0,270.0,69.0,69.0,5.0,5.0,0.36,69.0,69.0,5.0,1.0
