Document Title,Abstract,Year,PDF Link,label
054bd87,Modify the *.ac files,2018,,
c9cb61b,init abinit 8.1.2,2018,,
ede88c4,Update reference files going from cronos_gcc46_paral to cronos_gnu_5.3.-paral modified:   tdfpt_03_MPI24.out modified:   tdfpt_04_MPI24.out,2018,,
355494d,Update Tabirules#05  for abiref_gnu_5.3_debug modified:   t05.out,2018,,
8d22dec,Try to fix the problem with Tbuildsys#40 (/bin/sh: configure: command not found) modified:   check-libpaw.py,2018,,
407cb00,This should bypass the last problem with abiref_gnu_5.3_debug modified:   KNOWN_PROBLEMS modified:   abichecks/buildsys/tests.cnf,2018,,
7efc80a,Modify testfarm.conf  from Jean-Michel  new version for the test farm under gitlab,2018,,
e2fe7b1,This modif should suppress the warning messages for Tbuildsys#40 modified:   config/specs/testfarm.conf,2018,,
c837f94,Make diag_moldyn.py compatible with Abinit8 and HIST.nc files,2018,,
b937dda,Update two reference files for Tbuildsys#13 modified:   ubu_gnu_4.9_mpich.ac modified:   ubu_intel_15.0_mpich.ac,2018,,
350915a,Clean the reference abichecks/buildsys/Refs deleted:    abiref_intel_15.0_mpich.ac deleted:    bb_amd-gfortran4.6_cronos.ac deleted:    bb_amd-gfortran4.6_max2.ac deleted:    bb_amd-open64_max2.ac deleted:    bb_intel-g95_yquem.ac deleted:    bb_intel-gfortran4.6_petrus.ac deleted:    bb_intel-gfortran4.6_toum_openmp.ac deleted:    bb_intel-gfortran4.7_mpich3_yquem.ac deleted:    bb_intel-gfortran4.7_shiva_distchk.ac deleted:    bb_intel-gfortran4.7_yquem.ac deleted:    bb_intel-gfortran4.7_yquem_openmp.ac deleted:    bb_intel-gfortran4.8_bigmac_macports.ac deleted:    bb_intel-gfortran4.8_ktulu.ac deleted:    bb_intel-gfortran4.8_yquem.ac deleted:    bb_intel-gfortran4.9_supermac.ac deleted:    bb_intel-intel15_yquem.ac deleted:    bb_intel-intel15_yquem_sernofb.ac deleted:    bb_intel-nag_petrus.ac deleted:    bb_intel-nag_petrus_serial.ac deleted:    bb_power6-xlf_ibm6.ac deleted:    bb_xeon-gcc49_tikal.ac deleted:    bb_xeon-gcc49_tikal_cov.ac deleted:    bb_xeon-gfortran4.7_buda_cuda.ac deleted:    bb_xeon-gfortran4.7_testf.ac deleted:    bb_xeon-gfortran4.7_testf_woMPI.ac deleted:    bb_xeon-intel12_green_prod.ac deleted:    bb_xeon-intel12_tikal_serial.ac deleted:    bb_xeon-intel13_coba2.ac deleted:    bb_xeon-intel13i_coba2.ac deleted:    bb_xeon-intel14_buda.ac deleted:    bb_xeon-psc_tikal.ac deleted:    bob_gnu_5.3_openmpi.ac deleted:    bob_intel_15.0_mpich.ac deleted:    inca_gnu_4.9_debug.ac deleted:    ubu_gnu_4.8_serial.ac deleted:    ubu_gnu_4.9_debug.ac deleted:    ubu_gnu_4.9_openmpi.ac,2018,,
e9da0aa,Add the missing new references for Tbuildsys#13 new file:   abiref_gnu_5.3_debug.ac new file:   abiref_nag_6.1_openmpi.ac new file:   bob_gnu_5.3_openmp.ac new file:   buda_gnu_4.7_cuda.ac new file:   buda_intel_14.0_mpich.ac new file:   coba2_intel_13.1_openmpi.ac new file:   cronos_gnu_4.6_paral.ac new file:   cronos_gnu_5.3_paral.ac new file:   graphene_gnu_4.9_macports.ac new file:   ibm6_ibm_14.1_poe.ac new file:   inca_gnu_4.9_mpich.ac new file:   max2_gnu_5.3_dep.ac new file:   max2_gnu_5.3_mpich.ac new file:   petrus_nag_5.3_openmpi.ac new file:   testf_gnu_6.1_fb.ac new file:   tikal_gnu_4.9_cov.ac new file:   tikal_gnu_4.9_mpich.ac new file:   tikal_intel_15.0_serial.ac new file:   ubu_gnu_4.9_packages.ac new file:   ubu_intel_13.1_openmpi.ac new file:   ubu_intel_15.0_dfti.ac new file:   ubu_intel_16.0_mpich.ac,2018,,
54672da,Reenable Tbuildsys#13 modified:   KNOWN_PROBLEMS modified:   abichecks/buildsys/tests.cnf,2018,,
1a405b0,Merge remote-tracking branch 'merge/master' into docs,2018,,
c7ab763,Suppress comments that applied to Tv1#10-20  and not to Tv1#09 modified:   t09.in,2018,,
6e0666f,Merge branch 'docs' into 'master',2018,,
bcd5172,Merge branch 'master' into 'master',2018,,
1cab66c,Declare to be on v8.1.3 modified:   KNOWN_PROBLEMS,2018,,
abfa23b,Minor modif  to initialize v8.1.3 modified:   KNOWN_PROBLEMS,2018,,
1e779db,Initialize v8.9.0,2018,,
72bf30f,Initialize v8.9.3,2018,,
4f4f861,Merge remote-tracking branch 'trunk/develop' into develop,2018,,
85d6271,Merge remote-tracking branch 'trunk/develop' into develop,2018,,
485c3cf,Merge remote-tracking branch 'trunk/develop' into develop,2018,,
b8521cf,wfd_mkrho and nspinor==2,2018,,
a541cb5,Merge branch 'develop' of gitlab.abinit.org:trunk/abinit into gwsoc,2018,,
e669ac3,fix of xc magnetic field for non-collinear case,2018,,
9e68517,merge confliscts,2018,,
fbece6b,Activate nspinor=2 sections,2018,,
184711b,Fix wrong index in calc_sigx_me,2018,,
2b8f674,to test with phonons,2018,,
6497f15,Fixed spelling error in MSRQ output,2018,,
b49d64a,Fixed spelling errors in error statement when nddb =1,2018,,
4a51b2c,Added error message when nddb > number of ddb files input by user.,2018,,
66f57ff,Cleanup,2018,,
abcacb1,Working on vc singularity,2018,,
b42fea1,Add treatmento of heads and wings if nspino==2,2018,,
c424ab6,Remove DEV_USE_OLDRHOTWG blocks from GW routines,2018,,
cdf85b5,Test for HF with SOC,2018,,
00d4329,Use abiref ref,2018,,
6f81be2,gwpara = 2 in sigma with nspinor =2,2018,,
0e299d1,This should fix the SIGSEV under ifort,2018,,
5b45d5b,Add datasets with/wo SOC,2018,,
cf4ae74,Routine to compute SOC perturbatively,2018,,
cbd4016,Treat q-->0 limit in chi0 if nspinor==2,2018,,
c0660f8,Merge branch 'use_inversion' into gwsoc,2018,,
6a34b78,Update GW ref file after use_inversion merge,2018,,
9be00af,Code cleanup,2018,,
41de37b,Yet another bug in abilint,2018,,
da90d34,Add test with CD and nspinor=2,2018,,
3ef4e72,Use abiref output,2018,,
081ff33,Remove debug code,2018,,
8d2b588,Remove obsolete code,2018,,
f0b65ec,Add support for nspden = 1 and nspinor = 2 in GW code,2018,,
