,Document Title,Abstract,time,label
0,80cc11556,fixed bug in lattice.py  added unit test to check behavior,1539141359.070361,1
1,22b12c69b,fixed bug in constraint_ellipsoid updater context -> hoomd.context,1539141357.598768,1
2,da47e6f18,fixed bug in constraint_ellipsoid updater context -> hoomd.context,1539141356.122602,1
3,7df997c24,Fixed bug in group.rigid()/group.nonrigid() python interface,1539141354.018545,1
4,713e552b5,Fixed a bug in mass license editing (should be fixup'd into previous commit),1539141352.348882,1
5,6d003bdb3,Add unit test and bug fixes for adding new particle types,1539141350.882324,1
6,9dd294709,Fixed display bug in GPU info message,1539141349.0627189,1
7,d62269182,Add balanced domain decomposition to python module and assorted bug fixes,1539141347.6132789,1
8,b1b25a0d7,Fixed bug in group.rigid()/group.nonrigid() python interface,1539141345.0303118,1
9,87824a338,Fixed bug (group communication not working with MPI_CUDA),1539141337.516098,1
10,694731543,Use the latest upp11 with bug fixes,1539141335.927412,1
11,0fef4ad99,Fixed a bug for DEM geometry accounting of single-face shapes,1539141334.192589,1
12,20d252c2d,regular 2D diffusion added  and fixed a bug with active force magnitude being counted twice,1539141332.808904,1
13,19086ecbe,fixed bug in MSD analyzer for MPI runs,1539141331.025955,1
14,26e19fbb1,Fixed bug in MPI simulations: ghost fields not communicated correctly for bonds,1539141329.471159,1
15,0803f6741,Fixed a bug in dem.utils.convexHull for large shapes,1539141327.97995,1
16,a1d9948e8,Fixed bug where garbage collector doesn't clean up all objects in MPI NVT simulations,1539141326.401875,1
17,12370dafe,Fixed bug with triclinic+MPI: cell list was not correctly padded,1539141325.04105,1
18,68191d505,Fixed bug - ParticleData::setPosition() not working correctly,1539141323.4375288,1
19,c75b792e9,Fixed bug: triclinic not working correctly with MPI,1539141314.276402,1
20,6c9b31928,Fixed bug (2D pressure tensor calculation wrong),1539141285.963933,1
21,7026ba99e,Fixed NVTMTKGPU running part of step one twice (merge bug),1539141284.6787698,1
22,32f5f39b5,Fixed a bug where integrate.brownian gave the same x y  and z velocity components,1539141283.300492,1
23,3dff74255,Fixed a bug where integrate.brownian gave the same x y  and z velocity components,1539141281.993985,1
24,65f1b3295,Fixed bug in bond force creation for bond.fene in MPI,1539141280.6994169,1
25,bfca2253a,Fixed bug in moving groups and forgotten return statement,1539141278.619838,1
26,1168cb03a,Misc. bug fixes for balanced DD and load balancer,1539141276.650298,1
27,01db597cd,Fixed double-sorting of angular momenta on CPU (merge bug),1539141271.7710109,1
28,819eb5fb6,Fixed potential performance bug on kepler,1539141270.363264,1
29,f878327e2,Fixed bug (pair force equals zero for external potential plugins on Fermi),1539141261.825083,1
30,b5a4490b3,Fixed bug in Communicator: do not update ghosts after sorting particles,1539141260.41539,1
31,f5dfaa1e4,Fixed a bug where calling `restore_snapshot()` during a run zeroed potential parameters.,1539141259.019568,1
32,ffef00730,Fixed bug in nlist: clear exclusions at the beginning,1539141251.1977448,1
33,abae7ac1c,Some style fixes  fixed bug for pure spheres as spheropolyhedra,1539141249.8882802,1
34,a1691eb14,Fixed (last?) bug in moving bonded groups,1539141246.9354289,1
35,2aeded220,Fixed bug in moving bonded groups,1539141245.419473,1
36,4a1669ceb,small bug where tuner would not change all tunables,1539141243.740889,1
37,ceb63347f,small bug where tuner would not change all tunables,1539141233.632457,1
38,42fdac37a,Fixed bug - virial computed in pair force even if it shouldn't,1539141231.774785,1
39,d1a2bb391,Fixed bug introduced by change to pybind,1539141230.302313,1
40,8c9999d19,Fixed bug in distance check,1539141228.832319,1
41,600f3639b,Fixed bug with data access API and MPI,1539141227.695099,1
42,ce4de0866,Fixed bug in drift subtraction (must account for particle mass).,1539141226.372233,1
43,2b06a41b0,Merge in bug fixes from nlist_asymm,1539141224.988502,1
44,dea6f3318,further tweaks trying to find bug,1539141223.5051448,1
45,f00469c1b,Bug fixes for multiple threads and autotuned launcher,1539141221.9514391,1
46,b60247a0c,fixed bug in lattice.py,1539141220.285248,1
47,b831852f4,Fixed bug in partition handling,1539141214.190176,1
48,cd7d6069d,Tentatively fixed bug in PotentialPairGPU with overlapping pair force computation,1539141212.360136,1
49,52088d51e,Fix SFC sorter (angular momenta and moments of inertia not correctly updated),1539141208.373616,1
50,9c8c47d5b,fixed small bug,1539141206.7785811,1
51,a2527e465,Fixed small bug in HOOMDBinaryInitializer,1539141205.398408,1
52,8e2ddf1af,Merge branch 'fix-mpcd-compile' into mpcd-comm-opt,1539141195.6274161,1
53,7ce7400d5,refactor JIT & really fix LLVM linking on flux,1539141181.412231,1
54,aec4078dd,Fixed bug in PotentialPairGPU,1539141178.4307039,1
55,da5140f60,Fixed bug in replication of molcules,1539141177.030098,1
56,0cf413279,fix readin double conversion  double to Scalar,1539141174.334574,1
57,c5aa2dbf0,Fix failing test_buckingham_value. Remove derelict comments in test_buckingham_value,1539141172.24662,1
58,f0136acfe,Merge branch 'fix-mpcd-compile' into mpcd-serial-opt,1539141168.584719,1
