,hash,message,time,buggy
0,1a0943c,Added exception test for units.py (part of #597),1538151825.405991,1
1,e3a6bf5,document (and test) setting DX array type (#1725),1538151744.8491971,1
2,46cc08f,Enable more pylint warnings (#1302),1538151724.209116,1
3,9085e7b,run pylint on python 3.6 (#1589),1538151682.298048,1
4,82e100e,The NamedStream class now has the required __fspath__ method (#1504),1538151562.240815,1
5,2734036.0,resolved conflicts when merging PR #388,1538151537.698213,1
6,2c47978,Changed dt to include step in Universe.transfer_to_memory() (#1321),1538151533.519098,1
7,ea608e8,Make topology pass tests in python 3 (#1436),1538151445.076559,1
8,ff7f4d9,Refs #1731 resolve conflicts,1538151361.1994019,1
9,134199e,fixup DCD sphinx error,1538151281.285813,1
10,412584c,Tests can now detect memleaks on a test-by-test basis (closes #323),1538151274.179493,1
11,19ea07b,Added 'global' selction keyword (closes #268) and deprecation warning for 'fullgroup'.,1538151243.9327881,1
12,18aefe2,Removed AtomGroup.ts caching (closes #606).,1538151242.26623,1
13,185a084,Closes Issues #306 and #307,1538151216.620941,1
14,1bf2db0,netCDF tests now skipped if library missing (closes #124),1538151212.909825,1
15,c27ace3,Port topology module (#1420),1538151181.273188,1
16,a21bf73,PBC Amber test cases - PBC Amber trajectory (provided by Ranjit Vijayan) - various fixes to bugs uncovered by testcases - added functionality to the FORTRANReader class - more Amber formatted TRJ tests - example conversion Amber -> DCD,1538151165.6065302,1
17,a65643a,Garbage collection of universes before AtomGroup unpickling (closes #487),1538151149.6272779,1
18,01bd066,Port coordinates module (#1414),1538151139.334276,1
19,319e53c,Summary: patch to resolve issue 43--whitespace is no longer required around the parentheses in selectAtoms strings. In module MDAnalysis/core/Selection.py and class SelectionParser  the method parse(self selectstr) now adds bounding whitespace around the input string so the parser can handle a lack of whitespace. Method __consume_token(self) in the same class has also been streamlined to incorporate the built-in pop() method rather than the more verbose alternative in place. The changes pass the unit test introduced in r456 and the enhancement has been added to the CHANGELOG.,1538151132.447825,1
20,86273c6,Small fixes/changes:  - Added future division and six.range to test_psa.py  - Separated pairs analysis (_run_pairs_analysis) from _run  moved plotting before  - Adding a couple distance matrix checks to PSAnalysis methods  - PSAnalysis.cluster now uses generated distance matrix D by default    and checks for proper dist matrix format if dist_mat kwarg is specified  - updated docstring for PSAnalysis.cluster,1538151129.827639,1
21,1177725,Completed CHANGELOG update for recent ten2eleven changes. Fixes #470.,1538151128.383481,1
22,49177fd,TST: Added MDAnalysisTests to the asv dependency matrix along with the appropriate conda channel. When combined with modifications to our fork for asv this fixes #1577. (#1580),1538151105.2232661,1
23,2c5c85f,dcd-to-xtc conversion working - added example script dcd2xtc.py - hacked a few fixes into the xdr writer to substitute missing parameters   (maybe need to do something similar of dcd writer...) - not well tested,1538151103.09196,1
24,e42c9c2,MDAnalysis now correctly writes float32 data for time and coordinates fields of ncdf files. Fixes #518,1538151066.598921,1
25,f351475,Added tests for topology string types with various formats. Fixes #1336. (#1518),1538151060.379563,1
26,8826b5e,Fixes segid from TPR parser on python 3 (#1521),1538151059.438009,1
27,fa564fe,MANIFEST fixes: add *.c files to distribution  also make sure that the html docs are included  + some cleanup,1538151052.990769,1
28,680fdbd,Patched argument type checking logic in function dist_mat_to_vec()  and corresponding unit test is now more thorough (checks the specific error message string). Fixes #1498. (#1500),1538151041.388685,1
29,a2deb06,Added doc/html/ to .gitignore. Fixes #491.,1538151037.168957,1
30,1d9fd02,fixes to distances test so that it runs with deprecated code removed,1538151030.103458,1
31,283c617,TST: Added a test for segid str type in test_str_types(). Fixes #1523. (#1528),1538151027.847379,1
