Document Title,Abstract,Year,PDF Link,label,code,time
c700ab9,Modifs to pass with abiref_nag_6.2_openmpi : modif nstep for libxc#72  prevent testing paral#25&30   fix problem with shape mismatch for mpiio#42.,2018,,,yes,1538066535.47395
436ea4d,Fixed run-time errors caused by the PSML 1.0 -> 1.1 API change,2018,,,yes,1538066531.77292
e99b0e2,Fixed run-time errors caused by the PSML 1.0 -> 1.1 API change,2018,,,yes,1538066530.028632
3dc7c9c,Corrected argument declarations in thmeig.,2018,,,yes,1538066475.441621
ecc438f,kinetic energy bug for rfmagn resolved,2018,,,yes,1538066468.783602
9991c6e,Post-merge correction,2018,,,yes,1538066463.316148
0165f0e,Fix problems in binaries.conf   also update files for v8.3.3,2018,,,yes,1538066450.713302
e248927,Capture incorrect topic and tribe in input variables. Also minor style correction .,2018,,,yes,1538066443.484989
9637b5a,Forgot the ABI_DEALLOCATEs and Robodoc messed up. Hopefully  this is fixed now.,2018,,,yes,1538066418.282344
26cb900,Fix silly mistake  due to incomplete use of grchempottn  liked with gradual implementation of its use.,2018,,,yes,1538066407.930369
898720a,debug mpi scatter,2018,,,yes,1538066402.978442
fca7389,Bug when paral_kgb 1 for NC : enl is incomplete,2018,,,yes,1538066394.774056
db159c9,fix cut3d atomic charges and spinat direction for v5/16,2018,,,yes,1538066379.314322
c56c3ca,Fix 'Character length of actual argument shorter than of dummy argument',2018,,,yes,1538066366.86857
1bfd83a,This to avoid a bug in xmpi_sum_master with mpich3-3.1.3 that triggers SIGFPE,2018,,,yes,1538066358.195573
0fe1e8c,Fix 'Same actual argument associated with INTENT' like in v8.7,2018,,,yes,1538066354.79731
73028a8,fixed dimension of 1st order potential,2018,,,yes,1538066304.189966
2425c7d,Correction of pawmkrho call for bigdft,2018,,,yes,1538066299.804188
85b095a,Fixed some conflict with the trunk.,2018,,,yes,1538066296.963578
918d4ff,Fixed argument declaration in v1r_long_range.,2018,,,yes,1538066284.790066
407d48d,Fixed some conflict with the trunk.,2018,,,yes,1538066280.876661
efc8822,Correct the order of pseudopotentials in input files for v8#30 and 31,2018,,,yes,1538066277.906774
6538e2f,Fixed reading 3rd order derivatives.,2018,,,yes,1538066275.189251
