Document Title,Abstract,Year,PDF Link,label,code,time
566effc,account for new fix halt properly in PDF and online docs,2018,,,yes,1538163127.740845
9e85b31,molecule maxspecial value corrected when specials autogenerated,2018,,,yes,1538163125.587568
d1356c1,Made ndof dynamic for temperature fixes and computes,2018,,,yes,1538163124.390034
1dc78a7,USER-DPD: correct off-by-one errors in PairMultiLucyRX::coeff(),2018,,,yes,1538163119.933109
7a593c2,USER-DPD: correct off-by-one errors in PairTableRX::coeff(),2018,,,yes,1538163118.886684
2988508,correct indexing bug in pair style lj/long/tip4p/long,2018,,,yes,1538163117.019333
2988508.0,correct indexing bug in pair style lj/long/tip4p/long,2018,,,yes,1538163115.624015
230b29e,correct accelerator flags for dpd styles in pair style overview,2018,,,yes,1538163084.670633
06c8e95,corrected the fix_neb documentation,2018,,,yes,1538163083.155001
b418b46,USER-DPD: bugfix for an array that changed length in the non-kokkos version.,2018,,,yes,1538163081.793616
0cd3f0c,USER-DPD: bugfix for npair_half_bin_newton_ssa when bonds are involved. Only locals have valid special[] arrays  so when finding neighbors of ghosts  we have to swap the arguments to find_special().,2018,,,yes,1538163052.371611
fed629c,USER-DPD: Bugfix for fix_rx and fix_eos_table_rx to handle restart files. Patch by Jim Larentzos.  Applied by Tim Mattox.,2018,,,yes,1538163051.315081
559637f,USER-DPD Bugfix: reset_dt() is not called when I thought it should be called. Move the calculation of dtsqrt inside FixShardlow::initial_integrate(),2018,,,yes,1538163049.396158
cf26690,Corrected formula for case lx != ly,2018,,,yes,1538163048.24388
d635742,propagate global package installation bugfix to explicit package scripts,2018,,,yes,1538163034.145782
4921dc1,bugfix for virial tally for improper style umbrella from Steven Vandenbrande (U Gent),2018,,,yes,1538163030.870491
09544d0,bugfix for compute pressure/grem: must make a copy of argument strings,2018,,,yes,1538163029.755388
e104585,incorporate bugfix and cleanup from lammps-icms and upstream,2018,,,yes,1538163028.638951
887981c,bugfix for virial tally for improper style umbrella from Steven Vandenbrande (U Gent),2018,,,yes,1538163026.863206
4958e11,USER-DPD bugfix: Properly initialize the local temperature averaging array.,2018,,,yes,1538163018.826654
495800000000000.0,USER-DPD bugfix: Properly initialize the local temperature averaging array.,2018,,,yes,1538163017.776126
e530ba4,cleanup and bugfix for compute heat/flux/tally,2018,,,yes,1538163008.158918
26d22a4,restrain energy must be incremented. bugfix from robert meissner posted to lammps-users,2018,,,yes,1538163004.744329
ef079ae,bugfix for AngleAngle term in CLASS2 impropers by Ivan A. Strelnikov  ICP RAS,2018,,,yes,1538162994.693132
83bcdb6,bugfix for AngleAngle term in CLASS2 impropers by Ivan A. Strelnikov  ICP RAS,2018,,,yes,1538162993.724107
268e855,USER-DPD Kokkos: bugfix for the rare case were the SSA ghost processing has more parallelism than for the locals.,2018,,,yes,1538162988.596568
a68f3a9,USER-DPD Kokkos: bugfix  add a misisng line of code in pair_exp6_rx_kokkos.cpp,2018,,,yes,1538162987.408311
9a560b9,USER-DPD bugfix: make atom_vec_dpd work properly with atom_vec_hybrid. We were sending too much data during pack_comm_hybrid/unpack_comm_hybrid.,2018,,,yes,1538162986.243224
b2c8c40,reaxff corrected bond order bugfix from Tomáš Trnka trnka@scm.com posted on lammps-users,2018,,,yes,1538162973.302123
87a5a35,A tiny bugfix for the reset flag  and a brief explanation of the changes,2018,,,yes,1538162971.910485
937cf0b,Bugfix: Kronecker term ignored in spline forces.,2018,,,yes,1538162970.901914
a1036f2,USER-DPD: bugfix for new PairExp6rx::polynomialScaling() function.,2018,,,yes,1538162969.839623
01609f5,USER-DPD: bugfix for a segfault when using MOLECULE and DPD together.,2018,,,yes,1538162965.706761
d31121b,USER-DPD: bugfix in unpack_comm_hybrid()  now works with hybrid atom style,2018,,,yes,1538162964.764053
