Document Title,Abstract,Year,PDF Link,label,code,time
d1ef3ed,Enable EpetraMatrix transposes.  adjoint solves should work now  but I see mixed test results.,2018,,,yes,1538858496.18511
7fbd987,submitted contributed patches for MeshCommunication::broadcast() and the Xdr class,2018,,,yes,1538858430.348485
97ceeb8,improved the Parameters class,2018,,,yes,1538858407.914382
27678be,System::calculate_norm() now works with mixed-dimension meshes,2018,,,yes,1538858405.923354
6573551.0,Modifications have been made to correct behavior of h-adaptivity with higher order SZABAB and BERNSTEIN:,2018,,,yes,1538858399.612851
3736db6,latest patches.  Thanks  Martin,2018,,,yes,1538858374.989951
9606825,Avoid erroneous assert() in METHOD=devel,2018,,,yes,1538857556.223306
e1234b5,Fixup inadvertent whitespace change,2018,,,yes,1538857424.01036
caf29dc,fixup examples to try not to use the global comm,2018,,,yes,1538857422.465118
58ca137,fixup dtk with new communicators,2018,,,yes,1538857360.108202
a1b187d,fixup ML detection,2018,,,yes,1538857358.183368
6d87d35,Fixup CheckpointIO again to make it work properly for serial,2018,,,yes,1538857356.301653
3770f87,For char and unsigned char parameters  convert to int before printing to avoid displaying unprintable characters.,2018,,,yes,1538857354.690438
6c0a1ea,avoid vec.clear() not reducing memory usage,2018,,,yes,1538857348.192836
87db081,Fixup receive_packed_range call,2018,,,yes,1538857345.604885
316295.0,Hackish workaround for petsc.m4 vs trilinos conflict,2018,,,yes,1538857312.870223
c439a31,Fixup dof indices test,2018,,,yes,1538857285.114696
12d6bcf,fixup an unintended full localization of the solution vector during projection,2018,,,yes,1538857148.543586
4f22896,Bugfixes  robustness & accuracy improvements to compute_numerical_jacobian,2018,,,yes,1538857144.019255
874c52c,Bugfixes for heterogenous constraints refactor,2018,,,yes,1538857134.105227
b79fe8f,Use cheapest PatchRecovery compatible patch extension method by default,2018,,,yes,1538857132.435969
9dbf061,Fixing memory leak when merging existing parameters,2018,,,yes,1538857130.136045
58c65ca,Fixing peroidic boundary conditions for selected variables,2018,,,yes,1538857128.566662
137ef48,Patch from myself and Vikram Garg adding support for DiffContext localization of arbitrary system vectors,2018,,,yes,1538857126.468125
5364.0,Massive whitespace-only patch.,2018,,,yes,1538857124.926335
ea0ad0b,New patch growth options  shorter matsize calculation,2018,,,yes,1538857122.747313
06d2a9c,More bugfixes in ProjectFEMSolution. Thanks to Roy for privately pointing out the context.side issue.,2018,,,yes,1538857120.657378
185360000.0,ExodusII_IO/Nemesis_IO patch for zero IDs,2018,,,yes,1538857118.979346
61f5cbf,Adding semilocal-only Patch construction options,2018,,,yes,1538857113.76882
2ae531f,Patch from Boyce Griffith to enable more flexible FE reinit options,2018,,,yes,1538857093.121843
