Document Title,Abstract,Year,PDF Link,label,code,time
1a0943c,Added exception test for units.py (part of #597),2018,,,yes,1538151825.405991
e3a6bf5,document (and test) setting DX array type (#1725),2018,,,yes,1538151744.849197
46cc08f,Enable more pylint warnings (#1302),2018,,,yes,1538151724.209116
9085e7b,run pylint on python 3.6 (#1589),2018,,,yes,1538151682.298048
82e100e,The NamedStream class now has the required __fspath__ method (#1504),2018,,,yes,1538151562.240815
2734036.0,resolved conflicts when merging PR #388,2018,,,yes,1538151537.698213
2c47978,Changed dt to include step in Universe.transfer_to_memory() (#1321),2018,,,yes,1538151533.519098
ea608e8,Make topology pass tests in python 3 (#1436),2018,,,yes,1538151445.076559
ff7f4d9,Refs #1731 resolve conflicts,2018,,,yes,1538151361.199402
134199e,fixup DCD sphinx error,2018,,,yes,1538151281.285813
412584c,Tests can now detect memleaks on a test-by-test basis (closes #323),2018,,,yes,1538151274.179493
19ea07b,Added 'global' selction keyword (closes #268) and deprecation warning for 'fullgroup'.,2018,,,yes,1538151243.932788
18aefe2,Removed AtomGroup.ts caching (closes #606).,2018,,,yes,1538151242.26623
185a084,Closes Issues #306 and #307,2018,,,yes,1538151216.620941
1bf2db0,netCDF tests now skipped if library missing (closes #124),2018,,,yes,1538151212.909825
c27ace3,Port topology module (#1420),2018,,,yes,1538151181.273188
a21bf73,PBC Amber test cases - PBC Amber trajectory (provided by Ranjit Vijayan) - various fixes to bugs uncovered by testcases - added functionality to the FORTRANReader class - more Amber formatted TRJ tests - example conversion Amber -> DCD,2018,,,yes,1538151165.60653
a65643a,Garbage collection of universes before AtomGroup unpickling (closes #487),2018,,,yes,1538151149.627278
01bd066,Port coordinates module (#1414),2018,,,yes,1538151139.334276
319e53c,Summary: patch to resolve issue 43--whitespace is no longer required around the parentheses in selectAtoms strings. In module MDAnalysis/core/Selection.py and class SelectionParser  the method parse(self selectstr) now adds bounding whitespace around the input string so the parser can handle a lack of whitespace. Method __consume_token(self) in the same class has also been streamlined to incorporate the built-in pop() method rather than the more verbose alternative in place. The changes pass the unit test introduced in r456 and the enhancement has been added to the CHANGELOG.,2018,,,yes,1538151132.447825
86273c6,Small fixes/changes:  - Added future division and six.range to test_psa.py  - Separated pairs analysis (_run_pairs_analysis) from _run  moved plotting before  - Adding a couple distance matrix checks to PSAnalysis methods  - PSAnalysis.cluster now uses generated distance matrix D by default    and checks for proper dist matrix format if dist_mat kwarg is specified  - updated docstring for PSAnalysis.cluster,2018,,,yes,1538151129.827639
1177725,Completed CHANGELOG update for recent ten2eleven changes. Fixes #470.,2018,,,yes,1538151128.383481
49177fd,TST: Added MDAnalysisTests to the asv dependency matrix along with the appropriate conda channel. When combined with modifications to our fork for asv this fixes #1577. (#1580),2018,,,yes,1538151105.223266
2c5c85f,dcd-to-xtc conversion working - added example script dcd2xtc.py - hacked a few fixes into the xdr writer to substitute missing parameters   (maybe need to do something similar of dcd writer...) - not well tested,2018,,,yes,1538151103.09196
e42c9c2,MDAnalysis now correctly writes float32 data for time and coordinates fields of ncdf files. Fixes #518,2018,,,yes,1538151066.598921
f351475,Added tests for topology string types with various formats. Fixes #1336. (#1518),2018,,,yes,1538151060.379563
8826b5e,Fixes segid from TPR parser on python 3 (#1521),2018,,,yes,1538151059.438009
fa564fe,MANIFEST fixes: add *.c files to distribution  also make sure that the html docs are included  + some cleanup,2018,,,yes,1538151052.990769
680fdbd,Patched argument type checking logic in function dist_mat_to_vec()  and corresponding unit test is now more thorough (checks the specific error message string). Fixes #1498. (#1500),2018,,,yes,1538151041.388685
a2deb06,Added doc/html/ to .gitignore. Fixes #491.,2018,,,yes,1538151037.168957
1d9fd02,fixes to distances test so that it runs with deprecated code removed,2018,,,yes,1538151030.103458
283c617,TST: Added a test for segid str type in test_str_types(). Fixes #1523. (#1528),2018,,,yes,1538151027.847379
07a1f30,fixes DCD writer: wrote wrong unitcell,2018,,,yes,1538151016.294168
fd50fb7,Fixes for TRZWriter when handling non TRZ Timestep,2018,,,yes,1538151012.097164
894f85e,LeafletFinder: removed deprecated atoms() method and some reST fixes,2018,,,yes,1538151007.335481
543853e,Fixes hyperlinks to external resources in docs for MDAnalysis.coordinates.PQR (#1836),2018,,,yes,1538151003.187055
ab5e9e1,release 0.7.4 (fixes  enhancements and data files moved into separate package MDAnalysisTestData-0.7.4),2018,,,yes,1538150990.58175
d4bc077,Fixes #434: trying to write empty AtomGroup gives clear message.,2018,,,yes,1538150987.42205
566f3ee,Added the 'same ... as' selection keyword (Fixes #217),2018,,,yes,1538150977.181837
f2a497b,release 0.7.3 (fixes and enhancements and removal of dependency on LAPACK),2018,,,yes,1538150962.921705
1a318b5,minor reST fixes in doc (more to do... volunteers  anyone?),2018,,,yes,1538150954.131675
3e02ee9,Added the 'same ... as' selection keyword (Fixes #217),2018,,,yes,1538150953.135569
bb193df,added improper() with test case  more reST fixes,2018,,,yes,1538150951.492628
7de22de,reST fixes in analysis.density,2018,,,yes,1538150944.456261
e799580,HOLE: fixes that CPOINT was ignored,2018,,,yes,1538150943.469336
394b789,Moved ten2eleven fixes to inside package,2018,,,yes,1538150942.072064
0f2d36e,hbond analysis: fixes and new feature: start:stop:step,2018,,,yes,1538150939.626399
318ec85,fixes rms.RMSD: selections are now applied to atomgroup itself,2018,,,yes,1538150938.324184
5d67a2b,single frame reader fixes,2018,,,yes,1538150937.36039
cf97976,Fixes incompatibility of LeafletFinder with newer numpys (closes #533),2018,,,yes,1538150936.220081
842210f,UNSTABLE: fixes in HBond (at least now it runs...),2018,,,yes,1538150935.159156
987a412,fixes/enhancements for analysis.align,2018,,,yes,1538150933.820353
acfa56a,reST formatting fixes,2018,,,yes,1538150931.323926
c707706,more reST fixes in analysis.psa,2018,,,yes,1538150924.618272
642a6ce,Nuclinfo test fixes,2018,,,yes,1538150923.479879
a364eef,Fixes to lammps data parser,2018,,,yes,1538150922.425509
7078b8b,HydrogenBondAnalysis checks selections (fixes #296),2018,,,yes,1538150921.022035
9b2817d,reST fixes,2018,,,yes,1538150919.336878
4a3bdd1,reST fixes throughout,2018,,,yes,1538150918.467462
acfdbb3,helanal: fixes and test case,2018,,,yes,1538150917.226826
b76d506,Fixes parallel builds in travis. nose>=1.3.7 now required.,2018,,,yes,1538150915.664457
30b11a0,Fixes nose call that caused coverage misreporting (#341),2018,,,yes,1538150914.7539
c5316bb,Fixes for Lammps data parser,2018,,,yes,1538150913.611587
3e7d847,helanal minor fixes as requested in review of #610,2018,,,yes,1538150906.279419
6220bcd,minor fixes to coordinates code and docs,2018,,,yes,1538150903.421955
83f4b65,Fixes #454,2018,,,yes,1538150900.969813
1d86042,Final fixes,2018,,,yes,1538150900.089793
9091ac9,fixes in libdcd,2018,,,yes,1538150898.991201
ecc3919,more reST fixes,2018,,,yes,1538150895.223633
6479bad,fixes in PrimitivePDBWriter and PrimitivePDBReader,2018,,,yes,1538150884.786527
d84fe09,Minor fixes in PrimitivePDB reader/writer,2018,,,yes,1538150883.545167
178af90,fixes for PDB and GRO writer,2018,,,yes,1538150880.412225
f68f884,duecredit: small fixes,2018,,,yes,1538150874.730109
00952ec,Fixes Issue203,2018,,,yes,1538150873.311174
efd9fc5,Aesthetic fixes to test_gro,2018,,,yes,1538150872.18686
ca45456,Some fixes for TopologyGroup,2018,,,yes,1538150870.795524
df5d7a2,QC fixes,2018,,,yes,1538150867.20767
a193ab8,Fixes Issue193,2018,,,yes,1538150858.581813
696c991,Fixes for 2.6 compat,2018,,,yes,1538150857.476451
d84019f,Fixes to InterRDF,2018,,,yes,1538150856.569979
5bb869e,New ten2eleven.py module to run MDA 0.10 to 0.11 conversions directly on the command line without copying modules elsewhere. New fixes package directory for holding the fixes.,2018,,,yes,1538150855.500272
c074991,-added new test_imports.py module to enforce the ban on relative imports in unit testing modules (Issue #189) -manually repaired unit testing modules caught by above unit testing of import statements,2018,,,yes,1538150842.923676
e58958c,minor fixes for PrimitivePDBWriter,2018,,,yes,1538150827.763582
6c788c6,fixes stochasticproxembed.pyx Cython compilation error,2018,,,yes,1538150816.756837
6ff313f,Frame writer can take a Universe (fixes one half of Issue 49) - added universe attribute to Universe - altered GRO  CRD  and PrimitivePDB writer so that they can   deal with a Universe as argument (just get the coordinates from   the atoms instead of the 'selection' --- no performance penalty    just making use of the improved hierarchy and the fact that   .atoms is now a true AtomGroup) - added test case (passes),2018,,,yes,1538150814.461738
8aa93ba,Velocities may now be accessed from GRO files as AtomGroup.velocities() or Atom.velocity   A velocity unit test was included with this commit to verify that both the AtomGroup and Atom-specific velocity reading functionalities are preserved for GRO files. This implementation uses the ts._velocities attribute. Addresses Issue 102.,2018,,,yes,1538150809.958024
15f4b39,Incorporated new fixer covering part of the changes introduced by Issue#373 -- methods to properties returning an object. Crude test examples also updated.,2018,,,yes,1538150746.779059
1de7eaf,Merge Lukas Grossar's HydrogenBondAnalysis (Issue 103),2018,,,yes,1538150741.50518
7de8cb2,New fixer dealing with torsion to dihedral conversions (Issue#373) involving AtomGroup / atom / universe. Crude examples for testing also added.,2018,,,yes,1538150738.962624
