,hash,message,buggy
0,566effc,account for new fix halt properly in PDF and online docs,1
1,9e85b31,molecule maxspecial value corrected when specials autogenerated,1
2,d1356c1,Made ndof dynamic for temperature fixes and computes,1
3,1dc78a7,USER-DPD: correct off-by-one errors in PairMultiLucyRX::coeff(),1
4,7a593c2,USER-DPD: correct off-by-one errors in PairTableRX::coeff(),1
5,2988508,correct indexing bug in pair style lj/long/tip4p/long,1
6,2988508.0,correct indexing bug in pair style lj/long/tip4p/long,1
7,230b29e,correct accelerator flags for dpd styles in pair style overview,1
8,06c8e95,corrected the fix_neb documentation,1
9,b418b46,USER-DPD: bugfix for an array that changed length in the non-kokkos version.,1
10,0cd3f0c,USER-DPD: bugfix for npair_half_bin_newton_ssa when bonds are involved. Only locals have valid special[] arrays  so when finding neighbors of ghosts  we have to swap the arguments to find_special().,1
11,fed629c,USER-DPD: Bugfix for fix_rx and fix_eos_table_rx to handle restart files. Patch by Jim Larentzos.  Applied by Tim Mattox.,1
12,559637f,USER-DPD Bugfix: reset_dt() is not called when I thought it should be called. Move the calculation of dtsqrt inside FixShardlow::initial_integrate(),1
13,cf26690,Corrected formula for case lx != ly,1
14,d635742,propagate global package installation bugfix to explicit package scripts,1
15,4921dc1,bugfix for virial tally for improper style umbrella from Steven Vandenbrande (U Gent),1
16,09544d0,bugfix for compute pressure/grem: must make a copy of argument strings,1
17,e104585,incorporate bugfix and cleanup from lammps-icms and upstream,1
18,887981c,bugfix for virial tally for improper style umbrella from Steven Vandenbrande (U Gent),1
19,4958e11,USER-DPD bugfix: Properly initialize the local temperature averaging array.,1
20,495800000000000.0,USER-DPD bugfix: Properly initialize the local temperature averaging array.,1
21,e530ba4,cleanup and bugfix for compute heat/flux/tally,1
22,26d22a4,restrain energy must be incremented. bugfix from robert meissner posted to lammps-users,1
23,ef079ae,bugfix for AngleAngle term in CLASS2 impropers by Ivan A. Strelnikov  ICP RAS,1
24,83bcdb6,bugfix for AngleAngle term in CLASS2 impropers by Ivan A. Strelnikov  ICP RAS,1
25,268e855,USER-DPD Kokkos: bugfix for the rare case were the SSA ghost processing has more parallelism than for the locals.,1
26,a68f3a9,USER-DPD Kokkos: bugfix  add a misisng line of code in pair_exp6_rx_kokkos.cpp,1
27,9a560b9,USER-DPD bugfix: make atom_vec_dpd work properly with atom_vec_hybrid. We were sending too much data during pack_comm_hybrid/unpack_comm_hybrid.,1
28,b2c8c40,reaxff corrected bond order bugfix from Tomáš Trnka trnka@scm.com posted on lammps-users,1
29,87a5a35,A tiny bugfix for the reset flag  and a brief explanation of the changes,1
30,937cf0b,Bugfix: Kronecker term ignored in spline forces.,1
31,a1036f2,USER-DPD: bugfix for new PairExp6rx::polynomialScaling() function.,1
32,01609f5,USER-DPD: bugfix for a segfault when using MOLECULE and DPD together.,1
33,d31121b,USER-DPD: bugfix in unpack_comm_hybrid()  now works with hybrid atom style,1
34,8f78157,USER-DPD: aplly unpack_comm_hybrid bugfix d31121b to atom_vec_dpd_kokkos.cpp,1
35,654e09e,correct input examples affected by the Pair::settings() bugfix,1
36,87ea9ba,bugfix for library interface,1
37,982331.0,USER-DPD Kokkos: replicate 7a593c2f bugfix to pair_table_rx_kokkos.cpp,1
38,0982331,USER-DPD Kokkos: replicate 7a593c2f bugfix to pair_table_rx_kokkos.cpp,1
39,8210b25,USER-DPD Kokkos: replicate 9a560b90 bugfix to atom_vec_dpd_kokkos.cpp,1
40,da7776f,Bugfix for the limit keyword,1
41,01d0a5c,BUGFIX: use Kokkos::atomic_fetch_max() to avoid a race on new_maxneighs,1
42,ff2b613,Bugfix for building LAMMPS+KOKKOS+DPD with CMake,1
43,7e78921,USER-DPD Kokkos: propagate 763a00e8 bugfix to pair_multi_lucy_rx_kokkos.cpp,1
44,cee94da,bugfix. avoiding operating on uninitialize data. closes #690,1
45,763a00e,USER-DPD: pair_multi_lucy_rx bugfix for systems with multiple atom types,1
46,16d6dfc,Bugfix for effective plastic strain rate calc,1
47,fff43a4,USER-DPD Kokkos: bugfix for npair_ssa_kokkos.cpp corresponding to 0cd3f0cd,1
48,03766db,apply bugfix for MEAM provided by Wolfgang Verestek on lammps-users,1
49,534b7ad,Bugfix for checking image flags,1
50,411c069,BUGFIX: Prevent possible deadlock in Irregular::create_atom and create_data,1
51,05d3518,bugfix from Axel,1
52,d58dd4f,bugfix when parsing mpirun,1
53,53342a5,address a few cosmetic issues flagged by -Wpedantic,1
54,cb971f0,Kokkos bugfix,1
55,8.499e+75,updates to USER-REAXC code in USER-OMP from Chris Knight. addresses issues with multiple threads in use,1
56,5a88d74,Corrected error in etail and ptail,1
57,8499e72,updates to USER-REAXC code in USER-OMP from Chris Knight. addresses issues with multiple threads in use,1
58,5ff5bc2,avoid issues detected by coverity scan,1
59,1725832.0,address issue where uninstalling an empty package will erase all code in src,1
60,1725832,address issue where uninstalling an empty package will erase all code in src,1
61,a6c0fb8,Corrected error in etail and ptail,1
62,d07703e,re-apply bugfix from two years ago,1
63,8e5d380,avoid possible memory leak,1
64,caa9907,bugfix,1
65,e634c5a,memory allocation bugfix for USER-INTEL pppm from M Brown,1
66,6886dcb,correct minor issues  so LAMMPS compiles again,1
67,5d787f7,avoid tiny memory leak  when the restart command is specified multiple times,1
68,4e4fd5f,BUG: Dumping to multiple files failed with an error message complaining about a missing 'append yes' option.,1
69,d625346,correct potential out-of-bounds memory access,1
70,5821fe8,correct out-of-bounds accesses,1
71,5c9892c,apply airebo/m bugfix also to USER-OMP version,1
72,730e3cb,correct small (but harmless) logic error.,1
73,396e0b5,correct broken link in html bond doc overview,1
74,5909bd5,correct bug in tracking atom->nlocal vs. atom->nmax when allocating pbc enforcement buffers,1
75,734729b,avoid small memory leak with USER-REAXC + USER-OMP  spotted by GCC's address sanitizer,1
76,5cbaf7c,correct commands table format issue,1
77,8bba6d3,correct formatting and broken/colliding link issues with LATTE package related documentation,1
78,791f18b,Corrected error in Liouville factorization,1
79,a111cf6,BUG: Proper handling of bigint data. Corrects behavior when compiled with LAMMPS_BIGBIG.,1
80,c3a2ed0,plug small memory leak in USER-OMP variants of pppm kspace styles,1
81,e13e403,avoid memory leak in pppm/disp/omp,1
82,c98bb7f,Corrected minor bug in utility script,1
83,50a82bb,address uninitialized variable issues pointed out by valgrind/coverity,1
84,338fc28,combine citeme.log entry for pair reax/c/omp and fix qeq/reax/omp,1
85,4a875dc,Workaround for compiler bug in gcc v4.9.3  manifest in KOKKOS SNAP,1
86,47e2ca6,apply bugfix to reaxff taper function as described in issue #828,1
87,7b89e47,apply corrections to issues reported by static code analysis,1
88,3bc1c6b,Address bug in multifile restart writing with step number included,1
89,eebf110,Further tweaked the flangevin issue,1
90,939b1b2,Workaround issue in pair_snap_kokkos_impl,1
91,5e+171,fix array bounds issue due to typo. spotted by GCC.,1
92,5e165e6,fix array bounds issue due to typo. spotted by GCC.,1
93,f2d005f,Fixed errors in FixRxKokkos kokkos neighbor lists initialization and usage and calls to computeLocalTemperature.,1
94,621d7d5,Correct off-by-one error in line number reported,1
95,323570c,added jpg for kolmogorov-crespi-z equations and fixed hybrid/overlay check in source,1
96,a7d790a,Fixes coverity issue CID 179439,1
97,8a630ff,Fixes coverity issue CID 179440,1
98,617ca4e,Fixes coverity issue CID 179436,1
99,084626e,Fixes coverity issue CID 179426,1
100,f03b5a8,Fixed problem with image flags in attempt_molecule_insertion_full() and cleaned things up a little.,1
101,20806dd,Fixed bugs with pppm/gpu when used with compute group/group,1
102,e30c5fc,Fixed shebang and renamed to lib/kim/Install.py,1
103,fb08dc0,Small error in elements allocation causing seg. fault for parallel runs  fixed.,1
104,06cc38e,Fixed so tabulated pair_vashishta uses same pair_modify command style as other pair styles,1
105,b96100c,Fixed header for the force field file,1
106,a5d401e,Fixed header for the force field file,1
107,b9d0f96,change purge target in Makefile  also fixed one issue with Make.py,1
108,27a6371,implement a `python source` command as suggested in issue #454,1
109,c58bc6f,Fixed pbc wrapping in case of spherical bins,1
110,4c19f60,Fixed uninitialized variable for multiple molecule in set,1
111,bdb7669,Fixed coding style.,1
112,532a4e6,Fixed broken examples by adding NULL after stess/atom commands,1
113,84de575,fixed case where no axial components are active,1
114,4b03a29,Fixed molecule mass when gcmc offset applied,1
115,3ca986f,Fixed undefined tdof in setup,1
116,2dcbc80,min latte partially fixed,1
117,da1a3ac,Fixed error in onemols initialization when gcmc uses non-first molecule template,1
118,64cf52d,address spline out-of-bounds bug reported in issue #59 and refactor high-level spline code for consistency and efficiency,1
119,5e35ab2,fixed sucrose,1
120,066e759,Fixed problem with box flips under NVT,1
121,48ba812,Fixed initialization of arrays in computes/fixes in MC package,1
122,28e3ebf,Fixed error in average option,1
123,5e811f1,Fixed initialization of arrays in computes,1
124,1f3ef8e,Fixed initialization of arrays in computes,1
125,ca55525,Fixed problem with read_dump xyz,1
126,d09a857,Fixed initialization of arrays in computes,1
127,0e7ce19,Fixed initialization of arrays in computes,1
128,7d43f34,Fixed initialization of arrays in computes,1
129,fcd54f0,Fixed initialization of arrays in computes,1
130,95dde5c,Fixed initialization of arrays in computes,1
131,3e793d6,Fixed initialization of arrays in computes,1
132,f58fc94,Fixed neighbor list building that caused error in parallel runs with pair_meam_spline.,1
133,b2e792d,fixed problem with exclusion,1
134,55fe1f6,fixed integer division problem in python code snippet,1
135,265cc14,Fixed initialization of arrays in fixes,1
136,db077ef,Fixed initialization of arrays in fixes,1
137,9161bd9,fixed bug with pair hybrid/overaly and manybody potentials finding the right skip neighbor method,1
138,c11e876,implement second bugfix suggestion from @CF17 on issue #59,1
139,1780c86,Fixed error in ave/time version,1
140,f9a21ae,Fixed initialization of arrays in computes/fixes in MANYBODY package,1
141,853eab8,Fixed problem in column_length(int),1
142,1f0a6ae,Fixed broken basal example,1
143,2c7241b,Fixed initialization of arrays in fixes,1
144,b5a5627,Fixed initialization of arrays in fixes,1
145,ee2f6de,Fixed initialization of arrays in fixes,1
146,07eb1d4,Fixed initialization of arrays in fixes,1
147,425142b,Fixed initialization of arrays in fixes,1
148,36e085e,Fixed initialization of arrays in fixes,1
149,d6b9d0b,Fixed initialization of arrays in fixes,1
150,fd05a13,Fixed initialization of arrays in fixes,1
151,9025f65,Fixed MINe type,1
152,dbc60d9,Fixed OpenCL compilation issues with __global keywords,1
153,edbb8bc,Fixed uninitialized variables,1
154,fc3505f,Fixed a number of issues after verifying against the KIM version,1
155,050a136,Fixed error in average option,1
156,d241f92,Fixed error in average option,1
157,2479d80,Fixed memory leak from rlist,1
158,904609a,Fixed issue with switching function derivative in PairAIREBO::FLJ,1
159,d7646ae,Fixed opencl error,1
160,b921b69,implement bugfix from issue #388,1
161,e551418,Fixed negligible error in Tersoff and COMB,1
162,a5234d7,fix bug reported by richard berger via https://ci.lammps.org/job/lammps/job/master/job/regression/160/testReport/junit/examples/msst/msst/,1
163,66b4c9b,implement modified version of balance and fix balance according to steve's suggestions and requirements,1
164,c0f1a32,fixed namespace issue,1
165,6f7bd78,Fixes issue #701,1
166,3d1d0c5,Cleaned up 3-body gpu styles  and fixed a bug for tersoff/zbl/gpu. There is a unresolved bug for neigh no with tpa > 1 with BaseThree  enforce tpa = 1 for neigh no in BaseThree for now.,1
167,e8b64a9,Fixed memory error in ewald_disp.cpp,1
168,5ae8de8,Fixing broken USER-INTEL examples,1
169,8503ac2,Fixed error->all instead of error->one bug in USER-DPD/fix_shardlow.cpp.,1
170,50c7234,Fix to communication for mpi. Tested  and now working correctly with MPI.,1
171,b1d3b56,apply bugfix reported in issue #820,1
172,fcb81d2,Fixing broken USER-EFF examples,1
173,7e1c6cc,Fixing more broken USER-EFF examples,1
174,d007fac,Fixing Kokkos output for number of OpenMP threads,1
175,5c5df89,Fixing segfault in USER-FEP,1
176,7ee45ec,Fixing tagint and imageint issues in Kokkos package,1
177,62c95d8,Fixing broken USER-EFF example,1
178,5ce8e2f,Fixing GPU memory issue in modify_kokkos  need to cherry pick back to Master,1
179,5da0d39,Fixing fdotr in pair_buck_coul_cut_kokkos,1
180,e564fc4,Fixing Kokkos default values,1
181,917ca19,Fixing GPU memory issue in modify_kokkos  need to cherry pick back to Master,1
182,def0d4e,Fixing logic error with suffix styles,1
183,3c88b2a,Fixing execution space issues in KOKKOS package,1
184,f4b6b67,Fixing more execution space issues in KOKKOS package,1
185,557e5b9,Fixing Kokkos execution space issue with regions,1
186,1834a5e,Fixing more Kokkos per-atom and fdotr issues,1
187,35803c7,Fixing issues found during GPU runtime testing,1
188,807d952,Fixing issues found during GPU runtime testing,1
189,8649794,Fixing CUDA runtime issues in fix_shardlow_kokkos,1
190,8649794.0,Fixing CUDA runtime issues in fix_shardlow_kokkos,1
191,b5e95a0,Fixing USER-CUDA compile error,1
192,e05b132,Fixing error check in fix_eos_table_rx_kokkos,1
193,ee9e7cf,Fixing Kokkos CUDA Makefile issue,1
194,bf8b5e4,Fixing broken basal example,1
195,be13ecf,Fixing Kokkos warnings,1
196,6cc969d,Fixing warnings in Kokkos,1
197,6d665f1,Fixing warning,1
198,b96b6b9,Fixing error checks,1
199,fc80281,Fixing bugs in per-atom,1
200,bf9517b,Fixing Kokkos bugs,1
201,384aef4,Fixing Kokkos bugs,1
202,579b616,Fixing restart error,1
203,7839c33,Fixing compile error with Kokkos CUDA Makefiles,1
204,c51cadc,Fixing CUDA runtime issues in fix_shardlow_kokkos,1
205,520ab26,Fixing more CUDA runtime issues,1
206,36cbe43,Fixing some CUDA runtime issues in npair_ssa_kokkos,1
207,14554c9,Fixing compile error in USER-OMP,1
208,9eb8702,Fixing Kokkos bugs,1
209,da43baf,Fixing a few bugs in Kokkos,1
210,8b4130c,Fixing issue with pressure in pair_hybrid_kokkos,1
211,da41fcb,Fixing Kokkos bugs,1
212,92ae19e,Fixing Kokkos bugs,1
213,34785af,Fixing Kokkos bugs,1
214,efe60bf,Fixing more CUDA runtime issues,1
215,d6a67c2,Fixing Kokkos bugs,1
216,d913f5e,Fixing Kokkos bugs,1
217,3580e54,Fixing Kokkos CUDA compile error,1
218,3.58e+57,Fixing Kokkos CUDA compile error,1
219,b4b7310,Fixing CUDA runtime issues in pair_exp6_rx_kokkos,1
220,e6ba3cc,Fixing Kokkos compile errors,1
221,cfa61b9,Fixing runtime issues in fix_eos_table_rx_kokkos,1
222,743148d,Fixing compile problem,1
223,7332692,Fixing Kokkos issue in fix_eos_table_rx_kokkos,1
224,7332692.0,Fixing Kokkos issue in fix_eos_table_rx_kokkos,1
225,2b29980,Fixing inheritance issue in pair_hybrid_overlay_kokkos,1
226,d93e3d1,Fixing runtime issues with pair_exp6_rx_kokkos,1
227,13b6196,Fixing Kokkos compile error,1
228,c15d658,Fixing issue in pair_multi_lucy_rx_kokkos found by ibaned,1
229,59e5d36,Fixing region issue,1
230,35e1cf1,Fixing issue with ev_setup in pair_hybrid_kokkos,1
231,b889776,Fixing memory leak in Kokkos neighborlist,1
232,0da53bb,Fixing compile error,1
233,acdb932,Fixing index issue in pair_exp6_rx_kokkos,1
234,5897955,Fixing GPU memory issue in fix_eos_table_rx_kokkos,1
235,5897955.0,Fixing GPU memory issue in fix_eos_table_rx_kokkos,1
236,6f51c3b,Fixing issues in pair_multi_lucy_rx_kokkos,1
237,d2b6559,Fixing issue in fix_qeq_reax,1
238,2d32fa8,Fixing GPU memory issues in atom_vec_dpd_kokkos,1
239,a001a5c,Fixing memory overflow issue in comm_kokkos,1
240,c468727,Fixing issue in fix_wall_lj93_kokkos,1
241,5569c4c,Fixing GPU memory issue with fix_property_atom_kokkos,1
242,26c8d3d,Fixing GPU memory issue in fix_langevin_kokkos,1
243,b38733e,Fixing GPU memory issue in pair_exp6_rx_kokkos,1
244,de6442d,Fixing GPU memory issues in Kokkos,1
245,fc94f1b,Fixing GPU memory issues in Kokkos,1
246,6f92429,Fixing per-atom ev issue,1
247,440ce63,Fixing memory error,1
248,cd6f885,Fixing memory error,1
249,144780f,Fixing memory error,1
250,73177d6,Fixing GPU memory issue in domain_kokkos,1
251,3366136.0,Fixing Kokkos memory issue,1
252,3366136,Fixing Kokkos memory issue,1
253,f47a40b,Fixing Kokkos memory deallocation issue,1
254,f314fbc,Fixing some Kokkos issues,1
255,04fd038,Fixed a bug with equal-style variables as manifold params.,1
256,7e58f08,Fixing bug in pppm/intel for AVX-512 with single precision and ik diff. This commit simplifies the code by eliminating packing optimizations that were slower under typical parameters and had some memory bugs.,1
257,daf9f95,Fixing Kokkos per-atom e/v issue,1
258,fd1e707,Fixing Kokkos issue,1
259,b3d89e0,Fixing another Kokkos issue,1
260,6b79bbf,Fixing Kokkos memory issue,1
261,76acb8c,Fixing Kokkos memory issue,1
262,4381db8,correct the bug discovered by stan due to uninitialized scale factors for eam/alloy/omp and eam/fs/omp,1
263,fa5ec0b,Fixes with post-force() not allowed after fix rigid or rigid/small,1
264,721b312,Fixing small bug in Kokkos pair styles with long-range Coulombics,1
265,afd2f6b,Fixing small bug in run-style verlet split,1
266,083ff54,small bug fixes,1
267,4f19525,Fixing bug with Kokkos and reading restart files,1
268,f4d0aa3,correct cut-n-paste bug reported by Massimo Pica Ciamarra on lammps-users,1
269,a67cb06,Fixing small Kokkos bug,1
270,000df6e,Fixing what seems to be a Kokkos bug  I will submit to Kokkos lib developers too,1
271,27172c4,Fixing Kokkos bug when many atom types,1
272,e2117af,Fixing Kokkos bug,1
