,hash,message,buggy
0,d1ef3ed,Enable EpetraMatrix transposes.  adjoint solves should work now  but I see mixed test results.,1
1,7fbd987,submitted contributed patches for MeshCommunication::broadcast() and the Xdr class,1
2,97ceeb8,improved the Parameters class,1
3,27678be,System::calculate_norm() now works with mixed-dimension meshes,1
4,6573551.0,Modifications have been made to correct behavior of h-adaptivity with higher order SZABAB and BERNSTEIN:,1
5,3736db6,latest patches.  Thanks  Martin,1
6,9606825,Avoid erroneous assert() in METHOD=devel,1
7,e1234b5,Fixup inadvertent whitespace change,1
8,caf29dc,fixup examples to try not to use the global comm,1
9,58ca137,fixup dtk with new communicators,1
10,a1b187d,fixup ML detection,1
11,6d87d35,Fixup CheckpointIO again to make it work properly for serial,1
12,3770f87,For char and unsigned char parameters  convert to int before printing to avoid displaying unprintable characters.,1
13,6c0a1ea,avoid vec.clear() not reducing memory usage,1
14,87db081,Fixup receive_packed_range call,1
15,316295.0,Hackish workaround for petsc.m4 vs trilinos conflict,1
16,c439a31,Fixup dof indices test,1
17,12d6bcf,fixup an unintended full localization of the solution vector during projection,1
18,4f22896,Bugfixes  robustness & accuracy improvements to compute_numerical_jacobian,1
19,874c52c,Bugfixes for heterogenous constraints refactor,1
20,b79fe8f,Use cheapest PatchRecovery compatible patch extension method by default,1
21,9dbf061,Fixing memory leak when merging existing parameters,1
22,58c65ca,Fixing peroidic boundary conditions for selected variables,1
23,137ef48,Patch from myself and Vikram Garg adding support for DiffContext localization of arbitrary system vectors,1
24,5364.0,Massive whitespace-only patch.,1
25,ea0ad0b,New patch growth options  shorter matsize calculation,1
26,06d2a9c,More bugfixes in ProjectFEMSolution. Thanks to Roy for privately pointing out the context.side issue.,1
27,185360000.0,ExodusII_IO/Nemesis_IO patch for zero IDs,1
28,61f5cbf,Adding semilocal-only Patch construction options,1
29,2ae531f,Patch from Boyce Griffith to enable more flexible FE reinit options,1
30,c8cdda4,Fixing Tet::is_child_on_side(),1
31,9d0b3ae,rbOOmit change: fixed error in RBEIMConstruction::evaluate_basis_function  previously the vector wasn't being updated correctly,1
32,a6a5f10,Fixes for PetscMatrix::init() and PetscMatrix::zero() in the not-all-processors-have-DoFs case.,1
33,afde7bd,"More ""don't try to send NULL to an ostream"" fixes",1
34,89270f5,Fixing elem_num_map for multiple subdomain cases,1
35,6358191.0,Fixing is_node_on_{side edge} for Pyramid14.,1
36,c76468c,fixed the const_elem_iterator  const_node_iterator and friends to have the intended behavior (i.e. treat the returned Elem and Node as const),1
37,ce692dd,fixed the const_elem_iterator  const_node_iterator and friends to have the intended behavior (i.e. treat the returned Elem and Node as const),1
38,71d51a2,fixed the const_elem_iterator  const_node_iterator and friends to have the intended behavior (i.e. treat the returned Elem and Node as const),1
39,df040c9,Patch from Manav Bhatia: templated read datatypes,1
40,80c03df,Fixed Xdr read support for long doubles in double-precision files,1
41,ebedbc2,Added basis patch recovery estimator support,1
42,3f4a244,BoundaryInfo::sync could fail for some partitionings of some mesh types.  Fixed now.,1
43,36906ac,MeshRefinement messed up the coarsening flags when you dont want level-1 compliance  fixed...,1
44,34510ea,Fixing Parallel:broadcast of std::set,1
45,13f2c6d,Add children to fixed positions  in case allgather doesn't receive them in ascending order.,1
46,4eda33c,Fixes for ParallelMesh redistribution.  Simple --enable-parmesh tests are all passing even with reparititioning turned on!,1
47,4884b4e,fixing derived file,1
48,9d27fae,Patch based on Manav Bhatia's type-mixing methods,1
49,5425863.0,fixed a printing problem in PerfLog  an uninitialized variable in laspack,1
50,7d9c360,Fixed Example 0 Makefile to link on Mac OS X 10.4  using GCC 4.0.0.,1
51,7ec45e1,Assorted bugfixes.  We compile again.,1
52,c11b390,More robust next_free_*_id.  This fixes the recent ParallelMesh examples regressions.,1
53,79cdaee,fixed the MeshData to write a sensible header with the minimum info necessary for reading,1
54,e6f291b,Fixes for non-debug Node communication  Nemesis->ParallelMesh regressions,1
55,9fa5f73,More fixes for the automake->trunk m4 sync up.,1
56,ea17330,Subset stuff didn't compile with PETSc < 3.0.0  fixed this now.,1
57,3809dd7,Fixed get_continuity in fe_l2_hierarchic.C  it should return DISCONTINUOUS. Also  change compute_constraints to a NOOP.,1
58,8a35332,fixed total_weight for non-parallel meshes.  This is needed to work right on processor 0 to broadcast the mesh,1
59,5f148ed,Fixing infinite while-loop silliness in GetPot.,1
