Document Title,Abstract,Year,PDF Link,label
14dc6e9,changed int to unsigned int for srand,2018,,
1c7e1ae,Added some documentation.,2018,,
0a7b376,fixed shared library linking on the IBM,2018,,
89243ad,fix for xlC,2018,,
e5e6193,added virtual bool Elem::infinite().  Will add inf_elem_iterators soon.,2018,,
868c69a,linker fix for cxx,2018,,
6ff9291,replaced unnecessary }  with } in examples,2018,,
b3cb54f,fixed (hacked?) configure for the IBM Power4,2018,,
02bc647,fixed (hacked?) configure for the IBM Power4,2018,,
6a19c7a,fixed (hacked?) configure for the IBM Power4,2018,,
98abf6a,OK  fixed for the last time?,2018,,
c259398,sorry to keep doing this... there is no autoconf on the IBM.,2018,,
859b965,sorry to keep doing this... there is no autoconf on the IBM.,2018,,
e6401ee,sorry to keep doing this... there is no autoconf on the IBM.,2018,,
ddf972b,final tweak for IBM xlC,2018,,
fb850fc,sorry to keep doing this... there is no autoconf on the IBM.,2018,,
b56812f,Added prism6 to unv_support. I also added it to write_gmv  where it is treated as a phex8.,2018,,
6c99922,minor optimizations in iinline point methods. print more useful information when a call to inverse_map fails,2018,,
5c09610,- moved the FEInterface::is_inf_elem to private.  There is no public need   anymore since bool Elem::infinite(). This clears up  the use of InfFE. - thought about the worth of inf_elem_iterator  and really do not need   them.  Would be straightforward to implement  so if anybody needs   them  tell me.,2018,,
639bd2c,various changes to InfFE: - fixed bug that occured only with higher-order base approximation - changed internal dof & node numbering scheme completely - added inverse_map() - split implementation files for better overview,2018,,
b24115f,moved the hanging node condtraint computation out of dof_map into the individual FE types.  This allows each FE type to implement its own constraint calculation  and the DofMap does not need to know anything about it.,2018,,
816881f,added #include<map>,2018,,
ca7104e,Added configure tests for hash_map and others.  Will start using these when available for performance-critical applications (like the find_neighbors() and point location methods,2018,,
7e69b1f,compiler optimizations,2018,,
6f8c950,fixes for SGI,2018,,
522b968,optimization options for xlC,2018,,
