Document Title,Abstract,Year,PDF Link,label
88fe427,Create branch release-0-6-4,2018,,
1f627c4,0.6.4-rc1 release candidate (updated CHANGELOG  too),2018,,
0100ac6,0.6.4 release --- final adjustments (including using canonical GROWriter) - release set to 0.6.4 - removed original GROWriter and replaced with GROWriterStandard (should be invisible to most   users because GROWriter could only be used explicitly anyway).   The olf GROWriter functionality of writing the whole universe can be simply obtained by passing   the universe's universe.atoms AtomGroup to the write() method,2018,,
a4ac796,fixed 0.6.4 release date,2018,,
b0ba3be,release 0.6.4 (no code changes relative to 0.6.4-rc1  only docs),2018,,
2329ec6,Create tag release-0-6-4,2018,,
6947085.0,Create tag release-0-7-1,2018,,
bcba124,switched sphinx theme to alabaster with MDAnalysis styling,2018,,
a8ea036,Remove windows end of lines,2018,,
352ec80,Avoid isinstance(something  int),2018,,
a8f5157,Numpyfy docstrings,2018,,
2793519.0,Update guessers.py,2018,,
0015d69,always use py3 division,2018,,
c3130ca,use absolute imports,2018,,
d776d73,fix integer division,2018,,
2aad424,fix division errors,2018,,
5bb6a9b,fix test errors,2018,,
924340a,Start of v0.16.1 (#1296),2018,,
445d679,Merge pull request #1293 from MDAnalysis/lint-division,2018,,
b2561a1,remove duplicate imports,2018,,
2521d78,Merge pull request #1294 from MDAnalysis/lint-absolut-import,2018,,
0faa8a0,Universe now works with StringIO objects (#1254),2018,,
b87a20a,Fix changelog (#1304),2018,,
46cc08f,Enable more pylint warnings (#1302),2018,,
9ba5078,changes string.uppercase to string.ascii_uppercase for py3 compatibility (#1309),2018,,
a3c2fca,Residues with the same residue ids are not merged by default (#1307),2018,,
3ecd7bf,speed up xyz reader,2018,,
7527a92,speed up PQR,2018,,
97c1cc5,speed up pdb reading,2018,,
74997bd,speed up pdbqt,2018,,
dfad88c,Fix doc warnings in MDAnalysis package,2018,,
317dedf,fix errors in rst files,2018,,
322bbb9,turn doc warnings into errors,2018,,
d249fd7,update travis file,2018,,
373c1fb,remove pylint warnings,2018,,
7a76828,update mathjax cdn,2018,,
c9f76b2,update CHANGELOG,2018,,
ca30efa,Merge pull request #1312 from MDAnalysis/doc-warnings,2018,,
68e4c17,replace .. SeeAlso:: with numpy section (#1314),2018,,
ce48911,wateranalysis: Fixed case when no water molecules in selection.,2018,,
2c47978,Changed dt to include step in Universe.transfer_to_memory() (#1321),2018,,
5c6700b,wateranalysis: Formatted according to PEP8,2018,,
d5bc8f5,Fix hbond cannot deal with atoms too far (PR #1325),2018,,
401c366,Fix #1324 (encore required reader with timeseries capabilities),2018,,
ac27e28,PQRParser now reads icodes (#1328),2018,,
c1e751e,"fixed docs for PDBParser ""conect"" keyword (#1329)",2018,,
bb9bb57,fix doc deploy,2018,,
4f3d59c,fixed remaining sphinx warnings and doc touchups,2018,,
e25d2c7,sphinx: make sphinx fail on warnings and be verbose (local sphinx Makefile),2018,,
afe690b,Merge pull request #1333 from QuantumEntangledAndy/Issue1331,2018,,
7817f96,Fix small rendering errors in the doc,2018,,
ce80e91,Fixes Issue 1331 This handles the case where number of items is exactly divisible by number of items per line. Previously the code would always round up  where instead it should only round up when not exactly divisible.,2018,,
ecc3919,more reST fixes,2018,,
d5667ae,Merge pull request #1247 from MDAnalysis/minor-fixes,2018,,
c1db033,use consistent formatting,2018,,
303574b,Fixes issue #1330 (#1332),2018,,
36be0d9,changed OAuth token for doc deployment from Travis CI (#1338),2018,,
1c8f87d,fix start  stop  step values of AnalysisBase (#1340),2018,,
429795a,remove failing cron build job,2018,,
