,index,hash,time,message,buggy
6,2,355494d,2016-07-02 22:34:01,Update Tabirules#05  for abiref_gnu_5.3_debug modified:   t05.out,0
7,3,8d22dec,2016-07-02 22:37:01,Try to fix the problem with Tbuildsys#40 (/bin/sh: configure: command not found) modified:   check-libpaw.py,1
7,3,8d22dec,2016-07-02 22:37:01,Try to fix the problem with Tbuildsys#40 (/bin/sh: configure: command not found) modified:   check-libpaw.py,0
8,4,407cb00,2016-07-02 22:42:38,This should bypass the last problem with abiref_gnu_5.3_debug modified:   KNOWN_PROBLEMS modified:   abichecks/buildsys/tests.cnf,1
24,4,ad59908,2016-07-09 15:45:53,add check on bdgw values,0
25,20,67cc9a3,2016-07-09 16:34:30,Imported fix for Intel 16 compiler  from Jordan. modified:   m_BathOperator.F90,1
32,8,b21d590,2016-07-14 09:33:13,Merge branch 'develop' into 'develop',0
33,10,a6f6077,2016-07-14 11:31:27,This should fix the problem with luo and README.xlf,1
42,15,21126cd,2016-08-03 22:53:14,improve documentation of abimem,0
43,4,d548b1f,2016-08-04 14:25:11,Bug fix,1
45,16,2fe28e5,2016-08-08 11:35:56,adapt for full ETSFio netcdf case to read in DDK files,0
46,17,a8e9645,2016-08-08 12:52:13,reimported fixes for netcdf DDK file. Need to check full bb suite noe,1
53,24,0d27bbe,2016-08-13 14:25:10,Update the Web bibliography and bibtex info. Modified:   bibliography.html  bibtex-refs.html,0
54,25,1f74e29,2016-08-13 14:30:33,Fix minor problems in acknowledgments.html,1
61,32,7e1b2cb,2016-08-14 08:05:57,Define previous_maxerr in  66_wfs/m_invovl.F90  and exit if a spurious divergence develops.,0
62,34,ebf354e,2016-08-14 15:24:45,Problem with ubu_intel_16.0_mpich for Tparal#30 . So  suppressed it #%% exclude_builders = ubu_intel_16.0_mpich    modified:   t30.in,1
62,34,ebf354e,2016-08-14 15:24:45,Problem with ubu_intel_16.0_mpich for Tparal#30 . So  suppressed it #%% exclude_builders = ubu_intel_16.0_mpich    modified:   t30.in,0
63,34,93fe398,2016-08-14 15:27:09,Document problem with Tparal#30 with Intel 16 inside   KNOWN_PROBLEMS,1
65,37,1be446d,2016-08-15 22:12:22,Update the doc concerning so_psp modified:   abinit_vars.yml,0
66,38,449f17a,2016-08-15 22:26:55,Fix minor problems modified:   abinit_vars.yml,1
66,38,449f17a,2016-08-15 22:26:55,Fix minor problems modified:   abinit_vars.yml,0
67,38,fb7e450,2016-08-15 22:27:43,Again fix a minor problem  and regenate vargs.html modified:   abinit_vars.yml  html_automatically_generated/vargs.html,1
71,43,9cb5a08,2016-08-16 17:29:28,Git pull from the gitlab,0
72,43,110a550,2016-08-16 17:45:41,Fix minor typo.	modified:   57_iovars/chkinp.F90,1
72,43,110a550,2016-08-16 17:45:41,Fix minor typo.	modified:   57_iovars/chkinp.F90,0
