,index,hash,time,message,buggy
169,169,1f6484a,2014-03-19 19:31:06,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@11653 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
170,170,68c5f66,2014-03-19 21:55:08,Removing untested feature to fix bug affecting Windows builds,1
278,278,5a26ea8,2014-04-11 23:37:41,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@11784 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
279,279,532a4e6,2014-04-14 21:08:05,Fixed broken examples by adding NULL after stess/atom commands,1
279,279,532a4e6,2014-04-14 21:08:05,Fixed broken examples by adding NULL after stess/atom commands,0
280,280,1f0a6ae,2014-04-14 21:24:23,Fixed broken basal example,1
543,543,00db690,2014-06-10 16:07:24,Updating USER-EFF examples to use compute property/atom,0
544,544,fcb81d2,2014-06-10 17:00:33,Fixing broken USER-EFF examples,1
546,546,2642b7d,2014-06-10 17:40:44,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@12112 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
547,547,7e1c6cc,2014-06-10 18:17:25,Fixing more broken USER-EFF examples,1
691,99,9947eb7,2014-08-07 16:00:00,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@12281 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
692,100,1ff3afc,2014-08-07 17:58:00,Fixed double-counting of bonds and dihedrals for self-bonded atoms,1
894,87,45223c4,2014-09-18 22:44:00,Updated diagnostics,0
895,88,5ae8de8,2014-09-22 15:39:00,Fixing broken USER-INTEL examples,1
899,92,5d12a8f,2014-09-23 19:09:00,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@12528 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
900,93,f45b388,2014-09-23 22:29:00,Fixing a bug in the kspace error estimator for triclinic systems,1
902,95,463db58,2014-09-24 00:45:00,Made line quadratic default and changed backtrack alpha zero check to be more friendly,0
903,96,fb705ef,2014-09-24 00:46:00,Change fix box/relax example to be more efficient,1
929,122,5aedfd4,2014-09-25 23:02:00,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@12559 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
930,123,62c95d8,2014-09-26 14:57:00,Fixing broken USER-EFF example,1
930,123,62c95d8,2014-09-26 14:57:00,Fixing broken USER-EFF example,0
931,124,bf8b5e4,2014-09-26 17:00:00,Fixing broken basal example,1
931,124,bf8b5e4,2014-09-26 17:00:00,Fixing broken basal example,0
932,125,e8b64a9,2014-09-26 18:45:00,Fixed memory error in ewald_disp.cpp,1
1074,44,74adae2,2014-11-19 15:25:25,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@12729 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
1075,45,aaa76b5,2014-11-19 15:56:24,Fixing bug,1
1086,56,7eca5ed,2014-11-19 19:51:53,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@12743 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
1087,57,72a1dc1,2014-11-19 21:05:07,Fixing bug in qeq,1
1352,197,79cfbf0,2015-02-06 16:33:00,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13072 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
1353,198,743148d,2015-02-06 17:19:00,Fixing compile problem,1
1411,41,7e06417,2015-02-20 00:12:13,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13145 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
1412,42,da43baf,2015-02-23 23:45:29,Fixing a few bugs in Kokkos,1
1549,179,fc64a9a,2015-03-27 13:59:30,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13308 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
1550,180,f314fbc,2015-03-27 14:56:28,Fixing some Kokkos issues,1
1550,180,f314fbc,2015-03-27 14:56:28,Fixing some Kokkos issues,0
1551,181,b3d89e0,2015-03-27 15:24:42,Fixing another Kokkos issue,1
1552,182,43d48e6,2015-03-27 16:07:03,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13312 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
1553,183,fd1e707,2015-03-27 16:08:31,Fixing Kokkos issue,1
1589,219,6.1e+99,2015-04-01 14:49:10,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13355 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
1590,220,144780f,2015-04-01 20:32:09,Fixing memory error,1
1591,221,9127ac0,2015-04-01 20:52:33,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13357 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
1592,222,cd6f885,2015-04-01 21:13:05,Fixing memory error,1
1595,225,c01a3b8,2015-04-01 21:59:14,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13361 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
1596,226,440ce63,2015-04-01 22:29:49,Fixing memory error,1
1624,254,de291fc,2015-04-06 15:15:02,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13397 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
1625,0,a4a97de,2015-04-08 10:45:49,A few GLE fixes,1
