,index,hash,time,message,buggy
3,3,d2e8cfa,2003-02-05 20:51:44,corrections for --enable-ifem: InfFE and FE now use identical FEType to ease overall handling  added FEBase::build_InfFE  some typos,0
4,4,4510a6e,2003-02-06 05:41:15,partial fixes for InfFE  removed empty face_infinite.C  added some explanatory comments for invalid calls to n_dofs etc  added an example #5 -- better do not use it (yet)  currently only for debugging InfFE  Had some problems with the build_cube() method  with higher-order HEX elements: too many nodes initialized. Only gcc 295? don't know  haven't tested...,1
4,4,4510a6e,2003-02-06 05:41:15,partial fixes for InfFE  removed empty face_infinite.C  added some explanatory comments for invalid calls to n_dofs etc  added an example #5 -- better do not use it (yet)  currently only for debugging InfFE  Had some problems with the build_cube() method  with higher-order HEX elements: too many nodes initialized. Only gcc 295? don't know  haven't tested...,0
5,5,0f7d15d,2003-02-06 06:02:42,Added Jacobi quadrature rules. These rules allow for conical product quadrature to be performed on tris and tets.  Although these types of rules are non-optimal (use more points than necessary and cluster points) they are correct  and easy to construct for high orders.  At this time  if you select anything beyond fifth-order quadrature for tets or tris you will get a conical product Gauss-Jacobi rule.  Other changes include fixing a broken 7 point Gauss quadrature rule which had the wrong weights  and making a few functions in the QBase class virtual instead of pure virtual.  This way you can create concrete quadrature classes without implementing anything for 2 and 3D.  The init_1D function is still pure virtual so you will at least need to define 1D quadrature rules if you create a new class.,1
12,12,ea55009,2003-02-07 04:34:16,rearranged some configure tests  reformatted the PerfLog print line,0
13,13,8715f40,2003-02-07 15:21:32,finally understood what the Jacobi quadrature is all about  fixed the QBase::build appropriately  so that it makes more sense  took the liberty to include this gained knowledge in the QJacobi documentation,1
19,19,91ffa81,2003-02-07 22:18:54,added SparseMatrix base class.  This will allow transparent switching between Petsc and Laspack solvers.  LaspackMatrix mostly implemented.,0
20,20,369245b,2003-02-09 22:47:17,"minor documentation fix for namespace Petsc  for --enable-ifem: decreased virtual members in FE classes  so that uniform usage of both FE and InfFE is now possible: see ex6  ex6: included variational form  need thorough testing! fixed ""make examples"" dependency  adjusted to Ben's pretty builds",1
20,20,369245b,2003-02-09 22:47:17,"minor documentation fix for namespace Petsc  for --enable-ifem: decreased virtual members in FE classes  so that uniform usage of both FE and InfFE is now possible: see ex6  ex6: included variational form  need thorough testing! fixed ""make examples"" dependency  adjusted to Ben's pretty builds",0
21,21,e36707c,2003-02-10 01:23:15,This may be only temporary (wanted to do patch but cannot  since patch only works on revisions already in the repository) -- Open for discussion  will send email --- Note: library still works with this  but this is definitely not final state Split up SystemData to accomodate for other physical problem classes,1
22,22,83641b1,2003-02-10 03:55:51,Abstracted out PetscMatrix  PetscVector  and PetscInterface.  Added support for LASPACK solvers  uniprocessor real only at the moment.  Should be easy to extend to uniprocessor complex.  Will make SystemBase dynamically switch between solver packages at runtime  most likely tomorrow.,0
23,23,4c98bd8,2003-02-10 04:04:31,removed stray copy/paste error,1
25,25,2a1a66e,2003-02-10 12:21:08,manicure,0
26,26,9cba32d,2003-02-10 14:31:16,small documentation fixes: doxygen now runs without any complaints  simplified & corrected ex7 param list to be more handle-safe,1
28,28,340ea83,2003-02-10 22:12:11,LASPACK solvers now work for real data types.  To use them do ./configure --disable-petsc,0
29,29,8c88ff5,2003-02-10 23:42:57,fixed broken LaspackVector assignment operator,1
29,29,8c88ff5,2003-02-10 23:42:57,fixed broken LaspackVector assignment operator,0
30,30,9c03490,2003-02-11 00:08:48,IRIX compatibility fixes,1
30,30,9c03490,2003-02-11 00:08:48,IRIX compatibility fixes,0
31,31,5ff91e3,2003-02-11 00:58:24,IRIX compatibility fixes,1
31,31,5ff91e3,2003-02-11 00:58:24,IRIX compatibility fixes,0
32,32,7b5c3c1,2003-02-11 14:20:25,compatibility fixes,1
43,43,aa1a08b,2003-02-14 20:50:39,Changed basic_active_type_elem_iterator to be multiply inherited from active_elem_iterator and type_elem_iterator rather than reimplementing the functionality of either.  May turn out to be really useful for composite predicate iterators  or may be dangerous.  Time will tell.,0
44,44,6d4fe60,2003-02-14 22:37:11,fixed a bug in the DofObject that only allowed for one system,1
44,44,6d4fe60,2003-02-14 22:37:11,fixed a bug in the DofObject that only allowed for one system,0
45,45,8000555.0,2003-02-15 05:21:13,fix for multiple systems,1
46,46,d4a35ba,2003-02-17 01:23:02,minor FE optimizations.  Changed DofMap::component stuff to DofMap::variable to be more consistent with all the other classes in the code,0
47,47,d2c7100,2003-02-17 04:05:48,fixed a bug in libMesh that copied argc and argv instead of taking references,1
48,48,79a735c,2003-02-17 05:33:09,one final DofMap::component changed to variable,0
49,49,1535141.0,2003-02-18 00:49:55,Added multiply-inherited basic_active_pid_elem_iterator. Fixed some virtual inheritance classes which needed to explicitly call their hared parents constructor.,1
53,53,d763f11,2003-02-20 04:59:58,Templated all the numeric data types to provide a clearer distinction between Real and Complex data types.,0
54,54,f59025b,2003-02-20 05:13:42,minor SGI fixes,1
54,54,f59025b,2003-02-20 05:13:42,minor SGI fixes,0
55,55,a04a884,2003-02-20 12:55:08,fixed some bugs in InfFE,1
60,60,084ab07,2003-02-21 18:31:32,redid the Tecplot support so that it writes one file even with complex numbers,0
61,61,51b34ec,2003-02-21 21:03:56,fixed for 0.3.0 release,1
63,63,05ad08d,2003-02-21 22:50:13,documentation,0
64,64,d48dcb1,2003-02-21 22:57:46,stylesheet fixed,1
69,0,cb20060,2003-02-24 22:03:50,changed example programs to use element iterators.  This will make it easier to add an example for parallel,0
70,1,713995d,2003-02-25 04:49:09,Changed example 7 to exit without a fatal error when complex numbers have not been enabled in the code.,1
73,4,5451061.0,2003-02-26 00:47:52,Adding explicit this-> qualifications for calling member functions within other member functions. For now private and protected members will remain with an underscore prefix and not use the this-> qualifier.  It was felt that that would be a bit of overkill :),0
74,5,1b05f5a,2003-02-26 01:08:14,- Added the embedding matrices for the Prism18. - Fixed the ambiguous definition of the Prism reference element...   For the record  it is (xi eta) in the standard reference isoscolese   triangle with zeta in [0 1]  NOT [-1 1].  Sorry about the confusion.   It was wrong in two places in such a way that they cancelled each other   out! - Creating the boundary mesh works again  this time without renumbering the   nodes,1
75,6,3ba4d30,2003-02-26 04:43:14,Added this-> qualifier to the different element classes.,0
76,7,24685.0,2003-02-26 11:34:36,fixed silly tests that avoided the use of petsc options,1
77,8,f68cd32,2003-02-26 13:59:52,example 4 now runs properly in parallel,0
78,9,935967.0,2003-02-26 16:05:46,minor fix to gmv complex output,1
83,14,342c07f,2003-02-27 02:02:15,change for --disable-amr,0
84,15,9491199.0,2003-02-27 17:20:03,"minor fixes for HP: - new aCC requires the same notation for AutoPtr as the IBM xlC - made aCC shut up about further future errors - improved std support  see mesh_documentation.h: for now  this   works.   Possible future improvement?: ./configure could just try   to figure out the architecture on its own? Then this whole   environment variable thing  like CXX=""aCC -AA""   won't be necessary?",1
90,21,a49c2a6,2003-03-03 18:09:04,PerfLog optionally takes subheaders for the events,0
91,22,c907dc4,2003-03-03 19:25:19,build fixes for xlC,1
91,22,c907dc4,2003-03-03 19:25:19,build fixes for xlC,0
92,23,b978e87,2003-03-03 19:29:39,build fixes for xlC,1
98,29,0d6ac2b,2003-03-04 22:31:17,replaced reinterpret_cast with dynamic_cast,0
99,30,d4eb974,2003-03-05 13:11:57,Elem::level() now exists when configured with --disable-amr  and simply returns 0. Fix for building with --disable-reference-counting. reference_counter.h still needs to #include <string>,1
103,34,ce10506,2003-03-07 20:59:04,Added a here() stmt. for debugging.,0
104,35,2d03e69,2003-03-08 05:44:02,fixed broken assert,1
104,35,2d03e69,2003-03-08 05:44:02,fixed broken assert,0
105,36,7da3a7c,2003-03-08 07:30:56,fixed a bug in the DofObject that tried to delete a NULL pointer when clearing an object for which no variables were allocated.  Also changed two references to copys in the DenseMatrix multiplication,1
106,37,f4dd9fc,2003-03-10 00:33:01,visual bits  will update infinite elements to the new & clearer refine() scheme soon  this will also include prisms,0
107,38,eb96c44,2003-03-11 00:47:47,"- consolidated infinite elements to match up with the new & neat   Elem::refine() style - fixed bug in MeshBase::build_inf_elem() which only occured   with higher-order elements - fixed (sometimes-erratic) behavior of Elem::n_nodes() by   shifting it all the way down to where n_nodes() is truly   unique - added convenient way to automatically determine origin   in meshtool - fixed some documentation  like the ""delete pointer""  where   actually an AutoPtr already takes care of",1
108,39,1df6317,2003-03-11 04:35:19,templated EquationSystems for the systems to handle  done it using static_casts  since i _really_ did not find a way to use T_sys instead of SystemBase  see equation_systems.C -- help certainly appreciated  i think there _should_ be some better way  avoiding the casts...,0
109,40,11eb1c5,2003-03-11 19:50:04,thanks to Steffen: fixed a wrong shift pattern in Legendre polynomials for infinite elements,1
109,40,11eb1c5,2003-03-11 19:50:04,thanks to Steffen: fixed a wrong shift pattern in Legendre polynomials for infinite elements,0
110,41,a2e7eeb,2003-03-11 23:36:46,portability fixes for HP,1
110,41,a2e7eeb,2003-03-11 23:36:46,portability fixes for HP,0
111,42,48627a9,2003-03-12 00:33:20,Added the typename identifier in the EquationSystems source file.  Fixed a bug in the add function for complex numbers in the DenseMatrixBase class.,1
114,45,030c33c,2003-03-14 09:56:41,discontinue efforts to get PETSc<complex> on HP running  resort to Laspack. Even PETSc maintenance does not use HP anymore... --- Am i the only one to be damned to use an HP compute server??? ---,0
115,46,49cba51,2003-03-16 19:10:23,Minor fixes for compiling with --enable-perflog.  Fixed a problem with dense matrix multiplication  showed up with constraint matrices.,1
116,47,22b4c8f,2003-03-16 20:11:38,oops... forgot to check this one in,0
117,48,7ef07af,2003-03-17 01:27:08,SGI fixes,1
120,51,5982148.0,2003-03-19 22:43:30,SystemBase::n_vars() no longer asserts that the system has variables  so it will return 0 for a system in which no variables have been defined.,0
121,52,e652cfb,2003-03-19 23:43:56,fixed a bug in the nodes_to_elem_map computation,1
121,52,e652cfb,2003-03-19 23:43:56,fixed a bug in the nodes_to_elem_map computation,0
122,53,d311cec,2003-03-20 11:51:25,- fixed SystemBase handling of multiple matrices & vectors for Laspack - fixed FrequencySystem to support either fast solution or solution of large   frequency-dependent linear systems (complex)  updated ex7 accordingly - added axpy for sparse matrices,1
129,60,d43e133,2003-03-22 21:04:31,actually  just wanted PerfLog output with the old gcc... ended up in introducing two wrapper classes for the broken fstream and stringstream as a side-effect  the (ASCII) output  like .xda and .dat is now uniform for the two gcc's i tested.,0
130,61,e98b38d,2003-03-23 01:39:14,"fixes for HP  of which this one is a curiosity  i'd say: - aCC definitely dislikes names of function/method parameters starting   with an underscore ""_""  like what i first did in SparseMatrix etc...  -)",1
130,61,e98b38d,2003-03-23 01:39:14,"fixes for HP  of which this one is a curiosity  i'd say: - aCC definitely dislikes names of function/method parameters starting   with an underscore ""_""  like what i first did in SparseMatrix etc...  -)",0
131,62,5425863.0,2003-03-23 02:47:51,fixed a printing problem in PerfLog  an uninitialized variable in laspack,1
136,1,1c7e1ae,2003-03-25 04:26:55,Added some documentation.,0
137,2,0a7b376,2003-03-25 15:19:02,fixed shared library linking on the IBM,1
137,2,0a7b376,2003-03-25 15:19:02,fixed shared library linking on the IBM,0
138,3,89243ad,2003-03-25 21:06:59,fix for xlC,1
139,4,e5e6193,2003-03-26 01:08:15,added virtual bool Elem::infinite().  Will add inf_elem_iterators soon.,0
140,5,868c69a,2003-03-26 05:07:31,linker fix for cxx,1
