,index,hash,time,message,buggy
1,1,eaccb2e,2008-01-31 11:42:54,Added some example usages to MDAnalysis This corresponds to r5 in /code/MDAnalysis.,0
2,2,2a8eb95,2008-01-31 11:43:01,MDAnalysis - bug with dcd slices This corresponds to r6 in /code/MDAnalysis.,1
2,2,2a8eb95,2008-01-31 11:43:01,MDAnalysis - bug with dcd slices This corresponds to r6 in /code/MDAnalysis.,0
3,3,50d16d9,2008-01-31 11:43:08,AtomGroup - bug in __getitem__ for ResidueGroup This corresponds to r7 in /code/MDAnalysis.,1
5,5,bffbfe2,2008-01-31 11:43:23,MDAnalysis - added a center of geometry timeseries This corresponds to r9 in /code/MDAnalysis.,0
6,6,0d324fc,2008-01-31 11:43:31,Bug dcd correl functions when running on 64 bit machines This corresponds to r10 in /code/MDAnalysis.,1
12,12,17ad3fe,2008-01-31 11:44:20,PSFParser now gracefully handles psf files that only contain NATOM fields This corresponds to r17 in /code/MDAnalysis.,0
13,13,fd540ca,2008-01-31 11:44:27,Fixed a bug with loading new dcds into a universe  where each atom would refer to a previous dcd's timestep object This corresponds to r18 in /code/MDAnalysis.,1
13,13,fd540ca,2008-01-31 11:44:27,Fixed a bug with loading new dcds into a universe  where each atom would refer to a previous dcd's timestep object This corresponds to r18 in /code/MDAnalysis.,0
14,14,f4fc049,2008-01-31 11:44:34,Stupid bug in the calculation of CenterOfMass for Timeseries (in correl.h) This corresponds to r19 in /code/MDAnalysis.,1
14,14,f4fc049,2008-01-31 11:44:34,Stupid bug in the calculation of CenterOfMass for Timeseries (in correl.h) This corresponds to r19 in /code/MDAnalysis.,0
15,15,9200719.0,2008-01-31 11:44:41,Fixed a bug in the DCD reader when jumping to the beginning of the trajectory and there are fixed atoms This corresponds to r20 in /code/MDAnalysis.,1
16,16,2319431.0,2008-01-31 11:44:48,Why was I ever returning a copy of the timestep when using the indexing notation on the dcd reader? Who knows what I was thinkingsvn status This corresponds to r21 in /code/MDAnalysis.,0
17,17,c88e3fe,2008-01-31 11:44:55,Fixed a bug I must have introduced when trying to make PSF reading faster by preallocating the bond  angle  etc lists  but I was only including the last item that was read in each line - also disabled building of bondlists on each atom for the Bond selection  since noone's using it and it really slows down reading a psf This corresponds to r22 in /code/MDAnalysis.,1
