hash,time,message,keyword_buggy,human_buggy,fastread_buggy
4514fc8,2018-02-25 17:07:51,Merge branch 'develop' of gitlab:trunk/abinit into develop,0,,0
bc0e13c,2018-02-25 17:10:28,Initialize v8.7.5,0,,0
7791fa3,2018-02-25 21:08:53,Convert lessons/theory/userguide into md,0,,0
da5f7ea,2018-02-25 21:18:40,Import python code + js + css,0,,0
c2a8c6f,2018-02-25 23:29:53,mkdocs up and running,0,,0
127d4bf,2018-02-26 09:10:49,Merge branch 'develop' of gitlab:trunk/abinit into develop,0,,0
86f26b7,2018-02-26 10:08:59,Merge remote-tracking branch 'trunk/develop' into elpa,0,,0
e5dee57,2018-02-26 11:59:16,Begin to polish md lessons,0,,0
34bae55,2018-02-26 12:30:21,"Fixes for new bots  - add enable_gw_dpc=""yes"" for atlas_gnu_7.2_fb  - rename atlas_intel_18.0_paral to atlas_intel_18.0_openmpi (confusion with cronos)",1,,1
7.7e+97,2018-02-26 13:17:19,Still working on lessons,0,,0
966df01,2018-02-26 13:40:24,"fix typo : remove all "" in the new bot sections",1,,0
9c3275a,2018-02-26 13:43:45,Merge with trunk,0,,0
cf17efc,2018-02-26 15:14:50,Saving work,0,,0
91d9c74,2018-02-26 17:10:07,Cleanup in welcome.md,0,,0
da03c6e,2018-02-26 18:41:37,Merge branch 'develop' of gitlab.abinit.org:trunk/abinit into develop,0,,0
b036c87,2018-02-26 19:35:11,Begin to move images to new (smart) location,0,,0
ded3efd,2018-02-26 21:31:54,Finalize image migration,0,,0
5c3f4e5,2018-02-27 08:24:05,Fix abirules and timana,1,,1
c6406ef,2018-02-27 09:13:48,Remove ABI_UNUSED since not available for structure type and furthermnore it does a copy which is very bad for structure ! So I'll change abirule's ref.,0,,0
d288ee0,2018-02-27 10:29:54,Fixes,1,,1
c5b8f78,2018-02-27 10:34:37,update ref,0,,0
730b722,2018-02-27 11:35:15,theory,0,,0
7f02e38,2018-02-27 12:27:55,Fix,1,,1
697852f,2018-02-27 14:33:09,Regenerate abiref database with betterbib  migrate to new version,0,,0
b7d47d8,2018-02-27 18:50:11,fix typo on builder name,1,,0
bfd42ed,2018-02-27 20:26:08,add refs and dialogs in 1-4 lessons,0,,0
cf8eab9,2018-02-27 22:59:42,Save work,0,,0
a348bf8,2018-02-28 01:27:50,md lessons,0,,0
a36da84,2018-02-28 09:19:53,Merge remote-tracking branch 'remotes/biederj/elpa' into _biederj,0,,0
9605864.0,2018-02-28 09:29:15,For abirules#04  bypass limitation of ABI_UNUSED by calling a fake write.,0,,0
21f0e70,2018-02-28 09:41:51,Well  ABI_UNUSED can be used ...,0,,0
652c4b4,2018-02-28 09:56:40,Use a public component instead of a private one.,0,,0
7028656.0,2018-02-28 11:17:04,Complete m_xgScalapack.F90 with robodoc end marker,0,,0
67b061a,2018-02-28 11:18:55,Update ref for abirules#04,0,,0
0cbca8d,2018-02-28 11:22:20,Correct information about HAVE_GW_DPC,0,,1
22ec07f,2018-02-28 14:00:32,md lessons,0,,0
80cf82f,2018-02-28 22:37:51,mathjax,0,,0
1fba1f7,2018-03-01 01:36:39,Convert yaml vars into python modules,0,,0
effaffb,2018-03-01 03:15:59,Save work,0,,0
8512a3b,2018-03-01 10:51:29,Add jquery-UI,0,,0
00299b9,2018-03-01 15:11:29,Remove old harcoded links,0,,0
ed8093f,2018-03-01 15:12:26,local terms in orbmag  starting on-site,0,,0
d98b5eb,2018-03-01 17:09:28,Cleanup in User-guide,0,,0
3fd2e2c,2018-03-01 19:24:57,Detach Variables from Yaml.Object,0,,0
dbff68d,2018-03-01 21:03:17,markdown,0,,0
3a747c1,2018-03-01 22:01:09,user-guide,0,,0
06e728e,2018-03-01 23:20:54,Remove default values in calls to Variable.__init__,0,,0
7457520.0,2018-03-02 11:35:44,Add links to tutorials flowchart,0,,0
a6a435d,2018-03-02 12:04:30,Remove obsolete mkdocs code,0,,0
297800.0,2018-03-02 16:59:50,Fix problems reported by Michiel,1,,1
e81307f,2018-03-02 18:17:32,Remove old files in variables,0,,0
1807975.0,2018-03-02 18:56:14,merge mkdocs-variables into variables  remove biblio files,0,,0
555272e,2018-03-02 19:20:47,Remove html topics  keep yml because I still need them,0,,0
8d004ac,2018-03-02 19:37:44,Remove pymods,0,,0
716b29c,2018-03-02 19:52:14,Merge mkdocs-tutorials in tutorial and remove old files,0,,0
ee23017,2018-03-02 20:05:21,Merge mkdocs-theory into theory,0,,0
0e2fe55,2018-03-02 20:16:25,Merge mkdocs-user-guide into guide and remove old files,0,,0
94e0c4a,2018-03-02 20:28:07,Remove known_problems dir,0,,0
73efbc9,2018-03-02 21:00:10,Remove bzr files  move pseudos to developers section,0,,0
db8c398,2018-03-02 21:40:04,Remove gallery  interface pseudo docs with mkdocs,0,,0
e0fff6e,2018-03-02 21:50:45,Rationalize ~README files,0,,0
284a52c,2018-03-02 22:02:12,Add kcalc2ibz to SIGEPH.nc,0,,0
c2f2e05,2018-03-02 23:12:30,Remove install_notes  replaced by installation.md,0,,0
7e+52,2018-03-03 01:03:44,Deprecate wikilings without namespace,0,,0
ae52cd4,2018-03-03 02:03:38,Fix links,1,,1
f060c24,2018-03-03 02:27:12,Fix links,1,,1
fd45e4f,2018-03-03 12:34:43,Use acknowledgments.md instead of yml version,0,,0
6bd377a,2018-03-03 12:42:24,Add README -> README.md,0,,0
aed2a89,2018-03-03 13:06:09,Remove ionmov 30 from docs,0,,0
cd78d68,2018-03-03 13:13:30,Add README,0,,0
5b21ca6,2018-03-03 13:56:18,Use wikilinks for pdf files,0,,0
16f15ac,2018-03-03 15:19:09,Fix internal links (generated_files),1,,1
67e5439,2018-03-03 16:19:41,Remove remaining 'generated_files/' links,0,,0
31a3a6d,2018-03-03 17:04:37,Fix internal links  remove site_url in mkdocs.yml,1,,1
2bf6925,2018-03-03 17:05:01,Merge branch 'develop' of gitlab.abinit.org:trunk/abinit into mkdocs,0,,0
d15771c,2018-03-03 20:18:12,Minor fixes,1,,1
fd5896f,2018-03-03 23:54:10,Add test for variables in test,0,,0
bb35484,2018-03-04 01:02:13,Cleanup + add tests for vars in tests,0,,0
460f26b,2018-03-04 02:39:34,Integrate README_ files + ac examples,0,,0
78d126a,2018-03-04 13:10:09,Fix links  add new entries to Variable,1,,1
e221d89,2018-03-04 14:35:03,Only 3 broken links reported by linkchecker due to old release notes in site,0,,0
12379bc,2018-03-04 19:44:02,Merge branch 'develop' of gitlab.abinit.org:trunk/abinit into eph,0,,0
48d9336,2018-03-04 20:22:03,Import code for variables from abipy,0,,0
253cdaf,2018-03-04 23:33:19,Continue to merge abipy code into variables,0,,0
a9c54bb,2018-03-05 01:18:06,About to finalize API,0,,0
5ba400c,2018-03-05 11:55:53,Define topics and relevances in py module  FileFormats was missing in old version,0,,0
af033d6,2018-03-05 15:55:10,Deactivate docchk and check_forbidden_in_doc_yml  replaced by unitests,0,,0
4b1949b,2018-03-05 21:29:13,Add workflow diagram for rf2,0,,0
825532d,2018-03-05 23:36:25,Fix invalid escape seq in py string,1,,1
e62275a,2018-03-05 23:50:57,Update top.am to accound for changes in doc directory and README files.,0,,0
c4ad0b2,2018-03-06 01:12:30,Improve docs,0,,0
7f69e1d,2018-03-06 01:41:34,Conver yaml into python template,0,,0
b37572a,2018-03-06 02:53:23,Update docs,0,,0
d4b913a,2018-03-06 03:15:32,Add description to topics,0,,0
53f1334,2018-03-06 14:33:45,Final cleanup,0,,0
b710cbf,2018-03-06 14:59:17,Fix indentation,1,,0
c4e67e4,2018-03-06 15:27:55,Use the new weight distribution of the Fourier components of the force constants done by Guido Pettreto as default. Extensive benchmarks in the phonon database shows that in most materials it solves issues of the phonon interpolation near Gamma while not decrasing the quality in other materials.,0,,0
79ced62,2018-03-06 20:59:08,Merge branch 'mkdocs' of gitlab.abinit.org:gmatteo/abinit into eph,0,,0
7d52069,2018-03-06 21:14:14,Update month of delivery and version number.,0,,0
4102356.0,2018-03-06 21:15:35,Apply make parents,0,,0
dee0d2e,2018-03-06 21:19:58,Update the check_list,0,,0
0fe04e4,2018-03-06 21:26:18,Initialize v8.7.6,0,,0
c2940b8,2018-03-06 22:22:21,Cleanup,0,,0
3bcbf03,2018-03-06 22:22:27,Merge branch 'develop' of gitlab.abinit.org:trunk/abinit into eph,0,,0
21ea48e,2018-03-07 05:26:32,Activatee the new weights only if nqshift is 0.,0,,0
657e7ea,2018-03-07 09:29:39,merge trunk,0,,0
223c72a,2018-03-07 10:38:10,Add doc/index.md --> guide/new_user,0,,0
86c6a05,2018-03-07 14:34:20,Merge branch 'develop' of gitlab.abinit.org:wchen/abinit into develop,0,,0
66e8f73,2018-03-07 15:51:34,Start to play with the *.md files.,0,,0
e0818ec,2018-03-07 18:33:25,Fix warnings encountered with mksite.py WARNING: Don't know how to handle wikilink token . Also  miscellaneous fixes.,1,,1
6c968a3,2018-03-07 20:54:36,Merge branch 'develop' of gitlab:trunk/abinit into develop,0,,0
6214254.0,2018-03-07 20:54:50,Merge branch 'develop' into mkdocs,0,,0
e122728,2018-03-07 21:07:22,Merge remote-tracking branch 'remotes/henrique/phgamma' into _henrique,0,,0
2df2400,2018-03-07 21:14:04,Implement the correct determination of new_wght,0,,1
9334b54,2018-03-08 00:34:42,Fix wrong displayed value of Fock fraction when using customized hyb_mixing(_sr),1,,1
2000000000000000.0,2018-03-08 00:36:52,Merge branch 'develop' of gitlab.abinit.org:trunk/abinit into develop,0,,0
dc84c14,2018-03-08 00:52:26,Fix the display issue for the range-separation parameter,1,,1
668c63b,2018-03-08 06:05:22,Treat better tolerance of recounting of weights on atoms  for interatomic force constants,0,,0
fa46d30,2018-03-08 06:06:12,Merge branch 'develop' into _henrique,0,,0
8a9ddd3,2018-03-08 06:08:35,Previous fix was not fully correct.,1,,1
5262cb0,2018-03-08 13:18:23,Merge branch 'develop' of gitlab:trunk/abinit into develop,0,,0
6c6a40e,2018-03-08 13:21:14,Add more metadata to netcdf files,0,,0
919c967,2018-03-08 13:21:24,Merge branch 'develop' of gitlab.abinit.org:trunk/abinit into eph,0,,0
1657d69,2018-03-08 16:48:15,Update a series of reference files  due to the change of determination of the weights for the computation of the IFCs.,0,,0
6ec31b1,2018-03-08 16:57:13,Partial update of the input and reference files of the tests affected by the change of meaning of brav,0,,0
1bfd3ac,2018-03-08 17:30:35,Document brav=-1,0,,0
e1e1642,2018-03-08 17:47:39,Fix typo,1,,0
b3a0e55,2018-03-08 17:47:49,Merge branch '_henrique' of gitlab:trunk/abinit into _henrique,0,,0
821a583,2018-03-08 22:29:14,Fix typo,1,,0
e14eda2,2018-03-09 06:04:00,typo correction from Gabriel,0,,0
8df0b4b,2018-03-09 06:26:16,Update references for brav=-1,0,,0
0492af7,2018-03-09 06:27:08,Modifs to deal with brav=-1,0,,0
1a7d275,2018-03-09 06:27:24,Merge branch '_henrique' of gitlab:trunk/abinit into _henrique,0,,0
c217605,2018-03-09 11:35:37,Upgrade refs,0,,0
7f8d606,2018-03-09 15:24:25,Update tolerances. Also reduced the one for v8#45 _GRUN_DOS and _GRUN_QPATH  hoping more stable result from new algorithm for brav=1,0,,0
d9c52e9,2018-03-09 20:58:32,Two more update of tols,0,,0
631c969,2018-03-09 22:53:02,EPH.nc --> A2F.nc (move to new format),0,,0
1f3b254,2018-03-10 05:46:09,Merge branch '_henrique' into develop,0,,0
61cba83,2018-03-10 05:50:35,Merge branch 'mkdocs' into develop,0,,0
733a2b8,2018-03-10 05:54:36,Merge remote-tracking branch 'remotes/wchen/develop' into develop,0,,0
89cb0c6,2018-03-10 11:59:16,Add ph_ variabies for A2F.nc,0,,0
07e6ff7,2018-03-10 12:08:30,Merge branch 'develop' of gitlab.abinit.org:trunk/abinit into eph,0,,0
0bc286e,2018-03-10 14:08:12,Increase EPH_WTOL,0,,0
3610a1a,2018-03-10 14:10:42,Add gwa.pdf to theory.extra,0,,0
4a04d0a,2018-03-12 15:39:45,Change the way spinat is taken into account in initrhoij.F90,0,,0
87f7eb7,2018-03-13 00:40:12,Fix invalid escape sequence,1,,1
5574d65,2018-03-13 20:57:01,Fix edit on github link,1,,1
7603c94,2018-03-14 10:16:17,typo in comment,0,,0
a07f748,2018-03-14 14:21:25,Use zcut as input variable,0,,0
3e0352e,2018-03-14 16:53:19,Increase tols,0,,0
bd712f7,2018-03-14 20:41:37,seems to be a working version with spectral Allen/Eliashberg function. Need to commit it even if this will make clashes with Matteo updates and cleaning of m_phgamma,0,,0
025cbf3,2018-03-15 01:09:24,Fix links to robodoc,1,,1
98189c7,2018-03-15 01:09:51,Merge branch 'develop' of gitlab.abinit.org:trunk/abinit into mkdocs,0,,0
05bcec7,2018-03-15 16:43:39,Use sigma broadening in DW if ediff < tol6,0,,0
7c17df7,2018-03-16 08:51:17,Update refs files for the tutorial tdepes,0,,0
772dee5,2018-03-16 10:11:36,Add references+links,0,,0
06d52b9,2018-03-16 10:59:23,"Translate ""tribe"" to ""relevance"" whenever needed.",0,,0
fe78f37,2018-03-16 11:22:36,Fix incorrect directories or other typos.,1,,1
f077e42,2018-03-16 12:01:31,Write adiabatic results to ab_out,0,,0
ac048f9,2018-03-16 21:50:52,Execute tdepes only in the NETCDF case.,0,,0
9a73ac1,2018-03-17 06:29:14,Make the test on the lowest argument of an exponential more robust,0,,0
a48a810,2018-03-17 06:30:20,Merge branch '_gmatteo' of gitlab.abinit.org:trunk/abinit into _gmatteo,0,,0
46679a9,2018-03-17 07:09:55,Fix issues in the .md files  linked to the message of JMB.,1,,0
ceddc6d,2018-03-17 09:01:05,Fix of a subset of borken links detected by linchecker.,1,,1
205df8e,2018-03-17 13:07:28,Clean the tutorials tdepes.,0,,0
6e+141,2018-03-17 14:32:08,add spin dynamics branch,0,,0
afd2877,2018-03-18 05:28:13,Partial rewriting of the tdepes tutorial.,0,,0
006e823,2018-03-18 06:26:38,v8.6 release notes are integrated  not yet fully formatted.,0,,0
79c54a1,2018-03-18 06:54:06,Release notes for v8.6 are now better formatted. Not all hyperlinks have been established  but this is sufficient for now.,0,,0
6d7c490,2018-03-18 08:59:12,Treat explicitly the computation of the q-point grid.,0,,0
27ab0c0,2018-03-18 10:50:32,tdepes_3 has been cleaned.,0,,0
e844bb3,2018-03-18 13:35:27,Further work on tdepes.,0,,0
35c40dd,2018-03-18 15:43:22,Improve docs,0,,0
d425205,2018-03-18 16:25:24,Fix problem with tdepes_2 . Also define depes_4_plot_bs.in.,1,,1
d1732a6,2018-03-18 16:55:10,The first cleaning of the tutorial is completed. Checks still to be done.,0,,0
6e34f1a,2018-03-18 17:04:15,Update tdepes_4 input and output files,0,,0
c4d3c03,2018-03-18 17:29:24,Fix typos,1,,0
09d5b8d,2018-03-18 18:18:34,Fix problem with tdepes_2,1,,1
74a1b96,2018-03-18 18:21:24,Update of ref for tdepes_4 (was obtained on my Mac initially).,0,,0
b54c04e,2018-03-18 18:59:56,Merge branch '_gmatteo' of gitlab:trunk/abinit into _gmatteo,0,,0
bf7640b,2018-03-18 21:37:46,add spin dynamics source code,0,,0
938aa37,2018-03-18 21:45:11,Miscellaneous fixes.,1,,1
71b3c42,2018-03-18 22:25:14,save supercell vectors in m_supercell,0,,0
12dfb28,2018-03-18 22:26:00,clean duplicated m_supercell.F90 file,0,,0
0f5462a,2018-03-18 23:18:49,Tutorial rf1 has been cleaned and upgraded. Also help for respfn. Also added a few references in the bib file.,0,,0
bd40442,2018-03-19 06:35:03,Minor adjustment.,0,,0
58f9315,2018-03-19 09:10:56,Merge branch 'develop' of gitlab.abinit.org:trunk/abinit into eph,0,,0
00fd429,2018-03-19 09:51:32,remove duplicated free in effpot_xml.c,0,,0
45ad551,2018-03-19 15:27:54,Use IBZ in DW if symsigma,0,,0
8d2c600,2018-03-19 15:46:41,Update refs,0,,0
