index,hash,time,message,buggy
977,863c412,2018-05-19 11:20:20,About to finalize v8.8.2,0.0
978,0d3f423,2018-05-19 13:00:35,Merge branch 'release-8.8' into develop,0.0
82,9195235.0,2018-05-19 13:50:32,Define two new input variables : prtefmas and eph_frohlichm,0.0
83,1cbb5e8,2018-05-19 14:03:08,Place checks on the values of prtefmas and eph_frohlichm,0.0
84,80b9950,2018-05-19 15:07:58,Initialize v8.8.3,0.0
0,7dc2ddb,2018-05-19 15:10:52,Initialize v8.8.3,0.0
980,dab5701,2018-05-19 15:35:31,Merge branch 'release-8.8' into develop,0.0
981,c60c559,2018-05-19 16:04:29,Insignificant automatic change.,0.0
85,405b05a,2018-05-19 16:08:16,Finally  changing ecut/pawecutdg to 3.5/7.0 seems to work well...,0.0
86,5e296d2,2018-05-19 16:21:23,Merge remote-tracking branch 'gitlab_trunk/develop' into nonlinear-pol,0.0
87,631aad1,2018-05-19 17:00:14,Document new input variables eph_frohlichm and prtefmas,0.0
88,33c729a,2018-05-19 17:08:42,Replace EffMass by EffectiveMass in the doc,0.0
89,92c5f79,2018-05-19 17:39:04,Change the routine name print_efmas to print_tr_efmas,0.0
90,b47a904,2018-05-19 22:34:53,Start to work on subroutine print_efmas. Document the coding by Jonathan.,0.0
91,cca2899,2018-05-20 06:04:00,Initialize v8.9.2,0.0
92,19af27b,2018-05-20 06:23:23,Merge remote-tracking branch baguetl/nonlinear-pol/5e29 into _baguetl,0.0
93,b23bb36,2018-05-20 06:36:04,Fix typo in outvars related to prtefmas,1.0
94,8d31f96,2018-05-20 06:37:34,Merge branch 'develop' into efmas3,0.0
95,e7a573d,2018-05-20 06:51:50,Minor improvement of doc,0.0
96,78faad8,2018-05-21 06:38:57,Suppress degl and treated records for the efmasdeg structured datatype,0.0
97,af87335,2018-05-21 06:48:17,Suppress degenerate recort of efmasdeg,0.0
98,4c3feab,2018-05-21 07:05:11,Replace efmas by efmasdeg in check_degeneracies   suppress record band_range from efmasdeg .,0.0
99,9a30189,2018-05-21 07:30:12,Suppress deg_dim record of efmasdeg. Improve documentation.,0.0
100,58abc87,2018-05-21 09:31:40,Fix typos. Now compile. v8_t55&56 OK.,1.0
101,371bb17,2018-05-21 09:39:17,Eliminate some conversion warnings.,0.0
102,f6bb461,2018-05-21 10:47:19,Fix typo,0.0
