hash,time,message,keyword_buggy,human_buggy,fastread_buggy
ea17f841,2015-10-02 13:29:36,Merge pull request #98 from drroe/topology_dataset,0,,1
4e6b5b3e,2015-10-04 09:15:29,Merge branch 'topology_dataset' into topology_dataset_removeVars,0,,1
e7f688f2,2015-10-04 11:38:39,DRR - Cpptraj: Move active reference structure for distance based mask functionality to DataSetList. When active reference is set ensure it is set for all topologies and COORDS data sets.,0,,0
5b9a0b97,2015-10-04 12:07:09,DRR - Cpptraj: Move bond search offset to ParmIO  remove old bond search routine from Topology  add new bond search to build and update dependencies.,0,,0
e0c03458,2015-10-04 17:47:58,DRR - Cpptraj: Start changing Action API to hopefully make it more stable.,0,,0
f2b2648e,2015-10-04 17:57:33,DRR - Cpptraj: Change ActionList,0,,0
84800100,2015-10-04 18:10:27,DRR - Cpptraj: Pass in CoordinateInfo/Nframes,0,,0
4e96f7be,2015-10-05 10:10:20,DRR - Cpptraj: Change around some of the names for ActionState classes  try to be consistent and cle ar. Update dependencies.,0,,0
0daba78e,2015-10-05 10:50:18,DRR - Cpptraj: Clean up ActionList class.,0,,0
7b008435,2015-10-05 11:52:42,DRR - Cpptraj: Record how many frames are associated with Topologies in the TrajinList  replaces functionality that was handled by Topology::Nframes().,0,,0
e957055c,2015-10-05 13:53:47,DRR - Cpptraj: Add pseudo bond info to vector traj pseudo topology,0,,0
4b204e7c,2015-10-05 14:03:03,DRR - Cpptraj: Fix obsolete Topology commands.,1,,1
123e5d26,2015-10-05 14:38:43,DRR - Cpptraj: Modify CpptrajState to use ActionState classes. Use DataSet_Coords::TopPtr() where appropriate. Remove more references to obsolete Topology functions. Re-enable the Topology box modification aspect of SetParmCoordInfo (now SetBoxFromTraj) to prevent any backwards compat. issues  although this may be changed entirely in the future. Fix calls to output trajectory setup routines.,1,,0
cc186f18,2015-10-05 15:40:39,DRR - Cpptraj: Re-enable the strip action to test changing topology/coordinates with ActionState classes  also re-enable outtraj so Test_Strip actually works. Add routine to DataSetList to get FileName MetaData from Topology - not sure if this is the way to go to avoid storing OriginalFilename in Topology...,0,,0
f9ee9904,2015-10-05 15:46:04,DRR - Cpptraj: Correctly indicate that strip modifies coords. Fix ambpdb compile,1,,1
798c5333,2015-10-05 15:47:53,DRR - Cpptraj: Fix code doc,1,,0
d5e82cfb,2015-10-06 09:08:41,DRR - Cpptraj: Re-enable and update autoimage. Disable BoxType in Parm - actions should use CoordInfo from Traj instead.,0,,0
d2988a82,2015-10-06 09:44:14,DRR - Cpptraj: Only return ReferenceFrame with error if keyword present and reference not found.,1,,0
c3ef5337,2015-10-06 09:45:57,DRR - Cpptraj: Enable and update rmsd Action.,0,,0
883815a4,2015-10-06 09:51:30,DRR - Cpptraj: Enable and update dihedral,0,,0
7004de34,2015-10-06 09:56:12,DRR - Cpptraj: Enable and update distance,0,,0
6f1059f0,2015-10-06 10:03:41,DRR - Cpptraj: Enable and update pucker and radgyr,0,,0
868c22b8,2015-10-06 10:13:14,DRR - Cpptraj: Make AddTopAtom set residue final atom instead of waiting until CommonSetup is called (otherwise bond searching is broken  also this is safer in general).,0,,0
f9652e47,2015-10-06 13:25:13,DRR - Cpptraj: Add original filename back to Topology to enable things like Action_Strip 'outprefix',0,,0
60b144fe,2015-10-06 13:54:37,DRR - Cpptraj: Get rid of GetTopByPindex() routine,0,,0
15d5c119,2015-10-06 14:21:24,DRR - Cpptraj: Enable and update closest. Re-enable WritePrefixTopology.,0,,0
e1f70b20,2015-10-06 14:23:52,DRR - Cpptraj: Enable and update hbond,0,,0
4a7a5443,2015-10-06 14:43:13,DRR - Cpptraj: Enable and update radial  add 'rdf' as command for radial.,0,,0
80d07ce5,2015-10-06 15:35:26,DRR - Cpptraj: Enable and update areapermol  atommap  atomiccorr  atomicfluct  average  bounds  box  cetner  channel  checkchirality  check  clusterdihedral  contacts  and createreservoir.,0,,0
aa00dec9,2015-10-06 15:55:13,DRR - Cpptraj: Update/enable dnaiontracker (not in Command though)  dssp.,0,,0
088754f3,2015-10-06 19:53:10,Merge branch 'master' into parallel_trajin,0,,0
03707a64,2015-10-07 08:11:00,DRR - Cpptraj: Update the rest of the actions  all are not working yet.,0,,0
aaf8eb08,2015-10-07 08:12:07,DRR - Cpptraj: Add missing Action_Unstrip.cpp,0,,0
e86f9cbc,2015-10-07 09:22:30,DRR - Cpptraj: Ensure atom record number is incremented even when skipping extra points to ensure record numbers in PDB line up with atom numbering in topology.,0,,0
48331f5a,2015-10-07 09:37:11,DRR - Ambpdb: Add '-ep' option for printing extra points.,0,,0
a81ff92d,2015-10-07 10:26:28,Merge pull request #103 from drroe/pdb_extrapt,0,,1
2e3d2471,2015-10-07 11:29:32,DRR - Cpptraj: Update density  diffusion  dihedralscan  dipole  drmsd  energy  fixatomorder  gist  gfe  and image,0,,0
65352e75,2015-10-08 07:05:42,DRR - Cpptraj: Update jcoupling  lessplit  lie  makestructire  mask  matrix  minimage  molsurf  multidihedral  and multivector.,0,,0
b6a2430b,2015-10-08 13:42:59,DRR - Cpptraj: Update nastruct  nmrrst  nativecontacts  order  pairdist  pairwise  principal  projection  randomizeions  replicatecell  rotate  runningavg  stfcdiffusion  scale  setvel  spam  surf  symmrmsd  temperature  translate  unwrap  vector  vac  volume  and watershell. Add function to modify Atom to Topology. Add function to return reference coords CoordinateInfo.,0,,0
df785086,2015-10-08 13:45:51,Merge branch 'master' into topology_dataset,0,,0
5ffcecfc,2015-10-08 14:28:24,DRR - Cpptraj: Store Action allocator for ensemble,0,,0
595a5b51,2015-10-08 14:28:49,DRR - Cpptraj: Remove debug message,0,,0
0afcae73,2015-10-08 14:29:08,DRR - Cpptraj: Set to NOBOX when all lengths zero. Print warning messages about 0 lengths/angles for now.,0,,0
d94164d2,2015-10-08 14:29:48,DRR - Cpptraj: When adding data sets to DataSetList push to main list first (otherwise setting active reference doesnt work for first reference added). Use c_str() again for brief Topology info. Remove obsolete commented out code.,0,,0
5546bb80,2015-10-08 15:03:10,DRR - Cpptraj: Always search for molecules in CommonSetup (was effectively the default behavior previously). For backwards compatibility  always overwrite Topology box info with traj box info during trajin/ensemble.,0,,0
f07b4ab1,2015-10-08 15:12:31,DRR - Cpptraj: Ensure original coords (and velocities if present) are copied over before assigning new velocities.,0,,0
66fec26d,2015-10-08 15:30:50,DRR - Cpptraj: Fix residue numbering in Append,1,,1
43de8eee,2015-10-08 15:38:45,DRR - Cpptraj: Add recognition for nucelic acid short residue name conversion,0,,0
54d504ac,2015-10-08 15:52:55,DRR - Cpptraj: atomiccorr  watershell  and radial no longer require output files to be specified.,0,,0
05ee56ae,2015-10-08 21:40:06,No -lgfortran for clang,0,,0
6cd60119,2015-10-09 08:27:10,DRR - Cpptraj: Hbond imaging always requires calculation of Cart.->Frac/Frac->Cart. matrices  fixes imaging in orthorhombic systems.,1,,0
40f3a27c,2015-10-09 08:36:51,Merge pull request #107 from drroe/fix_hbond_image,0,,1
69ba3542,2015-10-09 08:52:34,Merge branch 'master' into topology_dataset,0,,0
00fa8314,2015-10-09 09:51:24,DRR - Cpptraj: Fix typo,1,,0
659be800,2015-10-09 11:46:13,OS X,0,,0
da218c75,2015-10-09 13:17:53,DRR - Cpptraj: 'grid' no longer requires output file name,0,,0
e5917991,2015-10-09 13:31:45,DRR - Cpptraj: Make filename argument detection by position more robust,0,,0
80e52c70,2015-10-09 13:39:41,DRR - Cpptraj: Increment internal version to reflect Action API change.,0,,0
bb9ec839,2015-10-09 15:16:57,DRR - Cpptraj: Add code doc to ActionState,0,,0
351ccf93,2015-10-09 15:44:48,DRR - Cpptraj: Update dev guide for Action API change.,0,,0
16e9c605,2015-10-09 20:43:06,Merge pull request #111 from drroe/topology_dataset,0,,1
a5e27729,2015-10-09 20:50:23,DRR - Cpptraj: Add ActionInit default constructor  required for pytraj/cython,0,,0
7330e2a1,2015-10-09 20:55:09,Merge pull request #112 from drroe/ActionInit_constructor,0,,1
2e0fd3d4,2015-10-09 20:57:59,Merge branch 'master' into parallel_trajin,0,,0
d4db10ff,2015-10-10 10:17:13,DRR - Cpptraj: 'modes trajout' will now correctly determine traj output format from filename extension if 'trajoutfmt' not specified.,0,,0
61a33122,2015-10-10 10:28:19,Merge pull request #114 from drroe/fix_92,0,,1
04b3b73c,2015-10-10 10:31:31,Merge branch 'master' into devguide_updates,0,,0
710c1919,2015-10-10 10:47:44,DRR - Cpptraj: More dev guide updates.,0,,0
f6fdd6a1,2015-10-10 11:04:23,Merge pull request #116 from drroe/devguide_updates,0,,1
3121a65f,2015-10-10 11:14:10,DRR - Cpptraj: Initial attempt to fix # expected frames to be written for trajout,1,,1
c42e3e27,2015-10-10 14:18:46,DRR - Cpptraj: In outtraj  do not PrintInfo until traj has been set up. When loading Topology  remove top data set when load error occurs. Protect against empty arrays in TrajoutList.,1,,0
b5d62dc1,2015-10-10 14:32:24,Merge pull request #117 from drroe/fix_115,0,,1
c6f01d3f,2015-10-12 08:19:01,Merge branch 'master' into minor_fixes,0,,0
4d087040,2015-10-12 15:27:58,DRR - Cpptraj: Fix error messages and float output format strings in hist. Ensure only 1D scalar sets are histogrammed.,1,,0
baf9965a,2015-10-12 15:37:31,DRR - Cpptraj: Explicitly check for presence of step/bins arg (don't use values). Clean up some iterator syntax.,0,,0
600ce00f,2015-10-12 15:40:39,DRR - Cpptraj: Check for no step with == 0.0 instead of < 0.0,0,,0
9b1641ce,2015-10-12 16:19:49,DRR - Cpptraj: Set default min/step for time series in DataSetList  and make blank step == 0. This fixes issues where some analyses would fail because default min/step previously was being set up only upon DataFile write  but not yet working with DataFile arguments (like 'time').,1,,0
77baf0e1,2015-10-13 12:39:26,DRR - Cpptraj: Split Dimension into Dimension  which is used for coordinate output  and HistBin  which is used for histogramming. The DataFile arguments now work on any subsequent set added to the DataFile.,0,,0
c5b41753,2015-10-14 08:02:08,Tweaks so we can start testing clang on Travis.,0,,0
945a7863,2015-10-14 08:58:40,DRR - Cpptraj: Fix reading of CONECT records when there is leading whitespace in number and no space between consecutive numbers. In Topology::AddBonds  add check for out-of-range atom #s.,1,,1
21ffe130,2015-10-14 09:12:58,DRR - Cpptraj: Fix typo in 'pdb_OccupancyAndBfactor' function name. Do not use sscanf in pdb_Box to avoid same issue just fixed in pdb_Bonds.,1,,0
7d68c119,2015-10-14 09:42:05,DRR - Cpptraj: Clean up and clarify atoms out of order/no molecules error message.,1,,0
c23dbd17,2015-10-14 09:56:30,Merge pull request #125 from drroe/fix_pdb,0,,1
598b7b50,2015-10-14 10:26:48,DRR - Cpptraj: Make NetCDF nc_strerror and attribute error messages warnings instead since they are not always fatal (e.g. when getting a title that's not there). Make failing to get the spatial VID a non-fatal warning that the file may not be Amber-compliant  but if spatial VID is present make sure it contains 'x'  'y'  'z'.,1,,0
ce9b2bbd,2015-10-14 10:36:00,Merge pull request #127 from drroe/netcdf_warnings,0,,0
5bfd96ac,2015-10-14 10:38:23,Merge branch 'master' into minor_fixes,0,,0
8289ae31,2015-10-14 10:44:13,Merge pull request #124 from swails/travis,0,,1
136c4508,2015-10-14 10:44:50,Merge branch 'master' into minor_fixes,0,,0
d772b1ce,2015-10-14 12:51:10,DRR - Cpptraj: Remove obsolete code.,0,,0
ad765709,2015-10-14 13:15:05,DRR - Cpptraj: Do not require bins or step to be specified since they may be specified for each dataset separately,0,,0
fd1e0bf7,2015-10-14 13:15:46,DRR - Cpptraj: Give output sets from rmsavgcorr explicit X label,0,,0
9258acfe,2015-10-14 13:28:57,DRR - Cpptraj: Fix lifetime output dimensions,1,,1
8a042c3d,2015-10-14 13:34:20,DRR - Cpptraj: Fix KDE histogram X label  make it the legend of input data set.,1,,1
88624fe9,2015-10-14 13:34:55,DRR - Cpptraj: Give dimensions default minimum and step of 1.0 upon creation. This fixes the Coord() function of all DataSets that make use of DataSet::dim_ (currently all except DataSet_Mesh).,1,,0
91ed6333,2015-10-14 14:01:31,Merge pull request #106 from rmcgibbo/clang,0,,1
3f3bf983,2015-10-14 14:04:26,DRR - Cpptraj: Fix dimension label for curvefit outxbins,1,,1
