hash,time,message,keyword_buggy,human_buggy,fastread_buggy
53c364d35,2017-08-22 07:22:17,Tagging v2.1.9 release,0,,0
dfb900235,2017-08-22 08:10:12,Merge branch 'maint',0,,0
82ecfe12d,2017-08-22 08:47:52,Update change log,0,,0
f507b3782,2017-08-22 08:50:05,Update list of tested compilers,0,,0
655b362b3,2017-08-22 08:51:02,Merge branch 'master' into bd_validation_test,0,,0
27dcb4c70,2017-08-22 08:51:34,Merge branch 'master' into force_callback,0,,0
0148bc461,2017-08-22 09:26:50,Point submodules to group maintained forks,0,,0
8fb9cdbb8,2017-08-22 09:36:11,Bump cereal to latest bugfix release,0,,0
7d83afa87,2017-08-22 09:38:49,Fix typos in modified .gitmodules,1,,0
694731543,2017-08-22 09:39:05,Use the latest upp11 with bug fixes,1,,1
5b99d73c1,2017-08-22 09:48:41,Run `git submodule update sync`,0,,0
4aa939550,2017-08-22 11:26:38,Fix CI conda build/upload issues,1,,0
def5d73db,2017-08-22 12:22:05,Merged in convexpolyhedron-union-merge (pull request #321),0,,0
13b2606ed,2017-08-22 12:26:28,Merged in rigid_body_self_interactions (pull request #361),0,,0
ba3db8151,2017-08-22 12:27:15,Merged in optimize_gpu_pppm (pull request #385),0,,0
772cb87ef,2017-08-22 12:29:54,Merged in olcf_compat (pull request #386),0,,0
514bde7ba,2017-08-22 12:57:32,Add missing change log entries,0,,0
a53ceb431,2017-08-23 10:37:42,Make conda package upload more robust,0,,0
6c37a98ab,2017-08-24 11:13:07,Use full path for conda uploads on mac,0,,0
d203886e3,2017-08-24 11:56:44,Use conda build variants to build hoomd,0,,0
8ce916b35,2017-08-24 14:13:25,Support multiple variant builds in conda build.sh,0,,0
92c7d199c,2017-08-24 14:42:03,Merged in protect-submodules (pull request #389),0,,0
d6e5fe9cc,2017-08-25 07:21:22,Reduce parallel builds on linux,0,,0
1ebafd9f4,2017-08-30 13:58:58,test_file,0,,0
142072a68,2017-08-30 14:01:38,deleted test file,0,,0
b056de859,2017-08-31 15:09:25,added spheropolyhedron and sphere wall capability,0,,0
4a2343023,2017-09-05 12:12:49,Fix typos,1,,0
4e160952b,2017-09-05 12:59:17,added sphere wall + spheropolyhedron unit test,0,,0
a224d21fa,2017-09-05 16:13:53,Merged in conda-cuda (pull request #390),0,,0
40929a060,2017-09-06 11:27:29,Merged in bd_validation_test (pull request #384),0,,0
4a21c71ef,2017-09-07 15:02:43,Install special pair headers,0,,0
950e9fec2,2017-09-08 09:32:46,Bump version to 2.2.0,0,,0
75f97d001,2017-09-11 11:51:34,Merged in mphoward/hoomd-blue/install-special-pair (pull request #392),0,,0
240dd9cf5,2017-09-11 12:18:34,Merge branch 'master' into hpmc-enthalpy,0,,0
c95187879,2017-09-11 18:05:49,Merge branch 'master' of https://bitbucket.org/glotzer/hoomd-blue into spheropoly-wall,0,,0
dcc799d75,2017-09-11 18:36:28,removed comments  added documentation  added contributor details,0,,0
41b0f7495,2017-09-12 13:58:03,Add prototype JIT based patch energy evaluator,1,,0
d7f93740e,2017-09-12 23:50:17,support update.muvt() with depletant_mode='overlap_regions',0,,0
99f8f8b91,2017-09-13 01:18:17,correct acceptance criteria for update.muvt() with implicit=True,0,,0
565563e0e,2017-09-13 12:06:26,Compile user specified code using clang,0,,0
f8357dbd6,2017-09-13 13:02:08,Add documentation for jit computed patch energy,1,,0
