hash,time,message,keyword_buggy,human_buggy,fastread_buggy
410549e,2015-05-15 19:57:28,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@12452 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
aef75ac,2015-05-15 22:41:51,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13706 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
26c0997,2015-05-15 23:09:00,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13857 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
bff0947,2015-05-18 16:04:42,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13748 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
b2b721f,2015-05-18 16:10:20,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13712 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
d9be5d7,2015-05-18 21:06:56,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13713 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
f110488,2015-05-18 21:08:06,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13714 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
9d8ec27,2015-05-19 19:13:31,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13827 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
43d738e,2015-05-21 19:10:38,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13831 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
547f570,2015-06-04 14:32:54,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13832 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
9a72a59,2015-06-08 23:55:40,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13833 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
5a72351,2015-06-09 15:22:07,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13834 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
e223ffe,2015-06-12 16:58:04,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13835 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
12b5742,2015-06-23 23:18:51,',0,,0.0
4844574.0,2015-06-26 17:33:25,',0,,0.0
721b312,2015-07-01 15:51:02,Fixing copy bug in pair_exp6_rx_kokkos,0,,1.0
afd2f6b,2015-07-01 15:54:23,Fixing neighbor bug,0,,1.0
fe0bf70,2015-07-01 19:56:10,fix another couple of typos,0,,0.0
2b605e2,2015-07-01 21:02:16,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13840 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
a67cb06,2015-07-01 21:52:07,Fixing neighbor bug,0,,1.0
65f55e7,2015-07-02 00:39:19,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13841 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
90d0dd2,2015-07-02 00:39:44,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13843 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
7abe03a,2015-07-02 00:43:29,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13830 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
b3242e1,2015-07-02 00:44:17,',0,,0.0
7579964.0,2015-07-02 00:44:28,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13852 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
ade2dca,2015-07-02 00:45:28,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13853 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
5db1b37,2015-07-02 00:48:12,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13854 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
