index,hash,time,message,buggy
2100,7e78738,2018-02-09 14:26:21,patch 5Feb18,0.0
2101,2e99e54,2018-02-09 14:44:11,Merge branch 'patch-2' of https://github.com/amilumas/lammps into collected-small-changes,0.0
2102,3528f9c,2018-02-09 15:19:01,fix bugs in documentation and implementation of atom style mdpd,0.0
2103,a6eb521,2018-02-09 17:32:32,strip off unwanted ^M characters,0.0
2104,8a39ae8,2018-02-09 17:32:42,remove dead code,0.0
2105,6efeab0,2018-02-10 20:40:02,avoid segfault when using a hash as map on an empty system,0.0
2106,afd39eb,2018-02-11 16:17:24,correctly represent  that the molecule summary refers to the largest type number and not the number of types,0.0
2107,b9eaf98,2018-02-11 17:09:06,avoid uninitialized memory access errors reports from valgrind with fix qeq,0.0
1223,a04a975,2018-02-11 17:35:47,add large nylon example for parallel validation  reformat doc page,0.0
2108,378c507,2018-02-12 14:26:05,protect library interface from issuing lammps commands during run and minimize,0.0
2109,776f588,2018-02-12 18:43:30,add support for UFM pair style support to OpenCL compilation makefile,0.0
2110,fcf552f,2018-02-13 09:51:02,Merge branch 'patch-4' of https://github.com/abbatux/lammps into collected-small-changes,0.0
2111,3a909e1,2018-02-13 11:43:52,remove non-functional doxygen generated navigation header from AtC doc files,0.0
2112,f890cdf,2018-02-13 11:44:07,correct formatting in fix atc docs,0.0
2113,3ceec36,2018-02-13 12:38:48,improve format,0.0
2114,44faa8e,2018-02-13 12:43:32,insert new toplevel text into USER-ATC docs  change header levels.,0.0
2115,b0d8fb2,2018-02-13 12:43:56,promote header levels for better formatting in pdf manual,0.0
2116,7b551bb,2018-02-13 12:47:05,add a short command overview page for the PDF manual only,0.0
2117,60f411d,2018-02-13 12:47:36,update manual content list for recent updates,0.0
2118,63714c7,2018-02-13 13:10:20,remove PDF-only .txt file from Sphinx documentation processing,0.0
2119,1a21336,2018-02-13 14:54:30,add group style to create an empty group directly,0.0
2120,b3693f8,2018-02-13 16:40:50,different style of AtC page headers that works well with html and pdf,0.0
2121,69f813b,2018-02-13 16:41:23,fix up formatting of tutorials for PDF manual,0.0
2122,4210abf,2018-02-13 18:15:17,bugifx for using compute chunk/atom with compress via rerun or right at the beginning of a run,0.0
2123,2aa693c,2018-02-15 05:06:54,update authors list and packages from http://lammps.sandia.gov/authors.html,0.0
2124,f8daea5,2018-02-15 05:13:59,make dihedrals and impropers header output consistent with bonds and angles,0.0
2125,2c42876,2018-02-15 05:17:15,allow dynamics groups for fix nve/limit and fix temp/rescale,0.0
2126,a30ede8,2018-02-15 12:12:19,avoid triggering misformatting of manual overview table with txt2html,0.0
2127,b220b64,2018-02-16 10:49:08,Update error.cpp,0.0
2128,3d12cff,2018-02-16 10:55:25,Merge branch 'patch-1' of https://github.com/evoyiatzis/lammps into collected-small-changes,0.0
2129,a641e40,2018-02-16 14:11:58,use Error::message() instead of Error::warning() to report whether coulomb tables are used or not,0.0
2130,c4ea2f2,2018-02-16 14:24:33,update long-range coulomb message formatting  so it fits better into other kspace output,0.0
2131,c864e55,2018-02-18 14:20:59,Lennard-Jones potential with Coulomb interactions accounted through Wolf summations,0.0
2132,6587084,2018-02-18 15:37:35,fix typo in stride2() description in variable command docs reported by Jerome Guterl,0.0
2133,98bcf51,2018-02-18 16:07:00,there is no support for multi-cutoff r-RESPA in lj/cut/coul/wolf,0.0
2134,44285f8,2018-02-18 16:37:41,more cleanup and respa code removal,0.0
2135,7ec4a58,2018-02-18 16:38:11,add USER-OMP versions of lj/cut/coul/wolf,0.0
1252,5843be1,2018-02-18 17:03:40,move fix bond/react to USER-MISC package,0.0
1253,75a4328,2018-02-18 17:11:06,remove messy hack,0.0
1254,d52c543,2018-02-18 17:12:03,ignore installed copy of fix bond/react,0.0
2136,7bd089a,2018-02-19 14:05:50,fix typo,0.0
2137,54dc73c,2018-02-19 14:06:26,correctly compute adjusted box lengths for triclinic boxes. code taken from topotools,0.0
2138,a8a3821,2018-02-20 10:06:24,added old tangent to fix_neb for AGNI potential,0.0
2139,54740a0,2018-02-20 11:54:24,Merge pull request #804 from akohlmey/collected-small-changes,0.0
2140,9cf99ef,2018-02-20 11:55:37,Merge pull request #806 from vishalkenchan/new_pair_lj_cut_coul_wolf,0.0
2141,c399b75,2018-02-20 12:52:12,2nd try on LATTE error returns  plus a couple minor doc edits,0.0
2142,9f7b837,2018-02-20 17:18:56,replace non-ASCII character,0.0
2143,a5a4789,2018-02-20 22:10:21,make XDR support for dump style xtc compile on MacOSX,0.0
2144,911529a,2018-02-21 08:43:33,correct typo,0.0
2145,53fb7f4,2018-02-21 09:47:17,Merge pull request #810 from lammps/latte-error2,0.0
2146,a3cd600,2018-02-21 09:48:49,Merge pull request #786 from jrgissing/per_atom_prop_group,0.0
2147,d9d072d,2018-02-21 09:49:39,Merge pull request #809 from Jc11235/fix_neb_old_tangent_implementation,0.0
2148,aa1503b,2018-02-21 09:50:22,Merge pull request #800 from athomps/fix_gcmc_segfault_fix,0.0
2149,a672874,2018-02-21 10:04:13,Update comment,0.0
1269,b252866,2018-02-21 10:17:00,sync fix temp/rescale to upstream,0.0
1270,daae906,2018-02-21 10:30:35,move fix bond/react examples and compress large data file,0.0
2150,e1d1c87,2018-02-21 10:54:58,Merge pull request #811 from akohlmey/check-latte-version,0.0
1272,deeba53,2018-02-21 11:14:32,consolidate inclusion file style with LAMMPS conventions,0.0
1273,b6821ed,2018-02-21 11:15:09,since the code uses static ids  only one instance is allowed at a time,0.0
1274,5191071,2018-02-21 11:15:44,no need to cast fixes to specific styles/types,0.0
1275,38ce56f,2018-02-21 11:51:25,fix documentation issues: non-ASCII characters  broken/missing links  formatting,0.0
2151,bcef43c,2018-02-21 12:11:02,add code to check the ABI version of the LATTE library,0.0
1277,a8eb3ff,2018-02-21 23:20:17,consolidate per-atom property fixes into one,0.0
1278,8fef788,2018-02-22 02:23:57,dead code removal and loop construct fixes to silence compiler warnings.,0.0
1279,3787b89,2018-02-22 02:31:25,re-add compressed data file (was hidden by .gitignore),0.0
2152,cf3887c,2018-02-22 07:53:58,default arguments on polymorph/pure methods can lead to unexpected overloading in derived classes,0.0
2153,65acd23,2018-02-22 08:13:54,forgot to remove one default argument on a method derived from Integrate::setup(),0.0
2154,99d5957,2018-02-22 08:42:36,make default argument of virtual function Neighbor::build() explicit,0.0
2155,bfdf464,2018-02-22 08:46:03,patch 22Feb18,0.0
2156,feb9f29,2018-02-22 08:47:45,Merge pull request #812 from akohlmey/correct-integrate-setup,0.0
2157,77efd3d,2018-02-22 08:48:06,Merge pull request #813 from akohlmey/correct-neighbor-build,0.0
2158,939b1b2,2018-02-22 14:27:23,Workaround issue in pair_snap_kokkos_impl,0.0
2159,f3cf407,2018-02-23 08:34:53,Collected fixes and updates to Colvars library,0.0
2160,4a875dc,2018-02-23 09:01:34,Workaround for compiler bug in gcc v4.9.3  manifest in KOKKOS SNAP,0.0
1289,d5e43a9,2018-02-23 10:20:29,whitespace cleanup and reindent,0.0
2161,523978b,2018-02-23 12:04:15,dead code and uninitialized variables detected by clang,0.0
2162,0003bb6,2018-02-23 14:20:39,merge capture regions  so the library interface code can compiled with exceptions,0.0
2163,bba4bd1,2018-02-23 18:02:05,support offsets for molecule IDs (if available) in read_data similar to atomIDs,0.0
2164,5fb2979,2018-02-24 13:50:42,allow dynamic groups for some standard walls interacting with point particles,0.0
2165,fb6e7e8,2018-02-24 16:41:10,add sanity checks for ring communication,0.0
2166,948f478,2018-02-24 17:17:45,ring communication *is* called with outbut set to NULL  so don't error out on that.,0.0
1296,7d1de34,2018-02-24 22:49:28,gatherv fix  doc updates,0.0
1297,3b90f60,2018-02-24 23:49:27,Merge pull request #3 from lammps/master,0.0
2167,58e01a9,2018-02-25 14:03:07,plug memory leak in pair style lj/class2/coul/long with coulomb tables,0.0
1299,51b19df,2018-02-25 14:10:28,plug memory leak in fix bond/react,0.0
2168,eadac15,2018-02-28 14:02:16,avoid multiple calls to delete [] on the same pointer.,0.0
2169,8d0fdb1,2018-03-01 10:39:06,Add make package-installed command,0.0
1302,21364f3,2018-03-01 23:11:46,gatherv fix  take 2,0.0
2170,d18ba3b,2018-03-01 23:22:03,Added error if gcmc is used with molecules on more than one processor,0.0
2171,b1d3b56,2018-03-02 04:33:13,apply bugfix reported in issue #820,0.0
2172,0666607,2018-03-02 13:15:35,Merge pull request #815 from akohlmey/collected-small-fixes,0.0
2173,812a454,2018-03-02 13:15:56,Merge pull request #816 from giacomofiorin/colvars-update-2018-02-23,0.0
2174,39a09d3,2018-03-02 14:40:20,Merge pull request #814 from stanmoore1/kk_snap_workaround,0.0
2175,22b6764,2018-03-02 14:40:36,Merge pull request #819 from stanmoore1/package_installed,0.0
2176,54f58fa,2018-03-02 14:41:03,Merge pull request #822 from andeplane/gcmc_mpi_error,0.0
2177,45555b0,2018-03-02 15:52:26,Merge pull request #728 from danicholson/cluster-fragment-aggregate-fixes,0.0
1311,89de70f,2018-03-03 14:17:56,Merge pull request #4 from lammps/master,0.0
1312,a323147,2018-03-03 14:28:35,noextra option for write_data,0.0
1313,e8eeb52,2018-03-03 19:31:53,fix memory leaks detected by valgrind,0.0
1314,52446ee,2018-03-03 19:34:31,make fix bond/react example inputs more similar to other input examples in LAMMPS,0.0
1315,959883a,2018-03-04 09:49:50,rename noextra option to nofix,0.0
1316,04bd268,2018-03-04 09:55:44,rename noextra flag to nofix,0.0
1317,49aad1d,2018-03-04 09:56:22,rename noextra flag to nofix,0.0
2178,a1bdea1,2018-03-05 14:03:10,avoid division by zero for pair styles meam and meam/c,0.0
1319,25d2f4b,2018-03-05 17:34:11,Update pair_kim for v1.9.4 and versatile linking,0.0
2179,1ca928b,2018-03-05 20:33:19,dead code removal,0.0
2180,3e53563,2018-03-06 12:33:33,Merge pull request #827 from akohlmey/fixes-for-stable,0.0
2181,070e85b,2018-03-06 12:45:40,add restartinfo=0 to manbody file it was missing from,0.0
2182,64779eb,2018-03-06 13:21:34,documentation update for MEAM to clarify the I J K indices in the MEAM parameter file,0.0
2183,8d6fbd9,2018-03-06 15:17:05,Merge pull request #829 from lammps/restartinfo,0.0
2184,fd1edaf,2018-03-07 08:52:46,allow for mpi4py version 2 or 3 in Python wrapper,0.0
2185,47e2ca6,2018-03-07 09:52:14,apply bugfix to reaxff taper function as described in issue #828,0.0
2186,f91c368,2018-03-07 10:57:07,remove dead code,0.0
2187,812572e,2018-03-07 10:57:56,update dependencies for colvars library,0.0
2188,63c0a35,2018-03-07 11:12:08,remove code that has no effect,0.0
2189,a1bb877,2018-03-07 11:17:03,correct commented out MPI examples,0.0
