hash,time,message,keyword_buggy,human_buggy,fastread_buggy
e918bbf,2007-11-23 18:26:42,ebuilt 0.6.1,0,,0
c3630ee,2007-11-28 18:47:06,can now write a file in parallel -- the format is identical as existing files  but the node/element ordering is different,0,,0
609980d,2007-11-28 18:47:55,updated compatible to new doxygen,0,,0
f6fc13b,2007-11-29 01:07:31,Removed redundant #ifdefs,0,,0
86d9814,2007-11-29 19:52:44,Add typedefs to fix compilation without MPI,1,,1
b246152,2007-11-29 21:10:45,Comment out code unavailable with --disable-mpi,0,,0
e05286c,2007-11-29 21:18:31,Use Parallel::sum for MPI_Allreduce(MPI_SUM),0,,0
b853e96,2007-11-29 22:15:42,Fix Parallel::verify()  add --disable-mpi null implementations (or errors as appropriate) of send/recv functions,1,,1
f3f099a,2007-11-29 22:29:50,Fixes for --disable-mpi  Using Parallel:: functions where convenient,1,,1
09dd179,2007-11-29 22:30:58,Fix for Parallel::verify use Fixes for --disable-mpi,1,,1
0a02bfd,2007-11-30 00:10:43,robustness -- do not dereference empty vectors  which can happen on all but root_id during Parallel::gather(),0,,0
eaf9a91,2007-11-30 01:56:49,partition-independent parallel system write now works properly -- still need to test read.,0,,0
bcf2c33,2007-11-30 02:00:57,assert the obvious when performing send_receive without MPI,0,,0
1a4b044,2007-11-30 04:11:22,Build with newer autoconf/autoheader/etc,0,,0
57ba02c,2007-11-30 04:12:48,Added oprof mode,0,,0
4dfc7cf,2007-11-30 14:09:07,trade a single allreduce for many broadcasts,0,,0
51a31db,2007-11-30 14:38:51,do not dereference empty objects,0,,0
ae0bf1d,2007-11-30 15:08:16,Avoid compiler warning with --disable-mpi,0,,0
b289d71,2007-11-30 19:17:52,Avoid compiler warnings without --enable-complex,0,,0
6c8e1d4,2007-11-30 19:49:05,do not dereference empty objects,0,,0
e3ceb2f,2007-11-30 19:49:38,cleanup,0,,0
d335806,2007-11-30 19:58:27,assert the obvious,0,,0
1314385,2007-11-30 21:12:20,broadcast a string,0,,0
5e9515a,2007-11-30 21:13:05,log the systems update,0,,0
e1c50f8,2007-11-30 21:14:23,can now read and write restart files in parallel.  the ordering is partition-agnostic so as to enable N->M restarting,0,,0
512dca5,2007-11-30 21:26:01,changed default buffer size to 256000,0,,0
6bb3117,2007-11-30 21:36:01,use LIBMESHRUN to run ex2,0,,0
a60c743,2007-11-30 21:39:26,make ex2 more complicated to test coverage of multiple systems with multiple variable types,0,,0
45e3e21,2007-12-01 20:26:13,libMultiScale & OctMesh,0,,0
50c8547,2007-12-02 17:57:32,more package descriptions,0,,0
2227cdc,2007-12-02 18:17:52,more package descriptions,0,,0
871af32,2007-12-02 18:18:34,more package descriptions,0,,0
507abfe,2007-12-02 20:27:59,changed LibMesh to libMesh  allow for additional information in developer profile section,0,,0
dbbd3fa,2007-12-02 21:19:23,bio preprint,0,,0
2246284,2007-12-03 16:10:14,can now read/write serialized or parallel restart files,0,,0
20d09fb,2007-12-03 17:52:20,move current xdr stuff to a legacy format to make room for new parallel mesh io,0,,0
af69e62,2007-12-03 18:19:50,cleaner test syntax,0,,0
a8b12df,2007-12-03 18:21:08,placeholder for new XdrIO class,0,,0
bcc3ab5,2007-12-03 19:52:39,working on parallel mesh io,0,,0
