index,hash,time,message,buggy
102,a70dae9,2016-11-07 13:08:51,Use TOLERANCE in systems_of_equations_ex3,0.0
829,18beb79,2016-11-07 13:08:51,Use TOLERANCE in systems_of_equations_ex3,0.0
103,c71a4fe,2016-11-08 12:16:17,Using os_unfair_lock on mac OS X Sierra,0.0
104,bf49639,2016-11-08 14:56:12,Merge pull request #1154 from libMesh/andrsd/sierra-spin-lock,0.0
105,08f7bb7,2016-11-09 15:17:13,Allow virtual methods for edge_fe_reinit() and elem_fe_reinit(),0.0
106,ecd5682,2016-11-10 09:38:59,Merge pull request #1152 from roystgnr/auto_ptr_fix,0.0
107,7d4ce47,2016-11-10 09:40:35,Merge pull request #1150 from roystgnr/adaptive_inf_fem,0.0
108,846bb4f,2016-11-10 09:40:57,Merge pull request #1151 from roystgnr/disable_periodic_fix,0.0
109,657124d,2016-11-10 09:41:06,Merge pull request #1153 from roystgnr/variable_systems_ex3_tol,0.0
110,ff59ce1,2016-11-10 10:52:25,NonlinearImplicitSystem::ComputeVectorSubspace as an abstract class,0.0
830,db5de76,2016-11-10 10:52:25,NonlinearImplicitSystem::ComputeVectorSubspace as an abstract class,0.0
111,ec82973,2016-11-10 13:25:15,Merge pull request #1155 from balborian/patch-1,0.0
112,c9d4d1a,2016-11-10 16:35:57,Update .mailmap.,0.0
113,5d7e734,2016-11-10 16:56:56,Merge pull request #1156 from balborian/patch-2,0.0
114,4fdf0da,2016-11-14 08:00:55,Update traffic.,0.0
831,753bb83,2016-11-14 11:08:02,"Fix ""maybe uninitialized"" warning from GCC 5.3.0.",0.0
115,e0d761f,2016-11-14 11:08:02,"Fix ""maybe uninitialized"" warning from GCC 5.3.0.",1.0
832,9702b3b,2016-11-14 12:17:52,Avoid deprecated-declaration warnings in nanoflann examples.,0.0
116,d9d8ce5,2016-11-14 12:17:52,Avoid deprecated-declaration warnings in nanoflann examples.,0.0
117,690a8bb,2016-11-14 13:21:44,Merge pull request #1157 from jwpeterson/fix_warning,0.0
118,d25b578,2016-11-14 15:38:07,Don't try to run CLOUGH with threads,0.0
833,19c88a9,2016-11-14 15:38:07,Don't try to run CLOUGH with threads,0.0
119,b2a36db,2016-11-14 16:20:40,Enable 1D HERMITE elements of arbitrary p,0.0
120,1a8f034,2016-11-14 16:21:46,1D hp tests in examples,0.0
121,b2af793,2016-11-14 16:23:41,Avoid unused variable warnings in opt mode,0.0
834,f0d14b6,2016-11-16 09:00:15,Update automake version number to 1.1.0-rc2.,0.0
835,ddd2645,2016-11-16 09:10:37,Run bootstrap.,0.0
123,9b31174,2016-11-16 10:10:34,Report the unique_id in Elem::get_info().,0.0
124,559d5d7,2016-11-16 10:11:25,Write out elements connected to local elements,0.0
125,ac6c6d9,2016-11-16 10:14:54,Fix spacing/indentation in splitter app.,1.0
126,34418c0,2016-11-16 10:19:09,Remove unnecessary headers from splitter app.,0.0
127,27e4b01,2016-11-16 13:40:14,Fix for/if statement spacing.,1.0
128,09a5dcd,2016-11-16 13:54:00,Make writing files from splitter app the default.,0.0
129,657ffed,2016-11-16 15:12:31,Add CheckpointIO unit test.,0.0
130,8be6824,2016-11-16 15:17:54,Run bootstrap.,0.0
131,de27e8d,2016-11-17 12:24:36,Merge pull request #1160 from jwpeterson/checkpoint_split_ghosting_functor_merge,0.0
132,fb99e38,2016-11-18 08:17:31,Print the physical point when inverse_map() fails.,0.0
133,505537f,2016-11-18 08:42:46,Add support for --redirect-output command line option.,0.0
134,d418ee9,2016-11-18 11:17:11,Terminology fix in comment,0.0
135,4bf4ec5,2016-11-18 12:13:40,Prefix libMesh Parallel:: macros with LIBMESH_,0.0
836,2d3f229,2016-11-18 12:13:40,Prefix libMesh Parallel:: macros with LIBMESH_,0.0
837,cb78b9d,2016-11-18 12:23:33,Removed overzealous assert,0.0
136,243c47e,2016-11-18 12:23:33,Removed overzealous assert,0.0
137,9c782a6,2016-11-18 13:27:16,Fix GetPot off-by-1 bug.,1.0
838,9ce81d4,2016-11-18 13:27:16,Fix GetPot off-by-1 bug.,0.0
138,dd47a1b,2016-11-18 15:01:09,Merge pull request #1162 from roystgnr/libmesh_prefix_macros,0.0
139,66dc3ee,2016-11-18 16:11:13,Merge pull request #1161 from dknez/remove_assert,0.0
140,57be7d8,2016-11-18 16:23:55,Merge pull request #1163 from jwpeterson/redirect_output,0.0
141,d6dfcf5,2016-11-18 23:22:42,Update citations.,0.0
142,273f3c8,2016-11-18 23:51:53,Update traffic.,0.0
143,dfdd1a7,2016-11-21 11:50:44,MeshBase option to stop delete_remote_elements(),0.0
144,998e24a,2016-11-21 15:13:46,Approximation order option in adaptivity ex4,0.0
145,1201497.0,2016-11-21 15:14:29,Comment on why we turn off Clough-Tocher threads,0.0
146,3e3994a,2016-11-21 16:12:29,Support 1D runs in adaptivity_ex4,0.0
147,e806015,2016-11-21 16:12:49,Do a p=4 1D run in adaptivity_ex4,0.0
148,72be577,2016-11-22 11:46:14,Checkpoint unit test assumes ReplicatedMesh,0.0
149,7adf183,2016-11-22 12:00:14,Put renamed Mesh subclasses in renamed headers,0.0
839,e597141,2016-11-22 12:00:14,Put renamed Mesh subclasses in renamed headers,0.0
840,7e810a4,2016-11-22 12:03:05,Add replicated/distributed headers to build system,0.0
150,ebead48,2016-11-22 12:03:05,Add replicated/distributed headers to build system,0.0
841,571a86d,2016-11-22 12:03:33,Old headers are now shims for new headers,0.0
151,9691890.0,2016-11-22 12:03:33,Old headers are now shims for new headers,0.0
152,4.52e+88,2016-11-22 12:29:47,Merge pull request #1166 from roystgnr/adaptivity_ex4_coverage,0.0
153,ac467ee,2016-11-22 12:49:55,Re-bootstrap,0.0
154,e9c2975,2016-11-22 12:50:54,Use new header names in library sources,0.0
155,e1a76f1,2016-11-22 12:53:28,Use replicated_mesh.h in unit tests,0.0
156,2938f12,2016-11-22 12:55:39,Use replicated_mesh.h in examples,0.0
157,796b7cd,2016-11-22 13:01:32,Examples use ReplicatedMesh/DistributedMesh names,0.0
158,190b366,2016-11-22 13:31:45,Merge pull request #1164 from roystgnr/no_remote_removal_option,0.0
159,75391d1,2016-11-22 14:01:18,Use new names in unit tests,0.0
160,277f563,2016-11-22 14:01:41,include parallel_mesh.h in code using ParallelMesh,0.0
161,53d4a7a,2016-11-22 14:02:36,Move shim classes into shim headers,0.0
162,90816df,2016-11-22 14:17:32,Merge pull request #1167 from roystgnr/checkpoint_unit_fix,0.0
163,33125a8,2016-11-27 19:44:40,Update traffic.,0.0
164,cf59a6a,2016-11-27 19:51:14,Update citations.,0.0
165,45402ad,2016-11-28 08:15:30,Update citations.,0.0
166,205902.0,2016-11-28 08:22:26,Update LOC count for November 2016.,0.0
167,6634b72,2016-11-28 10:38:55,Merge pull request #1168 from roystgnr/fix_header_names,0.0
842,0d0e9c4,2016-11-28 11:10:00,Re-bootstrap,0.0
843,d1925b6,2016-11-28 11:10:48,Updated NEWS with new header names,0.0
168,da48147,2016-11-28 11:23:35,Rename parallel/serial_mesh.C,0.0
169,4fb224e,2016-11-28 11:23:53,Re-bootstrap,0.0
170,bc1ab16,2016-11-28 12:18:34,Use static lookup table for Elem names in GMVIO.,0.0
171,5113c24,2016-11-28 13:39:10,Merge pull request #1170 from roystgnr/rename_mesh_sources,0.0
172,75775b3,2016-11-28 15:41:33,Add GMV node map for Hex27.,0.0
173,28c4689,2016-11-28 16:39:34,Merge branch 'gmv',0.0
174,977829a,2016-11-28 16:59:08,Fix unused variable warning in ParsedFEMFunction,1.0
175,5c1ba6f,2016-11-28 17:06:55,Add GetPot::get_subsection_names() method,0.0
176,f076f35,2016-11-28 17:07:10,Unit tests for GetPot::get_subsection_names(),0.0
177,42f5721,2016-11-29 09:56:10,Ignore missing override warnings from VTK headers.,0.0
178,839239.0,2016-11-29 10:11:05,Fix for VTK 7.1 compatibility.,1.0
179,f67b842,2016-11-29 14:04:45,Merge pull request #1173 from jwpeterson/vtk_71,0.0
180,c2833ad,2016-11-29 16:44:01,Merge pull request #1171 from roystgnr/unused_variable_warning_fix,0.0
181,72b3fb7,2016-12-01 08:32:21,Merge pull request #1172 from roystgnr/getpot_subsections,0.0
182,f0fa117,2016-12-01 08:43:37,Update statistics for Nov 2016.,0.0
183,0d32937,2016-12-01 08:54:28,Regenerate PDFs.,0.0
184,a720837,2016-12-01 09:09:37,Set up SLEPc defines for major  minor  subminor version numbers.,0.0
185,9461ccb,2016-12-01 09:15:58,Run bootstrap.,0.0
186,4f098cf,2016-12-01 09:26:09,Implement SLEPC_VERSION_LESS_THAN macro with new defines.,0.0
187,7bc4279,2016-12-01 13:34:48,Fix Trilinos ifdefs.,1.0
188,3bb3113,2016-12-01 14:15:23,Add configure test for Epetra_CombineMode.h.,0.0
189,55f1ff6,2016-12-01 14:18:36,Run bootstrap.,0.0
190,6b62fb8,2016-12-01 14:39:39,Merge pull request #1175 from jwpeterson/slepc_version_detect,0.0
191,e39b579,2016-12-02 08:38:29,Merge pull request #1176 from jwpeterson/trilinos_check,0.0
844,a1879af,2016-12-02 09:09:04,Update libmesh version number to 1.1.0.,0.0
845,941e959,2016-12-02 09:12:03,Run bootstrap.,0.0
192,4636ea5,2016-12-02 16:04:01,Do not set VTK_LEGACY_REMOVE.,0.0
193,ef77864,2016-12-05 08:14:33,Merge pull request #1177 from jwpeterson/vtk_fix,0.0
194,c65f552,2016-12-05 08:42:43,Update citations.,0.0
195,cbab3c3,2016-12-05 09:08:15,Update LOC count for December 2016.,0.0
196,9fb26a9,2016-12-05 11:32:35,Add PointLocatorBase::locate_node(),0.0
197,352833.0,2016-12-05 11:33:42,Add PointLocatorTest unit tests,0.0
198,20fb0e9,2016-12-05 11:34:30,Build and run PointLocatorTest,0.0
199,58ed2f7,2016-12-05 11:34:40,Re-bootstrap,0.0
200,f88d1e9,2016-12-05 12:19:11,Merge in NEWS file updates from 1.1.0 branch.,0.0
201,4cfac82,2016-12-05 12:20:07,Update configure.ac version to 1.2.0-pre.,0.0
202,1b95fd3,2016-12-05 12:22:28,Run bootstrap.,0.0
203,d5d2f32,2016-12-05 15:08:55,Add tolerance option to locate_node(),0.0
204,5e16786,2016-12-06 13:01:13,Fix about-to-be-ambiguous overload,1.0
205,6b058d5,2016-12-06 13:03:16,Add dof_indices(Node*) overload,0.0
206,460d742,2016-12-06 13:04:51,Add DofMap::is_evaluable(Node) overload,0.0
207,4c8b88a,2016-12-06 13:28:10,Add code for initializing/finalizing vtkMPIController.,0.0
208,521d984,2016-12-06 13:50:39,Add configure test for vtkMPIController support in VTK.,0.0
209,76d360d,2016-12-06 13:56:00,Run bootstrap.,0.0
210,e9f8df6,2016-12-06 14:01:30,Don't AC_SUBST or AC_DEFINE unless working VTK is found.,0.0
211,937515f,2016-12-06 14:23:30,Enable evaluable predicate on Nodes,0.0
212,844c5e4,2016-12-06 14:23:46,Add evaluable_nodes iterators,0.0
