hash,time,message,keyword_buggy,human_buggy,fastread_buggy
e52b313,2012-02-11 18:09:53,Merge branch 'master' of https://code.google.com/p/mdanalysis,0,,0.0
e29e049,2012-02-12 00:26:53,improved docs for AtomGroup and Timestep,0,,0.0
c453b40,2012-02-12 01:02:37,hbond analysis: updated docs for output format,0,,0.0
54d8b90,2012-02-12 01:10:49,Merge branch 'master' of https://code.google.com/p/mdanalysis,0,,0.0
ed23f7d,2012-02-12 14:12:11,jandom was forgotten as a author of 0.7.4 in CHANGELOG,0,,0.0
b2589df,2012-02-12 14:15:58,regenerated online docs,0,,0.0
e686a9f,2012-02-12 14:41:35,Merge pull request #335 from khuston/HoomdXMLParser,0,,0.0
a862751,2012-02-12 21:35:18,new set_*() methods for AtomGroup (EXPERIMENTAL),0,,0.0
359cae0,2012-02-15 22:44:19,merged changes for PyPI submission into master,0,,0.0
9d515b3,2012-02-15 22:52:53,converted all TABs to spaces (Issue 69) - used emacs 'untabify' on all files  see   http://code.google.com/p/mdanalysis/issues/detail?id=69#c1 - unit tests pass - TODO: add marker lines for editors (do this together with a   fix for Issue 68),0,,1.0
450ad43,2012-02-15 22:58:58,Added CHANGELOG entry for fix of Issue #550.,0,,0.0
948d06d,2012-02-15 23:03:07,changed name of flag 'convert_gromacs_lengths' to 'convert_lengths',0,,0.0
b5f587f,2012-02-15 23:03:58,nativecontacts example - added example script that makes the figure (works for me) - contacts.py: removed deprecated usage for Universe and added load() method   to simply read an existing contacts file - added and improved docs - added q1-q2 figure for DIMS AdK,0,,0.0
2787fb0,2012-02-15 23:06:20,new distances.between() function (EXPERIMENTAL),0,,0.0
740db3d,2012-02-15 23:11:54,Fixes issue #385,0,,1.0
fb9ba38,2012-02-15 23:11:54,Quantified code fixes for Issue #604,0,,1.0
2056877,2012-02-15 23:34:28,Merge pull request #246 from MDAnalysis/feature-wrap,0,,0.0
2056877,2012-02-15 23:34:28,regenerated online docs (0.7.5-devel),0,,0.0
2056877,2012-02-15 23:34:28,updated CHANGELOG with changes so far,0,,0.0
2056877,2012-02-15 23:34:28,Version updated to 0.9.3-dev and doc regenerated,0,,0.0
2c4dcde,2012-02-16 15:29:44,contact analysis: additional example and cleaned up docs,0,,0.0
7387d8e,2012-02-16 15:55:37,TST: Adding atomgroup method & attribute asv benchmarks (#1709),0,,0.0
d2523b1,2012-02-17 14:46:40,updated html docs with contact analysis example,0,,0.0
