index,hash,time,message,buggy
580,f7a6f47,2018-01-25 12:03:37,regenerated c files for 0.17.0,0.0
10,911ea22,2018-01-25 16:18:55,added reading of record types,0.0
11,93aefc7,2018-01-25 16:21:47,added test for default record_types,0.0
12,9.851e+35,2018-01-26 17:33:06,Refined comments as discussed in https://github.com/MDAnalysis/mdanalysis/pull/1759,0.0
13,5265b62,2018-01-29 14:04:17,encoding of RecordTypes,0.0
14,4de452f,2018-01-29 14:41:24,fixed ResidueGroup and SegmentGroup RecordType access,1.0
15,d9ef4ec,2018-01-29 20:24:29,Merge pull request #1762 from MDAnalysis/issue-1753-add_recordtype,0.0
16,7cc1e81,2018-01-30 13:15:27,Fixes Issue #1582  AtomGroup.dimensions now always returns a copy,1.0
17,b56ef01,2018-01-30 14:58:01,Merge pull request #1764 from MDAnalysis/issue-1582-dimensions_copy,0.0
18,2cdf0fb,2018-02-01 16:12:43,Test case for the t0 argument being ignored. Corrected the original test_SurvivalProbability. The first point has to be 0 (autocorrelation). I changed the universe for the test so that the timeseries is not only 1s (meaning that nothing changes and the test is too naive). This could be further improved by using actual verified values.,0.0
19,f658404,2018-02-01 19:18:09,Adds S array type validation to lib.distances.transform_StoR,0.0
20,62522f5,2018-02-01 19:18:35,Adds tests for lib.distances.transform_StoR,0.0
21,6fdf06d,2018-02-02 09:29:03,fix header length information in dcd,1.0
22,0ac274e,2018-02-02 10:47:29,Refactors lib.distances._check_array and adds lib.distances._check_aray_dtype,0.0
23,46d90c4,2018-02-02 11:40:17,Testing Survival Probability against actual results. Changed selection of water to be only around one interface residue GLU with a short radius to make the analysis and selection faster.,0.0
24,1fd24eb,2018-02-02 11:46:51,Importing explicitly waterdynamics since this is the module we are testing in this file. Decreased precision to 3 decimals.,0.0
25,f170e59,2018-02-02 13:42:47,Author's name - first contribution,0.0
26,fd68f60,2018-02-02 14:17:18,DCDwriter now has a option to set istart,0.0
27,c5504e5,2018-02-02 17:29:36,Updates CHANGELOG with Fix of #1699,0.0
28,4945415.0,2018-02-02 17:31:00,Adds Nabarun Pal to list of authors,0.0
29,adaf9d9,2018-02-03 09:22:00,use istart information in dcd to set correct time,0.0
30,b307e73,2018-02-03 09:27:15,update changelog,0.0
31,7a82fa9,2018-02-03 11:57:46,Update CHANGELOG,0.0
32,75b69bc,2018-02-04 20:39:43,Update test_dcd.py,0.0
33,2c55dcd,2018-02-05 14:55:08,proper null termination of remark string,0.0
34,eae5845,2018-02-06 17:52:44,ENH: Added directed_hausdorff from scipy to speed up hausdorff calc (#1758),0.0
35,1ae6ed5,2018-02-07 01:11:01,add binder button (#1770),0.0
36,2703b38,2018-02-07 17:20:06,Merge pull request #1767 from MDAnalysis/fix-dcd-witer,0.0
37,0a09297,2018-02-07 18:53:56,Refactors topology.guessers by changing the criteria when warning is raised,0.0
38,9935167.0,2018-02-11 10:08:57,fixed link to Amber nctraj format,1.0
39,daf6c1a,2018-02-11 10:14:54,docs: updated path to matplotlib objects,0.0
40,a5517b9,2018-02-11 10:29:46,updated Amber TRJ docs,0.0
41,83f8383,2018-02-11 10:44:51,restructured Amber docs and WebCited original Amber format pages,0.0
42,a647b2e,2018-02-12 21:39:40,Adds machinery to recognize dummy atoms and assign masses,0.0
43,c85cc4e,2018-02-12 21:40:45,Add new function topology.guessers.validate_atom_types,0.0
44,10184af,2018-02-12 22:10:49,Fixes a bug in topology.guessers.validate_atom_types,1.0
45,7.506e+80,2018-02-12 22:17:58,Adds test to check for no warning when topology with MW atom type is loaded,0.0
46,acfa56a,2018-02-21 15:33:57,reST formatting fixes,0.0
47,fc81ad0,2018-02-21 15:54:31,raise minimum scipy version to 1.0.0,0.0
48,97e6752,2018-02-22 15:29:45,Add reindex option to write atom id to gro file,0.0
49,1c5d2fc,2018-02-22 16:07:58,Add test,0.0
50,4b62604,2018-02-22 16:40:19,fixed the PDB format of the HOLE test file PDB_HOLE,0.0
51,0bf8090,2018-02-22 17:34:51,Add doc,0.0
52,2322fa4,2018-02-22 17:36:37,Update GRO.py,0.0
53,323823b,2018-02-22 17:40:58,fixed broken links in HOLE docs,0.0
54,ae62b93,2018-02-23 04:42:38,added pbc to dist(),0.0
55,69746d9,2018-02-23 05:11:44,added test case for pbc in dist(),0.0
56,34b3276,2018-02-23 08:12:41,Added Universe.copy,0.0
57,fc20c22,2018-02-23 11:46:07,Fix docs,1.0
58,b78f7ce,2018-02-23 11:49:56,fix typo,1.0
59,2f55f50,2018-02-23 15:13:14,pytest.fixture,0.0
60,9756173.0,2018-02-23 15:30:29,Fix object,0.0
61,09680c0,2018-02-23 19:12:20,added pbc to dist(),0.0
62,7b6ad00,2018-02-23 20:23:17,Fixes Issue #1771,1.0
63,3088f19,2018-02-24 16:26:21,added testcase for dist w/o pbc,0.0
64,1b514a8,2018-02-24 18:35:40,Uses assert_nowarns for testing,0.0
65,3b46b31,2018-02-26 18:28:16,added pbc to calc_angle() in hbond_analysis,0.0
66,efa0842,2018-02-26 21:42:31,decimal correction in test case,0.0
67,00c785b,2018-02-26 23:02:49,changing assert_almost_equal to assert_allclose to correct precision error,0.0
68,38af730,2018-02-27 00:30:38,added pbc to hbond_analysis and required changes made,0.0
69,b992af4,2018-02-27 01:39:34,minor error correctionin mdamath.py,0.0
70,3366c8a,2018-02-27 03:26:52,minor changes in test_distance.py,0.0
71,5368a7a,2018-02-27 19:25:29,passed parameter through fixture,0.0
72,931c170,2018-02-28 01:36:34,File for duecredit module to load,0.0
73,60430.0,2018-02-28 01:52:58,add citations for MDAnalysis,0.0
74,bbe9fe5,2018-02-28 12:12:48,Changed the format of due.py to resolve the error in test,0.0
75,941afa0,2018-02-28 20:36:23,added handling of atom_style kwarg for Lammps Data parser & reader,0.0
76,3c6d6b1,2018-02-28 21:25:53,Adds cylayer and ccyzone to docstring of AtomGroup.select_atoms,0.0
77,7e7a154,2018-03-01 00:31:23,validating dimensions for self.pbc and addition of discription to docstring,0.0
78,e135861,2018-03-01 14:48:58,added atom_style kwarg to Lammps Data file reading,0.0
79,2457627.0,2018-03-01 18:31:51,Fixed MPI fork() warning when importing MDAnalysis after MPI_Init() call,1.0
80,3.6e+22,2018-03-02 07:08:26,Fixes typo in docstring of topology.guessers.validate_atom_types,1.0
81,c4c7ad6,2018-03-02 07:36:13,Removes the added versionchanged,0.0
82,3d86c45,2018-03-02 07:44:45,Updated docstring for AtomGroup.select_atoms,0.0
83,8955570.0,2018-03-02 10:51:57,fix (scope='class'),1.0
84,41787ac,2018-03-04 09:17:33,fixed up tests for reindex growriter,0.0
85,6159650.0,2018-03-04 13:32:01,MAINT: Config / DOC updates for latest asv version.,0.0
86,e97fd8e,2018-03-05 09:37:09,Updates hole download links,0.0
87,eaaa968,2018-03-05 09:42:01,Merge pull request #1793 from MDAnalysis/issue-1791-lammpsparser,0.0
88,0308d68,2018-03-05 10:12:02,applied changes suggested by @orbeckst and  @richardjgowers,0.0
89,e47215b,2018-03-05 10:39:28,added changelog entry for PR #1794 and added @zemanj to the list authors,0.0
90,7c6e970,2018-03-05 11:18:48,doc updated for #1791,0.0
91,3b40305,2018-03-05 11:37:28,fixed up GRO and LAMMPS docs,1.0
92,eabf44f,2018-03-05 11:38:46,made atom_style kwarg optional,0.0
93,48f8dc4,2018-03-05 11:39:09,renamed error variable,0.0
94,a28e672,2018-03-05 22:41:11,Updates CHANGELOG and adds name to author list,0.0
95,9761de7,2018-03-06 05:22:52,Updates to https urls for downloading hole,0.0
96,37f51d3,2018-03-06 08:52:46,whitespace removal,0.0
97,713dc36,2018-03-06 23:13:00,Removes unnecessary docstrings,0.0
98,1fa0f81,2018-03-07 09:31:01,Reorders docstring elements for better consistency,0.0
99,a5f09a0,2018-03-07 14:00:27,analysis.align: fixed error messages and fixed use n_atoms,0.0
100,50f0bcb,2018-03-07 15:03:05,align.get_matching_atoms(): more checks and tests,0.0
101,139f4b9,2018-03-07 16:01:37,AMBER NCDF reader mmap=None as default,0.0
102,dc32455,2018-03-07 23:22:13,tests for unwanted side effects when importing MDAnalysis,0.0
103,44a1356,2018-03-07 23:22:13,tests for unwanted side effects when importing MDAnalysis,0.0
104,dbafc04,2018-03-07 23:33:27,added changelog entry for import side effects,0.0
105,dc706ed,2018-03-07 23:35:41,added myself to the list of authors,0.0
106,9b32968,2018-03-08 10:29:06,AMBER NCDF: cleaned up mmap use,0.0
107,f8b583b,2018-03-08 12:00:56,Python 3 compatibility (still likely to break other tests),0.0
108,a4a6d81,2018-03-08 12:00:56,Python 3 compatibility (still likely to break other tests),0.0
109,2f3419b,2018-03-08 12:00:56,Python 3 compatibility (still likely to break other tests),0.0
110,e94b1c4,2018-03-08 14:43:49,Merge pull request #1813 from MDAnalysis/issue-1807-mmap,0.0
113,0f30ff5,2018-03-08 16:51:30,isolated import tests by offloading to separate Python instance,0.0
111,f0ee149,2018-03-08 16:51:30,isolated import tests by offloading to separate Python instance,0.0
112,da738bd,2018-03-08 16:51:30,isolated import tests by offloading to separate Python instance,0.0
116,d873996,2018-03-08 17:26:59,split the test into two separate ones (otherwise one could never fail),0.0
114,fdbd139,2018-03-08 17:26:59,split the test into two separate ones (otherwise one could never fail),0.0
