hash,time,message,keyword_buggy,human_buggy,fastread_buggy
2a7f80e3,2011-03-29 12:42:39,initial commit,0,,0
107e878f,2011-04-01 11:29:58,added some extra CMAKE functionality,0,,0
dd44581e,2011-04-01 11:37:03,added pcm-green as a submodule,0,,0
89f4de72,2011-04-01 11:52:11,added pcmgreen submodule to cmake... not sure if it works,0,,0
feeabb3e,2011-04-01 15:15:11,added normal files,0,,0
2f608246,2011-04-01 15:22:08,updated revision for pcm-green,0,,0
6a409939,2011-04-04 08:56:01,added cavity as external submodule,0,,0
8e1626ce,2011-04-04 09:03:55,submoudule pcm-green updated,0,,0
a6236833,2011-04-04 09:06:33,switched pcmcav submodule to pedralib branch,0,,0
5d933b31,2011-04-04 09:28:48,added cavity to cmakelists,0,,0
f9d446f3,2011-04-04 09:53:19,CMAkeLists with pcmcav,0,,0
ff14d396,2011-04-04 09:56:31,nothing really,0,,0
d385a88a,2011-04-04 09:56:38,Merge branch 'devel' of repo.ctcc.no:pcmsolver into devel,0,,0
4db6d664,2011-04-04 18:23:18,updated pcmcav submodule,0,,0
d0e015ee,2011-04-04 18:25:54,setup and cmake update,0,,0
33034ee1,2011-04-05 09:11:36,modified cmakelists,0,,0
1ab80b7d,2011-04-05 09:32:30,removed GF submodule,0,,0
65e8421f,2011-04-05 09:47:06,moved pcm-green submodule,0,,0
b752caf9,2011-04-05 09:49:21,cleaned gitignore,0,,0
7e9329b6,2011-04-05 09:51:30,restructured tree,0,,0
794f2bcb,2011-04-05 15:40:06,compiler and library settings inherited by submodules,0,,0
aacfee18,2011-04-05 15:41:59,updeate pcmcav module,0,,0
c6f80cab,2011-04-05 15:42:14,Merge branch 'restructure' into devel,0,,0
09185052,2011-04-05 23:20:28,PCM solver with template for GF,0,,0
9fb501b8,2011-04-05 23:23:21,Merge branch 'devel' of repo.ctcc.no:pcmsolver into devel,0,,0
724107c3,2011-04-07 16:57:49,new pcm-green module,0,,0
5cddb68a,2011-04-11 09:41:19,everything updated,0,,0
dc46b7b5,2011-04-11 10:52:01,eigen 3 in setup,0,,0
c56dfc8d,2011-04-11 10:55:14,updated submodules,0,,0
1bb404a5,2011-04-12 18:20:14,general IEFPCM solver working for a spherical cavity and uniform dielectric,0,,0
222764ac,2011-04-12 19:08:08,updated external modules,0,,0
d64fe20a,2011-04-12 19:08:48,Merge remote branch 'origin/devel' into devel,0,,0
6e0d1c53,2011-04-13 14:18:11,optimization flags and new setup,0,,0
1d1336ad,2011-04-18 14:43:13,in the process of removing templates,0,,0
7bf511d8,2011-04-18 14:45:12,modified pcm solver to use gepol cavity itnerface,0,,0
bbeb252c,2011-04-18 14:53:33,new cavity,0,,0
046836a0,2011-04-18 14:59:38,new submodules,0,,0
3e6cdbe6,2011-04-18 15:03:22,new commit of submodule pcmcav,0,,0
536b11b4,2011-04-18 15:15:07,updated cavity module,0,,0
99688e6b,2011-04-28 11:32:49,removed template for GF,0,,0
32d45560,2011-04-28 13:47:35,Merge branch 'devel' into mergeintercav,0,,0
86d0efd6,2011-04-28 13:47:57,merging conflicts part 2,0,,0
b7c9fb2c,2011-06-27 11:25:20,all within pcmsolver: compiles...,0,,0
b4847ec0,2011-07-02 23:56:13,New version of the pcm module all submodules except libgetkw are now within the module the code compiles and runs but it has to check for correctness.,0,,0
0b65e5a7,2011-07-06 14:43:36,testing into Dalton...,0,,0
9451b4dc,2011-07-12 18:22:26,Started interfacing with Dalton,0,,0
04a44372,2011-07-14 10:33:59,pedralib needs a thorough cleanup,0,,0
e3e0abd5,2011-07-14 12:19:11,before sed,0,,0
3bea445c,2011-07-14 12:19:40,before sed,0,,0
a379deb4,2011-07-14 12:39:22,sed-ified included files,0,,0
905c7800,2011-07-14 12:43:43,compiled with modified names,0,,0
ddb1982c,2011-07-14 16:20:41,tested renamed pedra,0,,0
74fa58fe,2011-07-14 17:10:16,yet another renaming,0,,0
bfb97d19,2011-07-14 17:37:26,renamed common block titles,0,,0
a38bf478,2011-07-14 18:16:15,Fixed gpopen/gpclose problem Careful with common blocks: when compiling two libraries that use a common block with the same name they will then share the same memory.,1,,1
f3f0363c,2011-07-20 11:48:42,developing interface,0,,0
857b084d,2011-07-20 11:48:52,Merge branch 'dalton-interface' of repo.ctcc.no:pcmsolver into dalton-interface,0,,0
73617b55,2011-07-22 09:57:54,upgraded interface: compiles,0,,0
82002c95,2011-07-25 17:04:06,working on the interface,0,,0
a952821c,2011-07-25 22:52:06,it compiles...,0,,0
75b70a3d,2011-07-27 12:14:18,some name changes,0,,0
59c2d5af,2011-07-27 12:17:07,some name changes,0,,0
f741dbda,2011-07-27 16:41:38,renamed printing units,0,,0
4973148e,2011-07-27 16:43:32,work in progress,0,,0
fa4d9ae6,2011-07-27 16:46:53,Merge branch 'dalton-interface' of repo.ctcc.no:pcmsolver into dalton-interface,0,,0
12aea577,2011-07-27 16:49:03,renamed again,0,,0
900706f8,2011-07-27 16:51:43,Merge branch 'dalton-interface' of repo.ctcc.no:pcmsolver into dalton-interface,0,,0
35c1b4f1,2011-08-02 13:06:12,Fixed errors in CMakeLists.txt,1,,0
d3e14951,2011-08-03 15:47:30,(NOT!) working on interface,0,,0
f5685193,2011-08-03 15:47:55,Merge branch 'dalton-interface' of repo.ctcc.no:pcmsolver into dalton-interface,0,,0
55bae35d,2011-08-03 20:04:18,Fixed a bug: normal vectors were NOT normalized. The result was surprisingly accurare despite the bug. Need to clean up the code a bit fomr garbage printing before continuing....,1,,1
13ad328b,2011-08-09 11:01:48,switched indices on tess centers data to make it consistent with Eigen row major default,0,,0
499ca208,2011-08-09 18:59:36,SCF working,0,,0
4ae4a09a,2011-08-10 11:50:30,this version is in sync with Dalton revision 11016,0,,0
5a4acd56,2011-08-15 15:19:20,adding Wavelet Cavity,0,,0
ec25bb58,2011-08-15 16:12:54,compilied with Wavelet Cavity included,0,,1
f4d0444f,2011-08-16 12:22:43,Wavelet cavity code compiles and generates a dump. No clue what to do with it for now...,0,,0
48497f07,2011-09-12 12:39:14,added wavelet software from Helmut,0,,0
ecda2713,2011-09-14 15:44:50,new files in wemlib,0,,0
98668ae9,2011-09-14 15:52:17,compiled with wavelet library (not used yet...),0,,0
97aca783,2011-09-16 15:21:16,compiling with inheritance on PCMSolver side,0,,0
8f09379c,2011-09-16 15:35:04,Embryo of WEMSolver,0,,0
54c4cce0,2011-09-16 17:24:42,fixed bug at the pedra interface,1,,1
5d3b2dfa,2011-09-19 17:29:16,uploaded wavelet cavity to be sent to the wem solver,0,,1
0cf2bfd5,2011-09-19 17:31:12,WEMSolver constructors updated. not sure if this works yet...,0,,0
e97c2dad,2011-09-20 12:08:22,added ifndef/define/endif directives to include files in wemlib,0,,0
24843fed,2011-09-23 12:06:50,compiles with buildSystemMatrix for WEMSolver,0,,0
4f37aa19,2011-09-30 18:48:11,get same T_ and most likely same system matrix now,0,,0
0506f8d2,2011-10-14 16:04:24,Updated libgetkw path on repo,0,,0
bc281724,2011-10-14 17:21:34,debugging wavelet cavity,0,,1
93aa113d,2011-10-14 17:24:52,added some cmake files,0,,0
f6a2e6c2,2011-10-14 17:34:20,updated libgetkw url,0,,0
46ac172f,2011-10-20 15:20:27,fixed bug in setup and disabled blas by default,1,,1
a3628362,2011-10-20 15:20:53,Merge branch 'wavelet-cavity' of repo.ctcc.no:pcmsolver into wavelet-cavity,0,,1
e95f53e6,2011-11-03 10:36:23,Updated libgetkw repo,0,,0
ebba71fe,2011-11-03 11:43:33,updated CMakelists.txt for right order of libraries,0,,0
6a2d6558,2011-11-07 14:11:44,Bug fix but still smth wrong with wavelet module,1,,1
d53369cc,2011-11-10 15:58:16,Changed order of libraries.,0,,0
52572b12,2011-11-10 16:00:34,Merge branch 'roberto-test',0,,0
71f69c4b,2011-11-10 16:08:12,Merge branch 'master' of https://repo.ctcc.no/pcmsolver,0,,0
28e7c19f,2011-11-14 12:02:07,Fixed compilation issues and added cmake files from Dalton,1,,1
d44d4cc3,2011-11-14 12:21:00,Fixed path of executable files.,1,,0
2c1c3585,2011-11-14 15:07:54,debugging wavelet solver,0,,1
6b0cde5b,2011-11-14 15:36:56,Working on input parsing.,0,,0
b51d266e,2011-11-14 15:39:06,Merge branch 'dalton-interface' of repo.ctcc.no:pcmsolver into dalton-interface,0,,0
cfe22c42,2011-11-15 10:33:45,Updated libgetkw reference point (sha1),0,,0
8f084af5,2011-11-15 10:34:02,Merge branch 'dalton-interface' into devel,0,,0
f529c9fc,2011-11-15 10:46:43,Merge branch 'wavelet-cavity' into devel,0,,1
f6e6f369,2011-11-15 13:36:57,Moved creation of pcmsolver.x from solverlib to main project directory,0,,0
afa2477d,2011-11-15 15:52:09,Added new keywords.,0,,0
cb36ece1,2011-11-16 12:02:50,some output cleanup,0,,0
6efa8aae,2011-11-17 12:09:15,a change of sign in the double layer fixed Si,1,,1
c222e42f,2011-11-17 12:55:02,Compared to Ville's implementation the code seems to yield the same system matrices and the same charges. Some notes: 1) In order to compare numbers one by one the cavity is explicitly given in the old code otherwise    some small corrections due to Angstrom/AU conversions happen,0,,0
c88d718d,2011-11-17 13:29:08,Removed constant nuclear potential,0,,0
14e2e9fb,2011-11-17 14:56:36,Merge branch 'dalton-interface' of repo.ctcc.no:pcmsolver into dalton-interface,0,,0
f678bc75,2011-11-17 15:13:37,Cleanup to port wemsolver to dalton-nterface,0,,0
2e4cf134,2011-11-18 12:36:12,"- Fixed (or better hacked) CMakeLists.txt in order to avoid the compilation of the executable when    ""make all"" is run  - Defined an init_pcm that should decide whether traditional or wavelet PCM is used  - Fixed python input parsing (to be merged with modifications from Roberto...)",1,,1
e9df4f91,2011-11-18 16:31:09,Merge branch 'dalton-interface' of https://repo.ctcc.no/pcmsolver into dalton-interface,0,,0
59500819,2011-11-22 10:12:18,Working on common interface for IEF and WEM,0,,0
1fb48456,2011-11-22 13:06:18,Working on spheres.,0,,0
e7e626b0,2011-11-22 16:35:52,Working on common interface for wavelet and traditional PCM,0,,0
8e7e7114,2011-11-22 18:54:16,Working on interface.,0,,0
938848c2,2011-11-22 18:59:34,Separate prototypes and implementation for subroutine needed for interfacing. TODO: modify CMakeLists.txt accordingly.,0,,0
264f4656,2011-11-23 11:31:37,fixed stupid bug,1,,1
7d4e5707,2011-11-23 16:19:39,Working on interface and input parsing.,0,,0
900a18aa,2011-11-24 12:04:26,Working on interface.,0,,0
8ba978a7,2011-11-24 12:59:14,Fixed unity conversion problem. Units are at present a total mess!! This should be fixed ASAP!,1,,1
d369f092,2011-11-24 13:53:31,Added TAGS to gitignore,0,,0
c803aade,2011-11-24 17:51:54,1) Working on interface  Implicit cavity working (rudimentally). 2) Changed some names.,0,,0
cd1deebb,2011-11-24 18:38:51,Fixing some inconsistencies.,1,,0
2f621c43,2011-11-28 14:48:40,Fixed a bug in the wem library (NaN in precond.c) and fixed unit conversion problem.,1,,1
465c967a,2011-11-29 13:20:19,Changed factor for PCM diagonal elements,0,,0
b49ccd68,2011-11-29 15:24:49,nothing really,0,,0
fe9e5d6e,2011-11-29 15:25:12,Merge branch 'wem_ief' of repo.ctcc.no:pcmsolver into wem_ief,0,,0
0ac8a6df,2011-11-30 18:19:05,Implicit cavity specification now working.,0,,0
858745af,2011-11-30 18:23:40,New classes for implicit cavity specification.,0,,0
da0a538a,2011-12-01 16:18:24,erge branch 'wem_ief' into merge_wem,0,,0
c8887123,2011-12-01 16:37:06,Added unit flag.,0,,0
0f0d6588,2011-12-02 18:17:46,Various fixes. Added a Solvent class (enables to manage different solvents). Began to think about input structure for different solvents possible.,1,,0
a1bf3fe5,2011-12-02 18:18:40,Solvent class.,0,,0
9526d793,2011-12-07 10:18:02,Added functionality on the solvent side.,0,,0
7c82244e,2012-01-09 11:30:22,Various fixes for cavity formation.,1,,1
09a2301b,2012-01-18 10:17:26,small fix,1,,1
f45f4a0e,2012-01-18 10:17:41,Merge branch 'dalton-interface' of repo.ctcc.no:pcmsolver into dalton-interface,0,,0
d6459da3,2012-01-18 10:22:36,Merge branch 'dalton-interface' into wem_ief,0,,0
58530c31,2012-01-20 11:04:23,Minor change.,0,,0
