hash,time,message,keyword_buggy,human_buggy,fastread_buggy
2d16792f,2016-08-09 17:44:09,Update documentation sidebar to match website,0,,0
301c984b,2016-08-09 18:30:19,only submit a thermo calc when there is no thermo available,0,,0
37956ca4,2016-08-10 01:58:26,Make unit tests check comments and exhaustively check conversion between heat capacity models,0,,0
7984b60e,2016-08-10 01:58:55,Get rid of comment storing line in processathermoData,0,,0
04176859,2016-08-10 17:45:09,Merge pull request #744 from ReactionMechanismGenerator/wilhoit,0,,1
0d8824c3,2016-08-12 15:11:14,Add unit tests for molecular manipulations in thermo.py,0,,0
1b63f641,2016-08-12 15:11:39,Add unit test for isPolyringPartialMatched,0,,0
d543ed97,2016-08-12 20:55:40,Added three unit test examples for addPolyRingCorrectionThermoDataFromHeuristic,0,,0
12ef49ec,2016-08-15 21:01:38,Update out-of-date unittests,0,,0
64df1e4d,2016-08-17 00:42:01,Additional logging when updating networks,0,,0
8d8c8350,2016-08-17 07:28:22,databaseTest.py: deactivate sibling parent checking for polycyclic groups,0,,0
cb3d799b,2016-08-17 15:42:23,Add Uncertainty class to rmgpy.tools.uncertainty,0,,0
0751ecb3,2016-08-17 15:44:18,Engines to compute uncertainty of the inputs given their source,0,,0
2969f8e2,2016-08-17 15:44:56,Add Uncertainty.assignParameterUncertainties function,0,,0
a3c9fdfc,2016-08-17 16:22:30,Add ipython notebook example findParameterSourcesAndAssignUncertainties,0,,0
016ab7ae,2016-08-19 13:37:12,Add helper functions for polyring thermo correction,0,,0
8f676bbd,2016-08-19 13:43:32,Added two methods for deep copying SSSR,0,,0
6aee9a7d,2016-08-19 13:45:21,Add method to check whether matched polycyclic group is partial match,0,,0
690b7d9f,2016-08-19 13:46:19,Add function bicyclicDecompositionForPolyring,0,,0
c9147ed8,2016-08-19 13:51:16,Change the name of __addRingCorrectionThermoData to __addRingCorrectionThermoDataFromTree,0,,0
4497c15a,2016-08-19 13:52:13,Added new polycyclic thermo correction estimation methods,0,,0
128941d5,2016-08-19 14:01:21,Mark core pdep reactions as reversible,0,,0
23deabd7,2016-08-20 00:20:50,Possible fix for the duplicate training reactions problem,1,,1
e7f1e0bd,2016-08-22 10:19:31,Merge pull request #747 from ReactionMechanismGenerator/smart_polycyclic_thermo,0,,1
4645100b,2016-08-22 10:36:18,change RMG-Py version number from 1.0.4 to 2.0.0,0,,0
611d21cf,2016-08-22 11:29:42,Change order of some atomtypes under the 'specific' attribute,0,,0
0a8a045b,2016-08-22 13:20:57,Merge pull request #750 from ReactionMechanismGenerator/fixTrainingDup,0,,1
c4025535,2016-08-22 15:03:35,databaseTest.py: Add a unit test preventing square brackets in kinetics group names,0,,0
634d0d1d,2016-08-22 15:38:09,In kinetics comments  change parentheses to square brackets,0,,0
10efe31f,2016-08-22 16:11:40,Merge pull request #751 from ReactionMechanismGenerator/squareBracketComments,0,,1
3801fcd4,2016-08-22 17:03:19,added release notes for previous v1.0.4,0,,0
cbf87849,2016-08-22 17:25:27,Merge pull request #749 from ReactionMechanismGenerator/extractSource,0,,1
5477b501,2016-08-22 20:20:49,change database requirement to 2.0.0,0,,0
3ed2a006,2016-08-22 21:37:19,added ffmpeg to meta.yml for binnary build,0,,0
1f0ecac9,2016-08-23 00:11:17,Add implicit atoms based on atomtypes for makeSampleAtom,0,,0
807d6db5,2016-08-23 10:54:41,change those extraneous thermo comments printing to debug mode,0,,0
6e917f7c,2016-08-23 13:36:07,Modified sibling/parent check to only test for children in one direction,0,,0
80deaebd,2016-08-23 14:05:24,Add Gitter badge,0,,0
356028b2,2016-08-23 14:19:04,Update mopac.py for MOPAC2016,0,,0
b9de0d31,2016-08-23 14:29:02,make polycyclic test on checkSiblingsForParents,0,,0
b3da790b,2016-08-23 16:04:07,Merge pull request #758 from ReactionMechanismGenerator/siblingTest,0,,1
b54bc0ca,2016-08-24 14:02:20,Merge pull request #754 from ReactionMechanismGenerator/muq,0,,1
dc743bfc,2016-08-25 20:12:09,fix polycyclic test non-deterministic behavior,1,,1
e89318eb,2016-08-26 09:29:29,Merge pull request #752 from ReactionMechanismGenerator/fix736,0,,1
142383ce,2016-08-26 10:39:40,Merge pull request #760 from ReactionMechanismGenerator/polycyclic_test_fix,0,,1
59962b68,2016-08-26 11:50:46,Add Graph.getAllCyclesOfSize(size) method,0,,0
0bd5bb55,2016-08-29 11:15:31,First working version of add benzene bonds,0,,0
e33d4751,2016-08-30 17:49:09,Add documentation about degeneracy for rules vs training,0,,0
f154a5ae,2016-09-06 16:58:44,Merge pull request #765 from ReactionMechanismGenerator/documentationUpdate,0,,0
f3177bc4,2016-09-06 23:03:17,check existence of libraries specified in input when loading database,0,,0
1e6e6817,2016-09-06 23:03:34,added a unittest for loadlibraries correctness,0,,0
048ee37f,2016-09-07 17:29:07,Update unit tests for addImplicitBenzene,0,,0
8f1af5d0,2016-09-07 18:02:26,Added benzene to makeSampleAtom,0,,0
46343cba,2016-09-07 23:19:32,Implement entryAccessibility test for database test on non-kinetics databases,0,,0
8c3c1bd1,2016-09-07 23:55:47,Improve readability of code,0,,0
18771243,2016-09-08 21:37:20,getAromaticResonanceIsomers is already replaced by generateAromaticResonanceIsomers,0,,0
e307fc16,2016-09-08 22:00:46,added a helper function taking special consideration of B bonds,0,,0
141f0725,2016-09-08 22:35:56,make saturate() use getBondOrdersForAtom as well,0,,0
327f9b21,2016-09-08 22:36:30,added an unittest for aromatics that need saturateH,0,,0
aaa8f667,2016-09-08 22:47:56,added two more fused aromatics unittests,0,,0
defc5ee4,2016-09-08 23:16:31,make updateCharge also use the unified get bond orders,0,,0
01fe7484,2016-09-09 00:08:25,refactor: move bond_orders to molecule.py,0,,0
c90f4d88,2016-09-09 00:08:55,import bond_order from molecule inside methods to avoid cyclic importing,0,,0
bc6e9ab3,2016-09-09 01:06:36,move PeriodicSystem class to element.py and refactor,0,,0
b961db34,2016-09-09 11:19:54,raise error instead of warning  notifying user right away,1,,0
cdef90b5,2016-09-09 14:18:24,Merge pull request #766 from ReactionMechanismGenerator/library_existence_checking,0,,1
