hash,time,message,keyword_buggy,human_buggy,fastread_buggy
92e20c53,2017-08-04 15:14:38,Removed test_cancelImmediately  as if seems to fail on mac,1,,0
b89a1ca4,2017-08-04 16:05:26,Fixes S3 adaptor,1,,1
4b700e65,2017-08-07 13:28:02,More tests,0,,0
80868804,2017-08-07 13:29:56,Fixed typo in torque tests,1,,1
3021eb0d,2017-08-07 13:34:27,Removed commented code,0,,0
86f2c8d2,2017-08-07 13:37:40,Merge pull request #521 from NLeSC/fix-slurm-versions,0,,1
6599877c,2017-08-07 13:38:19,Merge pull request #522 from NLeSC/xenon-cli-issue36,0,,1
08bdc015,2017-08-07 13:40:20,Merge branch 'master' into S3AdaptorNoGitHell,0,,0
a3ac7bdd,2017-08-07 13:42:47,Merge branch 'master' into fixpathsemantics,0,,0
45fd12f6,2017-08-07 14:16:20,Merge branch 'master' into S3AdaptorNoGitHell,0,,0
3ed9952d,2017-08-07 14:26:39,Use file in scheduler error,1,,0
0d39d4f6,2017-08-07 14:37:53,Merged master into branch,0,,0
d8230ad0,2017-08-07 14:38:18,Merge branch 'S3AdaptorNoGitHell' of github.com:NLeSC/Xenon into S3AdaptorNoGitHell,0,,0
8916f93b,2017-08-07 14:44:01,Fixed duplicate method,1,,1
4373c9a7,2017-08-07 16:06:06,Merge pull request #528 from NLeSC/unknown-adaptor-typo,0,,1
a72887d9,2017-08-07 16:29:54,jclouds-all dependency breaks other tests. Reducing jcloud dependecies to minimum fixes this,1,,1
6df96694,2017-08-07 16:42:04,fixed license headers,1,,1
3b596686,2017-08-07 17:00:05,Merge pull request #527 from NLeSC/S3AdaptorNoGitHell,0,,1
3215219f,2017-08-07 17:02:50,Commented test that has unclear semantics.,0,,0
3f6e53b2,2017-08-07 17:04:47,Merge branch 'master' of github.com:NLeSC/Xenon,0,,0
1f603ed3,2017-08-07 17:06:25,Merge branch 'master' into fixpathsemantics,0,,0
61f716d7,2017-08-07 17:57:51,Added script to run all checks,0,,0
55a73efd,2017-08-07 18:14:54,Merged with master,0,,0
babab0e0,2017-08-07 18:15:21,Merge pull request #524 from NLeSC/fixpathsemantics,0,,1
31d46bc3,2017-08-07 22:24:34,Added spotless task to gradle and applied cleanup to all code,0,,0
1189b6d9,2017-08-07 22:25:11,Added spotless task to gradle and applied cleanup to all code,0,,0
c58e6c09,2017-08-07 22:49:29,Merge pull request #530 from NLeSC/spotless,0,,1
980b7cd5,2017-08-08 13:08:45,Added initial SSH test,0,,0
b7ac0b3c,2017-08-08 13:09:48,Merge branch 'master' of github.com:NLeSC/Xenon,0,,0
c688c0dd,2017-08-09 15:35:41,Added some tests on exists() with relative paths,0,,0
9cda5b0d,2017-08-09 16:33:14,Path forgot its absoluteness in getName()  normalize() + more Path tests,0,,0
8d01e135,2017-08-10 10:00:58,More tests,0,,0
c27f27ba,2017-08-10 10:03:36,Merge pull request #531 from NLeSC/path-forgets-absoluteness,0,,1
de662ff6,2017-08-10 10:05:46,Merge branch 'relative-file-tests' of github.com:NLeSC/Xenon into relative-file-tests,0,,0
3d47b275,2017-08-10 16:42:09,Added working directory to filesystem,0,,0
fc31ac7b,2017-08-10 16:43:39,Merge branch 'master' into relative-file-tests,0,,0
377a31f8,2017-08-11 13:35:06,Added support for relative paths to all adaptors. FileSystem.getEntryPath replaced getWorkingDirectory  added setWorkingDirectory,0,,0
4bd2cd1f,2017-08-11 14:36:53,Force all test to implement complete LocationConfig,0,,0
98556a00,2017-08-11 14:52:48,Fixed code style in LocationConfig,1,,1
0b622b12,2017-08-11 15:08:23,Merge pull request #532 from NLeSC/relative-file-tests,0,,1
672a5cb5,2017-08-11 16:59:57,More tests for sftp,0,,0
453b3227,2017-08-14 11:23:57,Fixed fixed client script to correctly set group id of mounted docker.sock,1,,1
a1c502bf,2017-08-14 23:54:31,Added test for default  certificate  and certificate with password credentials,0,,0
29b3efc4,2017-08-14 23:58:05,Fixed license header in test,1,,1
cf219a41,2017-08-15 17:11:22,Solve a bunch of Windows tests,0,,0
b444b059,2017-08-15 18:16:47,More unit tests,0,,0
6fa8abb3,2017-08-15 20:03:17,Make Windows fixes also work on non-Windows,1,,0
09b28500,2017-08-16 15:20:03,Testing...,0,,0
98a40451,2017-08-16 15:24:38,Testing...,0,,0
c06ca3ed,2017-08-16 15:26:35,partial fix for issue #533,1,,1
37ea531a,2017-08-16 15:31:28,Added missing stream close in test framework. Otherwise windows cannot delete dir.,0,,0
ff795a30,2017-08-16 15:38:52,Testing...,0,,0
57dfd57c,2017-08-16 15:49:02,Testing...,0,,0
b7395759,2017-08-16 15:58:41,Testing...,0,,0
a57bb9aa,2017-08-16 15:59:42,Testing...,0,,0
2af0a9b2,2017-08-16 16:01:53,Testing...,0,,0
c30250b7,2017-08-16 16:06:41,Testing...,0,,0
fcc16b0d,2017-08-16 16:07:04,Testing...,0,,0
2c3d77f6,2017-08-16 16:14:26,Testing...,0,,0
dfac07f9,2017-08-16 16:16:40,Testing...,0,,0
fbdebd82,2017-08-16 16:25:08,Testing...,0,,0
3cfd9fe7,2017-08-16 16:30:45,Testing...,0,,0
5dd6d43c,2017-08-16 16:34:53,Testing...,0,,0
b2e6199a,2017-08-16 17:08:13,Update of gradle to 4.1. Removed println,0,,1
407e44b8,2017-08-16 17:12:38,Fixed javadoc,1,,0
71cf6dd3,2017-08-16 17:43:19,added docker integration test for webdav as anonymous user  fixes #536,1,,1
fe64e01f,2017-08-16 20:17:09,Test in FileSystemTest if FileSystem is closed before cleanup.,0,,0
1c24aa5a,2017-08-16 21:31:52,Merge pull request #535 from NLeSC/windows-live-tests,0,,1
061a08e7,2017-08-16 21:33:20,Merge pull request #537 from NLeSC/webdav-anonymous-user,0,,1
38e0f488,2017-08-16 21:34:01,Merge pull request #534 from NLeSC/no-system-out-println,0,,1
c150ce7a,2017-08-16 21:46:16,Merge branch 'master' of github.com:NLeSC/Xenon,0,,0
ccd8f29c,2017-08-16 22:09:35,Fixed code style and license info,1,,1
facd7546,2017-08-16 23:11:25,Remove various leftover debug prints,0,,0
6c74cb35,2017-08-22 16:30:12,Resurrect HDFS adaptor from Git commits,0,,0
044a0fe5,2017-08-24 13:42:00,More HDFS better,0,,0
45a7dc54,2017-08-24 15:03:08,Fixes #543 and #542,1,,1
adaa0d08,2017-08-25 06:40:27,Merge pull request #546 from NLeSC/maybeThrow,0,,1
7f238e6c,2017-08-25 08:22:28,Make spotless happy,0,,0
53af4313,2017-08-25 16:13:54,Towards integration testing,0,,0
d4ec6fc0,2017-08-25 17:41:22,Towards integration test of HDFS,0,,0
67226ecb,2017-08-28 12:54:01,removed commented out code,0,,0
764d2a21,2017-08-28 16:40:39,refactored XenonProperties .clear()  .exclude() and .include(),0,,0
cbf29526,2017-08-28 16:48:36,resolved sonarcloud code smell: platform-specific line separator,0,,0
a924a08c,2017-08-28 17:21:35,resolved sonarcloud code smell: implicit constructors,0,,0
3cc637fc,2017-08-28 17:26:14,resolved sonarcloud code smell: unused private variable,0,,0
e02d59e8,2017-08-28 17:35:34,resolved sonarcloud code smell: unused method parameter (loadKnownHosts! controversial  I know),0,,0
3b166f3b,2017-08-28 18:45:18,whitespace changes  tripped up spotlessJava on Travis,0,,0
fadab532,2017-08-29 12:04:03,resolved sonarcloud code smell: don't reuse parameter,0,,0
7b52a498,2017-08-29 12:51:18,resolved sonarcloud code smell: 'throws' declarations should not be superfluous,0,,0
36502f9c,2017-08-29 13:08:31,resolved sonarcloud code smell: add @Override annotation to method signature,0,,0
43d88e82,2017-08-29 13:16:33,resolved sonarcloud code smell: remove useless assignment to local variable,0,,0
c7a3b9c1,2017-08-29 13:20:01,resolved sonarcloud code smell: remove unused method parameter,0,,0
1c86e241,2017-08-29 14:09:23,resolved sonarcloud code smell: collapsible 'if' statements should be merged,0,,1
dd5bcea1,2017-08-29 14:10:14,resolved sonarcloud code smell: string contains no format specifiers,0,,0
5fd0bad1,2017-08-29 15:06:03,resolved sonarcloud code smell: don't use constructors for primitives,0,,0
d6bc69e0,2017-08-29 16:03:16,resolved sonarcloud code smell: don't reuse parameter,0,,0
ec7dc242,2017-08-29 16:04:41,resolved sonarcloud code smell: removed commented out code,0,,0
afcdc1a1,2017-08-29 16:05:19,resolved sonarcloud code smell: 'throws' declarations should not be superfluous,0,,0
59be8a64,2017-08-29 16:06:05,resolved sonarcloud code smell: variable name capitalization,0,,0
125ee938,2017-08-29 16:13:27,typos,0,,0
a5cb4e59,2017-08-29 16:23:21,typo,0,,0
53b410e6,2017-08-29 16:48:54,resolved sonarcloud code smell: removed commented-out code,0,,0
1539e174,2017-08-29 16:53:28,resolved sonarcloud code smell: implicit constructors,0,,0
0900a9b1,2017-08-29 16:57:47,resolved sonarcloud code smell: collapsible 'if' statements should be merged,0,,1
4bb975ef,2017-08-29 17:00:16,resolved sonarcloud code smell: add @Override annotation to method signature,0,,0
a5cc1f3e,2017-08-29 17:29:49,resolved sonarcloud code smell: don't reuse parameter,0,,0
9ac02be3,2017-08-29 17:33:52,resolved sonarcloud code smell: use diamond operator,0,,0
657b1734,2017-08-29 17:38:39,resolved sonarcloud code smell: 'throws' declarations should not be superfluous,0,,0
56b3408d,2017-08-29 17:59:05,updated javadoc to avoid a failing javadoc build,1,,0
17286367,2017-08-30 10:51:01,resolved some spotless formatting problems,1,,0
e6f36b3e,2017-09-01 17:21:43,Tests are green!,0,,0
b78bbbea,2017-09-04 11:48:29,rolled back commit cbf2952 (platform-specific line separator)  when constructing job scripts  don't use this platform's line separator  just use \n. One exception to the rollback is the logger  which should use %n  not \n.,0,,0
146ede46,2017-09-04 11:59:09,Update README.md,0,,0
07eded71,2017-09-04 14:55:08,updated and simplified the main README's documentation section,0,,0
7b17e8b1,2017-09-04 15:44:45,updated list of adaptors  now consistent with output from (FileSytem|Scheduler).getAdaptorNames(),0,,0
1cf13dca,2017-09-04 16:02:07,replaced xenon 1.2.2 file copy example snippet with xenon 2 syntax,0,,0
d70495af,2017-09-04 16:25:29,replaced xenon 1.2.2 job submission example snippet with xenon 2 syntax,0,,0
b1a3fa8e,2017-09-04 16:37:36,cleaned up the 'how to include xenon in your project' section  no longer mentions JCenter though  not sure if that's bad,0,,0
6181cb45,2017-09-04 17:46:24,replaced bintray download badge with jitpack download badge,0,,0
fd86b2c9,2017-09-04 17:47:30,removed compile-from-source section from readme,0,,0
9929228f,2017-09-04 17:51:17,throwing exception instead of printing its message,0,,0
3a33aa3d,2017-09-04 17:58:12,throwing exception instead of printing its message,0,,0
5b2587f3,2017-09-04 17:59:06,forgot to add the XenonExcpetion import,0,,0
d31bce88,2017-09-04 18:08:00,included the Gradle and Maven snippets inline instead of redirecting to jitpack.io,0,,0
8d7a4629,2017-09-04 18:08:59,corrected slurm image name,0,,0
1a6ee3d4,2017-09-04 18:10:30,removed old terminolgy comments about adaptor capability,0,,0
fe19f8c0,2017-09-04 18:27:58,Merge pull request #553 from NLeSC/readme-2.0.0-rc2,0,,1
4a91cade,2017-09-12 10:47:11,Update of Path implementation  plus relevant changes in adaptors and test.,0,,0
3936f34e,2017-09-12 10:47:44,Merge branch 'master' of github.com:NLeSC/Xenon,0,,0
