hash,time,message,keyword_buggy,human_buggy,fastread_buggy
42d05d5,2017-04-14 07:54:13,Initialize v8.3.3 development,0,0.0,0
ca2746a,2017-04-14 09:07:56,Merge branch 'tedi' into develop,0,0.0,0
8471aa3,2017-04-14 09:07:56,Add a short description for m_xg,0,0.0,0
e6a5523,2017-04-14 09:21:00,Merge branch 'develop' into tdep,0,0.0,0
0d50562,2017-04-14 09:36:41,Add a short description for m_xg,0,0.0,0
f591df4,2017-04-17 13:36:44,Initialize v8.3.3,0,0.0,0
447254f,2017-04-18 08:55:35,Merge tag 'start-8.3.3' into develop,0,0.0,0
e647925,2017-04-18 17:39:10,vdw people please check this - input variable checks appeared incorrect,0,0.0,0
f0a83b0,2017-04-19 09:28:21,Merge branch 'nonlinear' of /media/usbdisk/GIT/abinit into nonlinear,0,0.0,0
7603baa,2017-04-19 12:00:12,Fix misplaced endif,1,1.0,1
ff856de,2017-04-19 12:01:01,Merge branch 'develop' of gitlab.abinit.org:trunk/abinit into develop,0,0.0,0
a014521,2017-04-19 12:08:21,Merge branch 'develop' of gitlab.abinit.org:trunk/abinit into eph,0,0.0,0
f239f8c,2017-04-19 12:30:29,Continue to use etsf_io as name of the test subsuite (modifs in the build system scripts are needed),0,0.0,0
84d4590,2017-04-19 12:32:12,Merge branch 'develop' of gitlab.abinit.org:trunk/abinit into netcdf,0,0.0,0
c3d97c7,2017-04-19 14:06:22,Merge ygillet/tdepoptic and solve conflits.,0,0.0,0
e0ba4e9,2017-04-19 14:08:00,Small correction in dfpt_looppert.F90,0,1.0,1
8280788.0,2017-04-19 14:31:13,Fix compilation error,1,1.0,1
3821eda,2017-04-19 15:12:46,added new test in v8 for rfmagn,0,0.0,0
36754d0,2017-04-19 15:14:10,Merge remote-tracking branch 'trunk/develop' into dfpt,0,0.0,0
58633eb,2017-04-19 15:15:31,Fix compilation error,1,1.0,1
5268c1d,2017-04-19 17:10:02,corrected the new calculation of the mean squared displacement from the gaussian or tetrahedron DOS,0,0.0,1
022c63a,2017-04-19 17:24:15,Merge branch 'develop' of gitlab:mverstra/abinit into develop,0,0.0,0
03c6a2d,2017-04-19 17:26:01,small edits and comments in the code,0,0.0,0
b96d735,2017-04-19 18:40:21,Allocate exc_vl only if needed,0,0.0,0
bc0138e,2017-04-19 19:05:04,tol num lines adjusted,0,0.0,0
6aa7d65,2017-04-20 11:14:15,test updated  y.a.t,0,0.0,0
e0b0022,2017-04-20 12:03:08,v8[20] test adjustment  added enter into fermi correction for metals with bfield - to test,0,0.0,0
e372cbb,2017-04-20 16:20:04,for testing : clone shiva_py3K -> inca_py3k,0,0.0,0
