hash,time,message,keyword_buggy,human_buggy,fastread_buggy
49f1de69,2014-05-06 09:11:39,DRR - Cpptraj: Add Atom constructor for use with Tinker files. Read box information when opening Tinker file if present. Add routine to read atom information from Tinker file. Add parm reader for Tinker file.,0,,0
9cfc737e,2014-05-06 09:29:46,DRR - Cpptraj: Remove obsolete ArgList function. Add Tinker parm file.,0,,0
f30adcf5,2014-05-06 09:43:00,DRR - Cpptraj: Slight modification to Tinker recognition routine  titles can be any size apparently and contain whitespace. Also set topology title/filename.,0,,0
7176cb30,2014-05-06 09:48:23,DRR - Cpptraj: Fix ordering of enumerated type.,1,,1
c5dccec1,2014-05-06 09:53:02,DRR - Cpptraj: Add Tinker trajectory file,0,,0
156085d3,2014-05-06 10:19:25,DRR - Cpptraj: Move Tinker file detection ahead of Amber Traj since Tinker file with box coords can look like an Amber Traj.,0,,0
6dd2d1a1,2014-05-06 10:27:19,DRR - Cpptraj: Properly update frame count,0,,0
c27a8ac5,2014-05-06 11:00:10,DRR - Cpptraj: Add routine to determine residue info from molecules if no residue info present.,0,,0
3d7f9b30,2014-05-06 12:51:59,DRR - Cpptraj: In FileName  record directory prefix. In lifetime analysis use directory prefix + prefix + base filename instead of just prepending the prefix (which results in an error when not writing to the same directory).,1,,0
07ada504,2014-05-06 12:55:14,DRR - Cpptraj: Fix lifetime curve filename when not in same directory,1,,0
f7f56802,2014-05-06 13:43:30,DRR - Cpptraj: Trap mask errors in some commands.,1,,0
ee4f6e01,2014-05-06 14:09:24,DRR - Cpptraj: Add check for misplaced operators in atom masks that can lead to segfaults.,0,,0
95af222a,2014-05-06 14:45:19,DRR - Cpptraj: Trap errors when opening files for writing in modes analysis. Enable eigenvalue fraction analysis in modes.,1,,0
8fe8e48b,2014-05-07 09:29:02,DRR - Cpptraj: In rotdif  make 'out' an alias for 'outfile'.,0,,0
e2e957e8,2014-05-07 09:40:01,DRR - Cpptraj: corrout rotdif option now prints time correlation functions for all vectors.,0,,0
d0e476de,2014-05-07 13:28:15,DRR - Cpptraj: Fix lifetime curve file name setup when not using windows,1,,1
4060c183,2014-05-07 13:40:12,DRR - Cpptraj: Fix AddVal function so that previous values are actually incremented (fixes solvent hbond lifetime calculation bug),1,,1
73a06746,2014-05-08 11:52:19,DRR - Cpptraj: Add more feedback for rotdif gridsearch option.,0,,0
17971134,2014-05-09 09:17:03,DRR - Cpptraj: Use map when reading in groups from remd.dim in case they are out of order.,0,,0
d40aaf4f,2014-05-09 09:36:23,DRR - Cpptraj: During remlog read use given group number in MREMD logs.,0,,0
1d22efc5,2014-05-09 09:40:35,DRR - Cpptraj: Use internal buffer in BufferedLine::GetLine routine instead of CpptrajFile::GetLine,0,,0
8aea4f08,2014-05-09 11:11:52,DRR - Cpptraj: Add missing braces.,0,,0
af7ea87c,2014-05-09 12:02:05,DRR - Cpptraj: Fix up nmwiz output  add more error checking  add option to use an atom mask so topology can match eigenvectors  move nmwiz output code into Analysis_Matrix since it is only needed/used there.,1,,0
e8f75006,2014-05-09 16:19:37,DRR - Cpptraj: Allow writing of topologies from COORDS datasets with parmwrite,0,,0
11f6702d,2014-05-12 08:23:42,Fix tinker file autodetect.,1,,1
4a3eb98c,2014-05-12 13:16:20,Merge branch 'master' of git.ambermd.org:amber,0,,0
bd18ccff,2014-05-12 13:19:49,DRR - Cpptraj: Remove debug message.,0,,0
86d7c609,2014-05-12 13:50:24,DRR - Cpptraj: Protect pucker analysis from invalid pucker values than can lead to segfault.,0,,0
53d2e616,2014-05-13 08:26:23,DRR - Cpptraj: Update help.,0,,0
0ba48b60,2014-05-13 08:57:32,DRR - Cpptraj: Add 'datafilter' command  allows 'filter' action to be run separate from trajectory processing.,0,,0
70127f13,2014-05-13 10:43:38,DRR - Cpptraj: Add #s to error message.,1,,0
17080077,2014-05-15 14:58:04,DRR - Cpptraj: In pairwise  get reference keywords before data set name  fix bug that prevented delta Es from ever being calculated.,1,,1
bdb087bf,2014-05-15 15:21:27,"DRR - Cpptraj: Change OpenMP loop variables from unsigned to signed to get rid of errors like ""undefined reference to `__kmpc_for_static_init_4u'""  apparently certain OpenMP implementations cannot handle unsigned variables in 'for' blocks.",1,,0
acd2cb9f,2014-05-15 15:23:11,Merge branch 'master' of git.ambermd.org:amber,0,,0
937e6023,2014-05-19 10:51:48,DRR - Cpptraj: Change 'modes' output format to make it more amenable for reading into other graphing programs.,0,,0
207e0cde,2014-05-20 09:16:43,DRR - Cpptraj: Make command line mask routines print only mask information - all other output is suppressed to make scripting easier.,0,,0
cbd19077,2014-05-20 09:28:11,DRR - Cpptraj: Replace all instances of SILENT_EXIT with SetWorldSilent(true) and loudPrintf  this way all extraneous output is avoided for command-line flags.,0,,0
015f1610,2014-05-20 10:40:28,DRR - Cpptraj: Modify DihedralSearch so that all 4 atoms must be connected by bonds  prevents fake 'detection' of dihedrals between separate molecules.,0,,0
b02bee69,2014-05-20 13:48:49,DRR - Cpptraj: Fix 2 character element name recognition in PDB files.,1,,1
aa550da2,2014-05-23 10:34:23,DRR - Cpptraj: Make 'AddByMask' error a fatal error for Action_Average.,1,,0
a776fb64,2014-05-27 09:55:35,DRR - CPPTRAJ: Protect torsion analysis from invalid torsion values that can lead to segfault.,0,,0
4dfea15b,2014-05-28 09:39:06,DRR - Cpptraj: Add option to write epsilon vs number of clusters.,0,,0
376ac135,2014-05-29 11:36:06,DRR - Cpptraj: Update version number,0,,0
8d9e19c5,2014-05-29 15:02:31,DRR - Cpptraj: Topology now include complete replica dim info if present in traj  and can be set with ensemble size. Trajin now returns complete replica dim info. Add ability to write a 4-dim Netcdf ensemble trajectory  but not yet fully implemented. Increment version and internal version #s.,0,,0
