hash,time,message,keyword_buggy,human_buggy,fastread_buggy
aa650aaf1,2017-04-12 09:50:12,Tagging v2.1.6,0,,0
1c84e0d7f,2017-04-12 09:51:14,Merge branch 'maint',0,,0
70b39251a,2017-04-12 10:09:04,Merge remote-tracking branch 'origin/master' into pair_van_der_waals,0,,0
4beb28fe0,2017-04-12 10:52:48,Fix wall documentation,1,,0
aa7ac3ca2,2017-04-12 18:44:18,missed T to kT fixes in md.integrate,1,,0
be374061c,2017-04-13 14:29:45,Use object mean instead of spatial median as OBB tree splitting rule,0,,0
43bfd26fe,2017-04-13 14:29:45,Use object mean instead of spatial median as OBB tree splitting rule,0,,0
b80ac0846,2017-04-13 17:12:15,Elevate notification level,0,,0
294418fae,2017-04-13 17:12:57,Merge branch 'gsd_state_pr' of bitbucket.org:glotzer/hoomd-blue into gsd_state_pr,0,,0
61da2c1d0,2017-04-14 13:46:25,Read particle data out of textures,0,,0
ee6c86c34,2017-04-14 14:17:13,Attempt to coalesce writes for packing particles,0,,0
cbe961463,2017-04-14 14:32:07,Fix flags for partitioning,1,,1
b8250f51c,2017-04-14 15:02:24,Cleanup names and documentation,0,,0
5348c969e,2017-04-14 15:06:26,Save memory in non-CUDA builds,0,,0
e5a208546,2017-04-14 15:22:36,Connect ParticleData to autotuners,0,,0
d78d3e632,2017-04-14 15:41:34,Actually shutup compiler warnings,0,,0
3cc155fe7,2017-04-17 12:04:23,Reduce size of data passed over MPI by cells,0,,0
2c3f92937,2017-04-17 12:05:36,Remove unneeded CellCommunicator CUDA file,0,,0
331ddd9f1,2017-04-17 12:06:06,Merge branch 'mpcd-cell-comm-opt' of bitbucket.org:mphoward/hoomd-blue into mpcd-cell-comm-opt,0,,0
3e9d91123,2017-04-17 13:18:33,Clean up pack operators,0,,0
8292adb09,2017-04-17 17:54:24,Minor unrelated typo fix,1,,0
71be14786,2017-04-17 20:25:13,use managed array for ShapeFacetedSphere,0,,0
f73af9035,2017-04-17 20:25:13,use managed array for ShapeFacetedSphere,0,,0
6ce4e2908,2017-04-17 20:26:04,Merge branch 'fix_faceted_sphere' into sphere_tree,0,,0
d8e48194e,2017-04-18 06:11:19,Clean up compilation instructions,0,,0
9cfd8f7b2,2017-04-18 09:07:50,Make XCode notice more obviously mac specific.,0,,0
a1e10d316,2017-04-18 12:50:15,Implement dynamic option to dump.gsd,0,,0
75d10b7cb,2017-04-18 12:56:34,Warn users about rare issue with default quantities,0,,0
af85169d9,2017-04-18 13:09:45,Fix typos,1,,0
1fb54b8aa,2017-04-18 13:23:28,Clarify interaction_matrix docs,0,,0
8505be4e9,2017-04-18 13:31:13,Remove HPMC overview docs.,0,,0
22d8c0559,2017-04-18 14:14:31,Add random initialization on C++ end,0,,0
a4158684b,2017-04-18 15:29:25,Add python wrapper and unit test,0,,0
7ee74f73e,2017-04-18 15:29:39,Fix variance of Maxwell-Boltzmann distribution,1,,1
ed0c796dd,2017-04-19 11:09:15,Document rigid bodies.,0,,0
4bf00dac0,2017-04-19 11:24:29,Clarify rotational degrees of freedom,0,,0
cd1904fa3,2017-04-19 11:34:00,Merge branch 'master' into gsd-dynamic-api,0,,0
50c758000,2017-04-19 13:50:17,Merge branch 'master' into mpcd-working,0,,0
e4a7250bd,2017-04-19 14:15:12,Merge glotzer/mpcd-working,0,,0
