hash,time,message,keyword_buggy,human_buggy,fastread_buggy
a59b7e4,2017-07-24 09:09:22,doc edits i missed in earlier commit,0,0.0,0
f202343,2017-07-24 12:54:26,fix typo,1,0.0,0
6716de5,2017-07-24 20:17:17,Update documentation,0,0.0,0
bc446bb,2017-07-25 12:12:30,add .cpp and .h to root src,0,0.0,0
633ca33,2017-07-25 13:08:24,fix newly introduced bug,1,1.0,1
557e5b9,2017-07-25 13:37:01,Fixing CUDA runtime issues in fix_shardlow_kokkos,1,1.0,1
d3fa882,2017-07-25 13:49:23,fix enforce2d has to be defined after fixes with enforce2d_flag set,1,1.0,1
76fb4e0,2017-07-25 14:16:31,first pass at implementing atom2bin for KOKKOS neighbor lists,0,0.0,0
c3c9f35,2017-07-25 14:37:41,fix off-by-one memory allocation bug,1,0.0,1
0231cc3,2017-07-25 19:09:20,Make Kokkos comm give warning and switch to classic comm instead of erroring out,1,0.0,0
60c67b0,2017-07-26 10:45:11,the original fix qeq went away over 7 years ago  we don't need to purge it,1,0.0,0
aa5ea95,2017-07-26 11:55:50,added MKL support,0,0.0,0
51a0633,2017-07-26 12:08:42,Merge pull request #652 from junghans/latte,0,0.0,0
f0d2863,2017-07-26 14:02:02,support QUIP wrapper API version query  relax hybrid restriction to allow hybrid/overlay  update docs,0,0.0,0
f7a243a,2017-07-26 14:20:03,Update Colvars to version 2017-07-15 and support automated builds for it,0,0.0,0
fd6e11f,2017-07-26 14:29:17,added FFTW2 support,0,0.0,0
715c797,2017-07-26 15:14:12,disallow binary output with dump style local. fixes #596,1,0.0,0
2806f07,2017-07-26 15:46:51,include pair style kim doc changes that were accidentally included in PR #590,0,0.0,0
934cbbb,2017-07-26 16:07:08,avoid division by zero in reaxff bond interaction computations in very rare cases,0,0.0,0
da7a5f5,2017-07-26 19:32:55,correct typo in USER-REAXC code,0,0.0,0
72419b6,2017-07-26 19:35:15,handle one more case where allowing shifted potential with cutoff 0.0 would create NaNs,0,0.0,0
8f59c0e,2017-07-27 08:51:17,Fix CUDA issue in pair_exp6_rx_kokkos,1,0.0,1
0427f62,2017-07-27 09:25:02,Minor updates in documentation and setup tool  merge before upgrade to oxDNA2,0,0.0,0
acf6d54,2017-07-27 09:25:39,cmake: fixed two typos,1,0.0,0
