hash,time,message,keyword_buggy,human_buggy,fastread_buggy
4.09E+70,2015-12-03 11:43:00,close_to_point needs tol/hmax,0,0.0,0
050d549,2015-12-03 12:35:00,Merge pull request #739 from roystgnr/static_multiply,0,0.0,0
7de27db,2015-12-03 15:25:00,Merge pull request #740 from roystgnr/C1_coarsening_projection_fix,0,0.0,0
89f050f,2015-12-03 15:31:00,Add configure test for PETSc index size mismatch.,0,0.0,0
493d272,2015-12-03 15:33:00,Run bootstrap.,0,0.0,0
be92d55,2015-12-04 09:26:00,Move libmesh-PETSc type consistency checks out of petsc.m4,0,0.0,0
f434f93,2015-12-04 09:56:00,Run bootstrap.,0,0.0,0
93683af,2015-12-04 11:02:00,Correct comment re: projection close_to_point tol,0,1.0,0
04755d9,2015-12-04 11:03:00,Use larger tolerance when finding old elements,0,0.0,0
d674668,2015-12-04 11:30:00,Perform variable substitution at the end of petsc.m4,0,0.0,0
5b97485,2015-12-04 12:46:00,Run bootstrap.,0,0.0,0
71d0997,2015-12-04 15:50:00,Merge pull request #742 from roystgnr/another_projection_fix,0,0.0,0
ce374e9,2015-12-04 16:12:00,If starting the nonlinear solve with a really good initial guess  we dont want to set an absurd linear tolerance,0,0.0,0
43fa1f4,2015-12-04 16:21:00,Optimize tree add (un)serialization (#745),0,0.0,0
9fdc663,2015-12-04 16:26:00,Merge pull request #741 from jwpeterson/petsc_m4,0,0.0,0
04df0ac,2015-12-04 16:31:00,Updated systems_of_equations_ex8.,0,0.0,0
9af5b1f,2015-12-05 12:18:00,Merge pull request #743 from dknez/systems_of_equations_ex8_refresh,0,0.0,0
7f5ad54,2015-12-06 13:55:00,Update traffic.,0,0.0,0
c5cbe6f,2015-12-06 13:59:00,Update citations.,0,0.0,0
cde372f,2015-12-06 14:05:00,Update LOC count.,0,0.0,0
596f26b,2015-12-07 08:13:00,Update citations.,0,0.0,0
8b9f266,2015-12-07 10:36:00,Add DenseMatrix::svd_solve().,0,0.0,0
70eca2c,2015-12-07 11:01:00,Merge pull request #744 from vikramvgarg/newtonsolver_tolerance_fix,0,0.0,0
c9265c0,2015-12-07 16:58:00,Cache derivatives to files (#745),0,0.0,0
714ec15,2015-12-08 08:20:00,Update citations.,0,0.0,0
4a0d108,2015-12-08 08:26:00,Merge pull request #746 from jwpeterson/svd_solve,0,0.0,0
e0e46c9,2015-12-08 09:04:00,Add feature flag system (#745),0,0.0,0
a5407a2,2015-12-08 09:55:00,Fix gcc compile and link errors (#745),1,1.0,1
4c8fa1b,2015-12-09 14:32:53,Redesign Parallel packed_range functions,0,0.0,0
43f1d0d,2015-12-09 14:39:43,Use new Packing API with Elem* and Node* types,0,0.0,0
01e74bf,2015-12-09 14:40:31,Type deduction argument for receive_packed_range(),0,0.0,0
56341df,2015-12-09 14:42:08,Initial unit test for new packed_range code,0,0.0,0
5fe4bc3,2015-12-09 14:42:37,Build new packed_range unit test,0,0.0,0
9b000bb,2015-12-09 14:42:49,Re-run bootstrap,0,0.0,0
e712ee3,2015-12-09 15:07:42,Fix unused variable warnings,1,1.0,0
ce0cc74,2015-12-09 15:08:00,More packed range unit tests,0,0.0,0
c926028,2015-12-10 08:25:00,Merge pull request #747 from dschwen/cache_ad_745,0,0.0,0
118ee29,2015-12-11 13:39:00,clean the proper output file,0,0.0,0
a517b4b,2015-12-11 17:37:00,PETSc 3.6.3 still has old TaoSetTolerances options,0,0.0,0
9c71d0c,2015-12-12 10:38:00,Merge pull request #749 from pbauman/tao-set-tolerances,0,0.0,0
6d748ea,2015-12-12 10:47:00,Update citations.,0,0.0,0
b7f4a66,2015-12-12 12:45:00,Set DOT_PATH in Doxyfile.in.,0,0.0,0
2fbb632,2015-12-12 13:04:00,"Update Doxygen ""Main Page"" documentation.",0,0.0,0
220cf25,2015-12-13 14:13:00,Update traffic.,0,0.0,0
7fecf64,2015-12-13 14:25:00,Fix doxygen warnings.,1,1.0,0
e7c3d30,2015-12-13 20:55:00,Fix warning about DOT_FONTNAME.,1,1.0,0
d67dd32,2015-12-13 21:05:00,Fix indentation on Doxygen mainpage.,1,1.0,0
7650ed9,2015-12-14 10:53:00,Widen NewtonSolver immediate-convergence test,0,0.0,0
0ade62b,2015-12-14 13:45:00,Don't use LIBMESH_OPTIONS in reduced basis ex5,0,0.0,0
5e4499d,2015-12-14 13:45:37,Don't use LIBMESH_OPTIONS in reduced basis ex5,0,0.0,0
b81dafc,2015-12-14 15:13:00,Merge pull request #750 from roystgnr/newton_solver_fix,0,0.0,0
bbe5924,2015-12-14 15:56:00,Merge pull request #751 from roystgnr/rb_ex5_no_custom_pc,0,0.0,0
fe4bdcd,2015-12-15 14:17:00,Suppress variadic template warnings in GCC.,0,0.0,0
3afb43d,2015-12-15 14:17:25,Suppress variadic template warnings in GCC.,0,0.0,0
0d4372d,2015-12-16 09:32:00,Merge pull request #717 from libMesh/automake_refresh,0,0.0,0
