hash,time,message,keyword_buggy,human_buggy,fastread_buggy
ea708b0,2017-06-27 11:16:04,new MDAnalysisTests.core.util.assert_nowarns() function,0,0.0,0
be8db1c,2017-06-28 16:21:54,Gromacs trajectories fixes and improvements - FIXED: trr/xtc tests failed (on Mac OS X) when MDAnalysis was properly installed   as a egg directory but not as a developer install:   - forgot to include the trr and xtc files in the package   - learned that xdrfile_open() segfaults (at least Mac OS X) if     there is no file: added additional check to prevent that - Gromacs XDR reader now behave like DCDReader:   (1) raise IOError when done    (2) continue raising with repeated next() - for some reason  TRR files can (always??) return status exdrINT at end of file  catch   this in _read_next_timestep() - regenerated swig files from libxdrfile.i (only minor doc things),1,1.0,1
68ff0d5,2017-06-29 22:15:49,add header property,0,0.0,0
2b16b6a,2017-06-30 00:34:55,remove old module from setup.py,0,0.0,0
dbdaf60,2017-07-01 02:22:08,Coordinates now returns a brand new array - doesn't break any of the numtools c functions that don't check for contiguity - long term we should fix the c functions to work properly with non-contiguous arrays This corresponds to r87 in /code/MDAnalysis.,1,1.0,1
3860ccd,2017-07-02 20:28:18,move unitcell handling from libdcd to DCDReader,0,0.0,0
b97f2ab,2017-07-02 22:46:35,new attributes for Atom: radius and bfactor - enhanced Atom object with the radius value (read by the PQR reader) and   added radii() to AtomGroup  this should make it easier to handle PQR files - changed the way that B-factors were stored: they are now also store with   each individual Atom. For compatibility with the old behaviour  AtomGroup.bfactors   is still a (managed) attribute but this will likely be changed to a method in   the 0.8 release to have a more uniform interface - Fixed a bug with the Bio.PDB reader: in the absence of a segid in the file it   would throw an error,1,1.0,1
f0a8204,2017-07-03 03:37:02,fixed bug in access to GSD trajectory at fixed frame,1,1.0,1
3b4841b,2017-07-03 03:39:51,Fix test_diffusionmap.py,1,1.0,1
60cb030,2017-07-03 03:44:50,Fixed analysis.density requiring deprecated trajectory attributes,1,1.0,1
c773c0f,2017-07-03 03:47:13,"Revert ""PSF Parser Fix"" (not needed because atom numbering was fixed)",1,1.0,1
ed4c80a,2017-07-03 03:50:02,fixed: ProgressMeter,1,1.0,1
c1e7cf2,2017-07-03 04:02:18,Fixed bug in rms.py,1,0.0,1
2deec4e,2017-07-03 04:05:33,Fixed core/distances,1,0.0,1
c9f2038,2017-07-03 04:09:45,Fix test_rdf.py,1,1.0,1
a7f050e,2017-07-03 04:12:00,analysis.align: fixed error messages and fixed use n_atoms,1,1.0,1
f3946f3,2017-07-03 04:12:51,Pytest style analysis/test_distances.py (#1541),0,1.0,1
80c4cba,2017-07-03 04:14:37,fixed: exception did not display psf file name,1,1.0,1
0b5aced,2017-07-03 04:18:03,fixed: Python >=2.5 required (with statement is used),1,0.0,1
e025e63,2017-07-03 04:20:00,fixes for writing selections - fixed test for selection writin  which gave a false positive - fixed GROWriter,1,1.0,1
1f0d2f9,2017-07-03 04:23:55,Fixed PointSelection KDTree (CNS was removed),1,0.0,1
123139f,2017-07-03 04:25:30,DCD header improvements,0,0.0,0
