hash,time,message,keyword_buggy,human_buggy,fastread_buggy
2548fb57,2014-12-05 21:30:53,added parameters also to constructor,0,,0
6783fec8,2014-12-07 17:52:24,changed the compression code,0,,0
402e6703,2014-12-07 17:52:42,Merge branch 'moniWEM' of repo.ctcc.no:pcmsolver into moniWEM,0,,0
082c840c,2014-12-07 18:04:27,increased quadrature level in ansatz functions,0,,0
11b47da5,2014-12-07 19:22:07,Python script accepts compression parameters for wavelet solvers,0,,0
4d91e0b5,2014-12-07 19:22:22,Merge branch 'moniWEM' of repo.ctcc.no:pcmsolver into moniWEM,0,,0
b18ed724,2014-12-07 19:53:06,Update input object for compression parameters,0,,0
7b4d2a5c,2014-12-08 14:45:17,Add a Compression struct to pass compression parameters to AnsatzFunction,0,,0
8084e013,2014-12-08 15:13:26,Pass Compression struct from user input all the way down to the AnsatzFunction via the PWC/PWL solvers constructors,0,,0
fbe639a3,2014-12-08 15:17:30,Merge branch 'moniWEM' of repo.ctcc.no:pcmsolver into moniWEM,0,,0
c028f7ac,2014-12-08 17:44:20,Fix some inconsistencies in wavelet cavity generation,1,,1
75f4832d,2014-12-08 17:49:46,Merge branch 'moniWEM' of repo.ctcc.no:pcmsolver into moniWEM,0,,0
5260014c,2014-12-09 18:12:05,Add atomic masses to Atom object,0,,0
a750a3dd,2014-12-09 18:12:05,Add atomic masses to Atom object,0,,0
ad35d61f,2014-12-09 22:24:44,Add Molecule object. Compiles,0,,0
e990bf3c,2014-12-09 22:24:44,Add Molecule object. Compiles,0,,0
24494f97,2014-12-09 22:24:48,Merge branch 'moniWEM' of repo.ctcc.no:pcmsolver into moniWEM,0,,0
20237661,2014-12-09 22:32:19,Add constructo to Molecule,0,,0
56a0c1b7,2014-12-09 22:32:19,Add constructo to Molecule,0,,0
10840b39,2014-12-09 23:46:40,Add free function in interface to initialize Molecule,0,,0
5e9b513f,2014-12-09 23:46:40,Add free function in interface to initialize Molecule,0,,0
88b1ab55,2014-12-09 23:55:10,List of spheres and molecules now coexist. Will test with DALTON before shifting completely to molecule,0,,0
3b35a6cc,2014-12-09 23:55:10,List of spheres and molecules now coexist. Will test with DALTON before shifting completely to molecule,0,,0
04d12ad9,2014-12-09 23:56:43,Remove typos and outright errors in compression params processing,1,,0
8fbb76b5,2014-12-10 00:56:04,Explicit mode cavity setup test fixed,1,,1
f86c962b,2014-12-10 00:56:04,Explicit mode cavity setup test fixed,1,,1
ffb90343,2014-12-10 00:58:20,Shift to Molecule object almost complete. Pass masses down to PEDRA.,0,,0
0036f216,2014-12-10 00:58:20,Shift to Molecule object almost complete. Pass masses down to PEDRA.,0,,0
58cbfece,2014-12-10 00:58:40,Merge branch 'moniWEM' of repo.ctcc.no:pcmsolver into moniWEM,0,,0
4b18d2bc,2014-12-10 01:17:10,Calculate inertia tensor from masses and not radii,0,,0
558fb4b7,2014-12-10 01:17:10,Calculate inertia tensor from masses and not radii,0,,0
a1bc2453,2014-12-11 11:27:45,Updating gepol unit tests...,0,,0
085edd54,2014-12-11 11:27:45,Updating gepol unit tests...,0,,0
02be4858,2014-12-13 15:05:58,Order solvents in database by increasing permittivity,0,,0
bd0b05c6,2014-12-13 15:05:58,Order solvents in database by increasing permittivity,0,,0
7a9f118f,2014-12-13 15:21:34,PEDRA fuzz solved. Same number of tesserae as DALTON are now obtained.,0,,0
e59b7c56,2014-12-13 15:21:34,PEDRA fuzz solved. Same number of tesserae as DALTON are now obtained.,0,,0
f8dff4ca,2014-12-13 15:26:18,Merge branch 'moniWEM' of repo.ctcc.no:pcmsolver into moniWEM,0,,0
45bb39f6,2014-12-13 16:52:17,Adapt GePol unit tests to use Molecule object.,0,,0
94a7dacc,2014-12-13 16:52:17,Adapt GePol unit tests to use Molecule object.,0,,0
6ac157d5,2014-12-16 14:14:43,Solve inconsistent initialization of ConAnsatzFunction,0,,0
28830806,2014-12-16 14:14:52,Merge branch 'moniWEM' of repo.ctcc.no:pcmsolver into moniWEM,0,,0
81f5245f,2014-12-16 14:15:23,Update .gitignore,0,,0
87327582,2014-12-16 14:15:23,Update .gitignore,0,,0
d6167f4c,2014-12-17 12:51:18,Add interface functions to Helmut's PWC code  written by Ville in 2009-2010,0,,0
49bf6c95,2014-12-18 14:42:14,Add executable to test the cavity read from Maharavo's files,0,,0
7c6d4a76,2014-12-27 15:22:25,Minor polish,0,,0
50ad926c,2014-12-27 15:23:28,Merge branch 'moniWEM' of repo.ctcc.no:pcmsolver into moniWEM,0,,0
709427a3,2014-12-27 16:14:05,Remove printout of potential points in wavelet cavity,0,,0
ae688818,2014-12-29 07:17:12,Use BOOST_FOREACH in WaveletCavity.cpp scaleCavity method,0,,0
08f26576,2014-12-29 07:38:53,Move TestingMolecules.hpp to src/utils,0,,0
90ecbe50,2014-12-29 07:47:22,Adapt CPCM and IEFPCM tests to use Molecule object,0,,0
6b124e56,2014-12-29 07:52:04,Merge branch 'master' into moniWEM,0,,0
