hash,time,message,keyword_buggy,human_buggy,fastread_buggy
adf2eff2,2015-07-17 17:39:56,Merge pull request #396 from ReactionMechanismGenerator/docs,0,,1
80f2761e,2015-07-26 18:22:28,Allow Cantherm networks to be drawn in multiple formats.,0,,0
054743fd,2015-07-26 19:04:01,Tweak some docstrings in rmgpy modules,0,,0
2a2fced0,2015-07-27 20:43:49,isNotHydrogen() now checks atomic number != 0,0,,0
3724051c,2015-07-27 22:46:13,More helpful failure message in atom unit test,0,,0
a9387fe8,2015-07-28 14:08:12,Fix initial mole fraction normalization!,1,,1
e3ffe170,2015-07-28 14:59:24,Merge pull request #419 from rwest/master,0,,1
76fe5379,2015-07-28 18:14:16,Additional capabilities when saving input files,0,,0
7382bffc,2015-07-29 11:32:04,Updated pdep section of saveInputFile,0,,0
9a6d0d8f,2015-07-30 15:05:47,Add RMG-website links to HTML sidebar of Documentation,0,,0
76b73bf0,2015-07-30 15:27:43,Merge pull request #422 from ReactionMechanismGenerator/documentation_web,0,,1
3e369fe1,2015-07-30 17:30:22,Check RDKit version during 'make' so that people update to 2015+,0,,0
c756dcd0,2015-07-30 17:54:04,Simplify the rdkit version check.,0,,0
a4e6e27f,2015-07-30 21:44:57,Add line about inchi support when RDKit needs to be upgraded.,0,,0
e55934b3,2015-07-30 21:56:23,Merge rdkit version check to close pull request #423,0,,1
01a19026,2015-07-31 12:16:54,Add useful error message about how to set reversible reactions in libraries.,1,,0
d7b747da,2015-07-31 15:18:11,Save reversible attribute when adding library reactions from seed or reaciton library,0,,0
5bfd816f,2015-07-31 15:40:51,Add additional check for RDKit when version cannot be imported.,0,,0
52d7e67f,2015-07-31 15:57:35,Eliminate line checking year number in version for RDKit.,0,,0
053e1c52,2015-07-31 16:53:09,Changes to how saveInputFile writes QMTP options,0,,0
3fcbc6c2,2015-07-31 23:15:28,Merge pull request #424 from ReactionMechanismGenerator/reverseReactions,0,,1
b2b345f4,2015-08-03 15:35:07,Deprecate getRate and getReactionRates functions,0,,0
471326f0,2015-08-04 11:56:43,Adjust order of entries when saving input file,0,,0
a946163a,2015-08-04 17:00:20,Fixed read and save code for sensitivity analysis,1,,0
56cbd40b,2015-08-06 15:53:02,Add functions to calculate effective pressure on the fly in solver,0,,0
187a716e,2015-08-09 20:39:01,add __reduce__ to ReactionSystem  SimpleReactor,0,,0
683acedc,2015-08-10 14:55:47,Update the documentation on Pdep calculations in CanTherm,0,,0
11a00202,2015-08-10 17:18:11,Change PDepKineticsModel object's initialization of efficiencies.  Initialize as Molecule objects.,0,,0
8c313525,2015-08-10 17:20:25,Remove conversion step to Molecule objects when loading collider efficiencies from Reaction libraries.,0,,0
7e47912a,2015-08-10 17:22:12,Update getEffectivePressure and getEffectiveColliderEfficiencies functions to perform isomorphism checks.,0,,0
731128df,2015-08-10 17:24:44,Unit tests for getEffectivePressure and getEffectiveColliderEfficiencies,0,,0
4af5c640,2015-08-11 13:37:21,Make the getFilePath more extensible and more used in QM.,0,,0
02cae314,2015-08-11 13:56:35,Raise KineticsError rather than generic Exception in reaction family.,0,,0
a176463b,2015-08-12 09:56:44,Catch weird NFS bugs when making QM directories.,1,,0
91d4110b,2015-08-12 14:14:38,Detect when there are no pdepColliderReactions.,0,,0
e98f8c0a,2015-08-12 15:17:55,saveJavaKineticsLibrary() now uses Java style adjacency list,0,,0
946a305b,2015-08-12 16:29:09,rmgpy.data.Database.saveOldDictionary() uses old style AdjacencyList,0,,0
0f2712e7,2015-08-12 19:11:20,Added QMscratch/* to .gitignore,0,,0
91a4d44e,2015-08-12 20:22:17,Skip check_partial_charge on fused benezene atom types.,0,,0
8174aed6,2015-08-12 22:12:48,Fix moleculeTest for fused aromatics (perylene example),1,,0
545eecbc,2015-08-13 13:52:41,Fix bug in if statement for pdepColliders,1,,1
af7f7e60,2015-08-13 15:31:13,Marking mixed pdep/non-pdep reactions as duplicate,0,,0
270563b0,2015-08-13 15:56:33,Merge pull request #427 from mliu49/markDup,0,,1
226f7994,2015-08-13 17:29:26,Change markDuplicates to mark all duplicates,0,,0
1bca35a8,2015-08-13 17:47:45,Add P  Peff  y_coreSpecies cdefined variables.,0,,0
d7eca59f,2015-08-13 17:48:00,Remove unused declaration of equilibriumConstants in jacobian.,0,,0
c4107820,2015-08-14 16:52:38,"When saving kinetics libraries  check that ""labels"" are correct.",0,,0
6f0dda88,2015-08-14 17:47:39,Allow # in chemkin species labels.,0,,0
714fe3b9,2015-08-14 18:09:57,Force longDesc and shortDesc to be unicode,0,,0
e8211b9d,2015-08-14 19:30:06,Sort atoms (by sorting label) whenever asked to sort.,0,,0
1a5ea1dd,2015-08-14 20:03:31,Say which chemkin label is dangerously long,0,,0
ace1c5f4,2015-08-14 20:08:16,Only warn if chemkin reaction string is too long  not species.,0,,0
b7a34f80,2015-08-18 11:09:44,Change reaction label assertion check to a try block in saveEntry(),0,,0
971c1b2c,2015-08-18 11:11:22,Merge pull request #429 from rwest/chemkin,0,,1
cfa8208e,2015-08-18 15:54:15,Correct PDepArrhenius instructions,0,,0
ab014c04,2015-08-18 16:20:38,Add a unit test for a model containing kinetics with collision efficiencies,0,,0
43c7b765,2015-08-18 17:38:20,created parser package in rmgpy.molecule package,0,,0
9699965e,2015-08-18 18:32:51,define InChI and AugmentedInChI classes in inchi module,0,,0
938e3205,2015-08-18 18:54:06,create Atom.getDescriptor method and refactor .sortAtoms(),0,,0
b909b46d,2015-08-18 19:17:19,replace sortVertices() by sortAtoms(),0,,0
d0ddf296,2015-08-19 09:56:05,Fix input reading of interpolation model for ('PDepArrhenius'),1,,0
409b4d84,2015-08-19 11:18:02,create InChI attribute in Molecule object,0,,0
04909d3b,2015-08-19 11:19:48,implement a hash and equality comparison in molecule,0,,0
182cec9e,2015-08-19 11:21:50,lazy evaluation for InChI  SMILES generation,0,,0
2822bbfc,2015-08-19 11:45:23,Tiny optimization,0,,0
b8e22e41,2015-08-19 11:57:19,Move P and T definitions further up to re-use them.,0,,0
c5387562,2015-08-19 11:58:18,Avoid looking up index four times when once will do.,0,,0
5b9eb5ca,2015-08-19 12:00:11,Don't switch forward and reverse coefficients.,0,,0
9d43e1e4,2015-08-19 12:40:24,move identifier generation / parsing into its own module,0,,0
7024d542,2015-08-19 17:45:09,Add a non-pdep reaction to collider model for unit test,0,,0
2ab06217,2015-08-19 18:02:32,Merge pull request #425 from ReactionMechanismGenerator/collisionEfficiencies,0,,1
b6aea933,2015-08-20 16:21:18,saveInputFile(): Write sensitivity tolerances,0,,0
4fbc5b43,2015-08-20 16:47:41,pdep: remove the interpolation=False argument in the input file,0,,0
8bc0ab67,2015-08-20 17:12:31,saveInputFile(): write the maximumAtoms for pdep,0,,0
7edabf24,2015-08-20 17:12:49,fix typo in allowSingletO2 in commented example input file,1,,0
22286f0e,2015-08-20 17:54:01,Merge pull request #437 from mliu49/input,0,,1
3459a772,2015-08-24 15:21:45,Enabled anaconda-installed mopac to be found (within eclipse),0,,0
4ff9c4b2,2015-08-26 09:54:01,move files from parser subpackage to molecule package,0,,0
92bacab6,2015-08-26 09:54:56,create 3 new Extension modules in setup.py,0,,0
da51b438,2015-08-27 14:15:59,convert inchi attribute of AugmentedInChI to str object,0,,0
fe339a5a,2015-08-27 14:45:20,set default multiplicity of parsed Augmented InChI to -1,0,,0
f4f9d73e,2015-08-27 14:47:02,allow for optional multiplicity layer for aug. inchis,0,,0
02761afd,2015-08-27 15:55:01,static type declaration in parser.fromRDKitMol function,0,,0
03959b06,2015-08-27 18:33:14,Update docstring in mergeModels.py script to reflect actual usage,0,,0
08286391,2015-08-27 18:33:35,Add a script to standardize model names between multiple models,0,,0
7b57fdd2,2015-08-28 10:48:26,added eg5 nheptane pyrolysis example,0,,0
43cce882,2015-08-28 11:00:17,added eg5 nheptane pyrolysis example,0,,0
7b047997,2015-08-28 11:11:29,Remove rmgpy.reaction.ReactionModel class and merge functionality into rmg.model.ReactionModel,0,,0
e23b436b,2015-08-28 11:11:49,Point scripts to new ReactionModel class,0,,0
fa99eec6,2015-08-28 11:19:10,reduce complexity of eg5 example,0,,0
534cf3af,2015-08-28 11:25:32,Merge pull request #445 from ReactionMechanismGenerator/moveReactionModel,0,,1
c4090244,2015-08-28 13:39:13,add ethane oxidation example with P-dep (eg6),0,,0
6ea7902e,2015-08-28 13:50:26,reduce logging by adding -q (--quiet) in the Makefile of eg5 and eg6,0,,0
6f06e655,2015-08-28 13:58:58,Merge examples eg5 and eg6.,0,,0
24161e41,2015-08-28 15:25:12,Preliminary saving of models to new repo RMG-tests,0,,0
f35a64cb,2015-08-28 16:43:42,Change exception type from AssertionError to NotImplementedError,0,,0
3c8f3420,2015-08-28 16:46:15,Optimization tweaks to Molecule.sortAtoms(),0,,0
2d622037,2015-08-28 16:51:13,Some cythonization of molecule/parser.pyx,0,,0
a2b20ab4,2015-08-28 17:11:15,Reinstate Molecule.toRDKitMol() method.,0,,0
e636cd4f,2015-08-29 11:48:37,Converting parser.pyx to parser.py and recythoning.,0,,0
0a912a18,2015-08-31 10:26:28,notify listeners when intermediate state variables are updated,0,,0
ddd44818,2015-08-31 11:24:40,added baseTest: test for listener functionality,0,,0
5e128b20,2015-08-31 14:08:20,add reduction framework,0,,0
c4025b24,2015-09-02 15:01:25,Change sidebar icon width in documentation website,0,,0
e6275284,2015-09-07 17:13:55,Merge pull request #443 from ReactionMechanismGenerator/parser,0,,1
e26f749e,2015-09-09 15:39:36,Merge pull request #447 from ReactionMechanismGenerator/base_notify,0,,1
38734b7b,2015-09-12 12:54:57,add resonanceTest,0,,0
88404efe,2015-09-12 12:55:35,do not remove H's when generating an rdmol in generateAroResonanceIsomers,0,,0
6e2f228a,2015-09-14 11:42:29,do not add H's to rdAtomIndices if removeHs=True,0,,0
87f86098,2015-09-15 09:14:06,Add garbage collection after pruning,0,,0
6d0ce132,2015-09-15 09:46:52,Added two handles for better control prune performance,0,,0
a2acb569,2015-09-15 10:51:21,Let the drawMolecules input attribute turn saveHTMLOutput on or off.,0,,0
