hash,time,message,keyword_buggy,human_buggy,fastread_buggy
cf78628c,2013-09-24 17:08:10,Updated docs,0,,0
13f8114b,2013-09-25 12:22:18,Update README.md,0,,0
874c5e5b,2013-09-25 12:22:33,Update README.md,0,,0
c64458c0,2013-10-10 16:47:33,Added print to GridEngineSchedulerConnection,0,,0
d66f332f,2013-10-15 11:07:26,Added extra debug statements to SSH files implementation.,0,,0
6f830336,2013-10-22 03:33:05,Merge pull request #194 from NLeSC/feature/gridengine-resource-option,0,,1
ed4b0ed3,2013-10-22 12:28:32,added option to specify resources (-l in sge scripts),0,,0
b6cdbccd,2013-11-05 07:19:01,Merge pull request #196 from NLeSC/feature/daemon-threads,0,,1
cd8a7a9e,2013-11-05 16:06:04,only use daemon threads in Xenon,0,,0
5d11ad62,2013-11-20 17:51:35,Added static modifier to generic PosixPermission methods.,0,,0
ed6865ac,2013-11-20 17:53:16,First version of refactored GridFTP client. Supports basic mslt msld mkdir rm get put methods.,0,,0
e0b88e88,2013-11-20 17:53:51,Added cog-jglobus-1.8,0,,0
ff43a27f,2013-11-20 18:11:02,Applied beter formatting to updated code.,0,,0
b30e76f8,2013-11-20 18:34:28,Typo.,0,,0
ab2d10f7,2013-11-20 18:46:39,Updated Comments.,0,,0
bb1e0e20,2013-11-20 19:06:43,More comments + typo. Added 2 FIXMEs...,0,,0
9cb567e6,2013-11-21 10:43:44,Moved generic posix file utils from SSHUtil to PosixFileUtils,0,,0
6c22eab5,2013-11-21 10:58:02,Merge remote-tracking branch 'origin/develop' into feature/gftp,0,,0
56350870,2013-11-21 11:01:29,Updated to new PosixFileUtils.,0,,0
9d1a1ee0,2013-11-21 18:36:01,First working version of the Grid FTP adaptor. Basic File Systems methods work.,0,,0
54439a4c,2013-11-24 21:07:43,Updated Comments. Updated concurrency/synchronized statements. Moved globus load/create methods to GlobusProxyCredentials.,0,,0
1a5138f1,2013-11-26 15:21:12,Added Globus Credential factory methods. Moved static Globus methods to GlobusUtil.,0,,0
675214c5,2013-11-26 15:52:07,Updated GlobusCredentials with proxy factory methods.,0,,0
b708e318,2013-12-12 13:31:52,Merge branch 'master' of github.com:NLeSC/Xenon into feature/gftp,0,,0
9c4894a9,2013-12-12 16:58:35,Grid FTP monitor object.,0,,0
db7f3939,2013-12-12 18:10:23,Added third party copy method. Works between 2 localhost clients. Needs more testing.,0,,0
c6edefd2,2013-12-13 16:36:29,Comments. Tested reverse active/passive setup. Doesn't work.,0,,0
73eb4c83,2013-12-30 23:46:42,added support for slurm 2.6 (ran tests agains cartesius),0,,0
15406a4e,2014-01-01 06:41:13,Merge pull request #201 from NLeSC/feature/slurm-2.6,0,,1
7b97891e,2014-01-06 14:02:19,Fixed bug in sftp cache of SSH adaptor. Increased sleep time in generic job cancel test.,1,,1
537ecfd9,2014-01-07 03:55:07,Merge pull request #202 from NLeSC/feature/gftp,0,,1
a9d84e11,2014-01-07 09:12:55,Fixed bug in generic file test.,1,,1
0cbe459c,2014-01-07 09:31:01,Added missing file and dir cleanup to generic file test 20b.,0,,0
24c74d79,2014-01-07 10:19:21,Added FileTestConfig.readOnlyPosixPermissions. Fixes #198,1,,1
d7ece390,2014-01-07 10:33:17,Fixed getLocalFileSystems on Windows and added test FileUtilsTest.testGetLocalFileSystems. Fixes #199,1,,1
026be17b,2014-01-07 11:13:15,Merge branch 'develop' of github.com:NLeSC/Xenon into feature/gftp,0,,0
16c1873c,2014-01-07 13:35:16,Added missing globus lib dir in build.xml,0,,0
e6f86aec,2014-01-07 13:58:02,Fixed build.xml to copy the globus libs to the dist/lib dir so that the tests can find them.,1,,0
de9892dd,2014-01-09 13:21:43,Moved the licences files related to the GrifFTP adaptor to the correct location.,0,,0
5f72d74b,2014-01-09 13:39:00,Added Proxy Creation methods.,0,,0
88340b89,2014-01-09 13:39:41,Update of README. Increased version number in build file to 1.1.0-beta.1,0,,0
94020d84,2014-01-16 15:09:55,Fixed test build file to use correct version number,1,,1
c3e94171,2014-01-16 15:11:24,Added more logging to SSH adaptor and added property to SSHTunnelTest to disable strictHostKeyChecking,0,,0
9184da5f,2014-01-16 16:28:29,SSHTunnelTest now also allows system properties for config,0,,0
545356bc,2014-01-16 16:43:27,SSHTunnelTest now takes username in config into account,0,,0
32b8d79b,2014-01-31 17:04:22,Merge branch 'develop' into feature/gftp-patch,0,,0
accae6ff,2014-02-05 14:05:10,Update Proxy Creation methods. Now (Xenon) Properties can be used to specify user credentials and proxy creation setting. Also updated unit tests to use test properties.,0,,0
35bfd380,2014-02-05 14:31:37,Merge pull request #204 from NLeSC/feature/gftp-patch,0,,1
08402a0a,2014-02-07 17:58:12,Updated DataChannelAuthentication methods and third party active modes. - Added methods to disable DCAU. - Active (3rd party) transfer mode between servers can now be reversed.,0,,0
d7092043,2014-02-07 18:14:53,Added logger info statement.,0,,0
4279a8df,2014-02-07 18:32:16,Fixed active/passive mode bug: When performing passive() on source server  target server must use port number from source server's passive() method and not use setLocalPassive() method.,1,,1
63a257c6,2014-02-07 18:34:44,Cleanup: do not superfluous setLocalPassive() on target server!.,0,,0
870fbcf0,2014-02-10 18:03:30,Changed usePassive property to useActive. Update comments + property descriptions.,0,,0
2f8e88ad,2014-02-11 18:07:11,Comments exceptions logging etc.,0,,0
6cbbc26f,2014-02-11 18:45:36,Merge branch 'develop' of github.com:NLeSC/Xenon into feature/gftp-3rdparty-copy,0,,0
3ae20829,2014-02-12 18:15:43,Added check for null argument.,0,,0
c285ad71,2014-02-13 15:52:58,Formatting + comments.,0,,0
540bc526,2014-02-13 15:54:25,Moved third party transfer methods to GftpThirdPartyTransfer class. Added support for extended mode partial third party transfers.,0,,0
4f2f7e2f,2014-02-13 15:55:12,Changed dispose into close method.,0,,0
43289f7b,2014-02-13 15:55:44,Formatting.,0,,0
a51e7c10,2014-02-13 15:59:34,Fixed weird line break.,1,,1
1d172004,2014-02-13 16:05:06,typos,0,,0
db95d943,2014-02-27 19:25:23,Fixed '&&' vs '&' in boolean statement. + Comments and formatting.,1,,1
bfadeba0,2014-03-13 11:58:02,added support to start only a single process per job (on the frst node)  instead of x on each node. Partial fix for #206,1,,1
6cc06c1e,2014-03-15 21:57:46,Merge pull request #205 from NLeSC/feature/gftp-3rdparty-copy,0,,1
d66b240e,2014-03-17 17:34:47,Changed warning about non existing certificate directory to debug level. Moved static Globus methods from GftpUtil to GlobusUtil. Default CA certificates only need to be (re)loaded when the actual proxy is created.,0,,0
b996a489,2014-03-17 17:43:09,Removed actual (re)load of the certificates during initialization.,0,,0
be96ac14,2014-03-26 18:25:20,Merge branch 'feature/gftp-3rdparty-copy' of github.com:NLeSC/Xenon into feature/gftp-3rdparty-copy,0,,0
de23ca6d,2014-05-07 09:01:17,Merge pull request #209 from NLeSC/feature/gftp-3rdparty-copy,0,,1
db3f7c41,2014-05-08 16:30:47,Added support for workdir to SSH,0,,0
133ce762,2014-05-26 23:17:25,allow 0 runtime as infinite,0,,0
c412190f,2014-06-20 00:17:50,Adding interactive support for SLURM Jobs (incomplete),0,,0
fd8510f7,2014-06-23 12:05:36,GlobusUtil: updated static methods. Added private key decoder.,0,,0
8f1dce43,2014-06-25 14:29:13,New JGlobus ProxyInit class. This ProxyInit class supports both 'legacy' as wel as new JGlobus Proxies.,0,,0
cce103cf,2014-07-01 12:48:34,added support for all job description options to slurm adaptor  including some tests,0,,0
bf84a4ff,2014-07-03 16:47:20,add option to start only a single process  even when reserving multiple nodes and/or slots to JobDescription,0,,0
ef9472b5,2014-07-03 16:48:39,Merge remote-tracking branch 'origin/develop' into feature/single-process,0,,0
02a4903c,2014-07-03 17:39:06,Merge pull request #211 from NLeSC/feature/single-process,0,,1
43bada55,2014-07-04 16:49:04,improved error reporting for interactive jobs. Disallow environment variables in interactive jobs,1,,0
10a8fc5a,2014-07-28 14:54:52,Merge pull request #213 from NLeSC/feature/slurm-interactive-fixes,0,,1
f54a01ef,2014-11-13 10:22:30,[examples] make sure that Xenon is ended,0,,0
6a5b374b,2014-11-13 10:50:54,Use AtomicNumber instead of object synchronization,0,,0
5ed653fd,2014-11-13 10:57:37,Merge remote-tracking branch 'origin/develop' into smalledits,0,,0
66db6a51,2015-03-30 14:14:42,Fixed typo in exception message,1,,0
d8c35abf,2015-04-09 11:24:47,FTP adaptor can open and close a file system,0,,0
b8560033,2015-04-09 11:52:53,registered ftp adaptor at xenon engine,0,,0
eded9349,2015-04-21 13:38:47,passes 'create directory' test,0,,0
074d8ec0,2015-04-21 14:51:03,passes 'create directories',0,,0
91aab33c,2015-04-21 14:55:02,passes 'create file',0,,0
d995dc09,2015-04-22 10:06:47,refactored new directory stream,0,,0
3bb5cc01,2015-04-23 09:49:06,can retrieve attributes of all files including root,0,,0
8eedf92b,2015-04-29 17:30:01,gets ftp file attributes,0,,0
93191166,2015-04-30 09:48:46,tests for permissions of ftp file attributes,0,,0
f09221e0,2015-04-30 15:46:52,refactored directory streams and file attributes added file attribute directory streams for ftp,0,,0
7a78fa8b,2015-05-18 13:48:38,ftp input stream,0,,0
0942482e,2015-05-19 11:24:02,every in-/outputstream opens a new ftp file system,0,,0
1ed0e609,2015-05-19 11:24:40,changed comment in test class,0,,0
be874b64,2015-05-19 13:52:21,ftp files passes all tests,0,,0
6d23a108,2015-05-19 15:01:58,added missing debug messages,0,,0
71b2f248,2015-05-20 10:35:43,throw exception when trying to read a symbolic link,0,,0
ad34ae63,2015-05-20 11:56:45,set cwd support in ftp files test config,0,,0
7c6db6fd,2015-05-20 12:06:00,cleaned up ftp  removed prints,0,,0
f6feab52,2015-05-20 14:56:26,fixed java7 bug that was allowed in java8,1,,1
6f9dd11a,2015-05-20 16:36:50,removed some tests that only work locally,0,,0
39ebe6da,2015-05-20 16:37:46,ftp adaptor now throws exception when asked for it's jobs object,0,,0
99979e18,2015-05-20 16:38:05,small ftp refactoring,0,,0
47870be2,2015-05-26 09:55:09,Fixed spacing CopyFile example,1,,0
6e6b0459,2015-05-26 17:12:41,Merge pull request #221 from blootsvoets/smalledits,0,,1
a29b00f1,2015-05-26 17:14:55,Merge pull request #212 from NLeSC/feature/jglobus-proxy-init,0,,1
30343b28,2015-05-27 10:19:26,Merge pull request #224 from NLeSC/feature/ftpadaptor,0,,1
3944bfc5,2015-05-27 11:36:50,added obligatory hashcode() override for ftp file attributes,0,,0
7ab20b92,2015-05-27 11:37:39,Utils: empty HashMap with sufficient capacity,0,,0
7e2e4784,2015-05-27 11:41:39,Using emptyMap in GridEngineSetup,0,,0
443d98f2,2015-05-27 11:45:18,Small cleanup SchedulerConnection,0,,0
0b2c29e2,2015-05-27 11:48:05,Using Pattern in ScriptingParser  updated usages,0,,0
6abab6b4,2015-05-27 11:50:24,Specifying collection size in JobDescription,0,,0
936648d6,2015-05-27 11:51:27,Initial implementation of a Torque Adaptor,0,,0
e7e72ba4,2015-05-27 11:52:45,ftp file attributes no longer simple hash code for implementing equals,0,,0
32ada6f1,2015-05-27 12:46:04,"refactored: ""== false"" to ""!""",0,,0
ef646e8e,2015-05-27 12:52:02,Code review and cleanup,0,,0
2085bcfe,2015-05-27 13:03:02,refactored: wrapped protected members with protected accessors for style,0,,0
71d0acf2,2015-05-27 13:09:36,Added test for horizontal line in parsing tables,0,,0
909ede18,2015-05-27 13:09:40,refactored: removed clone() override because Clonable interface was unnecessary,0,,0
bc5537f9,2015-05-27 13:15:25,refacored: wrapped protected member with protected accessor,0,,0
a7051d18,2015-05-27 13:20:40,Merge branch 'feature/utils' into feature/torque,0,,0
644b0451,2015-05-27 13:32:36,some more refactorings (from sonar),0,,0
b5f91631,2015-05-27 13:41:10,refacored: removed some redundant throws,0,,0
6c60e0f2,2015-05-27 14:29:51,some more refactorings,0,,0
cbd07ee7,2015-05-27 16:28:28,Merge pull request #227 from NLeSC/ftpfixes,0,,1
1b431dfc,2015-05-27 17:22:30,Fixed proxy lifetime in gftp Proxy Init.,1,,1
5c2d721d,2015-05-28 11:57:55,Tests: TorqueXmlParser  TorqueSchedulerConnection,0,,0
83638fde,2015-05-28 13:45:21,Javadoc fix,1,,0
cf734cf6,2015-05-28 13:48:47,Testing TorqueJobScriptGenerator (added custom contents),0,,0
50f9fda9,2015-05-28 13:53:15,Merge branch 'develop' into feature/torque,0,,0
c9737104,2015-05-28 13:56:22,Merge branch 'develop' into feature/utils,0,,0
3d93b3f8,2015-05-28 13:56:44,Merge branch 'feature/utils' into feature/torque,0,,0
c187fa15,2015-05-28 15:44:54,Merge pull request #228 from NLeSC/feature/utils,0,,0
38814d71,2015-06-03 14:40:54,refactored tests: pulled property method in test config up to base class,0,,0
37b8f0cb,2015-06-03 15:05:08,refactored test: gave prepare and cleanup methods before and after annotations,0,,0
305ea758,2015-06-03 16:09:59,refactored tests: split test00 into seperate test methods,0,,0
71c465bf,2015-06-08 14:49:55,refactored tests: split file isOpen() tests,0,,0
186eb2c1,2015-06-08 14:53:32,Webdav adaptor can open a file system,0,,0
bb0e7caa,2015-06-08 14:54:21,forgot to add these files as well,0,,0
32badcac,2015-06-10 13:51:36,removed duplicate tests,0,,0
d4b68d6e,2015-06-10 16:51:34,changed method name,0,,0
77583e45,2015-06-11 11:20:17,refactored tests: split close() tests and removed null fs test,0,,0
faab5477,2015-06-11 11:31:20,refactored tests: fixed bug introduces during refactoring,1,,1
b14f4027,2015-06-11 11:35:06,webdav isopen() and refactored Location base class to use Java.net,0,,0
b57af6bb,2015-06-11 11:46:49,refactored tests: split newPath tests,0,,0
523c128b,2015-06-11 11:50:26,webdav newPath implementation,0,,0
1b413757,2015-06-17 10:49:45,Small import changes,0,,0
9acdd003,2015-06-17 10:49:58,Added Torque docker setup description,0,,0
4215de90,2015-06-17 10:51:26,Merge remote-tracking branch 'origin/develop' into feature/torque,0,,0
eea5f873,2015-06-18 11:36:18,minor stuff,0,,0
2b14d85d,2015-06-18 14:59:30,Support 8282.jobid.host or host.jobid.2992 formats,0,,0
10af1728,2015-06-18 15:10:02,Squashed TORQUE bugs,1,,0
6fc00f13,2015-06-18 15:10:26,Added TORQUE adaptor tests,0,,0
143dc326,2015-06-18 15:12:02,No warnings due to 2x end with SSH at Xenon.end,0,,0
a45dd7a0,2015-06-18 15:14:44,Small Java syntax changes,0,,0
3b01b4d9,2015-06-18 15:15:10,Merge branch 'develop' into feature/torque,0,,0
db39d165,2015-06-18 15:45:35,Fixed XML Torque tests again,1,,1
0419e49b,2015-06-18 15:59:46,Fixed script generator test,1,,1
115a079d,2015-06-18 16:02:44,Fixed job ID tests in Torque,1,,1
5c57796d,2015-06-18 16:48:02,Added FTP and gFTP to XenonEngine (rm TORQUE),0,,0
9f2b437d,2015-06-18 16:48:36,Merge branch 'develop' into feature/torque,0,,0
75cdf244,2015-06-18 16:51:19,Added Torque Adaptor to XenonEngine,0,,0
fcfa10ad,2015-06-24 09:08:29,Removed faulty import,0,,0
22cf9759,2015-06-29 10:46:08,removed redundant call,0,,0
e1e01597,2015-06-30 12:00:22,Fixed a small bug which lead to errors being detected where there are none,1,,1
b621ab88,2015-06-30 13:12:05,Merge pull request #230 from benvanwerkhoven/develop,0,,1
8e11e94e,2015-07-13 11:58:46,Various webdav additions,0,,0
c0f36b63,2015-07-13 12:08:04,Split exists tests,0,,0
3391774d,2015-07-13 13:23:01,Use SSH config file in SSH adaptor (fixes #207),1,,1
21fcfdd3,2015-07-13 13:31:26,exists functionality,0,,0
b7106cad,2015-07-13 13:32:21,forgot to add these files to index,0,,0
7e7627cf,2015-07-13 13:40:45,small refactor,0,,0
bb9c504a,2015-07-13 14:20:01,webdav delete implementations,0,,0
481434b0,2015-07-13 14:33:26,Fixed some Netbeans warnings,1,,0
3673adc6,2015-07-13 14:40:15,refactored files tests: split createDirectories test,0,,0
c1ccccc9,2015-07-13 17:17:13,cleaned exists tests a bit,0,,0
9d42674a,2015-07-13 17:17:47,webdav createDirectories functionality,0,,0
557ad9cc,2015-07-13 17:35:16,refactored files tests: split createFile tests,0,,0
acc3a0d0,2015-07-13 17:45:13,corrected title of a test and placed back a accidentilly removed test,0,,0
f0f17c09,2015-07-16 11:47:55,added a line to ignore in SlurmAdaptor to support Slurm version on Cartesius,0,,0
aaa0e82c,2015-07-16 11:48:17,Merge branch 'develop' of github.com:NLeSC/Xenon into develop,0,,0
daf9220b,2015-07-16 16:29:11,webdav createFile throws exception when file already exists,0,,0
8fcd8caf,2015-07-16 16:44:35,refactored tests: split delete() tests,0,,0
c20e7871,2015-07-23 16:54:47,refactored delete() a bit,0,,0
20846c32,2015-07-23 17:31:25,Merge branch 'develop' of ssh://github.com/NLeSC/Xenon into develop,0,,0
461fe61c,2015-07-23 17:31:39,Simplified RelativePath (using ArrayList),0,,0
ad778a59,2015-07-27 09:31:53,refactored tests: Split newDirectoryStream tests,0,,0
894a2ee9,2015-08-03 11:48:43,Webdav newDirectoryStream functionality,0,,0
9e24e8c6,2015-08-11 11:23:53,Reverted the change made to error detection in the RemoteCommandRunner,1,,0
e0f879ce,2015-08-11 11:35:04,Fixed error messages in SlurmAdaptor,1,,1
368a75cb,2015-08-11 11:42:15,Separated tests of Torque: no stdout support (see #239),0,,0
261b031e,2015-08-11 12:00:53,test refactoring: split tests for directoryStream with filter,0,,0
4ab6eb0c,2015-08-11 12:20:53,refactored tests: split getAttributes tests,0,,0
ff188497,2015-08-11 13:10:11,Replaced emptyMap() calls with new HashMap<>(),0,,0
a4f906fd,2015-08-11 13:53:00,refactored tests: split setPosixPermissions tests,0,,0
1d40a9bf,2015-08-11 14:26:41,test refactorings: split newAttributesDirectoryStream tests,0,,0
