,File,Hash,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclExecutableUnit,CountDeclFunction,CountDeclModule,CountDeclProgunit,CountDeclSubprogram,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,human_buggy
0,src/56_xc/xchybrid_ncpp_cc.F90,ecb6672,7.0,7.0,,3.0,87.0,11.0,61.0,15.0,,2.0,,0.0,1.0,1.0,238.0,26.0,124.0,45.0,78.0,92.0,,,100.0,30.0,70.0,,,,,15.0,15.0,,6.0,2.0,0.74,15.0,15.0,,6.0,1.0
1,src/98_main/abinit.F90,ecb6672,46.0,46.0,,6.0,597.0,109.0,368.0,128.0,,1.0,,0.0,1.0,1.0,689.0,112.0,370.0,85.0,256.0,217.0,,,320.0,65.0,255.0,,,,,46.0,46.0,,6.0,4.0,0.59,46.0,46.0,,6.0,1.0
2,src/41_geometry/m_supercell.F90,ecb6672,4.0,4.0,,1.0,46.0,8.0,27.0,12.0,,11.0,,1.0,1.0,11.0,872.0,131.0,337.0,151.0,185.0,436.0,,,318.0,133.0,185.0,,,,,8.0,8.0,,4.0,4.0,1.29,47.0,47.0,,17.0,1.0
3,src/70_gw/calc_sig_ppm_comp.F90,ecb6672,11.0,11.0,,1.0,85.0,17.0,56.0,22.0,,1.0,,0.0,1.0,1.0,146.0,20.0,58.0,20.0,37.0,80.0,,,53.0,16.0,37.0,,,,,11.0,11.0,,1.0,4.0,1.38,11.0,11.0,,1.0,1.0
4,src/44_abitypes_defs/m_energies.F90,ecb6672,4.0,4.0,,1.0,66.0,9.0,44.0,12.0,,5.0,,1.0,1.0,5.0,655.0,112.0,274.0,83.0,168.0,273.0,,,257.0,81.0,176.0,,,,,18.0,18.0,,1.0,2.0,1.00,24.0,24.0,,5.0,1.0
5,src/57_iovars/indefo.F90,ecb6672,32.0,32.0,,1.0,833.0,36.0,679.0,134.0,,1.0,,0.0,1.0,1.0,879.0,39.0,681.0,16.0,634.0,177.0,,,663.0,13.0,650.0,,,,,32.0,32.0,,1.0,3.0,0.26,32.0,32.0,,1.0,1.0
6,src/56_xc/m_xcdata.F90,ecb6672,6.0,6.0,,1.0,46.0,8.0,24.0,14.0,,3.0,,1.0,1.0,3.0,329.0,58.0,100.0,47.0,52.0,182.0,,,102.0,45.0,57.0,,,,,15.0,15.0,,1.0,4.0,1.82,20.0,20.0,,3.0,1.0
7,src/69_wfdesc/m_wfd.F90,ecb6672,8.0,7.0,,1.0,70.0,14.0,40.0,17.0,,61.0,,1.0,1.0,61.0,6649.0,1133.0,2687.0,1072.0,1616.0,2987.0,,,2521.0,828.0,1693.0,,,,,35.0,35.0,,6.0,8.0,1.11,489.0,482.0,,82.0,1.0
8,src/72_response/dfpt_scfcv.F90,ecb6672,36.0,36.0,,4.0,384.0,39.0,277.0,73.0,,3.0,,0.0,1.0,1.0,1347.0,122.0,833.0,243.0,580.0,411.0,,,653.0,152.0,501.0,,,,,110.0,110.0,,12.0,5.0,0.49,110.0,110.0,,12.0,1.0
9,src/78_effpot/m_anharmonics_terms.F90,ecb6672,6.0,6.0,,1.0,57.0,9.0,31.0,16.0,,10.0,,1.0,1.0,10.0,954.0,141.0,349.0,146.0,202.0,467.0,,,316.0,120.0,196.0,,,,,15.0,15.0,,1.0,7.0,1.34,60.0,60.0,,10.0,1.0
