index,File,AvgCyclomatic,AvgCyclomaticModified,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclExecutableUnit,CountDeclModule,CountDeclProgunit,CountDeclSubprogram,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumEssential,Bugs
0,m_ab7_kpoints.F90,3.0,3.0,1.0,36.0,7.0,23.0,5.0,7.0,1.0,1.0,7.0,475.0,83.0,182.0,113.0,68.0,212.0,162.0,97.0,65.0,5.0,5.0,3.0,1.0,1.16,24.0,24.0,9.0,0.0
2,m_pawfgrtab.F90,19.0,19.0,2.0,282.0,30.0,195.0,60.0,10.0,0.0,1.0,10.0,1561.0,167.0,985.0,132.0,744.0,429.0,1076.0,126.0,950.0,55.0,55.0,12.0,9.0,0.44,194.0,194.0,21.0,0.0
3,libpaw.h,1.0,1.0,1.0,194.0,36.0,72.0,89.0,1.0,0.0,1.0,1.0,194.0,36.0,72.0,27.0,9.0,89.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.24,1.0,1.0,1.0,0.0
4,wvl_wfsinp_scratch.F90,2.0,2.0,1.0,166.0,25.0,109.0,36.0,1.0,0.0,1.0,1.0,219.0,28.0,111.0,24.0,1.0,86.0,24.0,22.0,2.0,2.0,2.0,1.0,1.0,0.77,2.0,2.0,1.0,0.0
5,m_wfutils.F90,5.0,5.0,1.0,44.0,8.0,28.0,7.0,6.0,1.0,1.0,6.0,390.0,68.0,194.0,62.0,131.0,139.0,191.0,58.0,133.0,25.0,25.0,1.0,4.0,0.72,33.0,31.0,6.0,0.0
6,mkcore.F90,24.0,24.0,3.0,210.0,31.0,130.0,49.0,5.0,0.0,2.0,5.0,1147.0,155.0,635.0,136.0,497.0,366.0,590.0,100.0,490.0,68.0,68.0,7.0,1.0,0.58,124.0,124.0,15.0,0.0
7,dfptnl_pert.F90,83.0,83.0,6.0,1052.0,148.0,765.0,189.0,1.0,0.0,1.0,1.0,1176.0,152.0,767.0,234.0,532.0,309.0,625.0,117.0,508.0,83.0,83.0,6.0,7.0,0.40,83.0,83.0,6.0,0.0
8,m_gwls_wf.F90,1.0,1.0,1.0,23.0,5.0,10.0,9.0,5.0,1.0,1.0,5.0,427.0,50.0,68.0,37.0,30.0,315.0,66.0,36.0,30.0,2.0,2.0,1.0,1.0,4.63,8.0,8.0,5.0,0.0
9,m_nonlop_ylm.F90,237.0,237.0,1.0,893.0,62.0,715.0,154.0,1.0,1.0,1.0,1.0,1215.0,74.0,731.0,156.0,574.0,450.0,757.0,60.0,697.0,237.0,237.0,1.0,10.0,0.62,237.0,237.0,1.0,0.0
10,m_psp6.F90,12.0,12.0,3.0,133.0,23.0,79.0,32.0,5.0,1.0,1.0,5.0,899.0,138.0,410.0,154.0,255.0,363.0,347.0,74.0,273.0,25.0,25.0,10.0,4.0,0.89,60.0,60.0,18.0,0.0
11,m_xciit.F90,1.0,1.0,1.0,78.0,16.0,32.0,30.0,4.0,1.0,1.0,4.0,295.0,53.0,93.0,45.0,47.0,152.0,79.0,42.0,37.0,4.0,4.0,1.0,0.0,1.63,7.0,7.0,4.0,0.0
12,lapackprof.F90,83.0,83.0,1.0,595.0,94.0,415.0,89.0,1.0,0.0,1.0,1.0,634.0,97.0,417.0,91.0,324.0,125.0,376.0,40.0,336.0,83.0,83.0,1.0,7.0,0.30,83.0,83.0,1.0,0.0
13,m_ptg_C3i.F90,2.0,2.0,1.0,126.0,11.0,103.0,12.0,1.0,1.0,1.0,1.0,176.0,20.0,108.0,25.0,82.0,50.0,97.0,14.0,83.0,2.0,2.0,1.0,1.0,0.46,2.0,2.0,1.0,0.0
14,m_elpa.F90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1381.0,225.0,438.0,8.0,0.0,790.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,1.80,0.0,0.0,0.0,0.0
15,psolver_hartree.F90,1.0,1.0,0.0,53.0,9.0,27.0,16.0,2.0,0.0,1.0,1.0,160.0,23.0,57.0,17.0,2.0,82.0,16.0,14.0,2.0,2.0,2.0,1.0,1.0,1.44,2.0,2.0,1.0,0.0
