index,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Bugs
0,Action_Bounds.h,0.0,1.0,0.0,0.0,22.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,23.0,0.0,18.0,15.0,1.0,1.0,0.0,4.0,14.0,15.0,14.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.06,1.0,1.0,1.0,1.0,0.0
1,Action.h,0.0,1.0,0.0,0.0,19.0,22.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,41.0,0.0,10.0,8.0,4.0,22.0,0.0,9.0,6.0,7.0,7.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.20,1.0,1.0,1.0,1.0,0.0
2,version.c,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.00,0.0,0.0,0.0,0.0,0.0
3,AtomMap.h,0.0,1.0,1.0,3.0,26.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,30.0,3.0,21.0,18.0,1.0,2.0,0.0,5.0,18.0,19.0,18.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.10,1.0,1.0,1.0,1.0,0.0
4,MapAtom.h,0.0,1.0,0.0,2.0,40.0,9.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,19.0,43.0,2.0,36.0,33.0,19.0,9.0,0.0,4.0,34.0,53.0,33.0,0.0,20.0,1.0,1.0,1.0,1.0,0.0,0.25,19.0,19.0,19.0,19.0,0.0
5,Topology.h,0.0,1.0,0.0,6.0,195.0,41.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,63.0,231.0,6.0,184.0,171.0,66.0,41.0,0.0,11.0,171.0,236.0,170.0,0.0,66.0,2.0,2.0,2.0,1.0,1.0,0.22,65.0,65.0,65.0,63.0,0.0
6,FileIO_Std.h,0.0,1.0,0.0,0.0,24.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,26.0,0.0,19.0,16.0,3.0,4.0,0.0,5.0,16.0,19.0,16.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,0.21,3.0,3.0,3.0,3.0,0.0
8,FileIO.h,0.0,1.0,0.0,0.0,19.0,26.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,44.0,0.0,15.0,13.0,11.0,26.0,0.0,4.0,12.0,13.0,13.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.73,1.0,1.0,1.0,1.0,0.0
9,ProgressBar.h,0.0,1.0,0.0,0.0,30.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,4.0,32.0,0.0,27.0,21.0,2.0,2.0,0.0,3.0,19.0,24.0,21.0,0.0,3.0,2.0,2.0,2.0,1.0,1.0,0.07,5.0,5.0,5.0,4.0,0.0
10,DataIO_Xplor.h,0.0,1.0,0.0,0.0,19.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,6.0,20.0,0.0,15.0,12.0,5.0,2.0,0.0,4.0,11.0,17.0,12.0,0.0,5.0,1.0,1.0,1.0,1.0,0.0,0.13,6.0,6.0,6.0,6.0,0.0
