index,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,keyword_bugs,fastread_bugs
0,Action_Bounds.h,0.0,1.0,0.0,0.0,22.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,23.0,0.0,18.0,15.0,1.0,1.0,0.0,4.0,15.0,16.0,15.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.06,1.0,1.0,1.0,1.0,1.0,5
1,Action.h,0.0,1.0,0.0,0.0,21.0,31.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,48.0,0.0,13.0,11.0,4.0,31.0,0.0,8.0,6.0,7.0,7.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.38,1.0,1.0,1.0,1.0,10.0,11
2,version.c,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
3,AtomMap.h,0.0,1.0,0.0,2.0,31.0,8.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,40.0,2.0,26.0,23.0,3.0,8.0,0.0,5.0,23.0,26.0,23.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,0.31,3.0,3.0,3.0,3.0,1.0,0
4,MapAtom.h,0.0,1.0,0.0,2.0,40.0,9.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,19.0,43.0,2.0,36.0,33.0,19.0,9.0,0.0,4.0,34.0,53.0,33.0,0.0,20.0,1.0,1.0,1.0,1.0,0.0,0.25,19.0,19.0,19.0,19.0,1.0,0
5,Topology.h,0.0,1.0,0.0,6.0,188.0,47.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,58.0,228.0,6.0,174.0,161.0,61.0,47.0,0.0,14.0,162.0,222.0,161.0,0.0,61.0,2.0,2.0,2.0,1.0,1.0,0.27,60.0,60.0,60.0,58.0,9.0,6
6,FileIO_Std.h,0.0,1.0,0.0,0.0,25.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,27.0,0.0,20.0,17.0,3.0,4.0,0.0,5.0,17.0,20.0,17.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,0.2,3.0,3.0,3.0,3.0,0.0,0
8,FileIO.h,0.0,1.0,0.0,0.0,21.0,27.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,47.0,0.0,17.0,15.0,12.0,27.0,0.0,4.0,14.0,15.0,15.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.59,1.0,1.0,1.0,1.0,0.0,0
9,ProgressBar.h,0.0,1.0,0.0,0.0,30.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,4.0,32.0,0.0,27.0,21.0,2.0,2.0,0.0,3.0,19.0,24.0,21.0,0.0,3.0,2.0,2.0,2.0,1.0,1.0,0.07,5.0,5.0,5.0,4.0,0.0,0
10,DataIO_Xplor.h,0.0,1.0,0.0,0.0,18.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,5.0,19.0,0.0,14.0,11.0,4.0,2.0,0.0,4.0,10.0,15.0,11.0,0.0,4.0,1.0,1.0,1.0,1.0,0.0,0.14,5.0,5.0,5.0,5.0,0.0,0
