index,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Bugs,human_bugs
0,Action_Bounds.h,0.0,1.0,0.0,0.0,26.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,27.0,0.0,18.0,15.0,1.0,1.0,2.0,6.0,15.0,16.0,15.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.06,1.0,1.0,1.0,1.0,0.0,0
1,Action.h,0.0,1.0,0.0,0.0,30.0,42.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,62.0,0.0,18.0,16.0,4.0,36.0,7.0,8.0,6.0,9.0,9.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,3.0,3.0,3.0,3.0,0.0,0
2,CpptrajFile.h,0.0,1.0,0.0,2.0,73.0,44.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,17.0,105.0,2.0,61.0,57.0,18.0,43.0,4.0,10.0,57.0,74.0,57.0,0.0,17.0,1.0,1.0,1.0,1.0,0.0,0.7,17.0,17.0,17.0,17.0,3.0,0
3,version.c,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
4,Exec_SequenceAlign.h,0.0,1.0,0.0,0.0,11.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,12.0,0.0,7.0,5.0,1.0,1.0,0.0,4.0,4.0,6.0,5.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.14,2.0,2.0,2.0,2.0,0.0,0
5,Exec.h,0.0,1.0,0.0,0.0,12.0,5.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,17.0,0.0,7.0,5.0,1.0,5.0,0.0,5.0,3.0,5.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.71,2.0,2.0,2.0,2.0,0.0,0
6,AtomMap.h,0.0,1.0,0.0,2.0,31.0,8.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,40.0,2.0,26.0,23.0,3.0,8.0,0.0,5.0,23.0,26.0,23.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,0.31,3.0,3.0,3.0,3.0,0.0,0
7,MapAtom.h,0.0,1.0,0.0,2.0,42.0,10.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,20.0,45.0,2.0,38.0,35.0,20.0,10.0,0.0,4.0,36.0,56.0,35.0,0.0,21.0,1.0,1.0,1.0,1.0,0.0,0.26,20.0,20.0,20.0,20.0,0.0,0
8,Topology.h,0.0,1.0,0.0,6.0,207.0,53.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,70.0,253.0,6.0,193.0,178.0,71.0,53.0,0.0,14.0,174.0,246.0,176.0,0.0,70.0,2.0,2.0,2.0,1.0,1.0,0.27,71.0,71.0,71.0,70.0,2.0,0
9,FileIO_Std.h,0.0,1.0,0.0,0.0,25.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,27.0,0.0,20.0,17.0,3.0,4.0,0.0,5.0,17.0,20.0,17.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,0.2,3.0,3.0,3.0,3.0,0.0,0
11,FileIO.h,0.0,1.0,0.0,0.0,21.0,27.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,47.0,0.0,17.0,15.0,12.0,27.0,0.0,4.0,14.0,15.0,15.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.59,1.0,1.0,1.0,1.0,0.0,0
12,ProgressBar.h,0.0,1.0,0.0,0.0,30.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,4.0,32.0,0.0,27.0,21.0,2.0,2.0,0.0,3.0,19.0,24.0,21.0,0.0,3.0,2.0,2.0,2.0,1.0,1.0,0.07,5.0,5.0,5.0,4.0,0.0,0
13,DataIO_Xplor.h,0.0,1.0,0.0,0.0,21.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,4.0,22.0,0.0,17.0,14.0,3.0,2.0,0.0,4.0,11.0,15.0,12.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,0.12,4.0,4.0,4.0,4.0,0.0,0
14,DataIO.h,0.0,1.0,0.0,0.0,34.0,13.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,5.0,42.0,0.0,27.0,23.0,7.0,13.0,0.0,7.0,18.0,23.0,21.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.48,5.0,5.0,5.0,5.0,0.0,0
15,Action_SetVelocity.h,0.0,1.0,0.0,1.0,22.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,24.0,1.0,17.0,14.0,1.0,1.0,0.0,5.0,13.0,15.0,14.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.06,2.0,2.0,2.0,2.0,0.0,0
16,Random.h,0.0,1.0,0.0,0.0,24.0,37.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,61.0,0.0,21.0,17.0,2.0,37.0,0.0,3.0,17.0,19.0,17.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,1.76,2.0,2.0,2.0,2.0,0.0,0
17,Analysis_TI.cpp,1.0,43.0,2.0,6.0,175.0,11.0,10.0,9.0,10.0,5.0,45.0,1.0,43.0,2.0,0.0,4.0,188.0,6.0,171.0,31.0,142.0,11.0,0.0,4.0,160.0,201.0,31.0,0.0,170.0,19.0,19.0,19.0,9.0,4.0,0.06,40.0,34.0,40.0,23.0,7.0,0
18,Analysis_TI.h,0.0,1.0,0.0,2.0,24.0,6.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,26.0,2.0,19.0,16.0,1.0,6.0,0.0,5.0,15.0,17.0,16.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.32,2.0,2.0,2.0,2.0,1.0,0
19,CpptrajStdio.h,0.0,0.0,0.0,0.0,15.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,12.0,12.0,0.0,9.0,0.0,3.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0
20,DataSet_Mesh.h,0.0,2.0,0.0,0.0,51.0,21.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,13.0,70.0,0.0,42.0,31.0,16.0,21.0,1.0,8.0,35.0,48.0,30.0,0.0,18.0,2.0,2.0,2.0,1.0,1.0,0.5,14.0,14.0,14.0,13.0,0.0,0
21,StringRoutines.h,0.0,0.0,0.0,0.0,23.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,19.0,19.0,0.0,26.0,0.0,4.0,19.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.37,0.0,0.0,0.0,0.0,2.0,0
22,Action_Molsurf.cpp,2.0,28.0,3.0,26.0,231.0,35.0,8.0,8.0,8.0,2.0,33.0,2.0,28.0,3.0,0.0,8.0,289.0,26.0,228.0,77.0,168.0,35.0,0.0,3.0,143.0,206.0,41.0,0.0,165.0,21.0,20.0,22.0,13.0,4.0,0.15,62.0,60.0,64.0,23.0,0.0,0
24,Action_Molsurf.h,0.0,1.0,0.0,4.0,52.0,25.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,78.0,4.0,47.0,44.0,1.0,25.0,0.0,5.0,43.0,46.0,45.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.53,2.0,2.0,2.0,2.0,0.0,0
