index,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Bugs
0,ParticleData.h,0.0,2.0,0.0,170.0,400.0,529.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,63.0,1020.0,164.0,319.0,226.0,85.0,487.0,76.0,57.0,223.0,289.0,208.0,0.0,81.0,3.0,3.0,3.0,1.0,2.0,1.53,66.0,66.0,67.0,63.0,0.0
1,Analyzer.h,0.0,3.0,0.0,22.0,46.0,115.0,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,5.0,178.0,22.0,27.0,14.0,2.0,111.0,9.0,14.0,11.0,15.0,14.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,4.11,5.0,5.0,5.0,5.0,0.0
3,GPUArray.h,3.0,22.0,3.0,151.0,739.0,411.0,2.0,2.0,2.0,1.0,28.0,2.0,11.0,2.0,2.0,25.0,1273.0,118.0,348.0,122.0,161.0,312.0,419.0,93.0,170.0,222.0,76.0,2.0,144.0,7.0,7.0,7.0,4.0,3.0,0.90,57.0,57.0,60.0,28.0,0.0
4,GPUVector.h,0.0,6.0,0.0,56.0,175.0,147.0,1.0,1.0,1.0,1.0,6.0,0.0,6.0,0.0,2.0,21.0,374.0,54.0,148.0,57.0,49.0,137.0,24.0,16.0,64.0,91.0,49.0,0.0,42.0,4.0,4.0,4.0,1.0,2.0,0.93,28.0,28.0,28.0,21.0,0.0
5,ExecutionConfiguration.h,0.0,5.0,0.0,46.0,140.0,119.0,1.0,1.0,1.0,1.0,5.0,0.0,4.0,0.0,0.0,4.0,289.0,29.0,42.0,27.0,10.0,90.0,103.0,38.0,17.0,21.0,17.0,0.0,4.0,1.0,1.0,1.0,1.0,0.0,2.14,4.0,4.0,4.0,4.0,0.0
7,BoxDim.h,0.0,11.0,0.0,51.0,326.0,220.0,2.0,2.0,2.0,1.0,11.0,0.0,10.0,0.0,1.0,27.0,588.0,49.0,279.0,54.0,141.0,219.0,34.0,18.0,123.0,175.0,55.0,0.0,120.0,12.0,12.0,24.0,4.0,2.0,0.78,54.0,54.0,66.0,30.0,0.0
13,Index1D.h,0.0,4.0,0.0,27.0,98.0,128.0,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,3.0,17.0,246.0,27.0,88.0,30.0,23.0,128.0,1.0,10.0,30.0,48.0,29.0,0.0,19.0,2.0,2.0,2.0,1.0,1.0,1.45,18.0,18.0,18.0,17.0,0.0
14,DomainDecomposition.h,0.0,0.0,0.0,28.0,67.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,183.0,10.0,3.0,1.0,0.0,67.0,92.0,13.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.33,0.0,0.0,0.0,0.0,0.0
19,cudacpu_host_defines.h,0.0,0.0,0.0,40.0,107.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.0,19.0,0.0,0.0,0.0,55.0,84.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0
20,ConstExternalFieldDipoleForceCompute.h,0.0,0.0,0.0,12.0,19.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,90.0,12.0,11.0,6.0,0.0,60.0,1.0,8.0,6.0,8.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.45,0.0,0.0,0.0,0.0,0.0
21,ForceCompute.h,0.0,4.0,0.0,39.0,86.0,113.0,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,6.0,231.0,39.0,52.0,29.0,8.0,107.0,19.0,27.0,30.0,36.0,29.0,0.0,7.0,1.0,1.0,1.0,1.0,0.0,2.06,6.0,6.0,6.0,6.0,0.0
22,TwoStepNPHRigid.cc,14.0,46.0,6.0,114.0,335.0,112.0,5.0,5.0,5.0,1.0,66.0,14.0,46.0,6.0,0.0,7.0,558.0,114.0,324.0,81.0,232.0,112.0,3.0,11.0,243.0,274.0,74.0,0.0,200.0,10.0,10.0,10.0,1.0,2.0,0.35,32.0,32.0,32.0,7.0,0.0
24,QuaternionMath.h,2.0,15.0,1.0,55.0,260.0,186.0,2.0,2.0,2.0,1.0,18.0,2.0,15.0,1.0,0.0,17.0,501.0,55.0,251.0,60.0,168.0,186.0,1.0,9.0,185.0,211.0,43.0,0.0,168.0,8.0,8.0,8.0,1.0,1.0,0.74,27.0,27.0,27.0,17.0,0.0
25,TwoStepNPHRigid.h,0.0,0.0,0.0,12.0,27.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,104.0,12.0,18.0,14.0,1.0,66.0,1.0,9.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.67,0.0,0.0,0.0,0.0,0.0
30,Messenger.h,0.0,4.0,0.0,64.0,179.0,231.0,1.0,1.0,1.0,1.0,5.0,0.0,4.0,0.0,1.0,14.0,451.0,44.0,89.0,42.0,15.0,199.0,110.0,26.0,43.0,58.0,43.0,0.0,15.0,2.0,2.0,2.0,1.0,0.0,2.24,15.0,15.0,15.0,14.0,0.0
