index,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,keyword_bugs,fastread_bugs
0,ParticleData.h,0.0,3.0,0.0,178.0,441.0,562.0,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,65.0,1097.0,172.0,361.0,257.0,92.0,520.0,76.0,52.0,252.0,321.0,234.0,0.0,87.0,3.0,3.0,3.0,1.0,2.0,1.44,69.0,69.0,70.0,65.0,237.0,172
1,Analyzer.h,0.0,3.0,0.0,22.0,46.0,115.0,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,5.0,178.0,22.0,27.0,14.0,2.0,111.0,9.0,14.0,11.0,15.0,14.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,4.11,5.0,5.0,5.0,5.0,112.0,81
3,GPUArray.h,3.0,22.0,3.0,151.0,739.0,411.0,2.0,2.0,2.0,1.0,28.0,2.0,11.0,2.0,2.0,25.0,1273.0,118.0,348.0,122.0,161.0,312.0,419.0,93.0,170.0,222.0,76.0,2.0,144.0,7.0,7.0,7.0,4.0,3.0,0.9,57.0,57.0,60.0,28.0,123.0,87
4,GPUVector.h,0.0,6.0,0.0,56.0,175.0,147.0,1.0,1.0,1.0,1.0,6.0,0.0,6.0,0.0,2.0,21.0,374.0,54.0,148.0,57.0,49.0,137.0,24.0,16.0,64.0,91.0,49.0,0.0,42.0,4.0,4.0,4.0,1.0,2.0,0.93,28.0,28.0,28.0,21.0,89.0,63
5,ExecutionConfiguration.h,0.0,5.0,0.0,49.0,146.0,121.0,1.0,1.0,1.0,1.0,5.0,0.0,4.0,0.0,0.0,4.0,300.0,31.0,44.0,29.0,10.0,91.0,109.0,38.0,19.0,23.0,19.0,0.0,4.0,1.0,1.0,1.0,1.0,0.0,2.07,4.0,4.0,4.0,4.0,112.0,80
7,BoxDim.h,0.0,10.0,0.0,56.0,351.0,225.0,2.0,2.0,2.0,1.0,10.0,0.0,9.0,0.0,1.0,32.0,623.0,54.0,303.0,60.0,152.0,224.0,34.0,19.0,132.0,189.0,61.0,0.0,128.0,12.0,12.0,24.0,4.0,2.0,0.74,59.0,59.0,71.0,35.0,105.0,81
14,Index1D.h,0.0,4.0,0.0,27.0,98.0,128.0,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,3.0,17.0,246.0,27.0,88.0,30.0,23.0,128.0,1.0,10.0,30.0,48.0,29.0,0.0,19.0,2.0,2.0,2.0,1.0,1.0,1.45,18.0,18.0,18.0,17.0,57.0,42
15,DomainDecomposition.h,0.0,0.0,0.0,28.0,67.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,183.0,10.0,3.0,1.0,0.0,67.0,92.0,13.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.33,0.0,0.0,0.0,0.0,119.0,82
21,ConstExternalFieldDipoleForceCompute.h,0.0,0.0,0.0,12.0,19.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,90.0,12.0,11.0,6.0,0.0,60.0,1.0,8.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.45,0.0,0.0,0.0,0.0,100.0,72
22,ForceCompute.h,0.0,4.0,0.0,36.0,79.0,113.0,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,6.0,221.0,36.0,52.0,29.0,8.0,107.0,16.0,20.0,30.0,36.0,29.0,0.0,7.0,1.0,1.0,1.0,1.0,0.0,2.06,6.0,6.0,6.0,6.0,149.0,106
23,TwoStepNPHRigid.cc,14.0,46.0,6.0,114.0,324.0,112.0,4.0,4.0,4.0,1.0,65.0,14.0,46.0,6.0,0.0,7.0,547.0,114.0,320.0,81.0,230.0,112.0,0.0,4.0,242.0,272.0,74.0,0.0,198.0,10.0,10.0,10.0,1.0,2.0,0.35,31.0,31.0,31.0,7.0,32.0,25
24,QuaternionMath.h,2.0,15.0,1.0,55.0,260.0,186.0,2.0,2.0,2.0,1.0,18.0,2.0,15.0,1.0,0.0,17.0,501.0,55.0,251.0,60.0,164.0,186.0,1.0,9.0,185.0,211.0,47.0,0.0,164.0,8.0,8.0,8.0,1.0,1.0,0.74,27.0,27.0,27.0,17.0,62.0,47
25,TwoStepNPHRigid.h,0.0,0.0,0.0,12.0,27.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,104.0,12.0,18.0,14.0,1.0,66.0,1.0,9.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.67,0.0,0.0,0.0,0.0,31.0,24
30,Messenger.h,0.0,4.0,0.0,64.0,179.0,231.0,1.0,1.0,1.0,1.0,5.0,0.0,4.0,0.0,1.0,14.0,451.0,44.0,89.0,42.0,15.0,199.0,110.0,26.0,43.0,57.0,42.0,0.0,15.0,2.0,2.0,2.0,1.0,0.0,2.24,15.0,15.0,15.0,14.0,102.0,73
31,format.h,0.0,4.0,0.0,26.0,86.0,37.0,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,0.0,14.0,148.0,26.0,80.0,44.0,25.0,37.0,0.0,6.0,37.0,54.0,31.0,0.0,23.0,3.0,3.0,3.0,1.0,2.0,0.46,18.0,18.0,18.0,14.0,7.0,6
32,static.h,0.0,0.0,0.0,27.0,116.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.0,27.0,89.0,70.0,0.0,42.0,0.0,27.0,56.0,57.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.0,7.0,6
35,Autotuner.cc,4.0,35.0,6.0,44.0,256.0,111.0,5.0,5.0,5.0,1.0,45.0,4.0,26.0,5.0,0.0,7.0,411.0,43.0,186.0,37.0,98.0,108.0,50.0,25.0,79.0,114.0,21.0,0.0,93.0,11.0,11.0,11.0,1.0,5.0,0.58,33.0,33.0,33.0,7.0,91.0,64
36,Autotuner.h,0.0,8.0,0.0,30.0,107.0,137.0,2.0,2.0,2.0,1.0,8.0,0.0,8.0,0.0,1.0,6.0,253.0,30.0,94.0,50.0,20.0,135.0,3.0,11.0,39.0,48.0,31.0,0.0,17.0,3.0,3.0,3.0,1.0,2.0,1.44,9.0,9.0,9.0,6.0,93.0,66
37,HOOMDMPI.h,0.0,0.0,0.0,65.0,246.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,404.0,4.0,0.0,0.0,0.0,59.0,338.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,96
41,BondedGroupData.h,0.0,5.0,0.0,126.0,446.0,289.0,1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,1.0,45.0,812.0,124.0,334.0,152.0,86.0,263.0,87.0,46.0,157.0,207.0,135.0,0.0,72.0,2.0,2.0,2.0,1.0,1.0,0.79,49.0,49.0,49.0,45.0,164.0,116
42,Profiler.h,2.0,10.0,2.0,45.0,118.0,125.0,1.0,1.0,1.0,1.0,15.0,2.0,6.0,2.0,2.0,5.0,278.0,45.0,69.0,44.0,18.0,121.0,18.0,39.0,42.0,47.0,36.0,0.0,11.0,1.0,1.0,1.0,1.0,0.0,1.75,5.0,5.0,5.0,5.0,99.0,69
43,CachedAllocator.h,0.0,0.0,0.0,47.0,133.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269.0,5.0,0.0,0.0,0.0,56.0,203.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,63
48,test_fire_energy_minimizer.cc,5.0,27.0,2.0,54.0,459.0,67.0,3.0,3.0,3.0,2.0,33.0,5.0,27.0,2.0,0.0,6.0,580.0,53.0,430.0,337.0,380.0,64.0,17.0,17.0,132.0,152.0,73.0,0.0,79.0,7.0,7.0,7.0,4.0,3.0,0.15,18.0,18.0,18.0,13.0,130.0,89
