index,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Bugs
0,MKL_support.h,0.0,0.0,0.0,19.0,74.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,7.0,0.0,0.0,0.0,32.0,75.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
4,EvaluatorPairForceShiftedLJ.h,1.0,5.0,0.0,20.0,57.0,108.0,1.0,1.0,1.0,1.0,6.0,1.0,5.0,0.0,1.0,7.0,180.0,20.0,43.0,21.0,19.0,108.0,1.0,14.0,22.0,31.0,19.0,0.0,12.0,3.0,3.0,4.0,1.0,2.0,2.51,9.0,9.0,10.0,7.0,64.0
5,BondTablePotential.h,0.0,0.0,0.0,16.0,43.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,148.0,16.0,24.0,20.0,1.0,92.0,11.0,12.0,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.83,0.0,0.0,0.0,0.0,100.0
8,cudacpu_host_defines.h,0.0,0.0,0.0,40.0,107.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.0,19.0,0.0,0.0,0.0,55.0,84.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
9,SparseFuzzy.h,0.0,0.0,0.0,3.0,3.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,3.0,0.0,0.0,0.0,21.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
10,FIREEnergyMinimizerGPU.cc,10.0,34.0,2.0,61.0,178.0,70.0,5.0,5.0,5.0,1.0,45.0,10.0,34.0,2.0,0.0,5.0,308.0,61.0,173.0,38.0,109.0,70.0,0.0,5.0,96.0,124.0,39.0,5.0,80.0,19.0,19.0,21.0,3.0,2.0,0.4,25.0,25.0,27.0,7.0,105.0
11,FIREEnergyMinimizerGPU.h,0.0,1.0,0.0,15.0,28.0,72.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,106.0,15.0,20.0,15.0,0.0,72.0,1.0,8.0,14.0,15.0,15.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3.6,1.0,1.0,1.0,1.0,100.0
13,TwoStepNVEGPU.h,0.0,5.0,0.0,13.0,28.0,68.0,1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,1.0,2.0,106.0,13.0,20.0,9.0,5.0,68.0,1.0,8.0,13.0,14.0,9.0,0.0,5.0,1.0,1.0,1.0,1.0,0.0,3.4,2.0,2.0,2.0,2.0,106.0
16,ExecutionConfiguration.h,0.0,5.0,0.0,49.0,146.0,121.0,1.0,1.0,1.0,1.0,5.0,0.0,4.0,0.0,0.0,4.0,300.0,31.0,44.0,29.0,10.0,91.0,109.0,38.0,19.0,23.0,19.0,0.0,4.0,1.0,1.0,1.0,1.0,0.0,2.07,4.0,4.0,4.0,4.0,110.0
17,test_opls_dihedral_force.cc,17.0,100.0,7.0,85.0,444.0,85.0,2.0,2.0,2.0,1.0,123.0,17.0,100.0,7.0,0.0,4.0,610.0,82.0,404.0,82.0,335.0,81.0,31.0,17.0,313.0,324.0,82.0,0.0,242.0,6.0,6.0,6.0,1.0,2.0,0.2,9.0,9.0,9.0,4.0,106.0
20,OPLSDihedralForceCompute.h,0.0,0.0,0.0,17.0,33.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,119.0,17.0,14.0,10.0,0.0,66.0,11.0,12.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.71,0.0,0.0,0.0,0.0,100.0
21,ConstForceCompute.h,0.0,0.0,0.0,19.0,28.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,111.0,19.0,19.0,14.0,0.0,67.0,1.0,9.0,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.53,0.0,0.0,0.0,0.0,103.0
22,OPLSDihedralForceComputeGPU.h,0.0,4.0,0.0,12.0,25.0,66.0,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,2.0,102.0,12.0,16.0,7.0,3.0,66.0,1.0,9.0,8.0,10.0,7.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,4.12,2.0,2.0,2.0,2.0,106.0
24,Initializers.h,0.0,1.0,0.0,15.0,36.0,81.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,123.0,15.0,29.0,21.0,0.0,81.0,1.0,7.0,19.0,21.0,21.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.79,2.0,2.0,2.0,2.0,93.0
25,SnapshotSystemData.h,1.0,11.0,1.0,14.0,44.0,96.0,1.0,1.0,1.0,1.0,13.0,1.0,11.0,1.0,0.0,1.0,138.0,14.0,33.0,22.0,8.0,96.0,1.0,11.0,28.0,29.0,21.0,0.0,8.0,1.0,1.0,1.0,1.0,0.0,2.91,1.0,1.0,1.0,1.0,138.0
26,boost_utf_configure.h,0.0,0.0,0.0,15.0,22.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,15.0,3.0,3.0,3.0,81.0,1.0,19.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,166.0
28,ComplexEigenSolver.h,1.0,10.0,1.0,37.0,152.0,154.0,3.0,3.0,3.0,1.0,11.0,1.0,10.0,1.0,1.0,12.0,341.0,37.0,148.0,71.0,48.0,154.0,0.0,4.0,68.0,97.0,39.0,1.0,57.0,6.0,6.0,7.0,1.0,3.0,1.04,33.0,33.0,37.0,12.0,12.0
29,ComplexSchur.h,1.0,12.0,1.0,49.0,228.0,185.0,3.0,3.0,4.0,1.0,15.0,1.0,12.0,1.0,1.0,14.0,456.0,49.0,224.0,93.0,102.0,185.0,0.0,4.0,116.0,160.0,63.0,0.0,97.0,12.0,12.0,13.0,6.0,3.0,0.83,44.0,44.0,50.0,21.0,12.0
31,StaticAssert.h,0.0,0.0,0.0,38.0,138.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.0,32.0,61.0,59.0,0.0,37.0,14.0,77.0,3.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.0,0.0,0.0,0.0,12.0
32,TriangularMatrix.h,0.0,5.0,0.0,106.0,631.0,110.0,2.0,2.0,2.0,1.0,6.0,0.0,5.0,0.0,2.0,70.0,839.0,101.0,565.0,284.0,190.0,107.0,62.0,12.0,255.0,396.0,195.0,5.0,196.0,7.0,7.0,23.0,4.0,3.0,0.19,131.0,131.0,169.0,78.0,12.0
33,DenseCoeffsBase.h,0.0,5.0,0.0,102.0,376.0,279.0,2.0,2.0,2.0,1.0,5.0,0.0,5.0,0.0,4.0,47.0,754.0,102.0,367.0,154.0,74.0,279.0,0.0,9.0,150.0,233.0,129.0,12.0,92.0,4.0,4.0,6.0,1.0,2.0,0.76,73.0,73.0,83.0,47.0,12.0
35,Settings.h,0.0,0.0,0.0,9.0,15.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,9.0,0.0,0.0,0.0,26.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
36,AllAnisoPairPotentials.h,0.0,0.0,0.0,10.0,17.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,10.0,2.0,2.0,0.0,57.0,7.0,13.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.5,0.0,0.0,0.0,0.0,55.0
37,AnisoPotentialPair.h,4.0,22.0,3.0,65.0,287.0,169.0,3.0,3.0,3.0,1.0,29.0,4.0,22.0,3.0,1.0,10.0,513.0,60.0,258.0,105.0,152.0,165.0,23.0,16.0,160.0,188.0,87.0,0.0,101.0,17.0,17.0,18.0,1.0,5.0,0.64,29.0,29.0,32.0,10.0,106.0
38,EvaluatorPairGB.h,2.0,11.0,1.0,36.0,114.0,102.0,2.0,2.0,2.0,1.0,14.0,2.0,11.0,1.0,1.0,7.0,244.0,36.0,93.0,60.0,48.0,102.0,1.0,21.0,57.0,68.0,53.0,0.0,15.0,5.0,5.0,6.0,1.0,2.0,1.1,11.0,11.0,12.0,7.0,96.0
39,EvaluatorPairDipole.h,3.0,13.0,1.0,43.0,141.0,94.0,2.0,2.0,2.0,1.0,17.0,3.0,13.0,1.0,1.0,7.0,272.0,43.0,103.0,51.0,56.0,94.0,5.0,38.0,64.0,77.0,48.0,0.0,29.0,6.0,6.0,9.0,1.0,1.0,0.91,12.0,12.0,15.0,7.0,91.0
