index,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Bugs,human_bugs
0,pair_morse_gpu.h,0.0,0.0,0.0,11.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,59.0,9.0,16.0,13.0,0.0,24.0,3.0,7.0,11.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0
1,pair_morse.h,0.0,0.0,0.0,13.0,33.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,76.0,11.0,25.0,22.0,0.0,30.0,3.0,7.0,20.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,9.0,5
2,fix_ttm.h,0.0,0.0,0.0,12.0,53.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,157.0,10.0,45.0,42.0,0.0,92.0,3.0,7.0,40.0,41.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.04,0.0,0.0,0.0,0.0,3.0,1
4,fix_viscosity.cpp,6.0,33.0,4.0,53.0,212.0,44.0,10.0,10.0,11.0,3.0,43.0,6.0,33.0,4.0,0.0,6.0,309.0,53.0,201.0,34.0,157.0,44.0,0.0,11.0,157.0,216.0,33.0,0.0,183.0,31.0,31.0,39.0,15.0,6.0,0.22,57.0,57.0,68.0,20.0,5.0,2
6,mpi.h,0.0,0.0,0.0,27.0,124.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.0,27.0,83.0,81.0,0.0,17.0,2.0,39.0,48.0,47.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,4.0,2
9,fix_viscosity.h,0.0,0.0,0.0,12.0,30.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,80.0,10.0,22.0,19.0,0.0,38.0,3.0,7.0,17.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.73,0.0,0.0,0.0,0.0,0.0,0
10,atom.h,0.0,2.0,0.0,70.0,177.0,254.0,2.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,1.0,3.0,456.0,70.0,173.0,165.0,6.0,254.0,0.0,4.0,168.0,171.0,164.0,0.0,7.0,3.0,3.0,3.0,3.0,1.0,1.47,5.0,5.0,5.0,5.0,101.0,50
11,domain.h,0.0,6.0,0.0,25.0,92.0,174.0,4.0,4.0,7.0,4.0,6.0,0.0,6.0,0.0,1.0,1.0,253.0,25.0,87.0,79.0,4.0,174.0,0.0,5.0,79.0,84.0,77.0,0.0,7.0,4.0,4.0,7.0,4.0,1.0,2.0,4.0,4.0,7.0,4.0,26.0,13
14,force.h,0.0,0.0,0.0,24.0,76.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,155.0,24.0,70.0,67.0,8.0,79.0,0.0,6.0,65.0,66.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.13,0.0,0.0,0.0,0.0,13.0,2
15,pointers.h,0.0,11.0,0.0,13.0,55.0,19.0,1.0,1.0,1.0,1.0,11.0,0.0,11.0,0.0,1.0,2.0,87.0,13.0,46.0,43.0,0.0,19.0,0.0,9.0,20.0,24.0,24.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.41,2.0,2.0,2.0,2.0,8.0,5
