index,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,fastread_bugs,keyword_bugs,human_bugs
0,pair_morse_gpu.h,0.0,0.0,0.0,11.0,23.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,58.0,9.0,15.0,12.0,0.0,24.0,3.0,7.0,10.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0,0.0,0
1,pair_morse.h,0.0,0.0,0.0,13.0,34.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,77.0,11.0,26.0,23.0,0.0,30.0,3.0,7.0,21.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.15,0.0,0.0,0.0,0.0,2,2.0,1
2,fix_ttm.h,0.0,0.0,0.0,12.0,53.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,157.0,10.0,45.0,42.0,0.0,92.0,3.0,7.0,40.0,41.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.04,0.0,0.0,0.0,0.0,0,0.0,0
4,fix_viscosity.cpp,6.0,33.0,4.0,53.0,212.0,44.0,10.0,10.0,11.0,3.0,43.0,6.0,33.0,4.0,0.0,6.0,309.0,53.0,201.0,34.0,157.0,44.0,0.0,11.0,156.0,215.0,32.0,0.0,183.0,31.0,31.0,39.0,15.0,6.0,0.22,57.0,57.0,68.0,20.0,0,0.0,0
6,mpi.h,0.0,0.0,0.0,29.0,135.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.0,29.0,94.0,2.0,0.0,17.0,2.0,39.0,57.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0,0.0,0
9,fix_viscosity.h,0.0,0.0,0.0,12.0,30.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,80.0,10.0,22.0,19.0,0.0,38.0,3.0,7.0,17.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.73,0.0,0.0,0.0,0.0,0,0.0,0
10,atom.h,0.0,2.0,0.0,85.0,206.0,274.0,2.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,1.0,4.0,519.0,85.0,200.0,191.0,6.0,274.0,0.0,6.0,193.0,197.0,190.0,0.0,7.0,3.0,3.0,3.0,3.0,1.0,1.37,6.0,6.0,6.0,6.0,14,18.0,9
11,domain.h,0.0,6.0,0.0,30.0,108.0,182.0,4.0,4.0,7.0,4.0,6.0,0.0,6.0,0.0,1.0,1.0,282.0,30.0,101.0,92.0,5.0,182.0,0.0,7.0,92.0,97.0,90.0,0.0,7.0,4.0,4.0,7.0,4.0,1.0,1.8,4.0,4.0,7.0,4.0,2,3.0,1
14,force.h,0.0,0.0,0.0,30.0,110.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,199.0,30.0,103.0,100.0,3.0,85.0,0.0,7.0,98.0,99.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.0,0.0,0.0,0.0,1,2.0,0
15,pointers.h,0.0,12.0,0.0,14.0,59.0,19.0,1.0,1.0,1.0,1.0,12.0,0.0,12.0,0.0,1.0,2.0,92.0,14.0,50.0,47.0,0.0,19.0,0.0,9.0,22.0,26.0,26.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.38,2.0,2.0,2.0,2.0,2,3.0,1
16,npair_half_nsq_newtoff_omp.cpp,8.0,39.0,2.0,21.0,90.0,22.0,9.0,9.0,10.0,3.0,49.0,8.0,38.0,2.0,0.0,2.0,133.0,21.0,76.0,26.0,60.0,22.0,1.0,14.0,63.0,79.0,30.0,2.0,47.0,17.0,17.0,19.0,5.0,5.0,0.29,18.0,18.0,20.0,6.0,0,0.0,0
17,npair_half_nsq_newtoff_omp.h,0.0,1.0,0.0,10.0,18.0,15.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,43.0,8.0,8.0,6.0,0.0,15.0,5.0,7.0,3.0,5.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.88,1.0,1.0,1.0,1.0,0,0.0,0
18,npair_omp.h,0.0,0.0,0.0,15.0,38.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,11.0,2.0,2.0,0.0,14.0,23.0,36.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0,0.0,0
19,neighbor.h,0.0,1.0,0.0,60.0,200.0,204.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,6.0,375.0,60.0,195.0,192.0,44.0,204.0,0.0,5.0,182.0,190.0,190.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.05,6.0,6.0,6.0,6.0,2,5.0,1
20,neigh_list.h,0.0,1.0,0.0,25.0,53.0,59.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,100.0,25.0,48.0,46.0,1.0,59.0,0.0,5.0,44.0,46.0,45.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.23,1.0,1.0,1.0,1.0,12,14.0,8
21,atom_vec.h,0.0,1.0,0.0,29.0,101.0,56.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,20.0,163.0,29.0,96.0,92.0,36.0,56.0,0.0,5.0,83.0,104.0,91.0,0.0,13.0,1.0,1.0,1.0,1.0,0.0,0.58,20.0,20.0,20.0,20.0,0,0.0,0
22,group.h,0.0,0.0,0.0,13.0,56.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,177.0,13.0,50.0,47.0,0.0,131.0,0.0,6.0,45.0,46.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.62,0.0,0.0,0.0,0.0,1,2.0,0
23,molecule.h,0.0,0.0,0.0,36.0,105.0,309.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,425.0,36.0,101.0,98.0,0.0,309.0,0.0,4.0,96.0,97.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.06,0.0,0.0,0.0,0.0,2,3.0,1
24,my_page.h,1.0,10.0,0.0,36.0,134.0,77.0,3.0,3.0,3.0,2.0,11.0,1.0,9.0,0.0,1.0,11.0,236.0,36.0,120.0,31.0,74.0,77.0,5.0,10.0,83.0,114.0,28.0,0.0,86.0,5.0,5.0,7.0,5.0,2.0,0.64,30.0,30.0,32.0,24.0,0,0.0,0
25,thr_data.h,0.0,1.0,0.0,24.0,91.0,60.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,18.0,152.0,24.0,84.0,78.0,17.0,60.0,1.0,7.0,94.0,96.0,77.0,0.0,19.0,2.0,2.0,2.0,1.0,1.0,0.71,19.0,19.0,19.0,18.0,0,0.0,0
26,lmptype.h,0.0,0.0,0.0,57.0,114.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211.0,43.0,7.0,5.0,0.0,40.0,62.0,99.0,5.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.71,0.0,0.0,0.0,0.0,0,0.0,0
27,lattice.h,0.0,0.0,0.0,11.0,37.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,116.0,11.0,33.0,30.0,0.0,78.0,0.0,4.0,27.0,28.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0,0.0,0
28,pppm_cg_omp.h,0.0,0.0,0.0,13.0,30.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,55.0,11.0,21.0,17.0,0.0,12.0,3.0,8.0,13.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.0,0.0,0.0,4,6.0,3
29,pppm_cg.h,0.0,0.0,0.0,12.0,28.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,81.0,10.0,20.0,17.0,0.0,41.0,3.0,7.0,15.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.05,0.0,0.0,0.0,0.0,0,0.0,0
30,thr_omp.h,0.0,12.0,0.0,33.0,131.0,40.0,2.0,2.0,2.0,2.0,13.0,0.0,8.0,0.0,1.0,3.0,201.0,32.0,110.0,87.0,12.0,39.0,9.0,16.0,57.0,63.0,49.0,1.0,13.0,5.0,5.0,5.0,5.0,3.0,0.35,7.0,7.0,7.0,7.0,0,0.0,0
31,Kokkos_OpenMP_Exec.hpp,0.0,0.0,0.0,77.0,212.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,354.0,3.0,0.0,0.0,0.0,43.0,303.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
