,File,Hash,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,keyword_buggy
0,trunk/libmesh/include/parallel/parallel.h,f6fc13b,0.0,2.0,0.0,209.0,738.0,204.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,13.0,1146.0,57.0,106.0,94.0,14.0,126.0,846.0,18.0,26.0,40.0,33.0,0.0,7.0,1.0,1.0,1.0,1.0,0.0,1.19,13.0,13.0,13.0,13.0,1.0
1,trunk/libmesh/include/parallel/parallel.h,86d9814,0.0,2.0,0.0,214.0,746.0,218.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,13.0,1173.0,59.0,110.0,98.0,15.0,131.0,861.0,19.0,30.0,44.0,37.0,0.0,7.0,1.0,1.0,1.0,1.0,0.0,1.19,13.0,13.0,13.0,13.0,0.0
2,trunk/libmesh/include/parallel/parallel.h,e05286c,0.0,2.0,0.0,214.0,746.0,218.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,13.0,1173.0,59.0,110.0,98.0,15.0,131.0,861.0,19.0,30.0,44.0,37.0,0.0,7.0,1.0,1.0,1.0,1.0,0.0,1.19,13.0,13.0,13.0,13.0,1.0
3,trunk/libmesh/include/parallel/parallel.h,b853e96,0.0,3.0,0.0,219.0,766.0,220.0,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,0.0,18.0,1200.0,64.0,129.0,117.0,17.0,133.0,862.0,19.0,32.0,51.0,42.0,0.0,9.0,1.0,1.0,1.0,1.0,0.0,1.03,18.0,18.0,18.0,18.0,0.0
4,trunk/libmesh/src/parallel/parallel_sort.C,b853e96,4.0,17.0,9.0,76.0,194.0,117.0,2.0,2.0,2.0,1.0,27.0,4.0,17.0,9.0,0.0,5.0,363.0,53.0,100.0,31.0,57.0,69.0,141.0,14.0,39.0,57.0,25.0,0.0,32.0,5.0,5.0,5.0,1.0,2.0,0.69,11.0,11.0,11.0,5.0,1.0
5,trunk/libmesh/src/parallel/parallel_sort.C,f3f099a,3.0,13.0,8.0,75.0,179.0,111.0,1.0,1.0,1.0,1.0,23.0,1.0,8.0,2.0,0.0,5.0,343.0,42.0,55.0,26.0,16.0,35.0,198.0,17.0,21.0,36.0,20.0,0.0,16.0,2.0,2.0,2.0,1.0,1.0,0.64,7.0,7.0,7.0,5.0,0.0
6,trunk/libmesh/src/solvers/system_io.C,f3f099a,32.0,86.0,51.0,254.0,613.0,377.0,10.0,10.0,11.0,1.0,167.0,30.0,79.0,50.0,0.0,7.0,1233.0,238.0,553.0,95.0,387.0,368.0,64.0,21.0,371.0,445.0,87.0,14.0,344.0,26.0,26.0,30.0,1.0,6.0,0.67,73.0,73.0,77.0,7.0,1.0
7,trunk/libmesh/src/solvers/system_io.C,09dd179,32.0,89.0,52.0,254.0,635.0,381.0,10.0,10.0,10.0,1.0,171.0,29.0,75.0,49.0,0.0,7.0,1259.0,232.0,531.0,91.0,369.0,362.0,114.0,31.0,353.0,423.0,83.0,14.0,326.0,22.0,22.0,26.0,1.0,6.0,0.68,69.0,69.0,73.0,7.0,0.0
8,trunk/libmesh/src/partitioning/partitioner.C,d2fc64b,7.0,28.0,7.0,53.0,114.0,47.0,5.0,5.0,5.0,1.0,42.0,7.0,28.0,7.0,0.0,4.0,214.0,53.0,110.0,30.0,80.0,47.0,0.0,4.0,81.0,101.0,25.0,7.0,69.0,14.0,14.0,14.0,1.0,3.0,0.43,20.0,20.0,20.0,4.0,1.0
9,trunk/libmesh/include/partitioning/partitioner.h,d2fc64b,0.0,1.0,0.0,28.0,22.0,68.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,118.0,28.0,18.0,14.0,4.0,68.0,0.0,4.0,8.0,11.0,10.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,3.78,3.0,3.0,3.0,3.0,1.0
