index,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Bugs
2159,libmesh_common.h,0.0,2.0,0.0,58.0,111.0,53.0,2.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,12.0,220.0,58.0,31.0,17.0,12.0,50.0,27.0,71.0,16.0,30.0,18.0,0.0,12.0,2.0,2.0,2.0,1.0,0.0,1.61,24.0,24.0,24.0,12.0,0.0
2220,suffix.hpp,0.0,0.0,0.0,87.0,290.0,271.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,647.0,81.0,4.0,2.0,0.0,267.0,112.0,272.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.75,0.0,0.0,0.0,0.0,0.0
2429,gcc.hpp,0.0,0.0,0.0,26.0,136.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.0,26.0,0.0,0.0,0.0,68.0,60.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0
2690,exodusII.h,0.0,0.0,0.0,82.0,623.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,788.0,82.0,576.0,576.0,0.0,165.0,2.0,45.0,147.0,147.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0
2691,exodusII_int.h,0.0,0.0,0.0,39.0,315.0,379.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,605.0,39.0,83.0,79.0,0.0,378.0,4.0,232.0,59.0,59.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.55,0.0,0.0,0.0,0.0,0.0
2915,netcdf.h,0.0,0.0,0.0,253.0,680.0,233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1099.0,250.0,536.0,536.0,0.0,230.0,26.0,136.0,197.0,197.0,197.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0
3554,ne_nemesisI.h,0.0,0.0,0.0,63.0,383.0,344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,527.0,63.0,372.0,372.0,0.0,344.0,2.0,9.0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0
3555,ne_nemesisI_int.h,0.0,0.0,0.0,7.0,60.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,7.0,0.0,0.0,0.0,56.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0
4004,mesh_common.h,0.0,0.0,0.0,23.0,45.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,23.0,4.0,4.0,0.0,17.0,19.0,32.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.25,0.0,0.0,0.0,0.0,0.0
4600,bool_trait_def.hpp,0.0,0.0,0.0,25.0,134.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.0,22.0,0.0,0.0,0.0,27.0,30.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0
4602,bool_trait_undef.hpp,0.0,0.0,0.0,4.0,14.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,4.0,0.0,0.0,0.0,9.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0
5153,elem.h,1.0,6.0,0.0,136.0,216.0,329.0,2.0,2.0,2.0,1.0,8.0,1.0,6.0,0.0,1.0,17.0,680.0,116.0,157.0,80.0,52.0,283.0,102.0,23.0,98.0,121.0,63.0,2.0,56.0,7.0,7.0,7.0,1.0,2.0,1.80,38.0,38.0,38.0,17.0,0.0
6073,is_reference.hpp,0.0,0.0,0.0,14.0,22.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,14.0,13.0,11.0,4.0,12.0,0.0,9.0,2.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0
