Unnamed: 0,File,Hash,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,keyword_buggy
0,libmesh/src/physics/fem_physics.C,79e5892,20.0,79.0,8.0,52.0,174.0,30.0,5.0,5.0,5.0,2.0,104.0,6.0,24.0,2.0,0.0,2.0,251.0,25.0,51.0,21.0,30.0,18.0,145.0,16.0,29.0,39.0,15.0,0.0,24.0,7.0,7.0,8.0,3.0,5.0,0.35,9.0,9.0,10.0,4.0,1.0
1,libmesh/src/physics/fem_physics.C,9b98671,20.0,79.0,8.0,52.0,174.0,30.0,5.0,5.0,5.0,2.0,104.0,6.0,24.0,2.0,0.0,2.0,251.0,25.0,51.0,21.0,30.0,18.0,145.0,16.0,29.0,39.0,15.0,0.0,24.0,7.0,7.0,8.0,3.0,5.0,0.35,9.0,9.0,10.0,4.0,0.0
2,libmesh/include/parallel/parallel_implementation.h,2333abb,0.0,5.0,0.0,588.0,2211.0,217.0,1.0,1.0,1.0,1.0,6.0,0.0,5.0,0.0,13.0,124.0,2998.0,181.0,679.0,453.0,254.0,102.0,1974.0,116.0,208.0,356.0,190.0,1.0,165.0,4.0,4.0,4.0,1.0,2.0,0.15,145.0,145.0,145.0,124.0,1.0
3,libmesh/include/parallel/parallel.h,2333abb,0.0,2.0,0.0,181.0,414.0,540.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,6.0,33.0,1125.0,173.0,346.0,301.0,49.0,517.0,58.0,45.0,149.0,181.0,157.0,0.0,24.0,2.0,2.0,2.0,1.0,1.0,1.49,34.0,34.0,34.0,33.0,1.0
4,libmesh/include/parallel/parallel_implementation.h,2333abb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
5,libmesh/include/parallel/parallel_implementation.h,165c442,0.0,5.0,0.0,611.0,2307.0,219.0,1.0,1.0,1.0,1.0,5.0,0.0,4.0,0.0,13.0,150.0,3119.0,185.0,681.0,455.0,256.0,102.0,2063.0,136.0,246.0,424.0,224.0,1.0,199.0,4.0,4.0,4.0,1.0,2.0,0.15,175.0,175.0,175.0,150.0,0.0
6,libmesh/include/parallel/parallel.h,165c442,0.0,2.0,0.0,182.0,419.0,547.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,6.0,35.0,1138.0,174.0,350.0,305.0,49.0,524.0,58.0,46.0,150.0,184.0,160.0,0.0,24.0,2.0,2.0,2.0,1.0,1.0,1.5,36.0,36.0,36.0,35.0,0.0
7,libmesh/include/parallel/parallel_implementation.h,165c442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
8,libmesh/include/parallel/parallel.h,bcb2eb6,0.0,2.0,0.0,182.0,419.0,547.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,6.0,35.0,1138.0,174.0,350.0,305.0,49.0,524.0,58.0,46.0,150.0,184.0,160.0,0.0,24.0,2.0,2.0,2.0,1.0,1.0,1.5,36.0,36.0,36.0,35.0,1.0
9,libmesh/include/parallel/parallel.h,e0ae179,0.0,2.0,0.0,182.0,419.0,547.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,6.0,35.0,1138.0,174.0,350.0,305.0,49.0,524.0,58.0,46.0,150.0,184.0,160.0,0.0,24.0,2.0,2.0,2.0,1.0,1.0,1.5,36.0,36.0,36.0,35.0,0.0
10,libmesh/src/base/dof_map_constraints.C,261f439,1.0,23.0,2.0,547.0,2201.0,486.0,2.0,2.0,2.0,1.0,25.0,1.0,9.0,0.0,1.0,2.0,3174.0,31.0,32.0,23.0,3.0,31.0,3039.0,122.0,9.0,16.0,11.0,0.0,5.0,3.0,3.0,3.0,1.0,2.0,0.97,4.0,4.0,4.0,2.0,1.0
11,libmesh/src/solvers/memory_solution_history.C,261f439,6.0,16.0,6.0,23.0,52.0,23.0,3.0,3.0,3.0,1.0,28.0,6.0,16.0,6.0,0.0,3.0,98.0,23.0,51.0,14.0,27.0,23.0,0.0,1.0,31.0,41.0,12.0,3.0,26.0,3.0,3.0,3.0,1.0,2.0,0.45,9.0,9.0,9.0,3.0,1.0
12,libmesh/include/solvers/memory_solution_history.h,261f439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
13,libmesh/include/solvers/memory_solution_history.h,261f439,0.0,2.0,0.0,17.0,25.0,18.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,2.0,58.0,17.0,19.0,13.0,2.0,18.0,0.0,6.0,10.0,12.0,11.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.95,2.0,2.0,2.0,2.0,1.0
14,libmesh/include/solvers/memory_solution_history.h,261f439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
15,libmesh/include/systems/fem_context.h,261f439,0.0,3.0,0.0,119.0,227.0,397.0,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,15.0,737.0,105.0,177.0,145.0,19.0,333.0,109.0,20.0,97.0,114.0,95.0,0.0,19.0,2.0,2.0,2.0,1.0,1.0,1.88,16.0,16.0,16.0,15.0,1.0
16,libmesh/include/systems/diff_context.h,261f439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
17,libmesh/src/base/dof_map.C,261f439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
18,libmesh/src/base/dof_map_constraints.C,261f439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
19,libmesh/src/base/dof_map.C,261f439,12.0,50.0,13.0,545.0,1837.0,548.0,7.0,7.0,7.0,1.0,74.0,10.0,40.0,12.0,0.0,33.0,2908.0,448.0,1310.0,353.0,881.0,414.0,647.0,119.0,687.0,904.0,262.0,17.0,625.0,38.0,38.0,42.0,7.0,13.0,0.32,218.0,218.0,246.0,52.0,1.0
20,libmesh/src/systems/fem_context.C,261f439,5.0,16.0,4.0,457.0,1009.0,270.0,3.0,3.0,3.0,1.0,24.0,5.0,16.0,4.0,0.0,45.0,1728.0,370.0,779.0,242.0,489.0,212.0,339.0,36.0,505.0,698.0,290.0,1.0,407.0,14.0,14.0,14.0,1.0,4.0,0.27,119.0,119.0,131.0,45.0,1.0
21,libmesh/include/systems/fem_context.h,261f439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
22,libmesh/src/systems/diff_context.C,261f439,2.0,11.0,1.0,40.0,104.0,25.0,2.0,2.0,2.0,1.0,14.0,2.0,11.0,1.0,0.0,9.0,168.0,40.0,102.0,33.0,57.0,25.0,0.0,2.0,60.0,83.0,23.0,1.0,59.0,7.0,7.0,7.0,1.0,2.0,0.25,22.0,22.0,22.0,9.0,1.0
23,libmesh/include/systems/diff_context.h,261f439,0.0,2.0,0.0,75.0,108.0,231.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,30.0,413.0,75.0,98.0,67.0,27.0,231.0,0.0,10.0,60.0,91.0,64.0,0.0,27.0,1.0,1.0,1.0,1.0,0.0,2.36,30.0,30.0,30.0,30.0,1.0
24,libmesh/src/base/dof_map_constraints.C,4cbfa41,1.0,23.0,2.0,547.0,2218.0,492.0,2.0,2.0,2.0,1.0,25.0,1.0,9.0,0.0,1.0,2.0,3194.0,31.0,32.0,23.0,3.0,31.0,3059.0,126.0,9.0,16.0,11.0,0.0,5.0,3.0,3.0,3.0,1.0,2.0,0.97,4.0,4.0,4.0,2.0,0.0
25,libmesh/src/solvers/memory_solution_history.C,4cbfa41,7.0,15.0,8.0,19.0,34.0,19.0,3.0,3.0,3.0,1.0,30.0,7.0,15.0,8.0,0.0,2.0,72.0,19.0,33.0,11.0,16.0,19.0,0.0,1.0,19.0,25.0,9.0,0.0,16.0,3.0,3.0,3.0,1.0,2.0,0.58,5.0,5.0,5.0,2.0,0.0
26,libmesh/include/solvers/memory_solution_history.h,4cbfa41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
