,File,Hash,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclExecutableUnit,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,keyword_buggy
0,MDAnalysis/tests/datafiles.py,b869469,1.0,1.0,1.0,1.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,34.0,8.0,19.0,1.0,18.0,12.0,1.0,0.0,15.0,1.0,14.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.63,1.0,1.0,1.0,1.0,1.0
1,MDAnalysis/tests/datafiles.py,2edbb91,1.0,1.0,1.0,1.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,34.0,8.0,19.0,1.0,18.0,12.0,1.0,0.0,15.0,1.0,14.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.63,1.0,1.0,1.0,1.0,0.0
2,MDAnalysis/coordinates/CRD.py,2edbb91,2.0,2.0,2.0,1.0,11.0,0.0,9.0,2.0,2.0,11.0,11.0,187.0,29.0,122.0,19.0,103.0,48.0,0.0,0.0,106.0,19.0,87.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,7.0,3.0,0.39,28.0,28.0,28.0,19.0,1.0
3,MDAnalysis/coordinates/GRO.py,2edbb91,2.0,2.0,2.0,1.0,17.0,1.0,10.0,6.0,3.0,9.0,9.0,210.0,31.0,118.0,20.0,98.0,80.0,0.0,0.0,95.0,19.0,76.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,1.0,3.0,0.68,21.0,21.0,21.0,9.0,1.0
4,MDAnalysis/coordinates/PDB.py,2edbb91,1.0,1.0,1.0,1.0,9.0,0.0,7.0,2.0,4.0,28.0,27.0,419.0,56.0,222.0,42.0,180.0,160.0,2.0,0.0,210.0,40.0,170.0,2.0,2.0,2.0,1.0,7.0,7.0,7.0,6.0,3.0,0.72,55.0,55.0,55.0,39.0,1.0
5,MDAnalysis/core/AtomGroup.py,2edbb91,1.0,1.0,1.0,1.0,10.0,1.0,5.0,3.0,7.0,85.0,85.0,1165.0,170.0,483.0,121.0,362.0,530.0,0.0,0.0,459.0,108.0,351.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,4.0,3.0,1.10,160.0,160.0,160.0,103.0,1.0
6,MDAnalysis/tests/test_atomgroup.py,2edbb91,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,6.0,32.0,32.0,227.0,42.0,172.0,49.0,123.0,22.0,0.0,0.0,148.0,48.0,100.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,0.13,33.0,33.0,33.0,32.0,1.0
7,MDAnalysis/coordinates/CRD.py,6ff313f,2.0,2.0,2.0,1.0,11.0,0.0,9.0,2.0,2.0,11.0,11.0,186.0,28.0,122.0,19.0,103.0,49.0,0.0,0.0,106.0,19.0,87.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,7.0,3.0,0.40,28.0,28.0,28.0,19.0,0.0
8,MDAnalysis/coordinates/GRO.py,6ff313f,2.0,2.0,2.0,1.0,17.0,1.0,10.0,6.0,3.0,9.0,9.0,208.0,29.0,118.0,20.0,98.0,82.0,0.0,0.0,95.0,19.0,76.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,1.0,3.0,0.69,21.0,21.0,21.0,9.0,0.0
9,MDAnalysis/coordinates/PDB.py,6ff313f,1.0,1.0,1.0,1.0,9.0,0.0,7.0,2.0,4.0,28.0,27.0,419.0,56.0,222.0,42.0,180.0,161.0,2.0,0.0,210.0,40.0,170.0,2.0,2.0,2.0,1.0,7.0,7.0,7.0,6.0,3.0,0.73,55.0,55.0,55.0,39.0,0.0
