,File,Hash,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclExecutableUnit,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,fastread_buggy
0,package/MDAnalysis/coordinates/PDB.py,de7b4e1,3.0,3.0,3.0,2.0,23.0,3.0,12.0,9.0,6.0,35.0,34.0,1311.0,267.0,465.0,60.0,405.0,611.0,2.0,0.0,405.0,56.0,349.0,2.0,2.0,2.0,1.0,17.0,17.0,17.0,14.0,4.0,1.31,117.0,117.0,117.0,74.0,1.0
1,package/MDAnalysis/coordinates/PDB.py,6bf440e,3.0,3.0,3.0,2.0,23.0,3.0,12.0,9.0,6.0,35.0,34.0,1314.0,267.0,468.0,60.0,408.0,611.0,2.0,0.0,408.0,56.0,352.0,2.0,2.0,2.0,1.0,17.0,17.0,17.0,14.0,4.0,1.31,118.0,118.0,118.0,74.0,0.0
2,package/MDAnalysis/analysis/align.py,f8bdc80,3.0,3.0,3.0,2.0,73.0,11.0,29.0,40.0,0.0,11.0,10.0,932.0,164.0,282.0,31.0,251.0,498.0,1.0,0.0,235.0,26.0,209.0,1.0,1.0,1.0,1.0,12.0,12.0,12.0,7.0,3.0,1.77,43.0,43.0,43.0,26.0,1.0
3,package/MDAnalysis/analysis/contacts.py,f8bdc80,2.0,2.0,2.0,1.0,26.0,3.0,14.0,10.0,2.0,19.0,18.0,767.0,153.0,274.0,39.0,235.0,355.0,1.0,0.0,256.0,37.0,219.0,1.0,1.0,1.0,1.0,6.0,6.0,6.0,5.0,3.0,1.30,56.0,56.0,56.0,33.0,1.0
4,package/MDAnalysis/analysis/density.py,f8bdc80,2.0,2.0,2.0,1.0,27.0,3.0,12.0,13.0,2.0,23.0,22.0,853.0,166.0,286.0,45.0,241.0,427.0,2.0,0.0,254.0,42.0,212.0,2.0,2.0,2.0,1.0,7.0,7.0,7.0,6.0,3.0,1.49,54.0,54.0,54.0,36.0,1.0
5,package/MDAnalysis/analysis/distances.py,f8bdc80,2.0,2.0,2.0,1.0,22.0,5.0,9.0,14.0,0.0,4.0,3.0,135.0,30.0,36.0,9.0,27.0,69.0,1.0,0.0,34.0,9.0,25.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,3.0,2.0,1.92,9.0,9.0,9.0,6.0,1.0
6,package/MDAnalysis/lib/distances.py,f8bdc80,2.0,2.0,2.0,1.0,22.0,5.0,9.0,14.0,0.0,4.0,3.0,135.0,30.0,36.0,9.0,27.0,69.0,1.0,0.0,34.0,9.0,25.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,3.0,2.0,1.92,9.0,9.0,9.0,6.0,1.0
7,package/MDAnalysis/analysis/gnm.py,f8bdc80,3.0,3.0,3.0,1.0,19.0,1.0,15.0,4.0,2.0,12.0,11.0,343.0,57.0,172.0,17.0,155.0,119.0,1.0,0.0,156.0,17.0,139.0,1.0,1.0,1.0,1.0,11.0,11.0,11.0,5.0,7.0,0.69,45.0,45.0,45.0,19.0,1.0
8,package/MDAnalysis/analysis/hbonds/hbond_analysis.py,f8bdc80,3.0,3.0,3.0,1.0,34.0,4.0,17.0,14.0,1.0,24.0,23.0,1207.0,222.0,412.0,41.0,371.0,594.0,1.0,0.0,339.0,36.0,303.0,1.0,1.0,1.0,1.0,20.0,20.0,20.0,8.0,6.0,1.44,89.0,89.0,89.0,36.0,1.0
9,package/MDAnalysis/analysis/hbonds/hbond_autocorrel.py,f8bdc80,3.0,3.0,3.0,1.0,36.0,5.0,20.0,12.0,1.0,11.0,11.0,521.0,99.0,207.0,27.0,180.0,232.0,0.0,0.0,153.0,18.0,135.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,6.0,3.0,1.12,38.0,38.0,38.0,20.0,1.0
