index,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Bugs
0,BasicPreconditioners.h,0.0,3.0,0.0,26.0,92.0,33.0,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,2.0,15.0,149.0,26.0,89.0,48.0,23.0,33.0,0.0,3.0,32.0,64.0,41.0,0.0,23.0,4.0,4.0,6.0,1.0,2.0,0.37,18.0,18.0,22.0,15.0,0.0
1,HessenbergDecomposition.h,0.0,7.0,0.0,34.0,137.0,205.0,1.0,1.0,2.0,1.0,8.0,0.0,7.0,0.0,1.0,12.0,373.0,34.0,134.0,63.0,45.0,205.0,0.0,3.0,59.0,82.0,45.0,0.0,37.0,2.0,2.0,2.0,1.0,1.0,1.53,17.0,17.0,21.0,12.0,0.0
2,lod_vil.c,1.0,26.0,0.0,61.0,453.0,10.0,5.0,5.0,5.0,1.0,27.0,1.0,26.0,0.0,0.0,17.0,524.0,61.0,445.0,54.0,317.0,10.0,0.0,8.0,351.0,432.0,54.0,0.0,378.0,15.0,15.0,15.0,3.0,4.0,0.02,81.0,81.0,87.0,23.0,0.0
6,cavity.h,0.0,0.0,0.0,60.0,262.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332.0,60.0,174.0,174.0,0.0,10.0,0.0,88.0,147.0,147.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0
7,splinemol.h,0.0,0.0,0.0,6.0,68.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,6.0,61.0,61.0,0.0,10.0,0.0,7.0,61.0,61.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0
8,pln_sph.h,0.0,0.0,0.0,90.0,501.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,601.0,90.0,350.0,350.0,0.0,10.0,22.0,133.0,319.0,319.0,319.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0
9,coarsequad.h,0.0,0.0,0.0,9.0,79.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,9.0,60.0,60.0,0.0,10.0,0.0,19.0,57.0,57.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0
10,WEMRHS.c,5.0,49.0,27.0,23.0,159.0,89.0,6.0,6.0,6.0,1.0,60.0,5.0,49.0,27.0,0.0,3.0,210.0,23.0,146.0,57.0,76.0,89.0,0.0,13.0,140.0,138.0,37.0,0.0,101.0,6.0,6.0,6.0,1.0,2.0,0.61,18.0,18.0,18.0,3.0,4.0
11,constants.h,0.0,0.0,0.0,9.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,9.0,15.0,15.0,0.0,18.0,0.0,3.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,4.0
12,intvector.h,0.0,0.0,0.0,13.0,13.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,13.0,10.0,10.0,0.0,18.0,0.0,3.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,4.0
