index,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Bugs,human_bugs
0,CavityData.hpp,0.0,8.0,0.0,8.0,28.0,52.0,1.0,1.0,1.0,1.0,8.0,0.0,8.0,0.0,0.0,1.0,87.0,8.0,20.0,19.0,0.0,52.0,0.0,8.0,11.0,12.0,12.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.6,1.0,1.0,1.0,1.0,0.0,0
4,Sphere.hpp,0.0,2.0,0.0,9.0,36.0,34.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,10.0,77.0,9.0,29.0,21.0,13.0,34.0,0.0,7.0,18.0,33.0,24.0,0.0,9.0,1.0,1.0,1.0,1.0,0.0,1.17,10.0,10.0,10.0,10.0,0.0,0
5,Symmetry.hpp,0.0,2.0,0.0,7.0,28.0,44.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,7.0,78.0,7.0,23.0,14.0,6.0,44.0,0.0,5.0,12.0,19.0,13.0,0.0,6.0,1.0,1.0,1.0,1.0,0.0,1.91,7.0,7.0,7.0,7.0,0.0,0
9,GreenData.hpp,0.0,8.0,0.0,8.0,24.0,44.0,1.0,1.0,1.0,1.0,8.0,0.0,8.0,0.0,0.0,1.0,75.0,8.0,19.0,18.0,5.0,44.0,0.0,5.0,10.0,11.0,11.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.32,1.0,1.0,1.0,1.0,0.0,0
12,dwt.h,0.0,0.0,0.0,6.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,6.0,2.0,2.0,0.0,9.0,0.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,3.0,0
13,BasicPreconditioners.h,0.0,3.0,0.0,26.0,92.0,33.0,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,2.0,15.0,149.0,26.0,89.0,48.0,23.0,33.0,0.0,3.0,32.0,64.0,41.0,0.0,23.0,4.0,4.0,6.0,1.0,2.0,0.37,18.0,18.0,22.0,15.0,0.0,0
14,for_id.hpp,0.0,6.0,0.0,15.0,111.0,31.0,2.0,2.0,2.0,1.0,6.0,0.0,6.0,0.0,0.0,7.0,156.0,15.0,99.0,56.0,30.0,31.0,0.0,12.0,19.0,31.0,15.0,0.0,16.0,4.0,4.0,4.0,1.0,2.0,0.31,12.0,12.0,12.0,7.0,0.0,0
23,gepol_H3+.cpp,0.0,9.0,0.0,10.0,58.0,34.0,1.0,1.0,1.0,1.0,9.0,0.0,9.0,0.0,0.0,5.0,102.0,10.0,48.0,28.0,26.0,34.0,0.0,10.0,35.0,41.0,28.0,0.0,13.0,2.0,2.0,2.0,1.0,1.0,0.71,6.0,6.0,6.0,5.0,6.0,0
27,GePolCavity.hpp,0.0,3.0,0.0,9.0,44.0,39.0,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,6.0,91.0,9.0,34.0,23.0,7.0,39.0,0.0,10.0,14.0,21.0,17.0,0.0,4.0,1.0,1.0,1.0,1.0,0.0,1.15,6.0,6.0,6.0,6.0,0.0,0
28,PhysicalConstants.hpp,0.0,7.0,2.0,13.0,50.0,55.0,2.0,1.0,2.0,1.0,10.0,0.0,7.0,2.0,0.0,6.0,117.0,13.0,45.0,10.0,25.0,55.0,0.0,5.0,20.0,31.0,10.0,0.0,21.0,5.0,2.0,5.0,1.0,1.0,1.22,10.0,7.0,10.0,6.0,0.0,0
