index,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclExecutableUnit,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Bugs,human_bugs
0,cantherm.py,2.0,2.0,2.0,1.0,31.0,5.0,23.0,9.0,0.0,4.0,3.0,181.0,33.0,85.0,10.0,75.0,63.0,3.0,0.0,64.0,10.0,54.0,3.0,3.0,3.0,1.0,4.0,4.0,4.0,3.0,2.0,0.74,11.0,11.0,11.0,6.0,0.0,0
1,convertFAME.py,4.0,4.0,4.0,1.0,19.0,2.0,7.0,4.0,0.0,2.0,1.0,70.0,17.0,38.0,6.0,32.0,15.0,13.0,1.0,37.0,6.0,31.0,8.0,8.0,8.0,1.0,8.0,8.0,8.0,1.0,5.0,0.39,9.0,9.0,9.0,2.0,26.0,0
2,diffModels.py,7.0,7.0,7.0,5.0,34.0,3.0,25.0,4.0,0.0,6.0,5.0,273.0,32.0,209.0,14.0,157.0,32.0,145.0,2.0,172.0,14.0,158.0,10.0,10.0,10.0,1.0,10.0,10.0,10.0,10.0,3.0,0.15,45.0,45.0,45.0,30.0,24.0,0
3,conf.py,1.0,1.0,1.0,1.0,29.0,0.0,0.0,0.0,0.0,1.0,0.0,229.0,60.0,30.0,1.0,29.0,141.0,1.0,0.0,20.0,1.0,19.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,4.7,1.0,1.0,1.0,1.0,47.0,0
4,switchover_pressure.py,3.0,3.0,3.0,1.0,34.0,0.0,0.0,0.0,0.0,1.0,0.0,63.0,18.0,37.0,3.0,34.0,8.0,4.0,1.0,37.0,3.0,34.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,1.0,0.22,3.0,3.0,3.0,1.0,4.0,0
10,webel.py,2.0,2.0,2.0,1.0,11.0,0.0,7.0,2.0,4.0,24.0,23.0,373.0,56.0,205.0,40.0,167.0,114.0,4.0,1.0,177.0,36.0,141.0,3.0,3.0,3.0,1.0,12.0,12.0,12.0,4.0,3.0,0.56,59.0,59.0,59.0,36.0,2.0,0
12,gprof2dot.py,2.0,2.0,2.0,1.0,10.0,0.0,9.0,0.0,26.0,169.0,168.0,2227.0,411.0,1665.0,215.0,1450.0,162.0,4.0,1.0,1483.0,205.0,1278.0,3.0,3.0,3.0,1.0,19.0,19.0,19.0,9.0,6.0,0.1,454.0,454.0,454.0,221.0,3.0,0
13,hotshotmain.py,3.0,3.0,3.0,1.0,16.0,1.0,22.0,0.0,0.0,3.0,2.0,70.0,6.0,47.0,5.0,42.0,17.0,2.0,0.0,42.0,5.0,37.0,2.0,2.0,2.0,1.0,4.0,4.0,4.0,1.0,2.0,0.36,9.0,9.0,9.0,3.0,3.0,0
14,pydot.py,2.0,2.0,2.0,1.0,16.0,4.0,8.0,3.0,10.0,85.0,84.0,1811.0,670.0,752.0,104.0,648.0,389.0,2.0,0.0,652.0,101.0,551.0,2.0,2.0,2.0,1.0,17.0,17.0,17.0,11.0,6.0,0.52,236.0,236.0,236.0,134.0,4.0,0
15,generateFluxDiagram.py,13.0,13.0,13.0,4.0,69.0,10.0,51.0,14.0,0.0,7.0,6.0,559.0,93.0,356.0,19.0,337.0,126.0,7.0,1.0,334.0,19.0,315.0,5.0,5.0,5.0,1.0,28.0,28.0,28.0,11.0,4.0,0.35,93.0,93.0,93.0,29.0,40.0,0
