index,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Bugs
0,GridEngineJobsTest.java,1.0,1.0,1.0,1.0,11.0,3.0,7.0,0.0,1.0,0.0,0.0,15.0,15.0,15.0,1.0,15.0,0.0,0.0,0.0,15.0,231.0,79.0,149.0,91.0,80.0,8.0,91.0,117.0,82.0,35.0,3.0,3.0,3.0,3.0,2.0,0.05,21.0,21.0,21.0,17.0,1.0
1,DirectoryStream.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,1.0,0.0,0.0,2.0,36.0,7.0,11.0,9.0,0.0,18.0,7.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.64,0.0,0.0,0.0,0.0,15.0
2,JobScriptGenerator.java,2.0,2.0,2.0,1.0,18.0,5.0,13.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,28.0,9.0,19.0,8.0,10.0,0.0,13.0,17.0,9.0,8.0,2.0,2.0,2.0,1.0,1.0,0.0,2.0,2.0,2.0,1.0,9.0
3,ProxyCredentialImplementation.java,1.0,1.0,1.0,1.0,9.0,0.0,3.0,5.0,1.0,0.0,0.0,4.0,4.0,4.0,2.0,4.0,0.0,0.0,0.0,4.0,63.0,8.0,21.0,9.0,7.0,34.0,10.0,15.0,9.0,6.0,2.0,2.0,2.0,1.0,0.0,1.62,5.0,5.0,5.0,4.0,10.0
4,OctopusEngine.java,1.0,1.0,1.0,1.0,9.0,1.0,6.0,1.0,1.0,3.0,7.0,14.0,14.0,11.0,6.0,14.0,0.0,1.0,0.0,13.0,220.0,52.0,128.0,55.0,55.0,40.0,64.0,98.0,53.0,45.0,4.0,4.0,4.0,3.0,2.0,0.31,25.0,25.0,25.0,20.0,18.0
5,Jobs.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,11.0,0.0,11.0,0.0,0.0,0.0,11.0,183.0,14.0,21.0,20.0,0.0,148.0,18.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,7.05,0.0,0.0,0.0,0.0,32.0
6,CredentialsAdaptorImplementation.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,0.0,0.0,0.0,4.0,60.0,6.0,13.0,12.0,0.0,41.0,9.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3.15,0.0,0.0,0.0,0.0,0.0
7,CredentialImplementation.java,1.0,1.0,1.0,1.0,5.0,0.0,3.0,1.0,1.0,1.0,1.0,7.0,7.0,6.0,5.0,7.0,0.0,1.0,1.0,5.0,78.0,17.0,39.0,19.0,14.0,22.0,21.0,29.0,17.0,12.0,1.0,1.0,1.0,1.0,0.0,0.56,7.0,7.0,7.0,7.0,18.0
8,LocalJobs.java,2.0,2.0,3.0,1.0,12.0,2.0,10.0,0.0,1.0,1.0,2.0,18.0,18.0,17.0,10.0,18.0,0.0,5.0,0.0,13.0,317.0,78.0,234.0,89.0,122.0,6.0,126.0,176.0,78.0,98.0,5.0,5.0,6.0,4.0,2.0,0.03,48.0,48.0,56.0,31.0,33.0
9,AttributeNotSupportedException.java,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,15.0,5.0,10.0,5.0,3.0,0.0,4.0,7.0,5.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,11.0
10,OctopusFactory.java,1.0,1.0,1.0,1.0,11.0,0.0,2.0,8.0,1.0,3.0,0.0,4.0,4.0,1.0,0.0,4.0,0.0,1.0,0.0,3.0,65.0,8.0,17.0,9.0,3.0,40.0,7.0,12.0,9.0,3.0,1.0,1.0,1.0,1.0,0.0,2.35,4.0,4.0,4.0,4.0,9.0
11,Sandbox.java,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,2.0,0.0,0.0,15.0,15.0,15.0,6.0,15.0,0.0,1.0,0.0,14.0,112.0,28.0,84.0,32.0,31.0,0.0,41.0,65.0,35.0,30.0,2.0,2.0,2.0,1.0,1.0,0.0,21.0,21.0,21.0,15.0,28.0
