index,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Bugs,human_bugs
0,DirectoryStream.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,1.0,0.0,0.0,2.0,54.0,7.0,13.0,11.0,0.0,34.0,7.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.62,0.0,0.0,0.0,0.0,14.0,0
1,ProxyCredentialImplementation.java,1.0,1.0,1.0,1.0,9.0,0.0,4.0,5.0,1.0,0.0,0.0,4.0,4.0,4.0,2.0,4.0,0.0,0.0,0.0,4.0,80.0,8.0,23.0,11.0,7.0,49.0,10.0,15.0,9.0,6.0,1.0,1.0,1.0,1.0,0.0,2.13,4.0,4.0,4.0,4.0,8.0,0
2,InteractiveProcessFactory.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,29.0,4.0,6.0,5.0,0.0,19.0,4.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.17,0.0,0.0,0.0,0.0,14.0,0
3,FileExists.java,4.0,4.0,4.0,1.0,43.0,10.0,26.0,8.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,84.0,15.0,38.0,20.0,21.0,32.0,26.0,31.0,20.0,11.0,4.0,4.0,4.0,1.0,2.0,0.84,4.0,4.0,4.0,1.0,13.0,0
4,SchedulerImplementationTest.java,1.0,1.0,1.0,1.0,12.0,2.0,9.0,1.0,1.0,0.0,0.0,6.0,6.0,6.0,0.0,6.0,0.0,0.0,0.0,6.0,115.0,27.0,69.0,30.0,39.0,30.0,32.0,39.0,18.0,21.0,1.0,1.0,1.0,1.0,0.0,0.43,6.0,6.0,6.0,6.0,10.0,0
5,OctopusEngine.java,1.0,1.0,1.0,1.0,8.0,1.0,5.0,2.0,1.0,4.0,7.0,19.0,19.0,15.0,7.0,19.0,0.0,2.0,0.0,17.0,281.0,60.0,153.0,69.0,65.0,68.0,86.0,121.0,67.0,54.0,4.0,4.0,4.0,3.0,2.0,0.44,31.0,31.0,31.0,25.0,16.0,0
6,Jobs.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,15.0,0.0,15.0,0.0,0.0,0.0,15.0,362.0,18.0,34.0,33.0,0.0,310.0,31.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,9.12,0.0,0.0,0.0,0.0,18.0,0
7,CredentialImplementation.java,1.0,1.0,1.0,1.0,5.0,0.0,3.0,1.0,1.0,0.0,0.0,6.0,6.0,6.0,5.0,6.0,0.0,0.0,1.0,5.0,83.0,15.0,35.0,18.0,10.0,33.0,18.0,25.0,15.0,10.0,1.0,1.0,1.0,1.0,0.0,0.94,6.0,6.0,6.0,6.0,16.0,0
8,AbsolutePathImplementationTest.java,1.0,1.0,1.0,1.0,6.0,0.0,5.0,0.0,1.0,0.0,0.0,23.0,23.0,23.0,1.0,23.0,0.0,0.0,0.0,23.0,223.0,51.0,156.0,91.0,73.0,19.0,83.0,107.0,66.0,41.0,1.0,1.0,1.0,1.0,0.0,0.12,23.0,23.0,23.0,23.0,1.0,0
9,LocalUtils.java,2.0,2.0,2.0,1.0,11.0,1.0,8.0,2.0,1.0,20.0,2.0,20.0,20.0,0.0,0.0,20.0,19.0,1.0,0.0,0.0,311.0,53.0,193.0,58.0,104.0,67.0,89.0,134.0,60.0,74.0,9.0,4.0,9.0,1.0,2.0,0.35,50.0,44.0,50.0,20.0,37.0,0
10,AttributeNotSupportedException.java,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,30.0,5.0,10.0,5.0,3.0,15.0,4.0,7.0,5.0,2.0,1.0,1.0,1.0,1.0,0.0,1.5,2.0,2.0,2.0,2.0,11.0,0
11,OctopusFactory.java,1.0,1.0,1.0,1.0,13.0,0.0,2.0,10.0,1.0,3.0,0.0,4.0,4.0,1.0,0.0,4.0,1.0,0.0,0.0,3.0,87.0,7.0,17.0,9.0,3.0,63.0,7.0,12.0,9.0,3.0,1.0,1.0,1.0,1.0,0.0,3.71,4.0,4.0,4.0,4.0,7.0,0
12,GridEngineParserTest.java,1.0,1.0,1.0,1.0,10.0,3.0,6.0,0.0,1.0,0.0,0.0,6.0,6.0,6.0,0.0,6.0,0.0,0.0,0.0,6.0,105.0,32.0,56.0,40.0,26.0,17.0,36.0,43.0,34.0,9.0,1.0,1.0,1.0,1.0,0.0,0.3,6.0,6.0,6.0,6.0,4.0,0
13,ConnectionLostException.java,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,29.0,4.0,10.0,5.0,3.0,15.0,4.0,7.0,5.0,2.0,1.0,1.0,1.0,1.0,0.0,1.5,2.0,2.0,2.0,2.0,12.0,0
