index,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Bugs
0,GridEngineUtils.java,4.0,4.0,5.0,1.0,29.0,5.0,21.0,2.0,1.0,7.0,8.0,7.0,7.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,274.0,60.0,181.0,55.0,118.0,33.0,99.0,136.0,54.0,82.0,11.0,11.0,12.0,1.0,2.0,0.18,33.0,33.0,35.0,7.0,0.0
1,DefaultCredentialTest.java,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,8.0,8.0,8.0,0.0,8.0,0.0,0.0,0.0,8.0,76.0,11.0,50.0,33.0,21.0,15.0,24.0,33.0,25.0,8.0,1.0,1.0,1.0,1.0,0.0,0.30,8.0,8.0,8.0,8.0,0.0
2,SlurmLocationConfig.java,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,5.0,5.0,5.0,1.0,5.0,0.0,0.0,0.0,5.0,47.0,8.0,24.0,13.0,5.0,15.0,8.0,14.0,9.0,5.0,1.0,1.0,1.0,1.0,0.0,0.62,5.0,5.0,5.0,5.0,0.0
3,JobExecutor.java,2.0,2.0,3.0,1.0,13.0,2.0,9.0,1.0,1.0,0.0,7.0,20.0,20.0,20.0,17.0,20.0,0.0,7.0,0.0,13.0,354.0,82.0,228.0,67.0,139.0,44.0,125.0,173.0,65.0,108.0,9.0,9.0,10.0,7.0,2.0,0.19,48.0,48.0,60.0,38.0,0.0
4,FtpOutputStream.java,1.0,1.0,1.0,1.0,5.0,0.0,3.0,1.0,1.0,0.0,0.0,7.0,7.0,7.0,3.0,7.0,0.0,0.0,0.0,7.0,81.0,12.0,42.0,21.0,13.0,27.0,18.0,27.0,15.0,12.0,2.0,2.0,2.0,1.0,1.0,0.64,8.0,8.0,8.0,7.0,0.0
5,JobDescriptionTest.java,1.0,1.0,1.0,1.0,21.0,3.0,17.0,0.0,1.0,0.0,0.0,16.0,16.0,16.0,0.0,16.0,0.0,0.0,0.0,16.0,418.0,84.0,305.0,92.0,244.0,29.0,253.0,270.0,75.0,195.0,1.0,1.0,1.0,1.0,0.0,0.10,16.0,16.0,16.0,16.0,0.0
6,SshInteractiveProcessFactory.java,2.0,2.0,2.0,1.0,7.0,1.0,6.0,0.0,1.0,0.0,0.0,4.0,4.0,4.0,1.0,4.0,0.0,0.0,1.0,3.0,69.0,15.0,39.0,17.0,13.0,15.0,17.0,26.0,14.0,12.0,3.0,3.0,3.0,1.0,1.0,0.38,8.0,8.0,8.0,4.0,0.0
7,Adaptor.java,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,6.0,6.0,6.0,4.0,6.0,0.0,0.0,2.0,4.0,62.0,10.0,37.0,20.0,12.0,15.0,19.0,26.0,16.0,10.0,1.0,1.0,1.0,1.0,0.0,0.41,6.0,6.0,6.0,6.0,0.0
8,WebdavFileAdaptor.java,1.0,1.0,1.0,1.0,9.0,1.0,6.0,0.0,1.0,0.0,8.0,6.0,6.0,6.0,0.0,6.0,0.0,0.0,0.0,6.0,127.0,31.0,72.0,44.0,32.0,26.0,44.0,55.0,39.0,16.0,5.0,5.0,6.0,1.0,1.0,0.36,10.0,10.0,11.0,6.0,0.0
9,CopyCancelledException.java,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,26.0,4.0,7.0,4.0,1.0,15.0,3.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,2.14,1.0,1.0,1.0,1.0,0.0
10,PropertyTypeException.java,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,35.0,4.0,10.0,5.0,3.0,21.0,4.0,7.0,5.0,2.0,1.0,1.0,1.0,1.0,0.0,2.10,2.0,2.0,2.0,2.0,0.0
11,InputWriterTest.java,1.0,1.0,1.0,1.0,5.0,0.0,4.0,0.0,2.0,0.0,0.0,7.0,7.0,7.0,0.0,7.0,0.0,0.0,0.0,7.0,86.0,19.0,52.0,31.0,17.0,15.0,30.0,39.0,27.0,12.0,1.0,1.0,1.0,1.0,0.0,0.29,7.0,7.0,7.0,7.0,0.0
