Unnamed: 0,Document Title,Abstract,time,label,
721,721,41edd9f3,Merge pull request #444 from drroe/restore_adddihedral,1539148246.96904,0
144,144,adb859d6,DRR - Cpptraj: Fix bug in Comm::CheckError(). Add more debug info.,1539149774.26161,1
726,726,d0fe96a1,Merge pull request #598 from drroe/fix_cuda,1539148178.7659,0
563,563,4f32316d,Merge pull request #387 from drroe/gist_dataset,1539148564.22378,0
281,281,4e394e22,DRR - Cpptraj: Fix X axis label,1539149310.92481,1
477,477,879a8599,Merge pull request #180 from drroe/read_input,1539148725.5411,0
393,393,a5e66470,DRR - Cpptraj: In calcstate  fix mangled printf format  correctly set number of frames.,1539149013.52008,1
610,610,5059937d,Merge pull request #341 from drroe/fix_libcpptraj,1539148512.5328,0
796,796,d9b3225a,DRR - Cpptraj: Misc readline fix from S. Brozell,1539147452.83097,1
952,952,3d7f9b30,DRR - Cpptraj: In FileName  record directory prefix. In lifetime analysis use directory prefix + prefix + base filename instead of just prepending the prefix (which results in an error when not writing to the same directory).,1539147867.66769,0
890,890,6c992ebe,DRR - Cpptraj: Fix printf bug.,1539149303.93369,0
480,480,5c1203e4,Merge pull request #56 from drroe/frame_externalData,1539148718.39736,0
467,467,9e98bcec,Merge pull request #433 from drroe/filter_combinecrd,1539148739.31647,0
628,628,34506f5a,Merge pull request #272 from drroe/use_ndiff,1539148491.75981,0
352,352,d2004e29,DRR - Cpptraj: Fix shared suffix.,1539149141.78462,1
479,479,743ce4fd,Merge pull request #184 from drroe/grid,1539148722.62477,0
7,7,d2268826,DRR - Cpptraj: Fix ensemble trajectory timing for RunEnsemble. Add 'Other' run timing category and make Time_Summary const.,1539150465.39489,1
427,427,97598299,Merge pull request #79 from hainm/diffusion,1539148789.04729,0
430,430,96e579ff,Merge pull request #200 from rmcgibbo/badge,1539148787.06161,0
634,634,263c66f1,Merge pull request #135 from drroe/protect_lj_etc,1539148487.19825,0
908,908,52c398c4,DRR - Cpptraj: Fix up command help.,1539149174.45511,0
345,345,dc20c782,DRR - Cpptraj: Fix no BINTRAJ compilation,1539149158.47189,1
711,711,4abd1c78,Merge pull request #258 from drroe/more_sanderlib,1539148342.42255,0
707,707,b3b3bfc8,Merge pull request #254 from drroe/fix_std_data,1539148346.67569,0
353,353,8b9a55ed,DRR - Cpptraj: Fix up COORDS data sets,1539149140.46888,1
94,94,c6e4ce19,DRR - Cpptraj: Fix up some things with multi exponential fit. Results still seem strange...,1539149985.46292,1
392,392,022ccf7c,DRR - Cpptraj: Fix detection of gnu compilers when they are really clang on OSX,1539149020.41019,1
493,493,6deed622,Merge pull request #614 from drroe/cmdline_flags,1539148623.31687,0
605,605,7b4ca056,Merge pull request #447 from drroe/circleci_badge,1539148517.84666,0
154,154,3d52ed7d,DRR - Cpptraj: Fix up sander interface. GB energies appear to work well.,1539149735.90757,1
195,195,4dadeddb,DRR - Cpptraj: Fix conversion of velocity units from gro file,1539149623.94792,1
513,513,735dc58f,Merge pull request #291 from drroe/fix_gmxtrr,1539148605.1476,0
695,695,1c8883bd,Merge pull request #405 from drroe/at_sync,1539148405.39509,0
813,813,638dfa23,DRR - Cpptraj: Try switching Travis CI environment to Trusty  this seems to be the most commonly recommended course of action to fix the SSL error I've been seeing.,1539150400.63251,0
647,647,1d88e564,Merge pull request #146 from drroe/fix_diffusion_individual,1539148474.96847,0
377,377,a478d35e,DRR - Cpptraj: Fix up average output when writing to COORDS set. Print number of frames average is over.,1539149061.32573,1
502,502,ed471a36,Merge pull request #522 from drroe/newlipidorder,1539148616.45026,0
383,383,808fbd71,DRR - Cpptraj: Fix memory allocation for sorted ph data set. Check number of frames when sorting.,1539149044.63784,1
78,78,c9169740,DRR - Cpptraj: Fix order of evaluations leading to small memory error. Hide debug info,1539150053.73994,1
515,515,6a2be822,Merge pull request #410 from drroe/dataset_remove_cmd,1539148603.67954,0
464,464,68081100000,Merge pull request #267 from drroe/lifetime_dataset,1539148742.25825,0
666,666,3f13b1eb,Merge pull request #511 from drroe/vol_density,1539148444.51679,0
485,485,65a78a41,Merge pull request #545 from drroe/test_timing,1539148714.80667,0
99,99,4879632c,DRR - Cpptraj: Add missing resinfo entry  fix solvent DispatchObject type,1539149963.25406,1
926,926,fb4f2773,Appveyor: re-enable CMake-less build,1539148970.29401,0
10,10,557c5114,DRR - Cpptraj: Fix cluster keywords for split  add option for printing number of clusters observed per time window.,1539150447.13092,1
70,70,43e08439,DRR - Cpptraj: Fix up replica exchange accept calc. Remove/hide some debug info.,1539150095.91734,1
526,526,a977eeea,Merge pull request #615 from drroe/fixsavenreps,1539148596.20366,0
