Unnamed: 0,Document Title,Abstract,time,label
823,823,4beb28fe0,Fix wall documentation,1539130530.05491,0
255,255,931bb5e2c,Fix uninitialized value in CachedAllocator,1539130744.976019,1
309,309,047006457,small doc fix,1539130629.704466,1
829,829,ac4dc9c72,Fix confusing variable naming for rcut_max,1539130486.595951,0
700,700,f1bf5eafa,Fix compile error in test_gridshift,1539130034.99916,1
805,805,48f6f1932,Attempt to fix external plugin builds.,1539130808.466893,0
504,504,8f5e23626,fix bug: charge.pppm() computed invalid forces,1539130324.288747,1
846,846,b4fe69b6d,fix typo,1539130227.2515788,0
530,530,f6c4ca588,fix image handling,1539130284.326804,1
244,244,8c5168d76,Fix communication of off rank particles for corners,1539130772.530453,1
867,867,b9220aacf,error out when not triangulated,1539129936.5743618,0
796,796,5cecd560a,Attempt to fix python ABI compatibility issues,1539140970.504611,0
241,241,2a0a6f811,temporary fix for list of tuples in make_verts functions,1539130776.548553,1
571,571,c80419f40,"Revert ""fix compile error on GPU""",1539130248.539429,1
490,490,276d8c6a7,Fix a compile error when MPI is disabled.,1539130348.7900221,1
428,428,20ff747a9,Fix compile errors on gcc48,1539130412.6486099,1
236,236,c58429633,Fix CellListGPU constructor in non-MPI builds,1539130784.292202,1
496,496,bd254d7c0,Fix a bug to gracefully include ghost particles outside the expected layer width,1539130340.015049,1
838,838,25fc1ffbc,fix comment,1539130414.890614,0
597,597,72dce187b,Fix compile error,1539130206.889551,1
227,227,ee68c2e6c,fix acceptance criteria for non-spherical shapes,1539130797.637032,1
144,144,91206090e,fix acceptance rule for non-spherical shapes,1539140899.379122,1
149,149,1a5db9a69,Merged in fix-rpath-again (pull request #487),1539140891.911747,1
789,789,71ac9f45c,Add next maint version to changelog for fix,1539141053.3959231,0
59,59,93b0d6ae4,Expand unit tests for load balancer  and fix minimum domain size tolerance,1539141130.335204,1
252,252,616e3ad7d,fix self-energy,1539130754.354718,1
202,202,bfb5e8586,Merged in fix-plugins (pull request #281),1539130840.453487,1
366,366,d13481164,Fix initialization of domain decomposition,1539130562.549531,1
626,626,8cd90be7f,Fix a bug for trees with only a single leaf,1539130164.5045161,1
307,307,f7de4f14d,fix base class in export of ForceDistanceConstraintGPU,1539130633.641599,1
703,703,f4d9fbb3d,Fix cmake error,1539130031.501891,1
555,555,ffbc079ee,fix unit tests,1539130262.048549,1
676,676,26f778105,Fix bug in frenkel ladd field module.,1539130068.858555,1
580,580,01db8621d,Fix compile error for cuda < 6.5,1539130235.8178911,1
389,389,12a2cd32f,fix alignment issues,1539130500.258497,1
390,390,d57f6e849,Fix profiler output,1539130499.284052,1
352,352,0fe1c4495,Fix angle and dihedral test initialization,1539130579.368748,1
565,565,c8e26b507,tentative fix for linking error(s),1539130254.272241,1
434,434,fc325946f,fix constructor arguments,1539130405.7226279,1
517,517,9bc8a782a,Fix compile error in shape proxy,1539130301.3511062,1
678,678,df081296d,Fix a bug reallocating tree internal memory,1539130064.068332,1
372,372,1fe490c9a,Fix failing messenger test,1539130551.77233,1
629,629,5b3ec315f,Really fix the pair.table bug,1539130161.242868,1
273,273,20f8ff12f,fix updater box,1539130699.85253,1
879,879,4d448e48d,move synchronization into GPUArray,1539129767.1165,0
743,743,6bfcb130c,Fixed python-level unit test for ai_pair.dipole pair coeff fix,1539129853.825712,1
587,587,d2eb380b7,Fix failing gpu_array test,1539130216.30515,1
296,296,eb45ff499,fix shared memory alignment issues,1539130653.546358,1
158,158,739a1e1af,fix readin double conversion,1539140871.037496,1
302,302,9e1cacc70,Fix potential segfault in CommunicatorGridGPU,1539130641.6104472,1
599,599,d55b9f315,Fix compile error when ENABLE_MPI=off,1539130205.987921,1
655,655,e1ba033f4,fix comment,1539130113.683794,1
338,338,898004bdb,fix merge conflict,1539130595.642962,1
452,452,a96390607,Fix merge errors,1539130389.387552,1
445,445,113cb9480,Fix an error in pressure computation by analyze.log,1539130393.562502,1
197,197,0c37844b7,fix non-TBB build's unit test,1539140763.7149599,1
417,417,c3d394971,Fix usage of __shfl call,1539130438.918633,1
274,274,96565406a,Fix exception handling syntax,1539130698.906197,1
281,281,68f6dc9df,fix insertion position,1539130689.792217,1
188,188,da6ecc4e1,Fix type add for anisotropic pairs,1539140796.6205616,1
577,577,955fe83a0,fix another compile error,1539130242.696573,1
340,340,5d40fb45b,fix merge conflict,1539130593.578287,1
590,590,c30d6ced0,Fix failing test,1539130215.309404,1
536,536,ca5ce8382,fix failing unit test,1539130276.567477,1
334,334,4224f7189,fix handling of image flags,1539130601.897316,1
646,646,d0db60c6b,Fix a bug where GSD data was written incorrectly,1539130129.3184972,1
316,316,cece59828,fix problem with boundary conditions,1539130623.116111,1
852,852,bbba5b559,fix comments,1539130152.506325,0
446,446,45e77844a,fix merge conflict,1539130392.987602,1
849,849,a4f958324,fix typo,1539130224.8437526,0
695,695,03c8f67fc,Fix compile error,1539130038.059202,1
840,840,a3daa9372,fix documentation,1539130316.618775,0
633,633,ac35b0887,Fix mismerge,1539130154.083374,1
720,720,aaf859d50,Fix xz coupling bug,1539130011.341486,1
341,341,21829d50a,fix some uninitialized values,1539130592.626188,1
180,180,9acc6999e,fix tersoff potential on compute <=3.0,1539140820.6138961,1
458,458,3decedc01,tentative fix for failling unit test,1539130381.910764,1
519,519,f75896dc8,Fix a syntax error in init.read_snapshot,1539130297.2359571,1
262,262,94e06bf94,fix sign in exclusions,1539130723.680916,1
113,113,8c3361818,fix AABB query in update.muvt(),1539140979.864117,1
820,820,473aecf6f,Fix compiler warning,1539130535.618335,0
317,317,cb4289a69,Fix JIT RPATH,1539130619.768292,1
55,55,da5140f60,Fixed bug in replication of molcules,1539141177.030098,1
246,246,c25c7cd48,Fix C++11 support in nvcc when using clang,1539130767.327676,1
719,719,426ebaf4b,little fix,1539130012.103412,1
637,637,cb16a901b,tentatively fix segfault,1539130148.362698,1
581,581,34fe871c5,fix orientations in ShapePolyehedron on GPU,1539130232.201691,1
842,842,0e8d551b0,doc fix,1539130237.402009,0
123,123,4a70f33db,fix implicit depletants with shapes that have a finite insphere radius,1539140950.762712,1
741,741,4da2a529b,Minor fix in Autotuner (handle kernels that fail all the time),1539129855.878875,1
22,22,32f5f39b5,Fixed a bug where integrate.brownian gave the same x y  and z velocity components,1539141283.300492,1
228,228,de9ef5592,Fix rank check in non-MPI builds,1539130796.82064,1
799,799,b1d21111d,Fix XML output of impropers and dihedrals,1539140872.311176,0
106,106,689a100bf,fix for ExternalField derived modules previously using multiple inheritance,1539140995.402401,1
828,828,cc3bc7deb,fix inline keyword,1539130490.788842,0
15,15,0803f6741,Fixed a bug in dem.utils.convexHull for large shapes,1539141327.97995,1
119,119,eba12596b,fix acceptance with implicit depletants and AABB search radius,1539140956.965745,1
494,494,c662ac088,Fix failing unit tests,1539130341.077151,1
212,212,b449ca3e0,fix RNG generation for particle pairs with patches,1539130829.1036339,1
7,7,d62269182,Add balanced domain decomposition to python module and assorted bug fixes,1539141347.6132786,1
