Unnamed: 0,Document Title,Abstract,time,label
8,8,414cc455,String passing for input works with DIRAC. Yuppie  ),1540317186.123178,1
295,295,09538e7e,Fixed the readthedocs build.,1540316479.231965,0
41,41,ee0864ba,Correct wrong dimensioning of nperm(: :) array,1540316870.340178,1
140,140,19f2588d,Correct small error in input parsing script,1540316411.201279,1
325,325,4cd5015f,Document greenData struct members,1540316174.177353,0
20,20,a3628362,Merge branch 'wavelet-cavity' of repo.ctcc.no:pcmsolver into wavelet-cavity,1540316964.126389,1
27,27,86962e61,Correct use of nonequilibrium solver,1540316918.317847,1
104,104,25db250e,Fix flags for C++ compilers,1540316544.940249,1
204,204,48497f07,added wavelet software from Helmut,1540317173.846344,0
74,74,fe7849ae,Correct some stupid errors.,1540316717.482878,1
191,191,b244ed33,Minor fixes.,1540316184.259913,1
158,158,dda2fcb3,Small fix.,1540316356.4923859,1
70,70,bdb27830,Fix inconsistency betwen NumPy surface function save and load functions,1540316726.8765962,1
2,2,7fa10e7b,Merge pull request #5 from robertodr/master,1540317230.063832,1
253,253,7647c9db,Cavity output now contains also cavity input,1540316892.984297,0
81,81,5418ebcb,Fix conf.py for doc build,1540316660.4980788,1
53,53,0e5ff863,still debugging  now i get the first compression  however errors occur somewhere after that,1540316780.216088,1
40,40,81d46617,Correct namespace issued for placeholders,1540316873.0868778,1
228,228,828fa055,Dividing responsibility between Cavity and SurfaceFunction,1540317090.610974,0
302,302,0158d623,Minor changes.,1540316365.639261,0
185,185,c78e1c41,Small fixes,1540316200.063113,1
227,227,9cd02f5b,Symmetric generation of cavity now working.,1540317092.092336,0
300,300,bb4e09d7,Small fixes in CMakeLists.txt,1540316398.7913039,0
251,251,709427a3,Remove printout of potential points in wavelet cavity,1540316926.387383,0
152,152,86d96f1d,Small fix for input parameters printout,1540316367.452198,1
171,171,bbd71c2a,Small change,1540316253.208727,1
263,263,183a24a9,Correct .gitignore,1540316832.773385,0
96,96,3f40314f,Fix errors with std::to_string when C++11 support is disabled,1540316587.449734,1
114,114,35a16b5e,Fix some inconsistencies and a potential memory leak,1540316498.539931,1
65,65,15beed55,some more compilation errors removed,1540316740.011723,1
296,296,ae5b6837,Minor restructuring across the module,1540316476.867343,0
209,209,7045ad8d,Fine-grain compilation on sources based on DEVELOPMENT_CODE flag.,1540317160.1189814,0
54,54,f99a7104,Fix builds on Magnum CI + Eigen3 issues + RPATH issues,1540316775.692527,1
131,131,004869ac,Minor modifications to initialization of solver in interface,1540316444.515529,1
18,18,f529c9fc,Merge branch 'wavelet-cavity' into devel,1540317024.725058,1
323,323,5b46918e,Add binary and png in .gitattributes,1540316178.806222,0
260,260,8fb6f94c,Correct indentation,1540316838.420149,0
274,274,fdcfd415,Fix licensing in Legendre.hpp,1540316601.797737,0
217,217,db6840ce,It is now possible to choose a profile parametrized by an error function,1540317122.058175,0
243,243,7bf511d8,modified pcm solver to use gepol cavity itnerface,1540316993.295505,0
165,165,42b404cf,1. added setters for potential and charges in Cavity abstract base class  2. changed the wrapper for computing charges in interface,1540316318.744213,1
94,94,46b346da,[Backport from ReSpect] Fix initialization of explicit solvent from host,1540316604.612103,1
321,321,e35690fa,Update documentation (slightly) Website also updated,1540316186.4771821,0
177,177,93e62cfb,some small changes,1540316230.319434,1
101,101,e6773d3f,Correct dependencies between targets + fix .travis.yml on OS X,1540316550.442141,1
278,278,3ce437c4,Fix visibility of symbols and RPATH,1540316584.302883,0
169,169,0cdb58f5,Small fix to pedra printout (units are AU).,1540316259.619714,1
198,198,3e6395ac,changed probe radius back to original value,1540317242.713602,0
60,60,39d98e8c,Small updates  more testing is needed for the integrators,1540316758.795903,1
7,7,ecb669ab,Merge pull request #98 from robertodr/build-with-ninja,1540317208.222375,1
