Unnamed: 0,Document Title,Abstract,time,label
23,23,6bb63f83,Merge pull request #115 from NLeSC/feature/gridengine-advanced,1539128910.538858,0
350,350,96ddb60d,Added SeekableByteChannel support to SSH. Fixed several test.,1539127840.9476779,1
427,427,f4716732,fixed code layout. All test now run,1539127645.367784,1
391,391,dd1ea80a,Fixed various sonar issues,1539127751.093981,1
17,17,58a84b9b,Merge pull request #117 from NLeSC/feature/job-canceled-exception,1539128920.095327,0
634,634,2e2efc37,"Fixed IntelliJ IDEA ""Dangling Javadoc comment."" warning",1539126847.18965,1
908,908,0a41f112,Update CHANGELOG.md,1539126626.8393786,0
58,58,b357dcd1,Merge pull request #154 from NLeSC/feature/scripting-cleanup,1539128855.5689619,0
60,60,d8426249,Merge pull request #23 from NLeSC/feature/testOctopusProperties,1539128853.680448,0
868,868,f56fc8a2,Extended wait time for run-fixed-client-environment-test  as it times out on a checksum verification,1539126837.0488849,0
386,386,c5faf555,Fixed several sonarqube issues,1539127756.509744,1
262,262,011ff4f0,adding findbugs annotation jar to report false positives . fixing some sonar issues,1539128204.2809641,1
652,652,a72887d9,jclouds-all dependency breaks other tests. Reducing jcloud dependecies to minimum fixes this,1539126740.677777,1
170,170,f0cc94f3,Merge pull request #495 from NLeSC/more-integrationTest,1539128729.311951,1
783,783,ebd3cbd9,Slurm adaptor can now get status of jobs and queues,1539128307.141069,0
660,660,c075fe95,Fixed equals  hashCode and copyconstructor of JobDescription. Fixes #617,1539126684.204059,1
817,817,b95bde6d,Fixed travis config for livetests on mac,1539127889.585875,0
314,314,31e7fb2a,Fixed build of test to properly check for octopus.test.properties,1539127974.526331,1
806,806,8acb0077,Added sacct output to possible job status sources. Improving parser for Slurm output. Fixed code formatting.,1539128163.494764,0
311,311,c802e62a,Fixed Torque tests with new job ID's and test fixture locations,1539127987.142631,1
5,5,94e5d91e,Merged GridEngine updates into master,1539129009.727851,1
371,371,228c4ed0,Fixed various sonar issues,1539127816.3388634,1
323,323,14fa7809,Fixed test to use lower case adaptor names,1539127953.471076,1
53,53,320c12ff,Merge pull request #15 from NLeSC/feature/ssh-adaptor-3,1539128862.912941,1
253,253,a2fd26a4,refactored to fix some more codacy issues,1539128326.707877,1
