hash,time,message,buggy
9c685d5,8/26/16 17:22,modif pour forces sur terme de Fock,0
856b723,9/9/16 18:13,BZR to GIT : WVL-PAW-FORCES branch (forces in WVL-PAW formalism),0
2f2d406,9/9/16 19:10,Merge error corrected,0
99177d7,9/22/16 18:44,Conflicts resolved  test refs adjusted - take 1,1
da2ad4f,9/23/16 19:44,Conflicts resolved  test refs adjusted - take 2,1
964804c,9/26/16 10:27,synchronisation avec trunk,0
32d4e6a,9/26/16 11:00,Merge branch 'develop' of gitlab:trunk/abinit into develop,0
fb240c9,10/6/16 0:16,Improve convergence of SCF cycle for WVL calculations and for all iscf/nnsclo/wvlbigdft_comp combinations,0
ab4ae8e,10/12/16 17:36,Merge branch 'develop' of abinit-gitlab:trunk/abinit into wvl-paw-forces,0
9952c98,10/12/16 18:40,Change bigdft version to 1.7.1.24 (including PAW forces),0
425b1d8,10/12/16 19:17,Change nnsclo default value for WVL calculations with iscf>0,0
1c8a3ee,10/12/16 19:41,Adapt bigdft tests (31 to 34) : potential mixing activated  nnsclo modified,0
6d374a4,10/12/16 19:53,Re-activate bigdft_paral tests and improve them,0
7f1abe6,10/13/16 12:04,Activate forces in WVL+PAW automatic tests,0
787999e,10/19/16 14:57,Bug corrections for PAW Fock forces. It works for hydrogen.,0
332e8bc,10/19/16 14:59,Synchronisation avec le tronc Merge branch 'develop' of gitlab:trunk/abinit into develop,0
9dcfece,10/19/16 23:35,Merge branch 'develop' of abinit-gitlab:trunk/abinit into wvl-paw-forces,0
4b8b34b,10/19/16 23:39,Add missing module dependency,1
ec4a874,10/20/16 0:33,Conflicts resolved,1
18c3b7a,10/20/16 1:01,Compilation errors eliminated,1
07ba5d3,10/20/16 15:19,Adjust test tolerances,0
de95470,10/20/16 15:30,Activate bigdft 1.7.1.24 on abiref,0
f75865d,10/20/16 17:13,Update some bigdft test refs (all tests pass on abiref),0
0c5d677,10/20/16 18:31,Another tolerance adjusted,0
cc827bd,11/3/16 14:09,PAW forces for the Fock term: it works for several k points,0
36291c5,11/15/16 16:47,Implement Blue Moon Ensemble method within PIMD (MT+GG),0
d96e0b7,11/15/16 18:31,Add doc for new pimd_constraint variable,0
ea63055,11/16/16 19:24,First version of history (HIST  hist%) with images WE save the rewriting of existing iterations in HIST file. There is room for improvment (memory saving),0
140246e,11/22/16 18:56,Typos found thanks to the automatic tests,1
a0eb760,11/23/16 10:26,A bug (only printing) has been magically corrected  update ref files,0
09cdc0f,11/23/16 11:44,Save work,0
5936f72,11/23/16 11:44,PIMD constraint improved (now the center of mass is fixed),0
5dfccce,11/23/16 18:03,Sauvegarde au 23/11/2016,0
b0932b5,11/24/16 11:32,pimd constraint improved (center of mass fixed),0
39a45a1,11/25/16 18:31,Suppress xcart and fred from abi_hist datastructure,0
357e571,12/2/16 15:52,HIST file was not correctly written in parallel (images),0
85454b6,12/2/16 17:37,terme Fock-PAW:les forces sont test_es pour plusieurs atomes de plusieurs types  02 d_cembre 2016,0
4cc59ed,12/7/16 17:25,Minor changes,0
c75f6b6,12/7/16 17:26,Merge branch 'develop' of gitlab.abinit.org:trunk/abinit into eph,0
97afe71,12/7/16 23:48,Fred forces were not correctly output during MD/relaxation They were not synchronized with fcart Ex.: if Faverage was suppressed from fcart  it wa not from red. This is now corrected. However the value of dE/dt remains unchanged in out file (not equal to -Fred). This is logical as it is supposed to be the exact derivative of the energy.,0
5e09408,12/8/16 0:50,HIST file was not correcly written in parallel (images),0
2db89fd,12/8/16 1:06,A test had to be updated,0
8104ef6,12/8/16 1:54,Merge branch 'develop' of abinit-gitlab:trunk/abinit into pimd,0
1eb4bef,12/8/16 3:10,Post-merge changes (conflicts HIST and effpot),0
9991c6e,12/8/16 11:25,Post-merge correction,0
d6feb39,12/8/16 22:24,Replace abi_hist%histXF by abi_hist%xred/fcart,0
7a2f5b4,12/8/16 22:31,Replace abi_hist%histA by abi_hist%acell,0
a0bd57c,12/8/16 22:58,Replace abi_hist%histR by abi_hist%rprimd,0
5d38068,12/8/16 23:28,Replace abi_hist%histV by abi_hist%vel,0
61c2dce,12/8/16 23:46,Replace abi_hist%histE/Ek/Ent by abi_hist%etot/ekin/entropy,0
